transDate,close,high,low,open,volume,event
10/10/2014,10.0,10.0,10.0,10.0,12600,
13/10/2014,11.0,11.0,11.0,11.0,1800,
14/10/2014,9.9,9.9,9.9,9.9,1000,
15/10/2014,9.0,9.0,9.0,9.0,1000,
16/10/2014,8.1,8.5,8.1,8.5,3000,
17/10/2014,8.0,8.0,8.0,8.0,1000,
20/10/2014,7.8,7.8,7.8,7.8,1500,
21/10/2014,8.5,8.5,8.5,8.5,100,
22/10/2014,8.5,8.5,8.5,8.5,0,
23/10/2014,8.5,8.5,8.5,8.5,0,
24/10/2014,8.0,8.0,8.0,8.0,1000,
27/10/2014,8.0,8.0,8.0,8.0,0,
28/10/2014,8.8,8.8,7.5,7.5,1100,
29/10/2014,7.6,7.6,7.6,7.6,0,
30/10/2014,7.6,7.6,7.6,7.6,0,
31/10/2014,7.6,7.6,7.6,7.6,0,
03/11/2014,7.6,7.6,7.6,7.6,0,
04/11/2014,7.6,7.6,7.6,7.6,0,
05/11/2014,7.6,7.6,7.6,7.6,0,
06/11/2014,7.6,7.6,7.6,7.6,0,
07/11/2014,7.0,7.5,7.0,7.5,1000,
10/11/2014,6.6,7.0,6.6,7.0,1200,
11/11/2014,6.8,6.8,6.8,6.8,0,
12/11/2014,6.8,6.8,6.8,6.8,0,
13/11/2014,7.4,7.4,7.0,7.0,1200,
14/11/2014,7.8,7.8,7.8,7.8,700,
17/11/2014,7.8,7.8,7.8,7.8,0,
18/11/2014,7.8,7.8,7.8,7.8,0,
19/11/2014,7.8,7.8,7.8,7.8,0,
20/11/2014,7.8,7.8,7.8,7.8,0,
21/11/2014,7.8,7.8,7.8,7.8,1000,
24/11/2014,7.8,7.9,7.8,7.9,2500,
25/11/2014,7.8,7.8,7.8,7.8,0,
26/11/2014,7.8,7.8,7.8,7.8,0,
27/11/2014,7.8,7.8,7.8,7.8,0,
28/11/2014,7.8,7.8,7.8,7.8,300,
01/12/2014,7.8,7.8,7.8,7.8,0,
02/12/2014,7.8,7.8,7.8,7.8,0,
03/12/2014,7.8,7.8,7.8,7.8,0,
04/12/2014,7.8,7.8,7.8,7.8,0,
05/12/2014,7.8,7.8,7.8,7.8,0,
08/12/2014,7.8,7.8,7.8,7.8,0,
09/12/2014,7.8,7.8,7.8,7.8,0,
10/12/2014,7.8,7.8,7.8,7.8,0,
11/12/2014,7.8,7.8,7.8,7.8,0,
12/12/2014,7.8,7.8,7.8,7.8,0,
15/12/2014,7.8,7.8,7.8,7.8,0,
16/12/2014,7.8,7.8,7.8,7.8,0,
17/12/2014,7.8,7.8,7.8,7.8,0,
18/12/2014,7.8,7.8,7.8,7.8,0,
19/12/2014,7.8,7.8,7.8,7.8,0,
22/12/2014,7.8,7.8,7.8,7.8,0,
23/12/2014,7.8,7.8,7.8,7.8,0,
24/12/2014,8.0,8.0,8.0,8.0,100,
25/12/2014,8.0,8.0,8.0,8.0,0,
26/12/2014,8.0,8.0,8.0,8.0,0,
29/12/2014,8.0,8.0,8.0,8.0,0,
30/12/2014,8.0,8.0,8.0,8.0,0,
31/12/2014,7.2,7.2,7.2,7.2,500,
05/01/2015,7.2,7.2,7.2,7.2,0,
06/01/2015,7.5,7.5,7.5,7.5,100,
07/01/2015,7.5,7.5,7.5,7.5,0,
08/01/2015,7.5,7.5,7.5,7.5,0,
09/01/2015,6.8,6.8,6.8,6.8,1000,
12/01/2015,6.2,6.2,6.2,6.2,5400,
13/01/2015,6.2,6.2,6.2,6.2,1000,
14/01/2015,6.2,6.2,6.2,6.2,0,
15/01/2015,6.2,6.2,6.2,6.2,0,
16/01/2015,6.2,6.2,6.2,6.2,0,
19/01/2015,6.2,6.2,6.2,6.2,0,
20/01/2015,6.8,6.8,6.8,6.8,100,
21/01/2015,6.8,6.8,6.8,6.8,0,
22/01/2015,7.3,7.3,7.3,7.3,100,
23/01/2015,7.9,7.9,7.9,7.9,100,
26/01/2015,7.9,7.9,7.9,7.9,0,
27/01/2015,7.9,7.9,7.9,7.9,0,
28/01/2015,7.9,7.9,7.9,7.9,0,
29/01/2015,8.4,8.4,8.4,8.4,100,
30/01/2015,8.4,8.4,8.4,8.4,0,
02/02/2015,8.4,8.4,8.4,8.4,0,
03/02/2015,8.4,8.4,8.4,8.4,0,
04/02/2015,8.4,8.4,8.4,8.4,0,
05/02/2015,8.4,8.4,8.4,8.4,0,
06/02/2015,8.4,8.4,8.4,8.4,0,
09/02/2015,8.4,8.4,8.4,8.4,0,
10/02/2015,8.4,8.4,8.4,8.4,0,
11/02/2015,8.4,8.4,8.4,8.4,0,
12/02/2015,7.6,7.6,7.6,7.6,3500,
13/02/2015,7.0,7.0,7.0,7.0,100,
24/02/2015,7.3,7.3,7.3,7.3,500,
25/02/2015,6.6,7.7,6.6,7.7,2500,
26/02/2015,7.0,7.0,7.0,7.0,1000,
27/02/2015,6.3,6.3,6.3,6.3,100,
02/03/2015,6.3,6.3,6.3,6.3,0,
03/03/2015,6.4,6.4,6.3,6.3,6100,
04/03/2015,6.9,6.9,6.9,6.9,2000,
05/03/2015,6.9,6.9,6.9,6.9,0,
06/03/2015,7.5,7.5,7.5,7.5,2000,
09/03/2015,6.8,7.4,6.8,7.4,6000,
10/03/2015,7.0,7.0,7.0,7.0,1000,
11/03/2015,7.3,7.3,7.3,7.3,3000,
12/03/2015,7.3,7.3,7.3,7.3,0,
13/03/2015,7.3,7.3,7.3,7.3,0,
16/03/2015,7.3,7.3,7.3,7.3,0,
17/03/2015,6.9,6.9,6.9,6.9,100,
18/03/2015,6.9,6.9,6.9,6.9,3000,
19/03/2015,6.9,6.9,6.9,6.9,0,
20/03/2015,7.3,7.3,7.3,7.3,1000,
23/03/2015,7.3,7.3,7.3,7.3,0,
24/03/2015,6.9,6.9,6.9,6.9,100,
25/03/2015,6.9,6.9,6.9,6.9,0,
26/03/2015,6.9,6.9,6.9,6.9,0,
27/03/2015,6.9,6.9,6.9,6.9,0,
30/03/2015,6.9,6.9,6.9,6.9,2000,
31/03/2015,6.9,6.9,6.9,6.9,0,
01/04/2015,6.9,6.9,6.9,6.9,100,
02/04/2015,6.9,6.9,6.9,6.9,2000,
03/04/2015,6.9,6.9,6.9,6.9,1500,
06/04/2015,6.9,6.9,6.9,6.9,0,
07/04/2015,6.9,6.9,6.9,6.9,0,
08/04/2015,6.9,6.9,6.9,6.9,2000,
09/04/2015,6.9,6.9,6.9,6.9,0,
10/04/2015,6.9,6.9,6.9,6.9,0,
13/04/2015,6.9,6.9,6.9,6.9,0,
14/04/2015,6.9,6.9,6.9,6.9,0,
15/04/2015,6.9,6.9,6.9,6.9,0,
16/04/2015,6.9,6.9,6.9,6.9,0,
17/04/2015,6.9,6.9,6.9,6.9,0,
20/04/2015,6.9,6.9,6.9,6.9,0,
21/04/2015,7.0,7.0,7.0,7.0,2000,
22/04/2015,7.0,7.0,7.0,7.0,0,
23/04/2015,7.0,7.0,7.0,7.0,0,
24/04/2015,7.0,7.0,7.0,7.0,0,
27/04/2015,7.0,7.0,7.0,7.0,0,
04/05/2015,7.0,7.0,7.0,7.0,0,
05/05/2015,7.0,7.0,7.0,7.0,0,
06/05/2015,7.0,7.0,7.0,7.0,0,
07/05/2015,7.0,7.0,7.0,7.0,0,
08/05/2015,7.0,7.0,7.0,7.0,0,
11/05/2015,6.5,6.5,6.5,6.5,200,
12/05/2015,6.5,6.5,6.5,6.5,0,
13/05/2015,6.5,6.5,6.5,6.5,0,
14/05/2015,6.5,6.5,6.5,6.5,0,
15/05/2015,6.5,6.5,6.5,6.5,0,
18/05/2015,6.5,6.5,6.5,6.5,0,
19/05/2015,6.5,6.5,6.5,6.5,0,
20/05/2015,6.5,6.5,6.5,6.5,0,
21/05/2015,6.5,6.5,6.5,6.5,0,
22/05/2015,6.5,6.5,6.5,6.5,0,
25/05/2015,6.5,6.5,6.5,6.5,0,
26/05/2015,6.5,6.5,6.5,6.5,0,
27/05/2015,6.5,6.5,6.5,6.5,0,
28/05/2015,6.5,6.5,6.5,6.5,0,
29/05/2015,6.5,6.5,6.5,6.5,0,
01/06/2015,6.5,6.5,6.5,6.5,0,
02/06/2015,6.0,6.0,6.0,6.0,300,
03/06/2015,6.0,6.0,6.0,6.0,0,
04/06/2015,6.0,6.0,6.0,6.0,0,
05/06/2015,6.0,6.0,6.0,6.0,0,
08/06/2015,5.5,5.5,5.5,5.5,300,
09/06/2015,5.5,5.5,5.5,5.5,0,
10/06/2015,5.5,5.5,5.5,5.5,0,
11/06/2015,5.5,5.5,5.5,5.5,0,
12/06/2015,5.7,5.7,5.7,5.7,100,
15/06/2015,5.7,5.7,5.7,5.7,0,
16/06/2015,5.7,5.7,5.7,5.7,0,
17/06/2015,5.7,5.7,5.7,5.7,0,
18/06/2015,5.7,5.7,5.7,5.7,0,
19/06/2015,5.7,5.7,5.7,5.7,0,
22/06/2015,5.7,5.7,5.7,5.7,0,
23/06/2015,5.3,5.3,5.3,5.3,200,
24/06/2015,5.3,5.3,5.3,5.3,0,
25/06/2015,5.3,5.3,5.3,5.3,0,
26/06/2015,5.3,5.3,5.3,5.3,0,
29/06/2015,5.3,5.3,5.3,5.3,0,
30/06/2015,5.3,5.3,5.3,5.3,0,
01/07/2015,5.3,5.3,5.3,5.3,0,
02/07/2015,5.3,5.3,5.3,5.3,0,
03/07/2015,5.3,5.3,5.3,5.3,0,
06/07/2015,5.3,5.3,5.3,5.3,0,
07/07/2015,5.3,5.3,5.3,5.3,0,
08/07/2015,5.3,5.3,5.3,5.3,0,
09/07/2015,5.3,5.3,5.3,5.3,0,
10/07/2015,5.3,5.3,5.3,5.3,0,
13/07/2015,5.3,5.3,5.3,5.3,0,
14/07/2015,6.0,6.0,6.0,6.0,100,
15/07/2015,6.0,6.0,6.0,6.0,0,
16/07/2015,6.0,6.0,6.0,6.0,0,
17/07/2015,5.7,5.7,5.7,5.7,200,
20/07/2015,5.7,5.7,5.7,5.7,0,
21/07/2015,5.7,5.7,5.7,5.7,0,
22/07/2015,5.5,5.5,5.5,5.5,100,
23/07/2015,5.5,5.5,5.5,5.5,0,
24/07/2015,5.5,5.5,5.5,5.5,0,
27/07/2015,6.3,6.3,6.3,6.3,100,
28/07/2015,6.3,6.3,6.3,6.3,0,
29/07/2015,6.3,6.3,6.3,6.3,0,
30/07/2015,6.3,6.3,6.3,6.3,0,
31/07/2015,6.3,6.3,6.3,6.3,0,
03/08/2015,6.3,6.3,6.3,6.3,0,
04/08/2015,6.3,6.3,6.3,6.3,0,
05/08/2015,6.3,6.3,6.3,6.3,0,
06/08/2015,7.0,7.0,7.0,7.0,1000,
07/08/2015,7.0,7.0,7.0,7.0,0,
10/08/2015,7.0,7.0,6.1,6.1,2700,
11/08/2015,6.4,6.4,6.4,6.4,0,
12/08/2015,6.4,6.4,6.4,6.4,0,
13/08/2015,7.0,7.0,7.0,7.0,5900,
14/08/2015,7.0,7.0,7.0,7.0,0,
17/08/2015,6.0,6.0,6.0,6.0,100,
18/08/2015,6.0,6.0,6.0,6.0,0,
19/08/2015,6.0,6.0,6.0,6.0,0,
20/08/2015,6.0,6.0,6.0,6.0,0,
21/08/2015,6.0,6.0,6.0,6.0,1400,
24/08/2015,6.0,6.0,6.0,6.0,500,
25/08/2015,6.0,6.0,6.0,6.0,0,
26/08/2015,6.2,6.2,6.2,6.2,100,
27/08/2015,7.0,7.0,7.0,7.0,5000,
28/08/2015,6.2,6.2,6.2,6.2,100,
31/08/2015,6.2,6.2,6.2,6.2,100,
01/09/2015,6.8,6.8,6.8,6.8,100,
03/09/2015,6.8,6.8,6.8,6.8,0,
04/09/2015,6.8,6.8,6.8,6.8,0,
07/09/2015,6.8,6.8,6.8,6.8,0,
08/09/2015,6.8,6.8,6.8,6.8,0,
09/09/2015,6.2,6.2,6.2,6.2,100,
10/09/2015,6.2,6.2,6.2,6.2,0,
11/09/2015,7.0,7.0,7.0,7.0,10000,
14/09/2015,6.2,6.2,6.2,6.2,100,
15/09/2015,6.2,6.2,6.2,6.2,0,
16/09/2015,6.2,6.2,6.2,6.2,0,
17/09/2015,5.5,5.5,5.5,5.5,100,
18/09/2015,5.5,5.5,5.5,5.5,0,
21/09/2015,5.5,5.5,5.5,5.5,0,
22/09/2015,5.5,5.5,5.5,5.5,0,
23/09/2015,6.3,6.3,6.3,6.3,100,
24/09/2015,6.3,6.3,6.3,6.3,0,
25/09/2015,6.3,6.3,6.3,6.3,0,
28/09/2015,6.3,6.3,6.3,6.3,0,
29/09/2015,6.3,6.3,6.3,6.3,0,
30/09/2015,6.3,6.3,6.3,6.3,0,
01/10/2015,6.0,6.0,6.0,6.0,100,
02/10/2015,6.9,6.9,6.9,6.9,100,
05/10/2015,6.9,6.9,6.9,6.9,0,
06/10/2015,6.9,6.9,6.9,6.9,0,
07/10/2015,6.1,6.1,6.1,6.1,100,
08/10/2015,6.1,6.1,6.1,6.1,0,
09/10/2015,6.1,6.1,6.1,6.1,0,
12/10/2015,6.1,6.1,6.1,6.1,0,
13/10/2015,6.1,6.1,6.1,6.1,0,
14/10/2015,6.1,6.1,6.1,6.1,0,
15/10/2015,6.1,6.1,6.1,6.1,0,
16/10/2015,5.8,5.8,5.8,5.8,700,
19/10/2015,5.8,5.8,5.8,5.8,0,
20/10/2015,5.8,5.8,5.8,5.8,0,
21/10/2015,5.8,5.8,5.8,5.8,0,
22/10/2015,5.8,5.8,5.8,5.8,0,
23/10/2015,5.8,5.8,5.8,5.8,0,
26/10/2015,6.6,6.6,6.0,6.0,600,
27/10/2015,6.5,6.5,6.5,6.5,0,
28/10/2015,6.5,6.5,6.5,6.5,0,
