transDate,close,high,low,open,volume,event
29/12/2006,8.108,8.402,6.721,6.721,5100,
02/01/2007,11.515,11.515,11.515,11.515,0,
03/01/2007,11.515,11.515,11.515,11.515,0,
04/01/2007,11.515,11.515,11.515,11.515,0,
05/01/2007,11.515,11.515,11.515,11.515,0,
08/01/2007,8.596,8.596,8.596,8.596,100,
09/01/2007,9.447,9.447,9.447,9.447,300,
10/01/2007,9.305,9.305,9.305,9.305,200,
11/01/2007,13.695,13.695,13.695,13.695,0,
12/01/2007,13.695,13.695,13.695,13.695,0,
15/01/2007,13.695,13.695,13.695,13.695,0,
16/01/2007,13.695,13.695,13.695,13.695,0,
17/01/2007,13.695,13.695,13.695,13.695,0,
18/01/2007,13.695,13.695,13.695,13.695,0,
19/01/2007,9.731,9.731,9.731,9.731,1000,
22/01/2007,14.32,14.32,14.32,14.32,0,
23/01/2007,14.32,14.32,14.32,14.32,0,
24/01/2007,14.32,14.32,14.32,14.32,0,
25/01/2007,9.731,9.731,9.731,9.731,1100,
26/01/2007,14.32,14.32,14.32,14.32,0,
29/01/2007,14.32,14.32,14.32,14.32,0,
30/01/2007,14.32,14.32,14.32,14.32,0,
31/01/2007,14.32,14.32,14.32,14.32,0,
01/02/2007,14.32,14.32,14.32,14.32,0,
02/02/2007,14.32,14.32,14.32,14.32,0,
05/02/2007,9.328,10.34,9.328,9.668,1200,
06/02/2007,10.543,10.543,10.543,10.543,800,
07/02/2007,10.742,10.783,10.742,10.742,600,
08/02/2007,15.813,15.813,15.813,15.813,0,
09/02/2007,15.813,15.813,15.813,15.813,0,
12/02/2007,10.742,10.742,10.742,10.742,300,
13/02/2007,10.135,10.135,10.135,10.135,3700,
14/02/2007,10.237,10.237,10.135,10.135,6400,
15/02/2007,9.932,9.932,9.932,9.932,4000,
26/02/2007,10.543,10.543,9.932,9.932,12500,
27/02/2007,11.434,11.434,10.642,10.642,7200,
28/02/2007,12.161,12.183,12.161,12.161,3300,
01/03/2007,11.998,13.363,11.998,12.161,5800,DIVIDEND
02/03/2007,12.205,12.245,12.205,12.245,1000,
05/03/2007,12.926,13.032,12.205,12.245,3200,
06/03/2007,13.652,14.066,13.239,13.239,8700,
07/03/2007,15.059,15.059,14.895,14.895,2300,
08/03/2007,16.485,16.485,15.204,15.204,3400,
09/03/2007,17.873,17.873,15.307,16.255,3000,
12/03/2007,18.618,18.741,15.35,17.046,2700,
13/03/2007,18.825,19.652,17.996,17.996,7600,
14/03/2007,17.996,18.825,17.584,18.101,1900,
15/03/2007,26.638,26.638,26.638,26.638,0,
16/03/2007,16.3,18.097,16.3,16.794,2400,
19/03/2007,17.832,17.996,17.584,17.584,3200,
20/03/2007,16.962,19.011,16.962,17.17,2100,
21/03/2007,16.551,16.551,15.513,15.867,600,
22/03/2007,15.513,16.756,15.513,15.863,1000,
23/03/2007,15.722,15.929,15.722,15.845,1600,
26/03/2007,23.32,23.32,23.32,23.32,0,
27/03/2007,23.32,23.32,23.32,23.32,0,
28/03/2007,14.272,14.272,14.272,14.272,1000,
29/03/2007,15.62,15.62,14.272,14.272,1200,
30/03/2007,15.307,15.307,15.307,15.307,100,
02/04/2007,15.412,15.412,15.412,15.412,100,
03/04/2007,22.68,22.68,22.68,22.68,0,
04/04/2007,22.68,22.68,22.68,22.68,0,
05/04/2007,22.68,22.68,22.68,22.68,0,
06/04/2007,22.68,22.68,22.68,22.68,0,
09/04/2007,22.68,22.68,22.68,22.68,0,
10/04/2007,22.68,22.68,22.68,22.68,0,
11/04/2007,22.68,22.68,22.68,22.68,0,
12/04/2007,22.68,22.68,22.68,22.68,0,
13/04/2007,22.68,22.68,22.68,22.68,0,
16/04/2007,14.272,14.272,14.272,14.272,100,
17/04/2007,12.865,12.865,12.865,12.865,100,
18/04/2007,12.409,12.409,12.409,12.409,1700,
19/04/2007,12.409,12.825,12.409,12.409,4400,
20/04/2007,12.409,12.409,12.409,12.409,200,
23/04/2007,12.205,12.205,12.205,12.205,500,
24/04/2007,11.172,11.998,10.983,11.73,700,
25/04/2007,10.573,11.169,10.573,10.652,3100,
02/05/2007,10.652,10.652,9.6,10.198,500,
03/05/2007,9.619,9.619,9.619,9.619,200,
04/05/2007,8.687,9.412,8.687,8.996,1400,
07/05/2007,8.484,8.585,8.484,8.501,2200,
08/05/2007,9.101,9.35,9.101,9.101,1000,
09/05/2007,10.135,10.198,9.662,9.662,1000,
10/05/2007,11.044,11.044,11.044,11.044,600,
