transDate,close,high,low,open,volume,event
21/07/2015,8.72,8.851,8.72,8.851,1800,
22/07/2015,8.461,8.461,8.461,8.461,3000,
23/07/2015,8.786,8.786,8.461,8.461,1300,
24/07/2015,8.461,8.461,8.136,8.136,500,
27/07/2015,8.461,8.461,8.461,8.461,0,
28/07/2015,8.461,8.461,8.461,8.461,0,
29/07/2015,8.786,8.786,8.786,8.786,100,
30/07/2015,8.786,8.786,8.786,8.786,0,
31/07/2015,8.786,8.786,8.786,8.786,0,
03/08/2015,7.94,8.396,7.94,8.396,1200,
04/08/2015,8.591,8.591,7.874,7.874,600,
05/08/2015,8.136,8.136,8.136,8.136,100,
06/08/2015,8.136,8.136,8.136,8.136,0,
07/08/2015,7.485,7.485,7.485,7.485,100,
10/08/2015,7.485,7.485,7.485,7.485,0,
11/08/2015,7.485,7.485,7.485,7.485,0,
12/08/2015,7.485,7.485,7.485,7.485,0,
13/08/2015,7.485,7.485,7.485,7.485,0,
14/08/2015,8.2,8.2,8.2,8.2,100,
17/08/2015,8.2,8.2,8.2,8.2,0,
18/08/2015,8.2,8.2,8.2,8.2,0,
19/08/2015,8.2,8.2,8.2,8.2,0,
20/08/2015,8.2,8.2,8.2,8.2,0,
21/08/2015,8.2,8.2,8.2,8.2,0,
24/08/2015,8.2,8.2,8.2,8.2,0,
25/08/2015,8.2,8.2,8.2,8.2,0,
26/08/2015,8.2,8.2,8.2,8.2,0,
27/08/2015,8.2,8.2,8.2,8.2,0,
28/08/2015,8.2,8.2,8.2,8.2,0,
31/08/2015,7.419,7.419,7.419,7.419,1000,
01/09/2015,7.419,7.419,7.419,7.419,0,
03/09/2015,7.225,7.225,7.225,7.225,5000,
04/09/2015,7.225,7.225,7.225,7.225,0,
07/09/2015,7.225,7.225,7.225,7.225,0,
08/09/2015,7.159,7.159,7.159,7.159,1000,
09/09/2015,7.159,7.159,7.159,7.159,0,
10/09/2015,7.159,7.159,7.159,7.159,0,
11/09/2015,7.159,7.159,7.159,7.159,0,
14/09/2015,7.809,7.809,6.443,6.443,200,
15/09/2015,7.809,7.809,7.809,7.809,0,
16/09/2015,7.809,7.809,7.809,7.809,0,
17/09/2015,7.159,7.159,7.159,7.159,10000,
18/09/2015,7.159,7.159,7.159,7.159,1650,
21/09/2015,7.289,7.289,7.289,7.289,100,
22/09/2015,7.289,7.289,7.289,7.289,0,
23/09/2015,7.289,7.289,7.289,7.289,0,
24/09/2015,7.289,7.289,7.289,7.289,0,
25/09/2015,7.289,7.289,7.289,7.289,0,
28/09/2015,7.289,7.289,7.289,7.289,0,
29/09/2015,6.574,6.574,6.574,6.574,100,
30/09/2015,6.574,6.574,6.574,6.574,0,
01/10/2015,6.574,6.574,6.574,6.574,0,
02/10/2015,6.574,6.574,6.574,6.574,0,
05/10/2015,6.574,6.574,6.574,6.574,0,
06/10/2015,6.574,6.574,6.574,6.574,0,
07/10/2015,6.574,6.574,6.574,6.574,0,
08/10/2015,7.225,7.225,7.225,7.225,100,
09/10/2015,7.225,7.225,7.225,7.225,0,
12/10/2015,7.94,7.94,7.94,7.94,200,
13/10/2015,7.159,7.159,7.159,7.159,100,
14/10/2015,7.159,7.159,7.159,7.159,0,
15/10/2015,7.159,7.159,7.159,7.159,0,
16/10/2015,7.159,7.159,7.159,7.159,0,DIVIDEND
19/10/2015,7.159,7.159,7.159,7.159,0,
20/10/2015,7.86,7.86,7.86,7.86,100,
21/10/2015,7.37,7.37,7.088,7.088,1100,
22/10/2015,7.37,7.37,7.37,7.37,0,
23/10/2015,7.37,7.37,7.37,7.37,8500,
26/10/2015,7.37,7.37,7.37,7.37,0,
27/10/2015,7.37,7.37,7.37,7.37,0,
28/10/2015,7.37,7.37,7.37,7.37,0,
29/10/2015,7.37,7.37,7.37,7.37,300,
30/10/2015,7.37,7.37,7.37,7.37,0,
02/11/2015,7.37,7.37,7.37,7.37,0,
03/11/2015,7.37,7.37,7.37,7.37,0,
04/11/2015,7.37,7.37,7.37,7.37,0,
05/11/2015,7.37,7.37,7.37,7.37,0,
06/11/2015,7.37,7.37,7.37,7.37,0,
09/11/2015,7.37,7.37,7.37,7.37,0,
10/11/2015,7.37,7.439,7.37,7.439,10300,
11/11/2015,7.37,7.37,7.37,7.37,0,
12/11/2015,7.37,7.37,7.37,7.37,0,
13/11/2015,7.37,7.37,7.37,7.37,0,
16/11/2015,7.37,7.37,7.37,7.37,0,
17/11/2015,7.37,7.37,7.37,7.37,0,
18/11/2015,7.37,7.37,7.37,7.37,0,
19/11/2015,7.37,7.37,7.37,7.37,0,
20/11/2015,7.37,7.37,7.37,7.37,0,
23/11/2015,7.37,7.37,7.37,7.37,0,
24/11/2015,7.37,7.37,7.37,7.37,0,
25/11/2015,7.37,7.37,7.37,7.37,0,
26/11/2015,7.37,7.37,7.37,7.37,0,
27/11/2015,7.37,7.37,7.37,7.37,0,
30/11/2015,7.37,7.37,7.37,7.37,0,
01/12/2015,7.37,7.37,7.37,7.37,0,
02/12/2015,7.37,7.37,7.37,7.37,0,
03/12/2015,7.37,7.37,7.37,7.37,0,
04/12/2015,7.37,7.37,7.37,7.37,0,
07/12/2015,7.37,7.37,7.37,7.37,0,
08/12/2015,7.37,7.37,7.37,7.37,0,
09/12/2015,7.299,7.299,7.299,7.299,700,
10/12/2015,7.299,7.299,7.299,7.299,0,
11/12/2015,7.299,7.299,7.299,7.299,0,
14/12/2015,7.299,7.299,7.299,7.299,0,
15/12/2015,7.299,7.299,7.299,7.299,0,
16/12/2015,7.299,7.299,7.299,7.299,0,
17/12/2015,7.299,7.299,7.299,7.299,0,
18/12/2015,7.299,7.299,7.299,7.299,0,
21/12/2015,7.299,7.299,7.299,7.299,0,
22/12/2015,7.299,7.299,7.299,7.299,0,
23/12/2015,7.228,7.228,7.228,7.228,200,
24/12/2015,7.228,7.228,7.228,7.228,0,
25/12/2015,7.228,7.228,7.228,7.228,0,
28/12/2015,7.228,7.228,7.228,7.228,0,
29/12/2015,7.228,7.228,7.228,7.228,0,
30/12/2015,7.228,7.228,7.228,7.228,0,
31/12/2015,7.228,7.228,7.228,7.228,0,
04/01/2016,7.159,7.159,7.159,7.159,10000,
05/01/2016,7.159,7.159,7.159,7.159,0,
06/01/2016,7.159,7.159,7.159,7.159,0,
07/01/2016,7.159,7.159,7.159,7.159,0,
08/01/2016,7.159,7.159,7.159,7.159,0,
11/01/2016,7.159,7.159,7.159,7.159,0,
12/01/2016,7.159,7.159,7.159,7.159,0,
13/01/2016,7.159,7.159,7.159,7.159,0,
14/01/2016,7.159,7.159,7.159,7.159,0,
15/01/2016,7.088,7.088,7.088,7.088,6000,
18/01/2016,7.088,7.088,7.088,7.088,0,
19/01/2016,7.088,7.088,7.088,7.088,0,
20/01/2016,7.088,7.088,7.088,7.088,0,
21/01/2016,7.088,7.088,7.088,7.088,0,
22/01/2016,7.088,7.088,7.088,7.088,0,
25/01/2016,7.088,7.088,7.088,7.088,0,
26/01/2016,7.088,7.088,7.088,7.088,0,
27/01/2016,7.088,7.088,7.088,7.088,0,
28/01/2016,7.088,7.088,7.088,7.088,0,
29/01/2016,7.79,7.79,7.79,7.79,100,
01/02/2016,7.019,7.019,7.019,7.019,100,
02/02/2016,7.019,7.019,7.019,7.019,0,
03/02/2016,7.019,7.019,7.019,7.019,0,
04/02/2016,6.317,6.317,6.317,6.317,100,
05/02/2016,6.317,6.317,6.317,6.317,0,
15/02/2016,6.317,6.317,6.317,6.317,0,
16/02/2016,6.317,6.317,6.317,6.317,0,
17/02/2016,6.949,6.949,6.949,6.949,200,
18/02/2016,6.949,6.949,6.949,6.949,0,
19/02/2016,7.58,7.58,7.58,7.58,200,
22/02/2016,7.72,7.72,6.878,6.878,200,
23/02/2016,6.949,6.949,6.949,6.949,100,
24/02/2016,7.58,7.58,7.58,7.58,100,
25/02/2016,8.282,8.282,8.282,8.282,100,
26/02/2016,8.282,8.282,8.282,8.282,100,
29/02/2016,8.282,8.282,8.282,8.282,0,
01/03/2016,8.492,8.492,8.492,8.492,200,
02/03/2016,8.492,8.492,8.492,8.492,0,
03/03/2016,8.492,8.492,8.492,8.492,0,
04/03/2016,8.492,8.492,8.492,8.492,0,
07/03/2016,8.492,8.492,8.492,8.492,0,
08/03/2016,8.492,8.492,8.492,8.492,0,
09/03/2016,8.492,8.492,8.492,8.492,0,
10/03/2016,8.492,8.492,8.492,8.492,0,
11/03/2016,8.492,8.492,8.492,8.492,0,
14/03/2016,8.704,8.704,8.704,8.704,100,
15/03/2016,9.055,9.055,9.055,9.055,154,
16/03/2016,8.211,8.211,8.211,8.211,130,
17/03/2016,8.773,8.773,8.773,8.773,100,
