transDate,close,high,low,open,volume,event
05/11/2019,15.0,15.3,15.0,15.3,21400,
06/11/2019,12.8,15.0,12.8,15.0,10000,
07/11/2019,13.9,13.9,13.9,13.9,0,
08/11/2019,11.9,11.9,11.9,11.9,400,
11/11/2019,11.9,11.9,11.9,11.9,0,
12/11/2019,11.9,11.9,11.9,11.9,0,
13/11/2019,10.2,10.5,10.2,10.5,1300,
14/11/2019,9.0,10.8,9.0,9.5,43200,
15/11/2019,10.7,10.7,10.0,10.0,11500,
18/11/2019,11.8,11.8,11.8,11.8,1200,
19/11/2019,10.8,11.9,10.1,11.9,12900,
20/11/2019,10.1,10.2,10.1,10.2,1100,
21/11/2019,8.6,11.4,8.6,11.4,9500,
22/11/2019,9.1,9.1,9.1,9.1,800,
25/11/2019,7.8,10.3,7.8,10.3,13900,
26/11/2019,8.0,8.0,8.0,8.0,4000,
27/11/2019,7.4,7.7,6.8,6.9,11300,
28/11/2019,6.7,8.0,6.2,8.0,11600,
29/11/2019,7.7,7.7,6.5,6.5,5900,
02/12/2019,8.4,8.4,6.8,8.3,23100,
03/12/2019,9.1,9.4,8.1,8.1,23011,
04/12/2019,9.5,10.2,8.7,8.7,36700,
05/12/2019,9.9,10.0,9.9,9.9,8460,
06/12/2019,9.8,9.9,9.7,9.9,17010,
09/12/2019,9.6,9.8,9.6,9.8,23400,
10/12/2019,9.8,9.8,9.6,9.7,22600,
11/12/2019,9.7,9.8,9.7,9.8,1300,
12/12/2019,9.4,9.5,9.4,9.5,16640,
13/12/2019,9.4,9.4,9.4,9.4,63200,
16/12/2019,9.4,9.4,9.4,9.4,3100,
17/12/2019,9.1,9.4,9.1,9.4,24850,
18/12/2019,9.2,10.4,9.2,10.4,7810,
19/12/2019,9.2,9.2,9.2,9.2,4300,
20/12/2019,9.2,9.4,9.2,9.2,4700,
23/12/2019,9.4,9.4,9.4,9.4,1500,
24/12/2019,9.5,9.5,9.3,9.5,28300,
25/12/2019,9.8,9.8,9.5,9.5,11040,
26/12/2019,9.8,9.8,9.8,9.8,12000,
27/12/2019,10.0,10.0,9.7,9.8,7900,
30/12/2019,10.0,10.0,10.0,10.0,6700,
31/12/2019,11.5,11.5,11.3,11.3,37060,
02/01/2020,12.0,12.0,12.0,12.0,1300,
03/01/2020,13.3,13.3,13.3,13.3,1300,
06/01/2020,11.4,14.0,11.4,14.0,2100,
07/01/2020,11.9,11.9,11.9,11.9,200,
08/01/2020,10.3,11.8,10.3,11.8,3400,
09/01/2020,12.0,12.0,12.0,12.0,3400,
10/01/2020,11.9,11.9,11.9,11.9,3100,
13/01/2020,11.9,11.9,11.9,11.9,0,
14/01/2020,11.9,11.9,11.9,11.9,0,
15/01/2020,11.9,11.9,11.9,11.9,0,
16/01/2020,11.9,11.9,11.9,11.9,0,
17/01/2020,10.2,10.2,10.2,10.2,100,
20/01/2020,9.7,9.7,9.7,9.7,2200,
21/01/2020,9.1,9.1,8.3,8.4,4460,
22/01/2020,8.9,8.9,8.9,8.9,0,
30/01/2020,8.9,8.9,8.9,8.9,0,
31/01/2020,8.3,8.3,8.3,8.3,1000,
03/02/2020,8.3,8.3,8.3,8.3,0,
04/02/2020,8.7,8.7,8.7,8.7,200,
05/02/2020,8.7,8.7,8.7,8.7,60,
06/02/2020,8.7,8.7,8.7,8.7,0,
07/02/2020,8.7,8.7,8.7,8.7,0,
10/02/2020,8.7,8.7,8.7,8.7,0,
11/02/2020,8.7,8.7,8.7,8.7,0,
12/02/2020,7.4,7.5,7.4,7.4,33480,
13/02/2020,7.4,7.4,7.4,7.4,0,
14/02/2020,7.4,7.4,7.4,7.4,51900,
17/02/2020,7.4,7.4,7.4,7.4,0,
18/02/2020,7.4,7.4,7.4,7.4,3400,
19/02/2020,8.4,8.4,8.4,8.4,100,
20/02/2020,9.5,9.5,9.5,9.5,100,
21/02/2020,8.2,8.5,8.2,8.5,700,
24/02/2020,8.4,8.4,8.4,8.4,0,
25/02/2020,8.4,8.4,8.4,8.4,0,
26/02/2020,9.6,9.6,9.6,9.6,100,
27/02/2020,8.2,8.4,8.2,8.4,200,
28/02/2020,8.3,8.3,8.3,8.3,0,
02/03/2020,8.3,8.3,8.3,8.3,0,
03/03/2020,8.3,8.3,8.3,8.3,512,
04/03/2020,7.4,7.4,7.4,7.4,316,
05/03/2020,7.4,7.4,7.4,7.4,0,
06/03/2020,6.7,6.7,6.7,6.7,100,
09/03/2020,6.6,6.6,6.6,6.6,210,
10/03/2020,6.6,6.6,6.6,6.6,0,
11/03/2020,5.7,5.7,5.7,5.7,100,
12/03/2020,5.7,5.7,5.7,5.7,8,
13/03/2020,5.7,5.7,5.7,5.7,0,
16/03/2020,5.7,5.7,5.7,5.7,0,
17/03/2020,5.7,5.7,5.7,5.7,0,
18/03/2020,5.7,5.7,5.7,5.7,0,
19/03/2020,6.0,6.0,6.0,6.0,200,
20/03/2020,5.1,5.1,5.1,5.1,100,
23/03/2020,5.1,5.1,5.1,5.1,0,
24/03/2020,5.1,5.1,5.1,5.1,0,
25/03/2020,4.4,4.4,4.4,4.4,110,
26/03/2020,4.9,4.9,4.4,4.8,2100,
27/03/2020,4.8,5.3,4.8,5.3,400,
30/03/2020,5.5,5.5,5.5,5.5,100,
31/03/2020,6.0,6.0,6.0,6.0,100,
01/04/2020,6.0,6.0,6.0,6.0,0,
03/04/2020,6.7,6.7,6.4,6.4,300,
06/04/2020,6.5,6.5,6.5,6.5,0,
07/04/2020,6.2,6.8,6.2,6.8,1100,
08/04/2020,6.5,6.5,6.5,6.5,100,
09/04/2020,6.3,6.8,6.3,6.8,1510,
10/04/2020,6.3,6.3,6.3,6.3,0,
13/04/2020,6.3,6.3,6.3,6.3,0,
14/04/2020,6.3,6.3,6.3,6.3,100,
15/04/2020,6.3,6.3,6.3,6.3,0,
16/04/2020,6.3,6.3,6.3,6.3,0,
17/04/2020,6.3,6.3,6.3,6.3,0,
20/04/2020,6.3,6.3,6.3,6.3,0,
21/04/2020,5.7,5.7,5.7,5.7,100,
22/04/2020,5.7,5.7,5.7,5.7,0,
23/04/2020,4.9,5.0,4.9,5.0,1400,
24/04/2020,4.9,4.9,4.9,4.9,1000,
27/04/2020,4.8,4.8,4.8,4.8,1640,
28/04/2020,4.8,4.8,4.8,4.8,0,
29/04/2020,5.3,5.3,4.6,4.6,1400,
04/05/2020,5.1,5.1,5.1,5.1,234,
05/05/2020,5.1,5.1,5.1,5.1,100,
06/05/2020,5.1,5.1,5.1,5.1,0,
07/05/2020,5.5,5.5,5.5,5.5,400,
08/05/2020,5.5,5.5,5.5,5.5,300,
11/05/2020,5.5,5.5,5.5,5.5,0,
12/05/2020,5.5,5.5,5.5,5.5,0,
13/05/2020,5.5,5.5,5.5,5.5,0,
14/05/2020,5.5,5.5,5.5,5.5,0,
15/05/2020,5.5,5.5,5.5,5.5,0,
18/05/2020,5.5,5.5,5.5,5.5,0,
19/05/2020,5.5,5.5,5.5,5.5,0,
20/05/2020,5.5,5.5,5.5,5.5,0,
21/05/2020,5.5,5.5,5.5,5.5,0,
22/05/2020,5.5,5.5,5.5,5.5,0,
25/05/2020,5.5,5.5,5.5,5.5,0,
26/05/2020,5.5,5.5,5.5,5.5,0,
27/05/2020,5.5,5.5,5.5,5.5,0,
28/05/2020,4.9,4.9,4.9,4.9,300,
29/05/2020,4.9,4.9,4.9,4.9,0,
01/06/2020,5.6,5.6,5.6,5.6,100,
02/06/2020,5.6,5.6,5.6,5.6,0,
03/06/2020,5.6,5.6,5.6,5.6,0,
04/06/2020,5.6,5.6,5.6,5.6,0,
05/06/2020,5.0,5.0,5.0,5.0,300,
08/06/2020,4.4,4.4,4.4,4.4,800,
09/06/2020,4.4,4.4,4.4,4.4,0,
10/06/2020,5.0,5.0,5.0,5.0,300,
11/06/2020,5.0,5.0,5.0,5.0,920,
12/06/2020,5.0,5.0,5.0,5.0,100,
15/06/2020,5.0,5.0,5.0,5.0,0,
16/06/2020,5.0,5.0,5.0,5.0,0,
17/06/2020,5.0,5.0,5.0,5.0,0,
18/06/2020,5.0,5.0,5.0,5.0,200,
19/06/2020,5.0,5.0,5.0,5.0,100,
22/06/2020,5.0,5.0,5.0,5.0,0,
23/06/2020,5.0,5.0,5.0,5.0,0,
24/06/2020,5.0,5.0,5.0,5.0,0,
25/06/2020,5.0,5.0,5.0,5.0,0,
26/06/2020,5.0,5.0,5.0,5.0,0,
29/06/2020,5.0,5.0,5.0,5.0,0,
30/06/2020,5.0,5.0,5.0,5.0,0,
01/07/2020,5.0,5.0,5.0,5.0,0,
02/07/2020,5.0,5.0,5.0,5.0,0,
03/07/2020,5.0,5.0,5.0,5.0,0,
06/07/2020,5.0,5.0,5.0,5.0,0,
07/07/2020,5.0,5.0,5.0,5.0,0,
08/07/2020,4.4,4.4,4.4,4.4,1000,
09/07/2020,4.4,4.4,4.4,4.4,0,
10/07/2020,4.4,4.4,4.4,4.4,0,
13/07/2020,4.4,4.9,4.4,4.9,200,
14/07/2020,4.7,4.7,4.7,4.7,0,
15/07/2020,4.7,4.7,4.7,4.7,0,
16/07/2020,4.7,4.7,4.7,4.7,0,
17/07/2020,4.7,4.7,4.7,4.7,0,
20/07/2020,4.9,4.9,4.9,4.9,100,
21/07/2020,4.9,4.9,4.9,4.9,0,
22/07/2020,4.9,4.9,4.9,4.9,0,
23/07/2020,4.9,4.9,4.9,4.9,0,
24/07/2020,4.9,4.9,4.9,4.9,0,
27/07/2020,4.9,4.9,4.9,4.9,0,
28/07/2020,4.9,4.9,4.9,4.9,0,
29/07/2020,4.2,4.2,4.2,4.2,200,
30/07/2020,4.2,4.5,4.2,4.2,800,
31/07/2020,4.4,4.4,4.4,4.4,0,
03/08/2020,4.4,4.4,4.4,4.4,0,
04/08/2020,4.4,4.4,4.4,4.4,0,
05/08/2020,4.4,4.4,4.4,4.4,0,
06/08/2020,4.4,4.4,4.4,4.4,0,
07/08/2020,4.4,4.4,4.4,4.4,200,
10/08/2020,4.4,4.4,4.4,4.4,700,
11/08/2020,4.4,4.4,4.4,4.4,0,
12/08/2020,4.4,4.4,4.4,4.4,0,
13/08/2020,4.4,4.4,4.4,4.4,0,
14/08/2020,4.4,4.4,4.4,4.4,0,
17/08/2020,4.4,4.4,4.4,4.4,0,
18/08/2020,4.4,4.4,4.4,4.4,0,
19/08/2020,4.4,4.4,4.4,4.4,0,
20/08/2020,4.4,4.4,4.4,4.4,0,
21/08/2020,4.4,4.4,4.4,4.4,0,
24/08/2020,3.8,3.8,3.8,3.8,100,
25/08/2020,3.4,3.8,3.4,3.8,300,
26/08/2020,4.2,4.2,3.7,3.7,800,
27/08/2020,4.7,4.7,4.7,4.7,300,
28/08/2020,4.7,4.7,4.7,4.7,900,
31/08/2020,5.2,5.2,5.2,5.2,100,
01/09/2020,5.2,5.2,5.2,5.2,0,
03/09/2020,5.2,5.2,5.2,5.2,0,
04/09/2020,5.2,5.2,5.2,5.2,0,
07/09/2020,5.2,5.2,5.2,5.2,0,
08/09/2020,5.2,5.2,5.2,5.2,0,
09/09/2020,5.2,5.2,5.2,5.2,0,
10/09/2020,5.2,5.2,5.2,5.2,0,
11/09/2020,5.2,5.2,5.2,5.2,0,
14/09/2020,5.2,5.2,5.2,5.2,0,
15/09/2020,5.2,5.2,5.2,5.2,1,
16/09/2020,4.5,4.5,4.5,4.5,2000,
17/09/2020,4.5,4.5,4.5,4.5,600,
18/09/2020,4.5,4.5,4.5,4.5,0,
21/09/2020,4.5,4.5,4.5,4.5,0,
22/09/2020,4.5,4.5,4.5,4.5,0,
23/09/2020,4.5,4.5,4.5,4.5,0,
24/09/2020,4.5,4.5,4.5,4.5,0,
25/09/2020,4.0,4.0,4.0,4.0,2500,
28/09/2020,4.0,4.0,3.9,3.9,6000,
29/09/2020,3.9,4.0,3.9,4.0,3100,
30/09/2020,3.9,3.9,3.9,3.9,0,
01/10/2020,3.9,3.9,3.9,3.9,0,
02/10/2020,3.9,3.9,3.9,3.9,6000,
05/10/2020,3.9,3.9,3.9,3.9,0,
06/10/2020,3.5,3.5,3.5,3.5,5000,
07/10/2020,3.5,3.5,3.5,3.5,0,
08/10/2020,3.1,3.4,3.1,3.4,8500,
09/10/2020,3.6,3.6,3.6,3.6,500,
12/10/2020,3.6,3.6,3.6,3.6,5000,
13/10/2020,3.6,3.6,3.6,3.6,2000,
14/10/2020,3.6,3.6,3.6,3.6,0,
15/10/2020,3.3,3.3,3.1,3.1,7000,
16/10/2020,3.5,3.5,3.5,3.5,100,
19/10/2020,3.2,3.2,3.2,3.2,1200,
20/10/2020,3.0,3.0,2.8,2.9,8960,
21/10/2020,3.3,3.3,3.2,3.2,340,
22/10/2020,3.3,3.3,3.3,3.3,1000,
23/10/2020,3.3,3.3,3.3,3.3,34,
26/10/2020,3.3,3.3,3.3,3.3,0,
27/10/2020,3.3,3.3,3.3,3.3,0,
28/10/2020,3.3,3.3,3.3,3.3,0,
29/10/2020,3.3,3.3,3.3,3.3,0,
30/10/2020,3.3,3.3,3.3,3.3,10,
02/11/2020,3.3,3.3,3.3,3.3,0,
03/11/2020,3.7,3.7,3.7,3.7,100,
04/11/2020,3.6,3.6,3.6,3.6,8000,
05/11/2020,3.6,3.6,3.6,3.6,0,
06/11/2020,3.6,3.6,3.6,3.6,0,
09/11/2020,3.6,3.6,3.6,3.6,0,
