transDate,close,high,low,open,volume,event
21/06/2010,27.01,28.04,21.5,23.37,1190700.0,
22/06/2010,27.57,27.57,26.82,27.38,356100.0,
23/06/2010,28.51,29.25,27.38,29.25,313300.0,
24/06/2010,27.1,27.85,26.36,27.85,94700.0,
25/06/2010,25.42,26.08,25.42,25.42,572400.0,
28/06/2010,25.14,26.17,24.3,26.17,277200.0,
29/06/2010,24.49,25.33,24.49,25.23,133900.0,
30/06/2010,23.83,24.49,23.18,23.65,186400.0,
01/07/2010,23.83,24.3,23.37,24.11,143300.0,
02/07/2010,23.09,23.83,22.43,22.43,125400.0,
05/07/2010,24.77,24.77,23.55,23.55,73000.0,
06/07/2010,25.23,26.26,24.77,26.08,485200.0,
07/07/2010,23.93,25.7,23.74,25.7,118900.0,
08/07/2010,23.18,24.95,23.18,24.95,137900.0,
09/07/2010,23.65,23.93,22.9,23.37,142400.0,
12/07/2010,23.37,23.93,23.18,23.55,96600.0,
13/07/2010,23.74,24.02,23.09,23.46,235500.0,
14/07/2010,23.55,24.67,23.37,24.3,146500.0,
15/07/2010,23.09,23.65,22.99,23.37,153300.0,
16/07/2010,23.37,24.3,23.09,23.09,143900.0,
19/07/2010,24.02,24.11,22.99,23.27,189300.0,
20/07/2010,24.02,24.58,23.74,23.83,209000.0,
21/07/2010,23.37,23.65,23.27,23.65,105300.0,
22/07/2010,22.71,23.37,22.43,23.18,138000.0,
23/07/2010,22.8,23.46,22.43,23.46,205400.0,
26/07/2010,22.15,23.09,21.96,23.09,67800.0,
27/07/2010,21.4,22.34,21.31,22.34,138100.0,
28/07/2010,20.56,21.59,20.28,21.59,236600.0,
29/07/2010,20.37,20.75,20.09,20.47,91500.0,
30/07/2010,20.37,20.75,20.28,20.56,98200.0,
02/08/2010,19.25,20.47,19.07,20.47,164800.0,
03/08/2010,18.13,19.63,18.13,19.63,168700.0,
04/08/2010,17.48,18.32,17.38,17.76,317300.0,
05/08/2010,18.69,18.69,16.64,16.64,169900.0,
06/08/2010,18.41,18.79,18.23,18.69,99300.0,
09/08/2010,17.2,18.41,17.2,18.41,86100.0,
10/08/2010,16.17,16.64,16.17,16.36,126900.0,
11/08/2010,16.26,16.73,15.61,16.73,57800.0,
12/08/2010,15.05,16.36,15.05,16.36,95100.0,
13/08/2010,15.14,15.14,14.21,14.3,172100.0,
16/08/2010,15.61,15.61,15.23,15.23,102300.0,
17/08/2010,16.17,16.64,15.42,16.17,187300.0,
18/08/2010,15.7,16.26,15.42,16.26,60500.0,
19/08/2010,15.42,15.89,15.23,15.8,64500.0,
20/08/2010,15.61,15.89,15.05,15.89,69100.0,
23/08/2010,14.95,15.42,14.77,14.77,59400.0,
24/08/2010,14.11,14.86,14.11,14.86,150900.0,
25/08/2010,13.27,13.93,13.27,13.74,80800.0,
26/08/2010,13.27,14.21,12.62,14.02,110800.0,
27/08/2010,12.71,13.27,12.43,13.27,88200.0,
30/08/2010,13.55,13.55,13.55,13.55,84600.0,
31/08/2010,14.49,14.49,13.55,14.49,200900.0,
01/09/2010,15.33,15.33,14.95,14.95,232500.0,
06/09/2010,16.26,16.26,16.17,16.17,52100.0,
07/09/2010,16.17,17.01,15.8,17.01,229700.0,
08/09/2010,15.42,15.7,15.23,15.42,264900.0,
09/09/2010,15.89,16.36,15.42,15.42,219000.0,
10/09/2010,14.95,15.89,14.95,15.89,190800.0,
13/09/2010,14.3,15.14,14.3,14.86,152300.0,
14/09/2010,15.33,15.33,14.3,14.3,166900.0,
15/09/2010,14.95,15.89,14.77,15.8,62700.0,
16/09/2010,14.95,15.14,14.11,14.49,54300.0,
17/09/2010,15.8,15.8,14.95,15.33,322400.0,
20/09/2010,16.64,16.73,16.08,16.73,403600.0,
21/09/2010,16.26,16.92,16.17,16.82,186200.0,
22/09/2010,16.17,16.54,16.08,16.08,77100.0,
23/09/2010,15.61,15.98,15.23,15.89,176900.0,
24/09/2010,15.61,16.08,15.51,15.61,79500.0,
27/09/2010,15.8,15.89,15.51,15.61,72500.0,
28/09/2010,15.7,16.36,15.7,16.36,105300.0,
