transDate,close,high,low,open,volume,event
21/06/2010,19.974,20.043,17.69,17.69,1478250,
22/06/2010,20.946,20.946,19.765,20.043,1570740,
23/06/2010,21.98,21.98,21.771,21.98,1033400,
24/06/2010,23.013,23.013,22.874,23.013,1115720,
25/06/2010,23.222,24.125,22.119,22.805,1358250,
28/06/2010,22.536,23.222,22.466,23.152,893030,
29/06/2010,22.805,23.499,22.536,22.536,992320,
30/06/2010,22.049,22.466,21.98,22.188,658390,
01/07/2010,21.146,22.119,21.146,22.119,533300,
02/07/2010,21.354,21.702,21.007,21.424,525430,
05/07/2010,22.397,22.397,21.91,21.91,877300,
06/07/2010,22.119,23.361,22.119,23.291,1672660,
07/07/2010,21.702,22.805,21.354,22.805,549060,
08/07/2010,21.424,22.327,21.007,22.188,686650,
09/07/2010,20.807,21.563,20.807,21.285,526640,
12/07/2010,21.285,21.354,20.877,20.877,416110,
13/07/2010,21.771,22.119,21.285,21.771,412610,
14/07/2010,21.077,22.049,21.077,21.771,381900,
15/07/2010,21.077,21.702,21.077,21.285,734300,
16/07/2010,21.007,21.077,20.668,20.738,387530,
19/07/2010,20.738,21.077,20.599,20.738,292080,
20/07/2010,20.529,20.946,20.529,20.946,292280,
21/07/2010,20.668,21.216,20.599,21.216,562720,
22/07/2010,19.974,20.668,19.835,20.668,480860,
23/07/2010,20.46,20.46,19.487,20.043,653480,
26/07/2010,21.007,21.285,20.738,21.007,1217400,
27/07/2010,21.077,21.285,20.599,20.946,445940,
28/07/2010,20.182,21.146,20.182,21.146,322430,
29/07/2010,20.321,20.529,19.696,19.696,314280,
30/07/2010,20.668,20.946,20.599,20.668,754010,
02/08/2010,20.252,20.807,19.696,20.807,490040,
03/08/2010,20.043,20.46,19.974,20.182,331030,
04/08/2010,19.079,20.113,19.079,19.626,735560,
05/08/2010,18.384,19.288,18.384,19.288,188400,
06/08/2010,17.829,18.662,17.829,18.384,143910,
09/08/2010,17.004,17.968,17.004,17.49,512600,
10/08/2010,16.17,16.448,16.17,16.309,168880,
11/08/2010,15.484,16.517,15.414,15.901,322830,
12/08/2010,14.72,14.789,14.72,14.789,157810,
13/08/2010,14.998,15.414,14.034,14.103,467940,
16/08/2010,15.692,15.692,15.206,15.692,113530,
17/08/2010,16.448,16.448,15.692,16.378,607180,
18/08/2010,16.448,17.212,15.831,16.587,684000,
19/08/2010,15.901,16.587,15.692,16.378,176600,
20/08/2010,16.656,16.656,15.137,16.17,331890,
23/08/2010,15.831,15.962,15.831,15.962,159670,
24/08/2010,15.067,15.206,15.067,15.206,443310,
25/08/2010,14.372,14.581,14.372,14.511,323500,
26/08/2010,13.756,14.65,13.686,14.372,192670,
