transDate,close,high,low,open,volume,event
09/08/2010,28.342,29.901,27.224,29.901,300820,
10/08/2010,26.971,28.342,26.971,27.097,134610,
11/08/2010,26.097,26.908,25.663,25.663,369860,
12/08/2010,24.852,26.476,24.852,26.476,87280,
13/08/2010,24.915,25.104,24.04,24.104,731660,
16/08/2010,25.916,26.042,24.978,25.79,583730,
17/08/2010,25.357,25.916,24.978,25.916,291860,
18/08/2010,24.104,25.104,24.104,24.915,712220,
19/08/2010,24.104,24.482,23.987,24.357,429820,
20/08/2010,23.481,24.104,23.238,24.104,574310,
23/08/2010,22.427,23.238,22.427,23.238,224980,
24/08/2010,21.372,23.301,21.372,23.301,599070,
25/08/2010,21.462,21.985,20.578,20.578,224490,
26/08/2010,22.516,22.516,21.985,22.427,242060,
27/08/2010,23.571,23.571,22.688,22.868,355310,
30/08/2010,24.708,24.708,24.627,24.708,1066050,
31/08/2010,25.501,25.501,24.536,25.149,941330,
01/09/2010,25.33,25.501,24.357,25.501,463320,
06/09/2010,25.411,26.033,24.708,25.943,1102110,
07/09/2010,24.275,24.798,24.275,24.627,672000,
08/09/2010,23.743,23.833,23.22,23.301,346870,
09/09/2010,24.095,24.536,23.653,24.184,452530,
10/09/2010,23.481,24.095,23.481,23.743,530950,
13/09/2010,22.688,23.301,22.255,23.129,327220,
14/09/2010,22.95,23.129,22.427,22.868,259960,
15/09/2010,23.04,23.301,22.688,22.95,263990,
16/09/2010,24.184,24.184,23.04,23.04,619470,
17/09/2010,24.978,25.149,24.184,24.184,541740,
20/09/2010,25.06,25.411,24.627,25.06,824820,
21/09/2010,26.295,26.295,25.06,25.06,1339530,
22/09/2010,27.531,27.531,26.737,26.827,1094400,
23/09/2010,27.882,28.847,26.385,28.405,1441100,
24/09/2010,28.234,28.405,27.531,28.405,656650,
27/09/2010,28.315,28.667,28.144,28.496,955910,
28/09/2010,28.585,28.667,27.882,28.667,845350,
29/09/2010,27.179,28.757,27.179,28.585,453850,
30/09/2010,27.26,28.144,26.827,27.179,539370,
01/10/2010,27.26,28.144,26.998,27.26,456240,
04/10/2010,26.385,27.702,25.943,27.702,486210,
05/10/2010,26.385,26.385,25.06,25.06,296340,
06/10/2010,27.179,27.26,25.943,26.737,326560,
07/10/2010,27.531,27.611,27.089,27.179,265940,
08/10/2010,27.089,27.611,26.827,26.827,162050,
11/10/2010,26.908,27.702,26.205,27.702,366710,
12/10/2010,26.295,26.908,25.943,26.908,277780,
13/10/2010,26.385,26.737,26.033,26.295,157340,
14/10/2010,26.647,27.26,26.295,27.26,173720,
15/10/2010,26.385,26.556,26.114,26.385,79500,
18/10/2010,26.295,26.827,26.114,26.827,157790,
19/10/2010,25.501,26.385,25.501,26.385,115870,
20/10/2010,24.275,25.06,24.275,24.627,116870,
21/10/2010,24.357,24.446,23.743,23.743,73240,
22/10/2010,24.357,24.446,24.005,24.357,54550,
25/10/2010,24.536,24.536,23.301,23.743,65260,
26/10/2010,25.06,25.682,23.833,25.149,204430,
27/10/2010,24.357,25.06,24.357,25.06,65700,
28/10/2010,24.275,24.446,23.481,24.446,118390,
29/10/2010,24.357,25.149,23.481,23.481,419430,
01/11/2010,23.743,24.275,23.743,24.184,71160,
02/11/2010,23.22,23.743,23.22,23.392,238750,
03/11/2010,23.22,23.653,23.04,23.04,45250,
04/11/2010,23.653,23.653,22.868,23.22,281460,
05/11/2010,23.833,23.833,22.868,23.301,306370,
08/11/2010,23.653,23.833,23.129,23.571,117600,
09/11/2010,22.688,23.301,22.688,22.868,99580,
10/11/2010,22.427,22.598,22.164,22.427,162990,
11/11/2010,21.894,22.516,21.372,22.427,231810,
12/11/2010,20.839,21.894,20.839,21.894,274470,
15/11/2010,19.874,20.839,19.874,20.839,218450,
16/11/2010,20.839,20.839,18.91,18.91,857700,
17/11/2010,21.11,21.633,20.668,21.543,457240,
18/11/2010,21.11,21.543,20.488,21.11,232750,
19/11/2010,20.93,21.462,20.668,21.462,416940,
22/11/2010,19.965,20.226,19.965,20.226,258910,
23/11/2010,20.136,20.578,19.784,20.578,394030,
24/11/2010,20.136,20.488,19.352,19.352,225630,
25/11/2010,21.11,21.11,20.226,20.488,348920,
26/11/2010,21.11,21.723,20.407,20.407,234000,
29/11/2010,21.894,21.894,20.226,20.226,1294060,
30/11/2010,22.95,22.95,21.985,21.985,1180530,
01/12/2010,23.129,23.392,22.246,22.427,1088730,
02/12/2010,23.743,24.275,23.129,23.129,2266190,
03/12/2010,24.888,24.888,23.743,24.888,2146910,
06/12/2010,26.114,26.114,24.184,24.446,2531620,
07/12/2010,26.737,27.35,25.501,26.385,2836000,
08/12/2010,25.411,26.556,25.411,26.385,2257820,
09/12/2010,25.501,25.853,24.184,24.627,5583090,
10/12/2010,26.385,26.385,25.501,25.501,2593740,
13/12/2010,26.737,27.71,26.737,27.63,1688860,
14/12/2010,25.411,26.385,25.06,25.501,3203670,
15/12/2010,25.411,25.501,24.798,25.06,1783790,
16/12/2010,24.446,24.978,24.184,24.357,1254730,
17/12/2010,25.591,25.591,24.184,24.978,4128260,
20/12/2010,24.708,26.205,24.708,26.205,1399140,
21/12/2010,24.798,25.149,23.571,24.708,793710,
22/12/2010,24.275,25.06,23.743,25.06,714410,
23/12/2010,23.743,24.627,23.129,23.833,3127440,
24/12/2010,23.301,23.833,23.129,23.301,358250,
27/12/2010,23.743,24.005,23.22,23.301,2453380,
28/12/2010,23.833,24.095,23.301,23.743,881540,
29/12/2010,22.95,24.095,22.95,23.833,1611160,
30/12/2010,22.953,23.305,22.865,22.865,738770,
31/12/2010,23.832,24.096,23.48,23.656,1513150,
