transDate,close,high,low,open,volume,event
17/01/2008,26.468,29.962,22.467,28.374,95600,
18/01/2008,26.968,27.466,26.468,26.468,70500,
21/01/2008,26.813,27.966,25.516,26.478,37700,
22/01/2008,25.471,25.969,24.971,25.471,87800,
23/01/2008,23.919,25.471,23.22,25.316,30900,
24/01/2008,23.973,24.971,23.719,24.717,37100,
25/01/2008,23.973,24.418,23.719,23.973,50000,
28/01/2008,24.219,24.717,24.118,24.418,59500,
29/01/2008,26.768,26.768,25.016,25.969,132000,
30/01/2008,29.01,29.01,28.909,29.01,200400,
31/01/2008,30.207,31.904,27.067,31.904,100400,
01/02/2008,30.461,30.96,29.463,29.717,171300,
12/02/2008,28.963,30.96,27.966,30.461,37900,
13/02/2008,28.265,29.962,28.111,28.963,50900,
14/02/2008,28.583,30.007,28.583,29.427,71700,DIVIDEND
15/02/2008,28.156,29.472,27.421,29.373,42000,
18/02/2008,26.369,26.369,25.153,26.369,70300,
19/02/2008,26.205,27.159,25.307,25.733,75700,
20/02/2008,24.254,26.632,23.674,26.369,49900,
21/02/2008,22.413,22.993,22.249,22.993,65700,
22/02/2008,22.675,23.62,20.353,20.562,76000,
25/02/2008,23.783,23.783,22.939,23.202,45600,
26/02/2008,21.887,25.834,21.36,25.834,48900,
27/02/2008,22.512,23.728,21.088,21.088,46600,
28/02/2008,22.413,23.62,22.149,23.62,37200,
29/02/2008,22.512,22.567,21.887,22.567,34300,
03/03/2008,20.879,22.413,20.562,22.413,69800,
04/03/2008,18.829,20.144,18.829,20.144,34300,
05/03/2008,18.456,20.516,17.032,17.141,84000,
06/03/2008,19.355,19.355,19.355,19.355,700,
07/03/2008,21.251,21.251,21.251,21.251,13900,
10/03/2008,22.194,23.356,21.36,23.356,175600,
11/03/2008,21.305,22.776,21.197,22.675,58000,
12/03/2008,21.932,23.147,21.088,21.514,44400,
13/03/2008,22.149,22.776,21.932,22.776,26000,
14/03/2008,22.04,22.149,21.887,22.149,21500,
17/03/2008,19.935,21.623,19.935,20.562,49400,
18/03/2008,18.565,19.246,18.247,18.247,61200,
19/03/2008,18.511,20.035,18.348,18.565,62100,
20/03/2008,18.829,19.772,18.565,19.509,33400,
21/03/2008,18.293,18.565,17.93,18.511,36400,
24/03/2008,16.714,17.821,16.505,17.558,95800,
25/03/2008,15.081,15.344,14.972,15.344,87500,
26/03/2008,16.559,16.559,13.711,13.711,98400,
27/03/2008,16.769,16.769,16.769,16.769,100,
28/03/2008,17.086,17.086,17.086,17.086,800,
31/03/2008,17.403,17.403,17.403,17.403,1600,
01/04/2008,17.721,17.721,17.721,17.721,100,
02/04/2008,18.03,18.03,18.03,18.03,100,
03/04/2008,18.348,18.348,18.348,18.348,300,
04/04/2008,18.665,18.665,18.665,18.665,1000,
07/04/2008,19.192,19.192,19.192,19.192,10500,
08/04/2008,19.718,19.718,18.774,19.718,202600,
09/04/2008,18.983,20.035,18.983,19.718,54300,
10/04/2008,18.774,18.774,18.774,18.774,4400,
11/04/2008,18.774,18.774,18.247,18.247,48100,
16/04/2008,17.721,18.348,17.721,17.821,54900,
17/04/2008,18.402,18.402,17.349,17.349,46400,
18/04/2008,18.348,18.348,17.612,18.348,53600,
21/04/2008,18.293,18.774,17.93,18.719,45500,
22/04/2008,17.876,18.084,17.667,17.93,33200,
23/04/2008,17.295,17.667,17.295,17.403,43300,
24/04/2008,16.823,17.721,16.823,16.823,50400,
25/04/2008,16.714,17.141,16.66,16.877,34400,
28/04/2008,17.295,17.295,16.823,16.823,4100,
29/04/2008,17.295,17.667,16.769,17.667,31100,
05/05/2008,16.922,17.295,16.922,17.295,15900,
06/05/2008,16.451,16.559,16.451,16.451,14200,
07/05/2008,15.979,15.979,15.979,15.979,6700,
08/05/2008,15.498,15.498,15.498,15.498,1600,
09/05/2008,15.081,15.081,15.081,15.081,35800,
12/05/2008,14.663,14.663,14.663,14.663,9300,
13/05/2008,14.237,14.291,14.237,14.291,23700,
14/05/2008,13.819,13.819,13.819,13.819,5600,
15/05/2008,13.447,13.447,13.447,13.447,5100,
16/05/2008,13.447,13.819,13.076,13.076,83900,
19/05/2008,12.812,13.184,12.812,13.184,32000,
20/05/2008,12.494,12.812,12.494,12.494,39800,
21/05/2008,12.131,12.131,12.131,12.131,10700,
22/05/2008,11.814,11.869,11.814,11.814,18800,
23/05/2008,11.497,11.497,11.497,11.497,48700,
26/05/2008,11.179,11.179,11.179,11.179,13100,
27/05/2008,10.862,10.862,10.862,10.862,22700,
28/05/2008,11.179,11.179,10.544,10.544,107900,
29/05/2008,11.388,11.388,11.388,11.388,2400,
30/05/2008,11.706,11.706,11.706,11.706,6200,
02/06/2008,12.023,12.023,12.023,12.023,100,
03/06/2008,12.131,12.341,11.706,12.341,113000,
04/06/2008,11.76,11.76,11.76,11.76,8300,
05/06/2008,11.706,11.968,11.442,11.442,35800,
06/06/2008,11.233,11.233,11.233,11.233,39100,
09/06/2008,10.97,11.551,10.916,10.916,41100,
10/06/2008,11.334,11.334,10.707,11.07,47900,
11/06/2008,11.288,11.288,11.233,11.233,28000,
12/06/2008,11.596,11.596,11.596,11.596,10500,
13/06/2008,11.914,11.914,11.914,11.914,25700,
16/06/2008,12.232,12.232,12.232,12.232,16000,
17/06/2008,12.549,12.549,12.549,12.549,5800,
18/06/2008,12.177,12.921,12.177,12.921,76500,
19/06/2008,12.232,12.232,12.232,12.232,12200,
20/06/2008,11.76,11.76,11.76,11.76,61200,
23/06/2008,12.177,12.177,11.334,11.76,54700,
24/06/2008,12.549,12.549,12.131,12.549,48200,
25/06/2008,13.021,13.021,12.975,12.975,36300,
26/06/2008,12.921,13.502,12.549,13.502,98000,
27/06/2008,13.13,13.239,12.341,12.758,60000,
30/06/2008,12.658,13.184,12.658,12.812,42300,
01/07/2008,13.502,13.502,13.021,13.021,164500,
02/07/2008,13.92,13.92,13.447,13.92,147400,
03/07/2008,14.391,14.391,14.028,14.182,65800,
04/07/2008,14.927,14.927,14.763,14.763,34500,
07/07/2008,14.345,15.498,14.345,15.498,231100,
08/07/2008,15.29,15.453,14.345,14.345,143500,
09/07/2008,15.344,15.344,15.29,15.29,42000,
10/07/2008,15.925,15.925,15.816,15.925,101900,
11/07/2008,16.559,16.559,16.188,16.559,81100,
14/07/2008,17.186,17.186,17.141,17.186,59100,
15/07/2008,17.876,17.876,17.876,17.876,9900,
16/07/2008,18.565,18.565,17.186,18.565,316800,
17/07/2008,18.719,18.719,18.719,18.719,91900,
18/07/2008,17.985,18.719,17.985,18.719,99300,
21/07/2008,17.403,17.403,17.403,17.403,3100,
22/07/2008,16.714,16.714,16.714,16.714,500,
23/07/2008,16.079,16.079,16.079,16.079,48200,
24/07/2008,15.453,16.714,15.453,15.453,247300,
25/07/2008,15.026,15.026,15.026,15.026,89000,
28/07/2008,15.344,15.498,14.446,14.446,75500,
29/07/2008,15.771,15.771,15.235,15.771,93600,
30/07/2008,15.29,16.297,15.135,15.816,83800,
31/07/2008,15.026,15.189,15.026,15.026,37800,
01/08/2008,14.555,15.235,14.446,14.446,47000,
04/08/2008,14.128,14.345,14.083,14.237,85300,
05/08/2008,13.602,13.602,13.602,13.602,11800,
06/08/2008,14.128,14.128,13.076,13.076,63100,
07/08/2008,14.128,14.128,14.128,14.128,3300,
08/08/2008,14.663,14.663,14.128,14.663,34700,
11/08/2008,15.235,15.235,15.235,15.235,13800,
12/08/2008,15.816,15.816,15.29,15.816,209400,
13/08/2008,16.297,16.451,15.29,16.451,66000,
14/08/2008,16.823,16.823,15.816,16.823,143000,
15/08/2008,17.186,17.186,17.186,17.186,21800,
18/08/2008,18.348,18.348,17.24,17.93,224400,
19/08/2008,16.922,19.246,16.922,19.246,86800,
20/08/2008,15.925,16.615,15.925,15.925,84700,
21/08/2008,17.186,17.186,15.189,15.552,102400,
22/08/2008,17.721,17.876,17.141,17.186,168900,
25/08/2008,18.774,18.774,17.93,18.565,140000,
26/08/2008,20.035,20.035,20.035,20.035,126000,
27/08/2008,20.298,21.406,20.035,21.406,325600,
28/08/2008,19.673,19.98,19.673,19.772,78000,
29/08/2008,20.035,20.562,18.348,18.402,238600,
03/09/2008,20.199,20.199,20.199,20.199,23200,
04/09/2008,21.569,21.569,20.035,21.569,526700,
05/09/2008,22.993,22.993,22.149,22.993,481100,
08/09/2008,22.993,24.518,21.406,24.464,191800,
09/09/2008,21.36,23.728,20.879,23.147,112500,
10/09/2008,20.824,22.149,20.824,21.36,96300,
11/09/2008,19.563,19.826,19.563,19.826,22600,
12/09/2008,18.247,18.983,18.247,18.247,331400,
15/09/2008,19.454,19.509,16.978,17.032,241700,
16/09/2008,18.193,18.665,17.403,18.665,181600,
17/09/2008,16.877,17.93,16.66,17.93,196800,
18/09/2008,16.188,16.242,16.188,16.242,62100,
19/09/2008,17.295,17.295,15.081,15.344,41600,
22/09/2008,17.667,17.667,17.667,17.667,5000,
23/09/2008,17.403,18.774,16.451,17.558,207800,
24/09/2008,17.141,17.766,16.66,17.141,79600,
25/09/2008,18.402,18.402,17.141,17.141,129200,
26/09/2008,18.874,19.355,18.193,19.3,140900,
29/09/2008,18.456,20.461,17.985,19.772,84600,
30/09/2008,17.821,17.821,17.821,17.821,4100,
01/10/2008,17.821,18.774,16.877,18.456,114500,
02/10/2008,17.821,18.565,17.403,18.03,83100,
03/10/2008,17.667,17.821,17.141,17.766,47800,
06/10/2008,16.342,17.032,16.342,17.032,73100,
