transDate,close,high,low,open,volume,event
11/07/2014,7.494,7.494,7.494,7.494,0,
14/07/2014,7.494,7.494,7.494,7.494,0,
15/07/2014,7.494,7.494,7.494,7.494,0,
16/07/2014,7.494,7.494,7.494,7.494,0,
17/07/2014,7.494,7.494,7.494,7.494,0,
18/07/2014,7.494,7.494,7.494,7.494,0,
21/07/2014,7.494,7.494,7.494,7.494,0,
22/07/2014,7.494,7.494,7.494,7.494,0,
23/07/2014,7.494,7.494,7.494,7.494,0,
24/07/2014,7.494,7.494,7.494,7.494,0,
25/07/2014,7.494,7.494,7.494,7.494,0,
28/07/2014,7.494,7.494,7.494,7.494,0,
29/07/2014,7.494,7.494,7.494,7.494,0,
30/07/2014,6.669,6.669,6.669,6.669,10000,
31/07/2014,6.669,6.669,6.669,6.669,0,
01/08/2014,6.069,7.268,6.069,7.268,10200,
04/08/2014,7.268,7.268,7.268,7.268,0,
05/08/2014,7.268,7.268,7.268,7.268,0,
06/08/2014,7.268,7.268,7.268,7.268,0,
07/08/2014,7.268,7.268,7.268,7.268,0,
08/08/2014,7.268,7.268,7.268,7.268,0,
11/08/2014,7.494,7.494,6.594,6.594,8212900,
12/08/2014,7.494,7.494,7.494,7.494,0,
13/08/2014,7.494,7.494,7.494,7.494,0,
14/08/2014,7.494,7.494,7.494,7.494,0,
15/08/2014,7.494,7.494,7.494,7.494,0,
18/08/2014,7.494,7.494,7.494,7.494,0,
19/08/2014,7.494,7.494,7.494,7.494,0,
20/08/2014,7.494,7.494,7.494,7.494,0,
21/08/2014,7.494,7.494,7.494,7.494,0,
22/08/2014,7.494,7.494,7.494,7.494,0,
25/08/2014,6.744,6.744,6.744,6.744,200,
26/08/2014,6.069,6.069,6.069,6.069,100,
27/08/2014,5.471,5.471,5.471,5.471,100,
28/08/2014,4.946,4.946,4.946,4.946,100,
29/08/2014,4.646,4.646,4.646,4.646,100,
03/09/2014,4.271,4.271,4.271,4.271,600,
04/09/2014,4.646,4.646,4.047,4.047,200,
05/09/2014,4.72,4.72,4.72,4.72,100,
08/09/2014,5.171,5.171,4.347,4.347,200,
09/09/2014,4.795,4.795,4.795,4.795,0,
10/09/2014,4.795,4.795,4.795,4.795,0,
11/09/2014,4.795,4.795,4.795,4.795,0,
12/09/2014,4.496,4.496,4.347,4.347,300,
15/09/2014,4.795,4.795,4.795,4.795,100,
16/09/2014,4.795,4.795,4.795,4.795,0,
17/09/2014,5.245,5.245,5.245,5.245,100,
18/09/2014,5.769,5.769,5.769,5.769,100,
19/09/2014,5.769,5.769,5.769,5.769,0,
22/09/2014,5.995,5.995,5.995,5.995,100,
23/09/2014,5.995,5.995,5.995,5.995,0,
24/09/2014,5.396,5.396,5.396,5.396,100,
25/09/2014,5.62,5.62,5.62,5.62,100,
26/09/2014,5.62,5.62,5.62,5.62,0,
29/09/2014,5.62,5.62,5.62,5.62,0,
30/09/2014,5.62,5.62,5.62,5.62,0,
01/10/2014,5.62,5.62,5.62,5.62,0,
02/10/2014,5.095,5.095,5.095,5.095,2000,
03/10/2014,4.646,4.646,4.646,4.646,100,
06/10/2014,4.347,4.646,4.196,4.196,3600,
07/10/2014,4.795,4.795,4.795,4.795,500,
08/10/2014,4.347,4.347,4.347,4.347,3000,
