transDate,close,high,low,open,volume,event
28/07/2000,2.089,2.089,2.089,2.089,1000,
31/07/2000,2.107,2.107,2.107,2.107,300,
02/08/2000,2.12,2.12,2.12,2.12,100,
04/08/2000,2.132,2.132,2.132,2.132,200,
07/08/2000,2.15,2.15,2.15,2.15,2800,
09/08/2000,2.163,2.163,2.163,2.163,500,
11/08/2000,2.181,2.181,2.181,2.181,11000,
14/08/2000,2.192,2.192,2.192,2.192,7800,
16/08/2000,2.212,2.212,2.212,2.212,7100,
18/08/2000,2.224,2.224,2.224,2.224,3100,
21/08/2000,2.243,2.243,2.243,2.243,10100,
23/08/2000,2.255,2.255,2.255,2.255,42200,
25/08/2000,2.243,2.243,2.243,2.243,18900,
28/08/2000,2.224,2.224,2.224,2.224,36500,
30/08/2000,2.212,2.212,2.212,2.212,9700,
01/09/2000,2.192,2.192,2.192,2.192,25500,
06/09/2000,2.181,2.181,2.181,2.181,2800,
08/09/2000,2.163,2.163,2.163,2.163,35900,
11/09/2000,2.181,2.181,2.181,2.181,26500,
13/09/2000,2.192,2.192,2.192,2.192,1400,
15/09/2000,2.212,2.212,2.212,2.212,35200,
18/09/2000,2.192,2.192,2.192,2.192,12600,
20/09/2000,2.212,2.212,2.212,2.212,8800,
22/09/2000,2.192,2.192,2.192,2.192,7100,
25/09/2000,2.192,2.192,2.192,2.192,7300,
27/09/2000,2.192,2.192,2.192,2.192,18700,
29/09/2000,2.201,2.201,2.201,2.201,18500,
02/10/2000,2.201,2.201,2.201,2.201,19200,
04/10/2000,2.201,2.201,2.201,2.201,17100,
06/10/2000,2.201,2.201,2.201,2.201,16200,
09/10/2000,2.218,2.218,2.218,2.218,9400,
11/10/2000,2.229,2.229,2.229,2.229,12600,
13/10/2000,2.243,2.243,2.243,2.243,35400,
16/10/2000,2.262,2.262,2.262,2.262,7400,
18/10/2000,2.273,2.273,2.273,2.273,12100,
20/10/2000,2.291,2.291,2.291,2.291,19900,
23/10/2000,2.31,2.31,2.31,2.31,18700,
25/10/2000,2.328,2.328,2.328,2.328,13500,
27/10/2000,2.353,2.353,2.353,2.353,43000,
30/10/2000,2.353,2.353,2.353,2.353,42200,
01/11/2000,2.372,2.372,2.372,2.372,50800,
03/11/2000,2.391,2.391,2.391,2.391,13900,
06/11/2000,2.408,2.408,2.408,2.408,3100,
08/11/2000,2.433,2.433,2.433,2.433,12700,
10/11/2000,2.452,2.452,2.452,2.452,4700,
13/11/2000,2.47,2.47,2.47,2.47,800,
15/11/2000,2.488,2.488,2.488,2.488,200,
17/11/2000,2.514,2.514,2.514,2.514,8300,
20/11/2000,2.532,2.532,2.532,2.532,7200,
22/11/2000,2.556,2.556,2.556,2.556,59700,
24/11/2000,2.582,2.582,2.582,2.582,56700,
27/11/2000,2.606,2.606,2.606,2.606,48500,
29/11/2000,2.631,2.631,2.631,2.631,23900,
01/12/2000,2.656,2.656,2.656,2.656,5900,
04/12/2000,2.679,2.679,2.679,2.679,5000,
06/12/2000,2.705,2.705,2.705,2.705,5000,
08/12/2000,2.73,2.73,2.73,2.73,1200,
11/12/2000,2.753,2.753,2.753,2.753,4500,
13/12/2000,2.779,2.779,2.779,2.779,19100,
15/12/2000,2.803,2.803,2.803,2.803,10500,
18/12/2000,2.834,2.834,2.834,2.834,1500,
20/12/2000,2.865,2.865,2.865,2.865,400,
22/12/2000,2.895,2.895,2.895,2.895,7300,
25/12/2000,2.926,2.926,2.926,2.926,700,
27/12/2000,2.908,2.908,2.908,2.908,5400,
29/12/2000,2.939,2.939,2.939,2.939,7800,
03/01/2001,2.963,2.963,2.963,2.963,7500,
05/01/2001,2.995,2.995,2.995,2.995,6800,
08/01/2001,3.031,3.031,3.031,3.031,16200,
10/01/2001,3.056,3.056,3.056,3.056,8500,
12/01/2001,3.092,3.092,3.092,3.092,26500,
15/01/2001,3.13,3.13,3.13,3.13,18600,
17/01/2001,3.167,3.167,3.167,3.167,10500,
19/01/2001,3.198,3.198,3.198,3.198,200,
29/01/2001,3.235,3.235,3.235,3.235,500,
31/01/2001,3.271,3.271,3.271,3.271,400,
02/02/2001,3.303,3.303,3.303,3.303,200,
05/02/2001,3.345,3.345,3.345,3.345,600,
07/02/2001,3.389,3.389,3.389,3.389,600,
09/02/2001,3.345,3.345,3.345,3.345,145800,
12/02/2001,3.303,3.303,3.303,3.303,52900,
14/02/2001,3.265,3.265,3.265,3.265,33700,
16/02/2001,3.229,3.229,3.229,3.229,7400,
19/02/2001,3.198,3.198,3.198,3.198,10700,
21/02/2001,3.229,3.229,3.229,3.229,102200,
23/02/2001,3.265,3.265,3.265,3.265,28400,
26/02/2001,3.303,3.303,3.303,3.303,11100,
