transDate,close,high,low,open,volume,event
27/05/2016,10.225,10.487,9.897,10.487,94010,
30/05/2016,10.358,10.816,10.225,10.816,16090,
31/05/2016,10.487,10.487,9.963,10.487,1330,
01/06/2016,10.358,10.358,10.095,10.095,6500,
02/06/2016,10.292,10.292,10.095,10.159,9280,
03/06/2016,9.963,10.159,9.963,9.963,10030,
06/06/2016,9.963,9.963,9.897,9.963,14060,
07/06/2016,9.897,9.963,9.833,9.833,2210,
08/06/2016,9.833,9.833,9.7,9.833,12900,
09/06/2016,9.635,9.7,9.635,9.7,10430,
10/06/2016,9.572,9.572,9.572,9.572,26600,
13/06/2016,9.572,9.635,9.309,9.635,8130,
14/06/2016,9.374,9.374,9.374,9.374,2100,
15/06/2016,9.374,9.374,9.374,9.374,0,
16/06/2016,9.766,9.833,9.309,9.833,2220,
17/06/2016,9.7,9.7,9.309,9.44,1760,
20/06/2016,9.833,9.833,9.833,9.833,10,
21/06/2016,9.833,9.833,9.833,9.833,0,
22/06/2016,9.833,9.833,9.309,9.374,6730,
23/06/2016,9.833,9.833,9.505,9.505,1510,
24/06/2016,9.505,9.572,9.505,9.572,2050,
27/06/2016,9.833,9.833,8.914,8.914,6010,
28/06/2016,9.243,9.505,9.243,9.309,1710,
29/06/2016,9.243,9.44,9.243,9.44,110,
30/06/2016,9.44,9.44,9.177,9.177,2550,
01/07/2016,9.177,9.309,9.177,9.309,3310,
04/07/2016,9.243,9.243,8.979,8.979,130,
05/07/2016,9.177,9.243,9.047,9.243,7510,
06/07/2016,9.309,9.309,9.047,9.177,2280,
07/07/2016,9.047,9.309,9.047,9.309,350,
08/07/2016,9.177,9.309,9.177,9.309,6500,
11/07/2016,8.652,9.505,8.652,9.177,105670,
12/07/2016,8.979,9.243,8.979,9.177,7670,
13/07/2016,9.572,9.572,8.979,8.979,71100,
14/07/2016,9.177,9.635,9.177,9.635,120,
15/07/2016,9.177,9.177,9.177,9.177,20,
18/07/2016,9.505,9.505,9.112,9.243,26050,
19/07/2016,9.177,9.7,9.177,9.7,390,
20/07/2016,9.243,9.505,9.243,9.243,24930,
21/07/2016,9.243,9.505,9.177,9.505,44860,
22/07/2016,9.44,9.44,9.177,9.177,8030,
25/07/2016,9.309,9.572,9.309,9.505,34500,
26/07/2016,9.505,9.635,9.309,9.505,80480,
27/07/2016,9.766,9.766,9.309,9.374,520,
28/07/2016,9.44,9.44,9.374,9.374,20,
29/07/2016,9.572,9.635,9.309,9.635,7470,
01/08/2016,9.505,9.963,9.309,9.963,20410,
02/08/2016,9.309,9.309,9.309,9.309,10,
03/08/2016,9.44,9.44,9.177,9.177,2010,
04/08/2016,9.44,9.44,9.44,9.44,9010,
05/08/2016,9.44,9.44,9.309,9.309,1010,
08/08/2016,9.505,9.505,9.177,9.177,9140,
09/08/2016,9.572,9.572,9.243,9.243,10730,
10/08/2016,9.505,9.505,9.505,9.505,10000,
11/08/2016,9.572,9.572,9.505,9.572,13020,
12/08/2016,9.572,9.572,9.572,9.572,3010,
15/08/2016,9.309,9.309,9.309,9.309,1000,
16/08/2016,9.309,9.635,9.309,9.505,48300,
17/08/2016,9.505,9.505,9.505,9.505,12010,
18/08/2016,9.505,9.572,9.505,9.505,13300,
19/08/2016,9.505,10.159,9.505,10.159,23340,
22/08/2016,9.505,9.505,9.505,9.505,0,
23/08/2016,9.505,9.963,9.505,9.963,20,
24/08/2016,9.505,9.505,9.505,9.505,8000,
25/08/2016,9.505,9.505,9.505,9.505,12540,
26/08/2016,9.505,9.505,9.505,9.505,6150,
29/08/2016,9.505,9.505,9.505,9.505,2000,
30/08/2016,9.897,9.897,9.635,9.635,27460,
31/08/2016,10.029,10.029,9.897,9.897,450,
01/09/2016,9.897,10.029,9.897,10.029,15010,
05/09/2016,9.897,10.159,9.897,10.159,1110,
06/09/2016,10.487,10.487,10.095,10.095,47060,
07/09/2016,10.159,10.816,10.159,10.487,19460,
08/09/2016,10.095,10.422,9.963,9.963,2880,
09/09/2016,10.095,10.095,10.095,10.095,1000,
12/09/2016,10.095,10.095,10.095,10.095,5550,
