transDate,close,high,low,open,volume,event
28/12/2006,4.736,4.736,4.736,4.736,1000,
29/12/2006,4.974,4.974,4.974,4.974,15000,
02/01/2007,5.222,5.222,4.974,5.222,11600,
03/01/2007,5.482,5.482,5.482,5.482,13620,
04/01/2007,5.755,5.755,5.755,5.755,20850,
05/01/2007,5.92,6.038,5.92,6.038,13180,
08/01/2007,5.625,5.625,5.625,5.625,9300,
09/01/2007,5.352,5.506,5.352,5.506,1590,
10/01/2007,5.091,5.103,5.091,5.103,8770,
11/01/2007,4.843,4.974,4.843,4.974,9330,
12/01/2007,4.607,4.607,4.607,4.607,13950,
15/01/2007,4.736,4.807,4.607,4.607,8650,
16/01/2007,6.093,6.093,5.805,5.805,11870,
17/01/2007,6.093,6.399,6.093,6.093,11150,
18/01/2007,5.805,5.805,5.789,5.805,2200,
19/01/2007,5.936,5.936,5.805,5.805,3410,
22/01/2007,5.644,5.644,5.644,5.644,7540,
23/01/2007,5.588,5.588,5.369,5.588,4980,
24/01/2007,5.369,5.516,5.369,5.516,3280,
25/01/2007,5.298,5.369,5.268,5.369,3710,
26/01/2007,5.298,5.369,5.298,5.298,5830,
29/01/2007,5.081,5.441,5.081,5.298,15800,
30/01/2007,5.326,5.326,5.326,5.326,1000,
31/01/2007,5.588,5.588,5.516,5.516,780,
01/02/2007,5.864,5.864,5.864,5.864,730,
02/02/2007,6.125,6.125,6.125,6.125,1350,
05/02/2007,5.817,6.122,5.817,6.122,9750,
06/02/2007,6.093,6.093,6.093,6.093,8000,
07/02/2007,6.093,6.311,6.093,6.093,14700,
08/02/2007,5.876,6.24,5.876,6.093,11750,
09/02/2007,5.588,5.821,5.588,5.821,6980,
12/02/2007,5.864,5.864,5.805,5.805,4410,
13/02/2007,5.979,6.093,5.979,5.979,5080,
14/02/2007,6.093,6.137,6.023,6.023,9500,
15/02/2007,6.093,6.137,6.093,6.093,5050,
26/02/2007,6.24,6.24,6.093,6.093,4800,
27/02/2007,6.386,6.545,6.386,6.386,27950,
28/02/2007,6.702,6.702,6.675,6.675,24660,
01/03/2007,7.038,7.038,7.038,7.038,52880,
02/03/2007,7.255,7.327,7.038,7.038,28450,
05/03/2007,7.327,7.327,7.255,7.255,33170,
06/03/2007,7.545,7.545,7.398,7.398,59090,
07/03/2007,7.909,7.909,7.909,7.909,38770,
08/03/2007,8.272,8.272,7.98,7.98,54250,
09/03/2007,8.635,8.635,8.635,8.635,41500,
12/03/2007,8.996,8.996,8.996,8.996,32220,
13/03/2007,8.853,9.289,8.853,8.996,32020,
14/03/2007,8.418,8.853,8.418,8.853,16310,
15/03/2007,8.126,8.126,8.126,8.126,3580,
16/03/2007,7.763,7.837,7.763,7.837,10370,
19/03/2007,8.126,8.126,7.98,7.98,15750,
20/03/2007,8.489,8.489,8.489,8.489,22150,
21/03/2007,8.489,8.561,8.489,8.489,22620,
22/03/2007,8.126,8.489,8.126,8.489,5450,
23/03/2007,7.763,8.126,7.763,8.126,13900,
26/03/2007,7.398,7.473,7.398,7.473,7890,
27/03/2007,7.038,7.398,7.038,7.398,310,
28/03/2007,6.69,6.69,6.69,6.69,10510,
29/03/2007,7.023,7.023,6.371,6.69,16400,
30/03/2007,7.327,7.327,7.327,7.327,11310,
02/04/2007,6.964,6.964,6.964,6.964,8670,
03/04/2007,6.619,6.619,6.619,6.619,4900,
04/04/2007,6.935,6.935,6.675,6.675,15220,
05/04/2007,6.935,7.182,6.935,6.935,12360,
06/04/2007,6.675,6.675,6.603,6.675,13370,
09/04/2007,6.675,6.675,6.675,6.675,6400,
10/04/2007,6.675,6.675,6.529,6.675,2110,
11/04/2007,6.675,6.675,6.529,6.675,7520,
12/04/2007,6.125,6.675,6.125,6.125,6600,DIVIDEND
13/04/2007,5.817,5.817,5.817,5.817,2460,
16/04/2007,5.529,5.659,5.529,5.529,9000,
17/04/2007,5.255,5.529,5.255,5.255,5800,
18/04/2007,5.516,5.516,5.005,5.255,9470,
19/04/2007,5.588,5.789,5.588,5.588,14480,
20/04/2007,5.31,5.513,5.31,5.31,4150,
23/04/2007,5.224,5.224,5.066,5.224,4000,
24/04/2007,5.369,5.369,5.224,5.224,2300,
25/04/2007,5.369,5.369,5.168,5.369,7080,
02/05/2007,5.165,5.441,5.165,5.165,900,
03/05/2007,5.224,5.369,5.224,5.224,1450,
04/05/2007,5.224,5.224,5.168,5.224,1770,
07/05/2007,5.224,5.268,5.224,5.224,4510,
08/05/2007,5.485,5.485,5.485,5.485,8650,
09/05/2007,5.659,5.745,5.659,5.659,14310,
10/05/2007,5.441,5.441,5.414,5.441,2030,
11/05/2007,5.516,5.516,5.369,5.441,1190,
14/05/2007,5.659,5.659,5.659,5.659,950,
15/05/2007,5.732,5.805,5.732,5.732,7030,
16/05/2007,5.659,5.732,5.659,5.659,4500,
17/05/2007,5.456,5.513,5.382,5.456,3100,
18/05/2007,5.456,5.513,5.441,5.456,7720,
21/05/2007,5.456,5.513,5.456,5.456,8210,
22/05/2007,5.485,5.513,5.456,5.456,10490,
23/05/2007,5.745,5.745,5.745,5.745,9350,
24/05/2007,5.805,6.023,5.805,5.805,18650,
25/05/2007,5.732,5.805,5.659,5.732,5120,
28/05/2007,5.805,5.805,5.732,5.732,6730,
29/05/2007,5.991,5.991,5.948,5.948,16750,
30/05/2007,5.805,5.951,5.732,5.805,5440,
31/05/2007,5.92,5.92,5.687,5.805,2400,
01/06/2007,6.209,6.209,6.093,6.093,13220,
04/06/2007,6.515,6.515,6.485,6.485,20970,
05/06/2007,6.836,6.836,6.836,6.836,21040,
06/06/2007,7.17,7.17,7.17,7.17,25290,
07/06/2007,7.473,7.473,7.473,7.473,46750,
08/06/2007,7.11,7.545,7.11,7.473,35140,
11/06/2007,6.762,6.762,6.762,6.762,2650,
12/06/2007,6.79,6.79,6.427,6.762,23880,
13/06/2007,6.964,6.964,6.893,6.893,13440,
14/06/2007,7.038,7.038,7.038,7.038,13350,
15/06/2007,6.69,6.967,6.69,6.967,4770,
18/06/2007,6.414,6.603,6.414,6.603,6450,
19/06/2007,6.414,6.414,6.414,6.414,7520,
