transDate,close,high,low,open,volume,event
16/04/2015,23.159,23.159,23.159,23.159,207100,
17/04/2015,23.752,25.459,23.752,25.385,513900,
20/04/2015,26.573,26.723,21.971,26.649,444100,
21/04/2015,24.494,24.494,22.046,24.494,68400,
22/04/2015,24.42,24.42,22.342,23.826,102000,
23/04/2015,22.564,23.752,22.417,23.752,56200,
24/04/2015,22.564,24.42,22.564,24.42,54300,
27/04/2015,23.679,23.679,22.491,22.638,53400,
04/05/2015,22.268,23.233,22.268,22.714,42900,
05/05/2015,22.564,22.638,22.564,22.638,300,
06/05/2015,22.268,22.861,20.412,22.861,34400,
07/05/2015,22.268,23.085,20.782,23.085,32500,
08/05/2015,22.564,22.564,20.782,21.006,40200,
11/05/2015,20.782,22.787,20.782,22.342,21300,
12/05/2015,21.081,21.081,20.487,20.561,28900,
13/05/2015,21.081,22.194,20.782,20.782,23700,
14/05/2015,20.932,20.932,20.116,20.116,5100,
15/05/2015,20.412,21.155,19.298,21.081,8200,
18/05/2015,20.264,20.264,20.042,20.042,10000,
19/05/2015,20.042,20.189,20.042,20.042,7600,
20/05/2015,20.042,20.487,19.595,19.967,18900,
21/05/2015,19.893,19.893,19.374,19.374,8100,
22/05/2015,19.818,19.967,19.818,19.893,14700,
25/05/2015,19.298,20.338,19.298,19.818,20600,
26/05/2015,19.818,21.452,18.631,20.042,9200,
27/05/2015,19.448,20.189,19.448,19.448,9400,
28/05/2015,19.967,19.967,18.927,18.927,10500,
29/05/2015,21.229,21.304,20.042,20.042,13000,
01/06/2015,20.709,21.452,20.042,21.376,26500,
02/06/2015,20.042,20.561,20.042,20.042,16600,
03/06/2015,20.042,21.081,20.042,20.042,32300,
04/06/2015,20.412,21.006,19.744,21.006,36400,
05/06/2015,20.782,21.229,20.782,21.229,24000,
08/06/2015,19.67,20.709,19.67,20.412,19000,
09/06/2015,19.298,20.561,19.298,20.561,18200,
10/06/2015,19.67,20.338,19.374,20.338,47100,
11/06/2015,19.67,20.338,19.298,20.338,21000,
12/06/2015,19.744,20.116,19.744,20.116,25500,
15/06/2015,19.67,19.893,19.298,19.374,28200,
16/06/2015,20.189,20.189,19.893,19.893,13000,
17/06/2015,20.189,20.189,20.189,20.189,0,
18/06/2015,19.744,19.893,19.744,19.744,26300,
19/06/2015,19.893,19.967,19.744,19.744,42300,
