transDate,close,high,low,open,volume,event
16/02/2017,6.093,6.093,5.803,6.093,1900,
17/02/2017,6.093,6.093,5.803,5.803,3900,
20/02/2017,6.093,6.093,6.093,6.093,100,
21/02/2017,6.093,6.093,6.093,6.093,0,
22/02/2017,6.093,6.093,5.803,5.803,1800,
23/02/2017,6.093,6.093,6.093,6.093,100,
24/02/2017,6.093,6.093,6.093,6.093,400,
27/02/2017,6.093,6.093,6.093,6.093,0,
28/02/2017,6.093,6.093,6.093,6.093,1600,
01/03/2017,6.093,6.093,6.093,6.093,0,
02/03/2017,6.093,6.093,6.093,6.093,0,
03/03/2017,6.093,6.093,6.093,6.093,0,
06/03/2017,6.036,6.036,6.036,6.036,100,
07/03/2017,6.036,6.036,6.036,6.036,0,
08/03/2017,6.036,6.036,6.036,6.036,0,
09/03/2017,6.036,6.036,6.036,6.036,0,
10/03/2017,5.803,5.803,5.803,5.803,300,
13/03/2017,5.746,5.803,5.746,5.803,3100,
14/03/2017,5.746,5.746,5.746,5.746,100,
15/03/2017,5.746,5.746,5.746,5.746,0,
16/03/2017,5.63,5.63,5.63,5.63,100,
17/03/2017,5.63,5.63,5.63,5.63,0,
20/03/2017,5.63,5.63,5.63,5.63,0,
21/03/2017,5.224,5.224,5.224,5.224,800,
22/03/2017,5.224,5.224,5.224,5.224,100,
23/03/2017,5.978,5.978,5.978,5.978,100,
24/03/2017,5.978,5.978,5.978,5.978,0,
27/03/2017,5.978,5.978,5.978,5.978,32,
28/03/2017,5.978,5.978,5.978,5.978,0,
29/03/2017,5.978,5.978,5.978,5.978,0,
30/03/2017,5.978,5.978,5.978,5.978,132,
31/03/2017,5.978,5.978,5.978,5.978,0,
03/04/2017,5.861,5.861,5.861,5.861,100,
04/04/2017,5.861,5.861,5.861,5.861,100,
05/04/2017,5.861,5.861,5.861,5.861,0,
07/04/2017,5.861,5.861,5.861,5.861,0,
10/04/2017,5.861,5.861,5.861,5.861,0,
11/04/2017,5.92,5.92,5.92,5.92,100,
12/04/2017,5.92,5.92,5.92,5.92,0,
13/04/2017,5.92,5.92,5.92,5.92,0,
14/04/2017,5.92,5.92,5.92,5.92,0,
17/04/2017,5.92,5.92,5.92,5.92,0,
18/04/2017,5.803,5.861,5.803,5.861,200,
19/04/2017,5.861,5.861,5.861,5.861,0,
20/04/2017,5.861,5.861,5.861,5.861,0,
21/04/2017,5.861,5.861,5.861,5.861,0,
24/04/2017,5.861,5.861,5.861,5.861,0,
25/04/2017,5.861,5.861,5.861,5.861,0,
26/04/2017,5.861,5.861,5.861,5.861,0,
27/04/2017,5.861,5.861,5.861,5.861,0,
28/04/2017,5.861,5.861,5.861,5.861,0,
03/05/2017,5.861,5.861,5.861,5.861,0,
04/05/2017,5.861,5.861,5.861,5.861,0,
05/05/2017,6.093,6.093,6.036,6.036,10000,
08/05/2017,6.093,6.093,6.093,6.093,11000,
09/05/2017,6.093,6.093,6.093,6.093,8000,
10/05/2017,5.861,5.861,5.861,5.861,2400,
11/05/2017,5.861,5.861,5.861,5.861,0,
12/05/2017,5.281,5.281,5.281,5.281,100,
15/05/2017,6.018,6.018,5.281,6.018,400,DIVIDEND
16/05/2017,6.51,6.51,6.51,6.51,100,
17/05/2017,6.51,6.51,6.51,6.51,0,
18/05/2017,6.51,6.51,6.51,6.51,0,
19/05/2017,6.141,6.203,6.141,6.203,15200,
22/05/2017,6.141,6.141,6.141,6.141,0,
23/05/2017,6.141,6.141,6.141,6.141,0,
24/05/2017,6.141,6.141,6.141,6.141,0,
25/05/2017,6.448,6.448,6.141,6.141,500,
26/05/2017,6.326,6.326,6.326,6.326,0,
29/05/2017,6.326,6.326,6.326,6.326,0,
30/05/2017,6.326,6.326,6.326,6.326,0,
31/05/2017,6.326,6.326,6.326,6.326,0,
01/06/2017,6.326,6.326,6.326,6.326,0,
02/06/2017,6.141,6.141,6.141,6.141,200,
05/06/2017,6.141,6.141,6.141,6.141,0,
06/06/2017,6.448,6.448,6.448,6.448,1000,
07/06/2017,6.448,6.448,6.448,6.448,0,
08/06/2017,6.448,6.448,6.448,6.448,0,
09/06/2017,6.448,6.448,6.448,6.448,0,
12/06/2017,6.448,6.448,6.448,6.448,0,
13/06/2017,6.448,6.448,6.448,6.448,0,
14/06/2017,6.448,6.448,6.448,6.448,0,
15/06/2017,6.448,6.448,6.448,6.448,0,
16/06/2017,6.448,6.448,6.448,6.448,0,
19/06/2017,6.448,6.448,6.448,6.448,0,
20/06/2017,6.448,6.448,6.448,6.448,0,
21/06/2017,6.448,6.448,6.448,6.448,0,
22/06/2017,6.448,6.448,6.448,6.448,0,DIVIDEND
23/06/2017,6.448,6.448,6.448,6.448,0,
26/06/2017,6.448,6.448,6.448,6.448,8900,
27/06/2017,6.448,6.448,6.448,6.448,0,
28/06/2017,6.448,6.448,6.448,6.448,0,
29/06/2017,6.448,6.448,6.448,6.448,0,
30/06/2017,6.448,6.448,6.448,6.448,0,
03/07/2017,6.448,6.448,6.448,6.448,0,
04/07/2017,6.448,6.448,6.448,6.448,0,
05/07/2017,6.448,6.448,6.448,6.448,0,
06/07/2017,6.448,6.448,6.448,6.448,0,
07/07/2017,6.448,6.448,6.448,6.448,0,
10/07/2017,6.196,6.386,6.196,6.386,200,
11/07/2017,6.322,6.322,6.322,6.322,0,
12/07/2017,7.271,7.271,7.271,7.271,22500,
13/07/2017,8.218,8.218,8.218,8.218,100,
14/07/2017,9.419,9.419,8.724,8.724,400,
17/07/2017,10.43,10.43,10.43,10.43,100,
18/07/2017,10.43,10.43,10.43,10.43,0,
19/07/2017,10.43,10.43,10.43,10.43,0,
20/07/2017,10.43,10.43,10.43,10.43,0,
21/07/2017,10.43,10.43,10.43,10.43,0,
24/07/2017,10.43,10.43,10.43,10.43,0,
25/07/2017,10.43,10.43,10.43,10.43,0,
26/07/2017,10.43,10.43,10.43,10.43,0,
27/07/2017,10.43,10.43,10.43,10.43,0,
28/07/2017,10.43,10.43,10.43,10.43,0,
31/07/2017,10.43,10.43,10.43,10.43,0,
01/08/2017,10.43,10.43,10.43,10.43,0,
02/08/2017,10.43,10.43,10.43,10.43,0,
03/08/2017,10.43,10.43,10.43,10.43,0,
04/08/2017,10.43,10.43,10.43,10.43,0,
07/08/2017,10.43,10.43,10.43,10.43,0,
08/08/2017,10.43,10.43,10.43,10.43,0,
09/08/2017,10.43,10.43,10.43,10.43,0,
10/08/2017,10.43,10.43,10.43,10.43,0,
11/08/2017,10.43,10.43,10.43,10.43,0,
14/08/2017,11.379,11.379,10.62,10.62,400,
15/08/2017,10.747,10.747,10.747,10.747,100,
16/08/2017,10.747,10.747,10.747,10.747,0,
17/08/2017,11.379,11.379,11.063,11.063,200,
18/08/2017,11.253,11.253,11.253,11.253,0,
21/08/2017,11.253,11.253,11.253,11.253,0,
22/08/2017,11.253,11.253,11.253,11.253,0,
23/08/2017,11.253,11.253,11.253,11.253,0,
24/08/2017,11.253,11.253,11.253,11.253,0,
25/08/2017,11.253,11.253,11.253,11.253,0,
28/08/2017,11.253,11.253,11.253,11.253,0,
29/08/2017,11.253,11.253,11.253,11.253,0,
30/08/2017,11.253,11.253,11.253,11.253,0,
31/08/2017,11.253,11.253,11.253,11.253,0,
01/09/2017,11.253,11.253,11.253,11.253,0,
05/09/2017,11.253,11.253,11.253,11.253,0,
06/09/2017,11.253,11.253,11.253,11.253,0,
07/09/2017,11.253,11.253,11.253,11.253,0,
08/09/2017,11.253,11.253,11.253,11.253,0,
11/09/2017,11.253,11.253,11.253,11.253,0,
12/09/2017,11.253,11.253,11.253,11.253,0,
13/09/2017,11.253,11.253,11.253,11.253,0,
14/09/2017,11.253,11.253,11.253,11.253,0,
15/09/2017,11.253,11.253,11.253,11.253,0,
18/09/2017,11.253,11.253,11.253,11.253,0,
19/09/2017,11.253,11.253,11.253,11.253,0,
20/09/2017,9.609,9.609,9.609,9.609,100,
21/09/2017,9.609,9.609,9.609,9.609,0,
22/09/2017,9.609,9.609,9.609,9.609,0,
25/09/2017,9.609,9.609,9.609,9.609,0,
26/09/2017,10.62,10.62,10.62,10.62,100,
27/09/2017,10.62,10.62,10.62,10.62,0,
28/09/2017,10.62,10.62,10.62,10.62,0,
29/09/2017,11.253,11.253,11.253,11.253,100,
02/10/2017,11.253,11.253,11.253,11.253,0,
03/10/2017,11.253,11.253,11.253,11.253,0,
04/10/2017,11.253,11.253,11.253,11.253,0,
05/10/2017,11.253,11.253,11.253,11.253,0,
06/10/2017,11.253,11.253,11.253,11.253,0,
09/10/2017,11.253,11.253,11.253,11.253,58,
10/10/2017,11.253,11.253,11.253,11.253,0,
11/10/2017,11.695,11.695,11.253,11.253,400,
12/10/2017,11.443,11.443,11.443,11.443,0,
13/10/2017,11.443,11.443,11.443,11.443,0,
16/10/2017,11.443,11.443,11.443,11.443,0,
17/10/2017,11.443,11.443,11.443,11.443,0,
18/10/2017,11.443,11.443,11.443,11.443,0,
19/10/2017,11.443,11.443,11.443,11.443,0,
20/10/2017,11.443,11.443,11.443,11.443,0,
23/10/2017,11.443,11.443,11.443,11.443,0,
24/10/2017,11.443,11.443,11.443,11.443,0,
25/10/2017,9.735,10.115,9.735,10.115,200,
26/10/2017,9.926,9.926,9.926,9.926,0,
27/10/2017,9.292,9.292,9.292,9.292,100,
30/10/2017,9.609,9.609,9.609,9.609,100,
31/10/2017,9.609,9.609,9.609,9.609,0,
01/11/2017,9.609,9.609,9.609,9.609,0,
02/11/2017,9.609,9.609,9.609,9.609,0,
03/11/2017,9.609,9.609,9.609,9.609,0,
06/11/2017,10.43,10.43,10.43,10.43,100,
07/11/2017,10.43,10.43,10.43,10.43,0,
08/11/2017,10.43,10.43,10.43,10.43,0,
09/11/2017,10.43,10.43,10.43,10.43,0,
10/11/2017,10.43,10.43,10.43,10.43,0,
