transDate,close,high,low,open,volume,event
17/09/2010,2.5,2.5,2.5,2.5,500,
20/09/2010,2.5,2.5,2.5,2.5,0,
21/09/2010,2.5,2.5,2.5,2.5,0,
22/09/2010,2.5,2.5,2.5,2.5,0,
23/09/2010,2.5,2.5,2.5,2.5,0,
24/09/2010,2.5,2.5,2.5,2.5,0,
27/09/2010,2.7,2.7,2.7,2.7,100,
28/09/2010,2.9,2.9,2.9,2.9,100,
29/09/2010,3.1,3.1,3.1,3.1,100,
30/09/2010,3.4,3.4,3.4,3.4,15600,
01/10/2010,3.4,3.4,3.4,3.4,0,
04/10/2010,3.7,3.7,3.7,3.7,100,
05/10/2010,4.0,4.0,4.0,4.0,100,
06/10/2010,4.4,4.4,4.4,4.4,100,
07/10/2010,4.8,4.8,4.8,4.8,100,
08/10/2010,4.8,4.8,4.8,4.8,0,
11/10/2010,5.2,5.2,5.2,5.2,15600,
12/10/2010,5.7,5.7,5.7,5.7,100,
13/10/2010,6.2,6.2,6.2,6.2,600,
14/10/2010,6.2,6.2,6.2,6.2,0,
15/10/2010,6.8,6.8,6.8,6.8,100,
18/10/2010,7.4,7.4,7.4,7.4,100,
19/10/2010,8.1,8.1,8.1,8.1,100,
20/10/2010,8.9,8.9,8.9,8.9,100,
21/10/2010,9.7,9.7,9.7,9.7,2300,
22/10/2010,10.6,10.6,10.6,10.6,100,
25/10/2010,11.6,11.6,11.6,11.6,11400,
26/10/2010,12.7,12.7,12.6,12.7,3100,
27/10/2010,12.7,12.7,12.7,12.7,0,
28/10/2010,11.5,11.5,11.5,11.5,200,
29/10/2010,11.5,11.5,11.5,11.5,5200,
01/11/2010,11.8,11.8,11.8,11.8,100,
02/11/2010,11.0,11.5,10.8,10.8,2600,
03/11/2010,10.9,10.9,10.9,10.9,0,
04/11/2010,10.9,10.9,10.9,10.9,0,
05/11/2010,11.5,11.5,11.5,11.5,200,
08/11/2010,11.0,11.0,11.0,11.0,400,
09/11/2010,11.0,11.0,11.0,11.0,300,
10/11/2010,11.1,11.1,9.9,9.9,400,
11/11/2010,11.0,11.1,11.0,11.1,200,
12/11/2010,11.0,11.0,10.1,10.1,400,
15/11/2010,10.8,10.8,10.8,10.8,0,
16/11/2010,11.1,11.1,10.8,11.0,300,
17/11/2010,11.0,11.0,11.0,11.0,0,
18/11/2010,11.0,11.0,11.0,11.0,0,
19/11/2010,11.0,11.0,11.0,11.0,3000,
22/11/2010,9.9,9.9,9.9,9.9,3600,
23/11/2010,10.8,10.8,10.8,10.8,100,
24/11/2010,10.8,10.8,10.8,10.8,0,
25/11/2010,11.0,11.0,11.0,11.0,500,
26/11/2010,11.0,11.0,11.0,11.0,0,
29/11/2010,11.0,11.0,11.0,11.0,0,
30/11/2010,11.0,11.0,11.0,11.0,300,
01/12/2010,11.0,11.0,11.0,11.0,0,
02/12/2010,11.0,11.0,11.0,11.0,0,
03/12/2010,11.0,11.0,11.0,11.0,200,
06/12/2010,11.0,11.0,11.0,11.0,0,
07/12/2010,11.0,11.0,11.0,11.0,500,
08/12/2010,11.0,11.0,11.0,11.0,1000,
09/12/2010,11.3,11.3,11.3,11.3,500,
10/12/2010,12.4,12.4,11.7,11.7,1600,
13/12/2010,13.1,13.1,13.0,13.0,300,
14/12/2010,13.9,13.9,13.9,13.9,100,
15/12/2010,15.0,15.0,15.0,15.0,200,
16/12/2010,14.0,14.0,14.0,14.0,0,DIVIDEND
17/12/2010,12.6,12.6,12.6,12.6,1800,
20/12/2010,11.4,11.4,11.4,11.4,200,
21/12/2010,10.5,10.6,10.5,10.6,1100,
22/12/2010,9.8,9.8,9.8,9.8,100,
23/12/2010,9.8,9.8,9.8,9.8,0,
24/12/2010,9.8,9.8,9.8,9.8,0,
27/12/2010,10.7,10.7,10.7,10.7,4600,
28/12/2010,10.1,10.1,10.1,10.1,100,
29/12/2010,10.1,10.1,10.1,10.1,0,
30/12/2010,9.002,9.002,9.002,9.002,0,
31/12/2010,9.002,9.002,9.002,9.002,0,
04/01/2011,9.002,9.002,9.002,9.002,0,
05/01/2011,9.804,9.804,9.804,9.804,100,
06/01/2011,10.696,10.696,10.696,10.696,100,
07/01/2011,10.696,10.696,10.696,10.696,0,
10/01/2011,10.696,10.696,10.696,10.696,0,
11/01/2011,10.696,10.696,10.696,10.696,0,
12/01/2011,10.696,10.696,10.696,10.696,0,
13/01/2011,10.696,10.696,10.696,10.696,0,
14/01/2011,10.696,10.696,10.696,10.696,0,
17/01/2011,9.626,9.715,9.626,9.715,500,
18/01/2011,9.715,9.715,9.715,9.715,0,
19/01/2011,9.715,9.715,9.715,9.715,0,
20/01/2011,9.002,9.002,9.002,9.002,100,
21/01/2011,9.002,9.002,9.002,9.002,0,
24/01/2011,8.378,8.913,8.378,8.913,600,
25/01/2011,8.646,8.646,7.933,7.933,1900,
26/01/2011,7.754,7.754,7.754,7.754,100,
27/01/2011,8.467,8.467,8.467,8.467,100,
28/01/2011,9.27,9.27,9.27,9.27,100,
08/02/2011,10.072,10.072,8.467,8.467,300,
09/02/2011,8.646,8.646,8.646,8.646,100,
10/02/2011,7.843,7.843,7.843,7.843,100,
11/02/2011,7.843,7.843,7.843,7.843,0,
14/02/2011,8.557,8.557,8.557,8.557,100,
15/02/2011,9.359,9.359,9.359,9.359,100,
16/02/2011,10.161,10.161,10.161,10.161,100,
17/02/2011,9.18,9.18,9.18,9.18,100,
18/02/2011,8.289,9.983,8.289,9.983,500,
21/02/2011,8.557,9.448,8.557,9.448,800,
22/02/2011,8.111,8.111,8.111,8.111,100,
23/02/2011,7.398,7.398,7.398,7.398,100,
