transDate,close,high,low,open,volume,event
23/07/2010,30.73,38.55,28.98,35.12,120600,
26/07/2010,28.19,30.29,28.19,30.29,8200,
27/07/2010,26.87,28.1,26.6,28.1,6000,
28/07/2010,27.22,27.66,27.22,27.66,800,
29/07/2010,25.73,28.98,25.73,28.98,10900,
30/07/2010,26.25,27.66,25.02,27.66,8200,
02/08/2010,24.23,24.59,24.23,24.59,13100,
03/08/2010,23.27,23.44,22.83,23.27,8100,
04/08/2010,22.21,22.21,21.95,21.95,2000,
05/08/2010,22.39,22.74,22.04,22.04,3600,
06/08/2010,23.18,23.8,22.3,22.39,3300,
09/08/2010,22.74,22.83,21.95,22.3,8900,
10/08/2010,21.07,21.6,21.07,21.6,18700,
11/08/2010,22.21,22.39,21.95,21.95,2500,
12/08/2010,20.72,21.95,20.72,21.95,11200,
13/08/2010,22.3,22.3,21.07,21.07,34800,
16/08/2010,23.53,23.53,22.83,22.83,11900,
17/08/2010,22.39,22.83,22.13,22.13,8000,
18/08/2010,21.07,21.25,21.07,21.25,4500,
19/08/2010,22.39,22.39,22.39,22.39,100,
20/08/2010,25.5,25.5,25.5,25.5,0,
23/08/2010,20.9,22.83,20.9,22.83,200,
24/08/2010,20.37,23.36,20.37,23.36,1600,
25/08/2010,19.32,19.32,19.32,19.32,4100,
26/08/2010,18.09,18.26,18.09,18.26,2200,
27/08/2010,17.21,18.09,17.21,17.21,3200,
30/08/2010,18.44,18.44,18.44,18.44,9400,
31/08/2010,19.49,19.67,17.56,19.49,7200,
01/09/2010,19.49,19.49,19.49,19.49,1100,
06/09/2010,19.58,20.81,19.58,19.76,37300,
07/09/2010,19.76,20.02,18.7,18.7,3800,
08/09/2010,19.49,19.58,18.44,18.44,2700,
09/09/2010,18.97,19.32,18.61,18.97,17600,
10/09/2010,20.28,20.28,20.28,20.28,67600,
13/09/2010,21.69,21.69,20.28,21.69,22900,
14/09/2010,22.83,23.0,22.57,22.83,30600,
15/09/2010,21.69,23.36,21.69,23.36,5500,
16/09/2010,21.07,21.51,21.07,21.07,7500,
17/09/2010,21.6,21.69,21.07,21.16,22000,
20/09/2010,21.07,21.51,20.2,21.51,26100,
21/09/2010,22.21,22.21,21.07,21.51,102400,
22/09/2010,23.53,23.53,22.57,23.44,91600,
23/09/2010,24.94,24.94,24.59,24.94,111300,
24/09/2010,23.97,26.43,23.8,26.34,59700,
27/09/2010,24.85,24.85,22.83,23.97,111900,
28/09/2010,23.88,25.99,23.88,24.94,41500,
29/09/2010,23.53,24.32,23.53,24.32,83000,
