transDate,close,high,low,open,volume,event
21/12/2006,8.956,9.404,8.757,8.814,13800,
22/12/2006,8.398,9.051,8.276,9.051,4600,
25/12/2006,7.841,7.841,7.841,7.841,4000,
26/12/2006,7.252,7.252,7.252,7.252,600,
27/12/2006,7.021,7.021,6.617,6.617,1800,
28/12/2006,7.021,7.245,6.707,6.707,9600,
29/12/2006,7.354,7.354,6.906,6.906,5300,
02/01/2007,7.572,7.585,7.533,7.533,5000,
03/01/2007,8.123,8.199,8.097,8.097,2700,
04/01/2007,8.578,8.578,8.513,8.513,3100,
05/01/2007,8.911,9.09,8.545,8.545,7700,
08/01/2007,8.527,8.558,8.072,8.488,11100,
09/01/2007,8.77,8.77,8.77,8.77,3600,
10/01/2007,9.001,9.122,8.706,8.706,12500,
11/01/2007,9.103,9.103,8.924,8.924,16400,
12/01/2007,9.763,9.763,9.41,9.41,4000,
15/01/2007,10.384,10.41,10.314,10.314,14300,
16/01/2007,11.23,11.23,11.23,11.23,7000,
17/01/2007,11.268,12.332,10.096,11.217,18000,
18/01/2007,11.838,12.402,11.051,11.492,19900,
19/01/2007,11.749,12.197,11.518,11.563,23200,
22/01/2007,12.03,12.37,11.806,11.806,17500,
23/01/2007,12.127,12.127,11.896,12.024,22700,
24/01/2007,12.127,12.235,12.011,12.043,14900,
25/01/2007,12.03,12.255,11.915,12.043,7100,
26/01/2007,12.267,13.196,12.095,12.095,22000,
29/01/2007,13.254,13.453,12.152,12.242,11400,
30/01/2007,14.24,14.24,14.24,14.24,1500,
31/01/2007,15.464,15.464,15.464,15.464,6200,
01/02/2007,16.823,16.823,16.823,16.823,8000,
02/02/2007,18.302,18.302,18.263,18.263,6000,
05/02/2007,19.935,19.935,19.935,19.935,15600,
06/02/2007,21.736,21.736,21.736,21.736,11900,
07/02/2007,23.709,23.709,23.709,23.709,7000,
08/02/2007,25.887,25.887,25.887,25.887,14400,
09/02/2007,26.111,28.449,23.356,25.867,17000,
12/02/2007,24.458,26.444,24.458,25.029,4000,
13/02/2007,22.71,23.741,22.71,22.76,4300,
14/02/2007,24.599,24.855,22.549,22.6,4900,
15/02/2007,26.482,26.482,26.482,26.482,3000,
26/02/2007,28.923,28.923,28.923,28.923,11200,
27/02/2007,31.62,31.62,31.492,31.492,17000,
28/02/2007,29.327,34.939,29.327,30.486,1300,
01/03/2007,29.327,31.755,29.327,30.339,3600,
02/03/2007,29.795,29.795,27.271,28.654,6100,
05/03/2007,28.378,31.626,28.378,28.59,9000,
06/03/2007,27.437,29.673,25.912,27.495,8200,
07/03/2007,25.284,27.866,25.284,26.316,4500,DIVIDEND
08/03/2007,26.719,27.854,25.695,26.207,10400,
09/03/2007,27.77,28.692,27.668,27.668,3500,
12/03/2007,28.148,28.661,27.635,28.039,1500,
13/03/2007,27.668,28.071,27.668,27.77,400,
14/03/2007,26.527,27.648,26.527,26.97,900,
15/03/2007,24.439,25.361,24.439,24.644,900,
16/03/2007,26.719,26.822,22.607,24.471,1200,
19/03/2007,27.386,27.456,25.63,25.63,9900,
20/03/2007,28.148,29.922,26.105,27.206,8200,
21/03/2007,27.194,27.706,27.194,27.565,2400,
22/03/2007,26.239,27.271,25.214,26.374,5200,
23/03/2007,25.957,26.252,25.246,25.861,5500,
26/03/2007,26.002,28.443,25.951,25.951,7500,
27/03/2007,25.669,26.79,25.253,25.81,3800,
28/03/2007,25.765,25.765,23.228,24.177,3000,
29/03/2007,26.527,26.527,26.527,26.527,1100,
30/03/2007,25.765,27.815,25.765,26.591,2300,
02/04/2007,24.618,27.174,24.618,25.041,1900,
03/04/2007,23.856,23.856,23.856,23.856,1300,
04/04/2007,23.375,24.522,22.857,23.51,11500,
05/04/2007,24.81,25.329,23.568,23.568,5600,
06/04/2007,25.002,25.002,24.798,24.798,2300,
09/04/2007,26.002,26.36,25.227,25.227,3200,
10/04/2007,26.719,28.263,26.412,26.412,5800,
11/04/2007,28.148,28.148,27.123,27.123,12600,
12/04/2007,30.403,30.403,28.769,28.769,13900,
13/04/2007,31.486,33.298,30.333,30.333,27700,
16/04/2007,29.301,32.357,29.295,31.607,10400,
17/04/2007,28.513,28.635,28.513,28.552,1000,
18/04/2007,29.531,29.531,25.63,28.071,3900,
19/04/2007,27.668,28.692,27.565,28.206,1400,
20/04/2007,28.103,28.154,27.129,27.719,1700,
23/04/2007,27.481,28.302,27.174,27.764,2200,
24/04/2007,26.719,26.925,26.719,26.751,2600,
25/04/2007,28.007,28.007,27.033,27.033,4900,
02/05/2007,27.661,29.519,26.649,27.232,2200,
03/05/2007,27.481,29.961,27.277,27.277,4100,
04/05/2007,27.481,27.585,27.481,27.52,2800,
07/05/2007,27.661,27.93,27.162,27.456,5900,
08/05/2007,28.148,28.661,27.635,27.635,11800,
09/05/2007,27.668,28.437,27.668,27.885,6800,
10/05/2007,27.289,27.783,27.065,27.289,5300,
11/05/2007,27.668,27.872,27.36,27.386,6200,
14/05/2007,28.437,28.437,27.514,27.597,12100,
15/05/2007,28.532,29.352,28.244,28.244,16900,
16/05/2007,28.532,28.635,28.481,28.539,7300,
17/05/2007,28.616,28.616,27.091,28.545,8700,
18/05/2007,31.011,31.011,28.52,28.52,27800,
21/05/2007,32.805,32.805,31.915,31.915,49200,
22/05/2007,35.259,35.88,33.292,33.292,35300,
23/05/2007,33.253,39.179,32.254,34.477,15200,
24/05/2007,31.165,33.875,30.999,31.165,5700,
25/05/2007,34.163,34.259,29.109,31.146,31900,
28/05/2007,34.163,34.868,33.875,33.875,35100,
29/05/2007,34.253,36.88,33.849,34.266,28100,
30/05/2007,33.971,35.387,33.363,34.112,13500,
31/05/2007,34.202,34.356,33.849,34.093,14500,
01/06/2007,34.061,34.868,34.061,34.195,13700,
04/06/2007,33.868,34.374,33.465,33.868,5000,
05/06/2007,33.395,33.599,32.587,33.176,11000,
06/06/2007,33.728,33.881,32.972,33.151,7200,
07/06/2007,33.67,33.881,33.375,33.651,2900,
08/06/2007,33.016,33.721,32.607,32.997,4800,
11/06/2007,33.253,33.407,32.901,32.978,6700,
12/06/2007,33.49,34.401,33.087,33.145,14000,
13/06/2007,33.664,33.786,33.478,33.478,4000,
14/06/2007,33.35,33.804,33.093,33.497,1700,
15/06/2007,33.375,33.395,33.292,33.375,3800,
18/06/2007,32.914,33.375,32.914,32.978,2500,
19/06/2007,32.728,32.927,32.728,32.78,5000,
20/06/2007,32.536,32.786,32.434,32.575,4100,
21/06/2007,31.953,32.575,31.947,32.286,3400,
22/06/2007,31.87,32.075,31.466,31.831,5100,
25/06/2007,32.555,32.939,31.94,31.94,6200,
26/06/2007,33.106,33.311,32.857,32.857,5900,
27/06/2007,33.209,33.407,33.158,33.158,1500,
28/06/2007,31.96,32.876,31.96,32.062,900,
29/06/2007,32.062,32.773,31.556,32.011,5100,
02/07/2007,30.249,31.576,30.044,30.595,3900,
03/07/2007,28.622,29.544,28.116,28.378,9700,
04/07/2007,31.037,31.037,29.282,29.282,6800,
05/07/2007,30.153,30.659,30.153,30.307,1000,
06/07/2007,30.153,30.153,29.538,29.929,4400,
09/07/2007,30.345,30.544,29.935,29.935,4000,
10/07/2007,31.818,32.28,31.262,31.262,9600,
11/07/2007,32.44,33.459,31.934,31.934,10100,
12/07/2007,31.396,33.01,30.794,31.831,6500,
13/07/2007,31.678,31.883,31.069,31.569,9400,
16/07/2007,30.531,31.043,29.718,30.46,4600,
17/07/2007,30.819,33.484,30.313,30.448,6500,
18/07/2007,31.203,32.017,30.999,30.999,14400,
19/07/2007,30.531,31.549,30.531,30.928,6200,
20/07/2007,29.91,30.877,29.858,30.006,4100,
23/07/2007,29.391,30.102,28.584,28.961,6700,
24/07/2007,28.36,29.154,28.34,28.616,9300,
25/07/2007,26.719,28.263,26.719,27.181,8800,
26/07/2007,25.477,26.816,25.272,26.053,5800,
27/07/2007,24.81,25.637,24.292,24.81,20700,
30/07/2007,27.194,27.194,25.816,25.816,18500,DIVIDEND
31/07/2007,29.608,29.608,27.828,27.828,26600,
01/08/2007,32.152,32.152,30.512,30.512,21500,
02/08/2007,31.511,35.271,29.167,35.271,77700,
03/08/2007,31.082,35.201,31.082,35.201,14400,
06/08/2007,28.833,31.851,28.5,31.851,15700,
07/08/2007,30.006,30.172,28.462,28.462,6200,
08/08/2007,29.839,30.512,29.506,30.179,12300,
09/08/2007,30.345,30.345,29.673,30.172,13300,
10/08/2007,29.506,30.512,28.833,30.512,4500,
13/08/2007,28.667,28.833,27.86,27.86,8500,
14/08/2007,29.173,29.173,28.168,28.5,8200,
15/08/2007,29.0,29.032,28.833,29.0,8200,
16/08/2007,28.667,28.833,28.494,28.833,6400,
17/08/2007,27.661,27.994,27.661,27.828,9600,
20/08/2007,27.322,27.828,26.822,27.488,7900,
21/08/2007,27.322,27.526,27.155,27.322,7600,
22/08/2007,26.783,27.219,26.783,27.187,6300,
23/08/2007,26.118,26.822,25.477,26.822,5800,
24/08/2007,26.822,26.822,25.951,26.489,6700,
27/08/2007,26.925,27.495,26.893,27.495,10200,
28/08/2007,26.822,27.155,26.719,27.155,8300,
29/08/2007,26.656,26.822,26.482,26.482,3100,
30/08/2007,27.661,27.661,26.656,26.656,14000,
31/08/2007,28.333,28.5,27.328,27.328,21100,
04/09/2007,28.161,29.167,28.161,28.833,17100,
05/09/2007,28.333,28.333,27.661,28.161,7100,
06/09/2007,28.161,28.161,27.661,27.828,5900,
07/09/2007,29.135,29.135,28.129,28.161,24200,
10/09/2007,31.011,31.517,28.833,29.269,42200,
11/09/2007,31.684,32.152,31.345,31.851,50300,
12/09/2007,32.017,32.824,31.851,32.523,37500,
13/09/2007,30.845,32.184,30.339,32.184,17000,
14/09/2007,30.774,31.345,30.172,31.178,22300,
17/09/2007,30.948,30.948,30.512,30.512,21100,
18/09/2007,31.21,31.28,30.909,31.178,17600,
19/09/2007,31.716,31.716,31.447,31.517,23200,
20/09/2007,32.184,32.857,31.511,32.857,23800,
21/09/2007,31.851,32.626,31.549,32.626,8000,
24/09/2007,32.12,32.184,31.178,31.178,21200,
25/09/2007,32.786,33.023,31.953,32.824,29700,
26/09/2007,32.824,33.363,32.69,32.889,18400,
27/09/2007,32.857,33.522,32.517,33.522,17400,
28/09/2007,36.072,36.072,32.69,33.19,44800,
01/10/2007,37.75,37.75,37.75,37.75,12500,
02/10/2007,41.402,41.504,40.23,41.504,69200,
03/10/2007,45.463,45.463,41.908,45.463,65400,
04/10/2007,48.75,48.75,46.264,46.937,34800,
05/10/2007,53.272,53.272,53.272,53.272,34500,
08/10/2007,50.293,58.576,49.288,58.576,60700,
09/10/2007,52.068,54.983,52.068,54.983,28500,
10/10/2007,55.322,58.006,47.943,49.621,64900,
11/10/2007,57.571,57.571,55.322,57.571,51600,
12/10/2007,62.696,62.933,58.705,62.933,63200,
15/10/2007,67.961,67.961,64.374,67.058,50700,
16/10/2007,74.194,74.194,74.194,74.194,31200,
17/10/2007,72.087,81.606,68.73,81.606,79500,
18/10/2007,70.338,72.081,70.338,70.409,72600,
19/10/2007,77.48,77.48,64.041,70.075,50400,
22/10/2007,81.74,81.74,78.788,80.466,67300,
23/10/2007,83.817,88.813,80.831,87.173,47100,
24/10/2007,86.5,89.517,78.788,82.138,50200,
25/10/2007,93.541,95.219,88.845,88.845,73100,
26/10/2007,87.166,100.581,84.822,95.552,20000,
29/10/2007,82.144,89.857,80.434,89.857,40100,
30/10/2007,77.782,80.466,77.551,80.466,25900,
31/10/2007,76.776,78.653,73.758,78.653,50600,
01/11/2007,83.817,83.817,82.144,83.817,19900,
02/11/2007,82.144,92.068,78.794,92.035,17800,
05/11/2007,78.115,80.466,75.437,80.466,18600,
06/11/2007,76.776,77.109,74.092,76.104,23900,
07/11/2007,77.116,82.778,75.604,76.11,27900,
08/11/2007,77.116,80.466,75.77,80.466,12200,
09/11/2007,73.758,74.092,72.081,73.758,16200,
12/11/2007,68.73,73.093,67.122,72.42,17800,
13/11/2007,63.638,66.052,63.638,64.406,17800,
14/11/2007,70.306,70.306,58.673,61.017,26500,
15/11/2007,68.397,75.77,63.701,75.405,17800,
16/11/2007,66.386,67.724,64.739,67.724,14000,
19/11/2007,70.409,70.409,66.386,66.386,15200,
20/11/2007,69.403,71.081,68.429,71.081,25700,
21/11/2007,68.564,69.736,66.718,68.73,20500,
22/11/2007,67.225,68.73,66.718,68.064,15100,
23/11/2007,66.386,67.724,65.046,67.391,19200,
26/11/2007,67.058,67.058,65.38,65.38,14200,
27/11/2007,66.552,68.064,66.386,66.386,14800,
28/11/2007,66.718,67.391,66.718,67.391,3500,
29/11/2007,67.891,68.73,66.718,66.718,16000,
30/11/2007,67.385,67.724,67.052,67.385,7700,
03/12/2007,68.397,68.397,67.154,68.397,15900,
04/12/2007,71.581,73.758,69.396,69.396,21800,
05/12/2007,71.613,72.081,67.052,72.081,32000,
06/12/2007,69.569,70.069,69.403,69.403,15600,
07/12/2007,69.403,69.774,68.064,69.774,32800,
10/12/2007,68.096,68.897,67.794,68.73,12500,
11/12/2007,66.687,66.718,66.085,66.718,8600,
12/12/2007,66.718,68.73,65.38,66.386,23900,
13/12/2007,65.046,65.38,64.406,64.707,4100,
14/12/2007,64.034,64.374,63.701,64.105,5200,
17/12/2007,59.076,64.034,57.834,64.034,11400,
18/12/2007,58.673,60.351,54.65,55.322,23800,
19/12/2007,62.363,63.17,60.018,60.351,22300,
