transDate,close,high,low,open,volume,event
25/12/2006,18.489,18.489,18.489,18.489,10,
26/12/2006,18.489,18.489,18.489,18.489,5000,
29/12/2006,17.571,17.571,17.571,17.571,10,
02/01/2007,16.774,16.774,16.774,16.774,10,
03/01/2007,15.982,15.982,15.982,15.982,10,
04/01/2007,15.192,15.192,15.192,15.192,110,
05/01/2007,14.53,15.192,14.53,15.192,1010,
08/01/2007,13.87,13.87,13.87,13.87,110,
09/01/2007,13.179,13.179,13.179,13.179,310,
10/01/2007,12.547,12.547,12.547,12.547,27970,
11/01/2007,12.018,12.547,12.018,12.547,28710,
12/01/2007,11.758,12.152,11.758,12.018,11700,
15/01/2007,11.185,11.999,11.185,11.999,9660,DIVIDEND
16/01/2007,11.185,11.185,11.185,11.185,4360,
17/01/2007,11.056,11.321,11.056,11.185,4810,
18/01/2007,10.52,10.52,10.52,10.52,5570,
19/01/2007,10.191,10.514,10.191,10.514,2600,
22/01/2007,9.707,9.707,9.707,9.707,4900,
23/01/2007,9.219,9.219,9.219,9.219,6400,
24/01/2007,8.762,8.762,8.762,8.762,10350,
25/01/2007,9.192,9.192,8.355,8.762,14180,
26/01/2007,9.656,9.656,9.656,9.656,1280,
29/01/2007,10.111,10.111,10.111,10.111,2190,
30/01/2007,10.598,10.598,10.598,10.598,2480,
31/01/2007,11.107,11.107,11.107,11.107,2040,
01/02/2007,11.642,11.642,11.642,11.642,7170,
02/02/2007,11.943,11.943,11.943,11.943,2330,
05/02/2007,11.406,11.65,11.406,11.65,5140,
06/02/2007,10.843,11.056,10.843,11.056,4370,
07/02/2007,11.321,11.321,10.786,10.834,9580,
08/02/2007,11.729,11.892,11.729,11.729,5880,
09/02/2007,11.729,11.729,11.729,11.729,800,
12/02/2007,11.729,11.865,11.729,11.729,8220,
13/02/2007,11.865,11.865,11.729,11.729,4680,
14/02/2007,11.406,12.134,11.406,11.865,4300,
15/02/2007,11.865,11.865,11.328,11.406,2960,
26/02/2007,12.456,12.456,11.865,11.865,3800,
27/02/2007,13.079,13.079,13.079,13.079,10180,
28/02/2007,13.613,13.613,13.613,13.613,9680,
01/03/2007,13.613,13.75,13.613,13.613,9820,
02/03/2007,12.944,12.944,12.944,12.944,11540,
05/03/2007,13.479,13.479,12.293,12.944,10570,
06/03/2007,14.158,14.158,13.479,13.479,30010,
07/03/2007,14.829,14.829,14.559,14.559,19680,
08/03/2007,15.502,15.502,15.365,15.365,10550,
09/03/2007,16.18,16.18,16.18,16.18,32050,
12/03/2007,16.986,16.986,16.986,16.986,20230,
13/03/2007,17.795,17.795,16.986,16.986,19700,
14/03/2007,16.986,18.604,16.986,17.795,20970,
15/03/2007,16.18,16.986,16.18,16.986,1360,
16/03/2007,15.365,15.365,15.365,15.365,10110,
19/03/2007,16.043,16.043,15.365,15.365,7580,
20/03/2007,16.043,16.043,16.043,16.043,8210,
21/03/2007,15.365,15.365,15.365,15.365,4470,
22/03/2007,14.693,14.693,14.693,14.693,1840,
23/03/2007,14.021,14.021,14.021,14.021,540,
26/03/2007,13.479,13.479,13.479,13.479,6990,
27/03/2007,12.808,12.944,12.808,12.944,1410,
28/03/2007,12.186,12.214,12.186,12.214,700,
29/03/2007,12.779,12.779,12.779,12.779,2820,
30/03/2007,13.4,13.4,12.779,12.779,5550,
02/04/2007,12.944,13.208,12.944,12.944,2540,
03/04/2007,12.944,12.944,12.293,12.944,2560,
04/04/2007,12.293,12.536,12.293,12.293,1600,
05/04/2007,11.865,12.4,11.865,11.865,3880,
06/04/2007,11.999,11.999,11.328,11.865,2820,
09/04/2007,11.594,11.594,11.406,11.594,2010,
10/04/2007,11.594,11.594,11.594,11.594,1130,
11/04/2007,11.321,11.321,11.321,11.321,3730,
12/04/2007,10.786,10.786,10.757,10.786,2350,
13/04/2007,10.248,10.786,10.248,10.248,1850,
16/04/2007,9.734,10.111,9.734,9.734,2060,
17/04/2007,9.247,9.247,9.247,9.247,3860,
18/04/2007,9.707,9.707,8.898,9.247,4640,
19/04/2007,10.191,10.191,10.191,10.191,350,
20/04/2007,10.677,10.677,10.677,10.677,11270,
23/04/2007,10.163,10.677,10.163,10.163,1280,
24/04/2007,9.676,10.163,9.676,9.676,2050,
25/04/2007,9.976,9.976,9.247,9.676,2710,
02/05/2007,10.464,10.464,9.976,9.976,720,
03/05/2007,10.786,10.786,10.786,10.786,20,
04/05/2007,10.248,10.248,10.248,10.248,450,
07/05/2007,10.111,10.248,10.111,10.111,810,
08/05/2007,10.598,10.598,10.598,10.598,650,
09/05/2007,11.107,11.107,11.107,11.107,2650,
10/05/2007,10.786,10.786,10.786,10.786,2250,
11/05/2007,11.056,11.056,10.786,10.786,2180,
14/05/2007,11.056,11.056,11.056,11.056,500,
15/05/2007,10.786,10.786,10.786,10.786,2050,
16/05/2007,10.248,10.248,10.248,10.248,850,
17/05/2007,10.248,10.248,10.248,10.248,100,
18/05/2007,9.976,9.976,9.976,9.976,5400,
21/05/2007,10.464,10.464,10.464,10.464,3590,
22/05/2007,10.977,10.977,10.977,10.977,5250,
23/05/2007,11.056,11.512,11.056,11.056,2540,
24/05/2007,10.52,11.056,10.52,10.52,1090,
25/05/2007,8.791,9.242,8.791,8.791,1090,
28/05/2007,10.65,10.65,10.514,10.514,3080,
29/05/2007,10.92,10.92,10.92,10.92,8510,
30/05/2007,11.458,11.458,11.321,11.321,11900,
31/05/2007,12.026,12.026,11.999,11.999,27950,
01/06/2007,12.615,12.615,12.615,12.615,41450,
04/06/2007,13.237,13.237,12.673,12.673,15980,
05/06/2007,13.886,13.886,13.886,13.886,6900,
06/06/2007,14.559,14.559,14.559,14.559,17700,
07/06/2007,15.23,15.23,15.23,15.23,8830,
08/06/2007,14.559,15.902,14.559,15.23,47680,
11/06/2007,13.886,14.559,13.886,14.559,1310,
12/06/2007,13.208,13.479,13.208,13.479,410,
13/06/2007,13.208,13.208,12.673,13.208,33490,
14/06/2007,12.564,13.457,12.564,13.214,11320,
15/06/2007,12.405,12.564,12.026,12.564,13330,
18/06/2007,12.944,13.021,12.944,12.944,7860,
19/06/2007,12.944,13.314,12.944,12.944,8380,
20/06/2007,12.536,12.944,12.536,12.944,5580,
21/06/2007,12.405,12.405,12.163,12.405,7600,
22/06/2007,12.405,12.405,12.405,12.405,2590,
25/06/2007,12.405,12.405,12.405,12.405,10510,
26/06/2007,12.134,12.134,11.865,12.134,2620,
27/06/2007,11.999,12.4,11.999,12.134,5300,
28/06/2007,11.999,11.999,11.999,11.999,2510,
29/06/2007,12.134,12.134,12.134,12.134,2090,
02/07/2007,11.541,12.134,11.541,12.134,2000,
03/07/2007,10.977,11.458,10.977,11.458,3810,
04/07/2007,10.786,10.834,10.786,10.834,26340,
05/07/2007,10.786,11.03,10.786,10.786,16900,
06/07/2007,10.786,10.786,10.786,10.786,1070,
09/07/2007,11.321,11.321,11.321,11.321,1520,
10/07/2007,11.892,11.892,11.865,11.865,3480,
11/07/2007,11.729,11.892,11.729,11.892,9860,
12/07/2007,11.321,11.729,11.185,11.729,990,
13/07/2007,11.321,11.321,11.321,11.321,30,
16/07/2007,10.786,11.049,10.786,11.049,3570,
17/07/2007,11.185,11.185,10.92,10.92,5740,
18/07/2007,11.056,11.056,10.943,11.056,3180,
19/07/2007,10.999,11.056,10.95,11.056,4360,
20/07/2007,11.485,11.485,11.056,11.056,9600,
23/07/2007,11.485,11.485,11.485,11.485,7180,
24/07/2007,11.458,11.485,11.458,11.485,11530,
25/07/2007,11.056,11.458,11.056,11.458,4910,
26/07/2007,10.92,10.92,10.92,10.92,5010,
27/07/2007,11.056,11.056,10.434,10.92,1850,
30/07/2007,11.298,11.298,11.298,11.298,750,
31/07/2007,10.757,10.786,10.757,10.786,2930,
01/08/2007,11.185,11.185,10.757,10.757,7100,
02/08/2007,10.707,10.786,10.65,10.65,2000,
03/08/2007,10.434,11.163,10.434,11.135,4450,
06/08/2007,10.406,10.406,10.005,10.028,6710,
07/08/2007,10.406,10.464,10.298,10.406,2900,
08/08/2007,10.028,10.028,10.028,10.028,1960,
09/08/2007,10.52,10.52,10.111,10.111,4700,
10/08/2007,10.52,10.57,10.52,10.52,2300,
13/08/2007,10.056,10.106,10.028,10.028,3100,
14/08/2007,10.464,10.485,10.464,10.485,530,
15/08/2007,10.085,10.085,10.085,10.085,2000,
16/08/2007,9.892,10.111,9.734,10.085,1580,
17/08/2007,10.005,10.005,9.976,9.976,3000,
20/08/2007,9.87,9.87,9.707,9.707,3160,
21/08/2007,9.892,9.892,9.892,9.892,3990,
22/08/2007,9.707,9.899,9.707,9.899,3430,
23/08/2007,9.87,9.892,9.707,9.892,500,
24/08/2007,10.056,10.106,9.976,9.976,2380,
27/08/2007,10.541,10.541,10.248,10.514,11470,
28/08/2007,11.056,11.056,11.056,11.056,20290,
29/08/2007,10.786,11.594,10.786,11.594,21890,
30/08/2007,11.321,11.321,10.92,10.92,6480,
31/08/2007,11.892,11.892,11.892,11.892,12640,
04/09/2007,12.485,12.485,12.134,12.485,31130,
05/09/2007,11.865,12.485,11.865,12.485,13550,
06/09/2007,11.541,11.594,11.485,11.594,8960,
07/09/2007,11.458,11.594,11.056,11.512,3900,
10/09/2007,11.321,11.321,11.215,11.215,4980,
11/09/2007,11.594,11.594,11.163,11.163,13070,
12/09/2007,11.865,11.999,11.865,11.999,5020,
13/09/2007,11.594,11.594,11.321,11.378,7120,
14/09/2007,11.541,11.594,11.328,11.594,1010,
17/09/2007,11.458,11.541,11.321,11.541,4360,
18/09/2007,11.406,11.406,11.086,11.107,7150,
19/09/2007,11.406,11.865,11.22,11.328,9690,
20/09/2007,11.406,11.594,11.328,11.328,8040,
21/09/2007,11.485,11.485,11.406,11.485,3520,
24/09/2007,11.378,11.463,11.328,11.353,9800,
25/09/2007,11.837,11.837,11.406,11.406,6310,
26/09/2007,11.321,11.943,11.321,11.865,4920,
27/09/2007,11.594,11.594,11.321,11.321,9360,
28/09/2007,11.865,11.865,11.594,11.865,5450,
01/10/2007,12.405,12.405,12.214,12.405,16930,
02/10/2007,12.405,12.536,11.892,12.536,4470,
03/10/2007,12.405,12.405,12.026,12.405,6320,
04/10/2007,12.536,12.536,11.865,12.134,19990,
05/10/2007,12.405,12.536,12.134,12.536,7710,
08/10/2007,12.158,12.673,12.158,12.4,8660,
09/10/2007,12.134,12.134,11.892,11.999,20600,
10/10/2007,12.728,12.728,12.134,12.728,23560,
11/10/2007,13.345,13.345,13.345,13.345,34470,
12/10/2007,13.886,13.886,13.886,13.886,36060,
15/10/2007,13.208,13.886,13.208,13.886,31440,
16/10/2007,13.75,13.75,13.613,13.613,38260,
17/10/2007,14.429,14.429,14.429,14.429,21240,
18/10/2007,13.75,15.101,13.75,15.101,50810,
19/10/2007,14.429,14.429,13.75,13.75,30090,
22/10/2007,14.829,15.094,14.559,15.094,53390,
23/10/2007,14.693,14.829,14.559,14.829,18510,
24/10/2007,14.294,14.693,14.294,14.294,9260,
25/10/2007,14.429,14.429,14.294,14.294,17940,
26/10/2007,14.559,14.559,14.287,14.287,27270,
29/10/2007,14.559,14.959,14.559,14.959,12630,
30/10/2007,14.559,14.559,14.287,14.287,32770,
31/10/2007,14.429,14.559,14.158,14.559,6440,
01/11/2007,14.429,14.429,13.75,13.75,7500,
02/11/2007,14.294,14.429,14.021,14.429,24390,
05/11/2007,13.886,14.559,13.613,14.294,14490,
06/11/2007,14.559,14.559,14.287,14.423,38170,
07/11/2007,14.693,14.959,14.693,14.959,24860,
08/11/2007,15.23,15.23,14.829,15.101,27880,
09/11/2007,14.559,15.23,14.559,15.23,9100,
12/11/2007,14.294,14.294,14.021,14.294,5460,
13/11/2007,13.613,13.75,13.613,13.75,14470,
14/11/2007,14.294,14.294,13.479,14.294,10550,
15/11/2007,13.75,14.158,13.613,13.886,15050,
16/11/2007,14.158,14.158,13.214,13.214,1620,
19/11/2007,14.021,14.021,13.613,13.613,2520,
20/11/2007,13.75,13.75,13.75,13.75,1300,
21/11/2007,13.208,13.345,13.208,13.208,3700,
22/11/2007,13.479,13.613,13.345,13.345,3070,
23/11/2007,13.208,13.479,13.208,13.479,4000,
26/11/2007,13.75,13.75,13.75,13.75,2390,
27/11/2007,13.613,14.423,13.613,14.423,5000,
28/11/2007,14.021,14.021,13.75,13.75,2530,
29/11/2007,14.021,14.021,13.75,13.886,2700,
30/11/2007,13.886,13.886,13.75,13.75,1920,
03/12/2007,14.294,14.429,14.294,14.294,8370,
04/12/2007,14.294,14.559,14.294,14.559,6900,
05/12/2007,14.429,14.429,14.429,14.429,410,
06/12/2007,14.429,14.429,14.021,14.158,2450,
07/12/2007,14.294,14.294,14.021,14.021,3300,
10/12/2007,13.886,14.021,13.75,13.886,12070,
11/12/2007,13.613,13.886,13.613,13.886,4660,
12/12/2007,14.158,14.158,13.479,13.479,2050,
13/12/2007,13.479,13.479,13.479,13.479,7600,
14/12/2007,13.208,13.208,13.208,13.208,5740,
17/12/2007,13.613,13.613,13.214,13.214,2120,
18/12/2007,13.345,13.613,13.345,13.613,3070,
19/12/2007,13.479,13.75,13.479,13.613,8070,
20/12/2007,12.97,13.75,12.97,13.75,5550,
21/12/2007,13.479,13.613,13.345,13.479,2250,
24/12/2007,13.479,14.158,13.479,14.158,1010,
25/12/2007,11.271,11.836,11.271,11.836,1010,
26/12/2007,12.944,12.944,12.944,12.944,1500,
27/12/2007,13.457,13.457,12.564,12.564,1220,
28/12/2007,13.75,13.75,13.079,13.214,220,
02/01/2008,13.079,13.208,13.079,13.208,1680,
03/01/2008,12.884,13.186,12.884,13.186,5370,
04/01/2008,12.673,12.944,12.673,12.673,640,
07/01/2008,12.051,12.107,12.051,12.107,850,
