transDate,close,high,low,open,volume,event
23/07/2008,13.63,25.63,8.09,25.63,11300,
24/07/2008,15.25,15.25,15.25,15.25,200,
25/07/2008,15.85,15.85,15.85,15.85,100,
28/07/2008,16.46,16.46,16.46,16.46,100,
29/07/2008,17.07,17.07,17.07,17.07,9500,
30/07/2008,17.74,17.74,17.07,17.74,15800,
31/07/2008,18.15,18.15,17.07,17.81,34500,
01/08/2008,18.75,18.75,18.75,18.75,7200,
04/08/2008,19.5,19.5,19.5,19.5,6900,
05/08/2008,20.24,20.24,19.43,19.9,3500,
06/08/2008,19.5,20.24,19.29,20.24,6000,
07/08/2008,18.69,18.69,18.69,18.69,3300,
08/08/2008,17.94,17.94,17.94,17.94,300,
11/08/2008,17.27,17.27,17.27,17.27,1400,
12/08/2008,17.54,17.94,16.59,16.59,31800,
13/08/2008,17.2,17.47,16.19,17.47,7100,
14/08/2008,17.61,17.61,16.26,16.26,19800,
15/08/2008,18.21,18.21,18.21,18.21,9200,
18/08/2008,18.28,19.43,18.28,19.43,2900,
19/08/2008,17.61,18.89,17.61,18.82,1500,
20/08/2008,16.73,16.73,16.73,16.73,100,
21/08/2008,16.8,16.8,15.58,15.58,6700,
22/08/2008,16.93,16.93,14.98,15.18,5300,
25/08/2008,17.13,17.13,17.07,17.13,18200,
26/08/2008,18.28,18.28,18.15,18.21,22100,
27/08/2008,19.02,19.36,17.54,19.23,18000,
28/08/2008,19.23,20.17,18.96,20.1,3600,
29/08/2008,19.16,20.24,18.21,20.24,4700,
03/09/2008,20.24,20.24,18.96,18.96,44200,
04/09/2008,21.05,21.45,20.1,21.45,19000,
05/09/2008,21.25,21.59,21.05,21.05,5800,
08/09/2008,20.24,20.91,19.76,20.91,3100,
09/09/2008,19.56,20.24,18.89,19.56,8900,
10/09/2008,18.35,20.24,18.35,20.24,2900,
11/09/2008,17.27,18.55,17.27,17.27,6100,
12/09/2008,16.19,16.26,16.19,16.19,27300,
15/09/2008,16.19,17.27,16.19,16.19,500,
16/09/2008,16.19,18.01,16.19,18.01,700,
17/09/2008,15.52,15.52,15.31,15.31,6100,
18/09/2008,14.37,14.37,14.37,14.37,1800,
19/09/2008,15.31,15.31,13.42,13.42,3700,
22/09/2008,15.65,15.65,15.65,15.65,100,
23/09/2008,16.53,16.73,16.53,16.73,900,
24/09/2008,15.45,15.52,15.45,15.52,1000,
25/09/2008,16.19,16.19,14.37,14.37,3100,
26/09/2008,15.45,15.45,15.45,15.45,100,
29/09/2008,14.37,14.5,14.37,14.5,1200,
30/09/2008,13.49,13.49,13.49,13.49,700,
01/10/2008,14.1,14.44,12.55,13.49,1400,
02/10/2008,14.1,14.44,13.02,13.02,4600,
03/10/2008,14.37,14.91,13.02,14.91,2100,
06/10/2008,13.49,14.37,12.68,12.68,1800,
07/10/2008,13.22,13.22,13.22,13.22,100,
08/10/2008,12.34,12.34,12.34,12.34,800,
09/10/2008,11.54,11.54,11.54,11.54,900,
10/10/2008,10.79,10.86,10.79,10.86,3300,
13/10/2008,10.12,10.32,10.12,10.12,4700,
14/10/2008,10.86,10.86,10.86,10.86,100,
15/10/2008,11.47,11.54,10.46,11.54,700,
16/10/2008,11.47,11.47,11.2,11.33,3000,
17/10/2008,12.01,12.01,12.01,12.01,100,
20/10/2008,12.82,12.82,11.2,11.2,600,
21/10/2008,13.22,13.22,13.22,13.22,100,
22/10/2008,14.03,14.1,14.03,14.1,600,
23/10/2008,14.71,14.71,14.71,14.71,1000,
24/10/2008,14.98,14.98,13.69,13.69,1500,
27/10/2008,18.87,18.87,18.87,18.87,0,
28/10/2008,13.22,13.22,13.22,13.22,300,
29/10/2008,13.63,13.63,13.49,13.49,3400,
30/10/2008,12.61,13.63,12.61,13.63,2300,
31/10/2008,13.15,13.63,13.15,13.63,2400,
03/11/2008,13.63,13.63,12.55,12.55,1000,
04/11/2008,12.75,13.09,11.8,11.87,4800,
05/11/2008,12.75,13.02,12.14,13.02,7600,
06/11/2008,11.67,13.15,11.67,11.67,6700,
07/11/2008,11.13,11.2,11.13,11.13,1300,
10/11/2008,10.39,11.13,10.39,11.13,4400,
11/11/2008,9.85,10.52,9.85,10.25,5200,
12/11/2008,10.79,10.79,9.44,9.78,11400,
13/11/2008,10.12,10.12,9.44,9.44,2200,
14/11/2008,10.52,10.52,10.52,10.52,200,
17/11/2008,10.79,10.79,10.79,10.79,200,
18/11/2008,10.05,10.05,10.05,10.05,1600,
19/11/2008,9.71,10.12,9.71,10.12,2200,
20/11/2008,10.12,10.12,9.24,9.24,1100,
21/11/2008,9.38,9.38,9.38,9.38,100,
24/11/2008,9.98,9.98,9.92,9.98,2600,
25/11/2008,9.92,10.59,9.92,10.59,600,
26/11/2008,10.93,10.93,10.79,10.79,4100,
27/11/2008,10.86,10.93,10.86,10.93,1000,
28/11/2008,11.67,11.67,10.86,10.93,13200,
01/12/2008,11.13,11.13,10.59,10.59,1400,DIVIDEND
02/12/2008,11.6,11.6,11.47,11.6,1600,
03/12/2008,12.28,12.28,12.28,12.28,100,
04/12/2008,12.28,13.02,12.28,13.02,2000,
05/12/2008,11.81,11.81,11.81,11.81,5000,
08/12/2008,11.81,11.81,11.2,11.2,2800,
09/12/2008,12.21,12.21,12.07,12.14,1000,
10/12/2008,12.75,12.95,12.75,12.95,900,
11/12/2008,13.36,13.49,13.36,13.49,2000,
12/12/2008,13.76,14.17,13.76,14.17,300,
15/12/2008,14.84,14.84,14.84,14.84,700,
16/12/2008,15.11,15.11,14.91,14.91,1000,
17/12/2008,14.84,14.84,14.84,14.84,300,
18/12/2008,19.77,19.77,19.77,19.77,0,
19/12/2008,15.52,15.52,13.83,13.83,7500,
22/12/2008,19.05,19.05,19.05,19.05,0,
23/12/2008,14.29,14.29,14.29,14.29,0,
24/12/2008,14.3,14.3,14.3,14.3,200,
25/12/2008,14.37,14.37,14.37,14.37,5000,
26/12/2008,14.17,14.17,13.42,13.42,3000,
29/12/2008,12.68,12.68,12.68,12.68,5300,
30/12/2008,13.56,13.56,12.14,12.14,1600,
31/12/2008,12.14,12.14,12.14,12.14,100,
02/01/2009,16.17,16.17,16.17,16.17,0,
05/01/2009,12.68,12.68,11.33,11.33,1000,
06/01/2009,16.35,16.35,16.35,16.35,0,
07/01/2009,12.68,12.68,12.68,12.68,200,
08/01/2009,16.89,16.89,16.89,16.89,0,
09/01/2009,13.49,13.49,13.49,13.49,300,
12/01/2009,17.97,17.97,17.97,17.97,0,
13/01/2009,14.03,14.03,14.03,14.03,300,
14/01/2009,13.09,14.1,13.09,13.09,600,
15/01/2009,17.88,17.88,17.88,17.88,0,
16/01/2009,12.55,14.17,12.55,14.17,800,
19/01/2009,12.07,12.07,12.07,12.07,300,
20/01/2009,16.08,16.08,16.08,16.08,0,
21/01/2009,12.14,12.14,12.14,12.14,300,
22/01/2009,12.48,12.48,12.48,12.48,300,
23/01/2009,16.62,16.62,16.62,16.62,0,
02/02/2009,11.67,13.15,11.67,13.15,600,
03/02/2009,12.01,13.49,12.01,13.49,400,
04/02/2009,17.52,17.52,17.52,17.52,0,
05/02/2009,17.52,17.52,17.52,17.52,0,
