transDate,close,high,low,open,volume,event
14/12/2006,5.959,7.031,5.272,5.272,28200,
15/12/2006,6.341,6.341,6.341,6.341,7500,
18/12/2006,6.382,6.764,6.154,6.688,26900,
19/12/2006,6.555,6.894,6.471,6.894,19600,
20/12/2006,6.382,6.555,6.382,6.555,2800,
21/12/2006,10.851,10.851,10.851,10.851,0,
22/12/2006,5.795,5.795,5.795,5.795,600,
25/12/2006,5.219,5.448,5.219,5.448,7700,
26/12/2006,5.192,5.364,4.701,5.192,17200,
27/12/2006,5.192,5.448,5.109,5.448,86000,
28/12/2006,5.192,5.288,5.139,5.288,112000,
29/12/2006,5.67,5.67,5.131,5.131,13000,
02/01/2007,5.586,5.788,5.509,5.509,11500,
03/01/2007,5.678,5.684,5.67,5.678,19800,
04/01/2007,5.745,5.745,5.67,5.67,25600,
05/01/2007,6.173,6.337,6.074,6.074,39000,
08/01/2007,6.605,6.631,6.238,6.238,34100,
09/01/2007,7.15,7.234,6.937,6.937,38300,
10/01/2007,7.108,7.192,6.978,7.088,31900,
11/01/2007,7.15,7.15,6.978,7.088,41500,
12/01/2007,6.978,7.066,6.81,6.978,24600,
15/01/2007,7.023,7.49,6.894,6.978,35800,
16/01/2007,6.937,7.238,6.894,6.981,23800,
17/01/2007,6.769,7.023,6.28,6.775,31600,
18/01/2007,6.741,6.978,6.639,6.775,33500,
19/01/2007,6.978,7.066,6.722,6.817,18900,
22/01/2007,6.639,6.75,6.639,6.699,11400,
23/01/2007,6.715,6.715,6.477,6.653,19300,
24/01/2007,6.775,6.81,6.734,6.734,31200,
25/01/2007,6.791,6.894,6.727,6.775,23000,
26/01/2007,6.769,6.775,6.741,6.769,14000,
29/01/2007,6.81,6.817,6.761,6.769,12000,
30/01/2007,7.108,7.15,6.978,6.978,9300,
31/01/2007,7.405,7.66,7.066,7.066,29500,
01/02/2007,8.153,8.153,7.49,7.49,88300,
02/02/2007,8.596,8.596,7.833,7.951,82800,
05/02/2007,9.149,9.149,8.935,8.935,71600,
06/02/2007,10.046,10.046,9.791,9.791,135000,
07/02/2007,11.049,11.049,10.046,10.046,109100,
08/02/2007,12.14,12.14,12.14,12.14,66800,
09/02/2007,11.065,13.345,11.065,12.136,42400,
12/02/2007,11.175,11.915,11.175,11.396,24600,
13/02/2007,11.32,12.529,11.065,11.396,32100,
14/02/2007,11.832,12.087,11.407,11.438,28100,
15/02/2007,12.674,13.04,12.212,12.212,39700,
26/02/2007,13.67,13.67,13.021,13.021,28700,
27/02/2007,14.86,14.86,14.86,14.86,35300,
28/02/2007,14.895,16.344,14.471,14.86,45800,
01/03/2007,14.299,16.973,14.299,15.433,43600,
02/03/2007,14.906,15.323,13.959,14.853,33800,
05/03/2007,15.876,16.333,15.405,15.405,44200,
06/03/2007,16.173,17.618,15.833,16.139,28500,
07/03/2007,15.577,17.874,15.577,16.001,14100,
08/03/2007,14.471,16.94,14.471,14.956,12500,
09/03/2007,14.299,14.895,14.299,14.498,35800,
12/03/2007,15.323,15.323,14.639,14.639,38000,
13/03/2007,14.471,15.833,13.621,14.548,39200,DIVIDEND
14/03/2007,14.81,15.323,14.555,14.555,37400,
15/03/2007,14.193,15.139,13.933,14.407,19700,
16/03/2007,15.298,15.298,14.448,14.448,30700,
19/03/2007,13.769,16.429,13.769,14.998,41200,
20/03/2007,14.983,15.482,13.976,15.009,19800,
21/03/2007,14.46,14.966,14.46,14.7,10600,
22/03/2007,14.017,14.983,14.017,14.2,14400,
23/03/2007,13.762,14.188,13.673,13.822,24800,
26/03/2007,12.728,13.822,12.728,13.185,15500,
27/03/2007,11.953,12.472,11.953,12.102,11600,
28/03/2007,13.246,13.246,10.896,11.17,23600,
29/03/2007,12.282,12.282,10.752,11.17,116800,
30/03/2007,11.781,12.946,11.781,11.827,41300,
02/04/2007,11.827,12.899,11.354,12.048,15800,
03/04/2007,11.518,12.041,11.396,11.575,15700,
04/04/2007,11.87,12.034,10.752,11.575,16100,
05/04/2007,11.697,12.301,11.007,11.739,18600,
06/04/2007,11.613,12.041,11.525,11.637,14300,
09/04/2007,12.342,12.342,11.888,11.888,29800,
10/04/2007,12.212,12.728,12.212,12.212,12500,
11/04/2007,11.964,12.301,11.953,12.094,19600,
12/04/2007,11.613,12.041,11.525,11.697,16700,
13/04/2007,11.354,11.697,11.019,11.326,22900,
16/04/2007,10.236,11.011,10.202,10.511,9500,
17/04/2007,10.32,10.492,9.478,10.065,33300,
18/04/2007,11.068,11.068,9.889,10.065,16200,
19/04/2007,10.964,11.61,10.923,10.923,41700,
20/04/2007,10.827,11.007,10.663,10.853,6600,
23/04/2007,9.805,10.836,9.805,10.312,10500,
24/04/2007,9.992,10.236,9.812,9.957,5700,
25/04/2007,10.836,10.923,10.752,10.752,13700,
02/05/2007,10.106,11.182,9.889,10.038,4900,
03/05/2007,10.492,10.492,9.892,10.038,11200,
04/05/2007,10.312,10.32,10.19,10.286,3200,
07/05/2007,10.58,10.58,10.149,10.286,14400,
08/05/2007,10.732,10.836,10.312,10.374,15800,
09/05/2007,10.58,10.923,10.58,10.58,11600,
10/05/2007,10.409,10.561,10.179,10.409,16100,
11/05/2007,10.58,10.58,10.409,10.527,8300,
14/05/2007,10.752,11.179,10.58,10.58,22800,
15/05/2007,10.743,11.007,10.58,10.671,24000,
16/05/2007,10.58,10.683,10.561,10.595,6200,
17/05/2007,10.64,10.64,10.409,10.538,29100,
18/05/2007,10.743,10.743,10.58,10.58,12400,
21/05/2007,11.697,11.697,10.492,10.637,39900,
22/05/2007,12.24,12.24,12.034,12.034,37600,
23/05/2007,12.212,13.384,12.212,12.212,59600,
24/05/2007,11.739,12.368,11.645,11.739,29200,
25/05/2007,12.385,12.728,11.182,11.835,19300,
28/05/2007,12.555,13.159,12.041,12.041,38700,
29/05/2007,12.555,12.731,12.385,12.385,72700,
30/05/2007,12.644,12.731,12.472,12.541,54600,
31/05/2007,12.574,12.644,12.555,12.574,26000,
01/06/2007,12.899,12.899,12.472,12.618,38800,
04/06/2007,12.899,12.986,12.644,12.651,50000,
05/06/2007,12.644,12.986,12.644,12.823,40200,
06/06/2007,12.857,12.899,12.041,12.728,17900,
