transDate,close,high,low,open,volume,event
22/04/2011,6.199,8.251,6.199,8.251,600,
25/04/2011,7.922,7.922,7.922,7.922,0,
26/04/2011,7.922,7.922,7.922,7.922,0,
27/04/2011,7.922,7.922,7.922,7.922,0,
28/04/2011,7.922,7.922,7.922,7.922,0,
29/04/2011,7.922,7.922,7.922,7.922,0,
04/05/2011,7.151,7.151,7.151,7.151,100,
05/05/2011,7.151,7.151,7.151,7.151,0,
06/05/2011,6.454,6.454,6.454,6.454,1000,
09/05/2011,7.151,7.151,7.151,7.151,0,
10/05/2011,6.454,6.454,6.454,6.454,0,
11/05/2011,6.454,6.454,6.454,6.454,0,
12/05/2011,6.454,6.454,6.454,6.454,0,
13/05/2011,6.454,6.454,6.454,6.454,0,
16/05/2011,6.454,6.454,6.454,6.454,0,
17/05/2011,6.454,6.454,6.454,6.454,0,
18/05/2011,6.454,6.454,6.454,6.454,0,
19/05/2011,6.454,6.454,6.454,6.454,0,
20/05/2011,6.454,6.454,6.454,6.454,0,
23/05/2011,6.454,6.454,6.454,6.454,0,
24/05/2011,6.454,6.454,6.454,6.454,0,
25/05/2011,6.454,6.454,6.454,6.454,0,
26/05/2011,6.454,6.454,6.454,6.454,0,
27/05/2011,6.454,6.454,6.454,6.454,0,
30/05/2011,6.454,6.454,6.454,6.454,0,
31/05/2011,6.454,6.454,6.454,6.454,0,
01/06/2011,6.454,6.454,6.454,6.454,0,
02/06/2011,6.454,6.454,6.454,6.454,0,
03/06/2011,6.454,6.454,6.454,6.454,0,
06/06/2011,6.454,6.454,6.454,6.454,0,
07/06/2011,6.454,6.454,6.454,6.454,0,
08/06/2011,5.813,5.813,5.813,5.813,1100,
09/06/2011,5.813,5.813,5.813,5.813,0,
10/06/2011,5.813,5.813,5.813,5.813,0,
13/06/2011,5.813,5.813,5.813,5.813,0,
14/06/2011,5.813,5.813,5.813,5.813,0,
15/06/2011,5.813,5.813,5.813,5.813,0,
16/06/2011,5.813,5.813,5.813,5.813,0,
17/06/2011,5.813,5.813,5.813,5.813,0,
20/06/2011,5.813,5.813,5.813,5.813,0,
21/06/2011,5.813,5.813,5.813,5.813,0,
22/06/2011,5.813,5.813,5.813,5.813,4500,
23/06/2011,5.813,5.813,5.813,5.813,0,
24/06/2011,5.252,5.252,5.252,5.252,9400,
27/06/2011,5.252,5.252,5.252,5.252,0,
28/06/2011,5.252,5.252,5.252,5.252,0,
29/06/2011,5.252,5.252,5.252,5.252,0,
30/06/2011,5.252,5.252,5.252,5.252,0,
01/07/2011,5.252,5.252,5.252,5.252,0,
04/07/2011,5.252,5.252,5.252,5.252,0,
05/07/2011,5.252,5.252,5.252,5.252,0,
06/07/2011,5.252,5.252,5.252,5.252,0,
