transDate,close,high,low,open,volume,event
21/09/2004,1.734,1.734,1.734,1.734,14010,
22/09/2004,1.653,1.653,1.653,1.653,13870,
23/09/2004,1.576,1.576,1.576,1.576,42930,
24/09/2004,1.631,1.631,1.548,1.576,6500,
27/09/2004,1.608,1.631,1.608,1.631,2680,
28/09/2004,1.598,1.631,1.598,1.604,3030,
29/09/2004,1.598,1.598,1.598,1.598,1860,
30/09/2004,1.592,1.598,1.592,1.598,5100,
01/10/2004,1.57,1.592,1.57,1.57,50,
04/10/2004,1.537,1.537,1.531,1.537,2340,
05/10/2004,1.531,1.531,1.531,1.531,1100,
06/10/2004,1.52,1.531,1.52,1.52,500,
07/10/2004,1.482,1.52,1.482,1.52,4360,
08/10/2004,1.432,1.449,1.432,1.449,8960,
11/10/2004,7.763,7.763,7.763,7.763,0,
12/10/2004,1.361,1.432,1.361,1.432,7090,
13/10/2004,1.3,1.3,1.3,1.3,8790,
14/10/2004,1.289,1.3,1.289,1.3,6960,
15/10/2004,1.334,1.334,1.289,1.289,700,
18/10/2004,1.371,1.371,1.355,1.355,2080,
19/10/2004,1.41,1.41,1.41,1.41,7650,
20/10/2004,1.399,1.41,1.399,1.399,600,
21/10/2004,1.334,1.349,1.334,1.349,3760,
22/10/2004,1.334,1.334,1.334,1.334,1990,
25/10/2004,1.355,1.355,1.355,1.355,7120,
26/10/2004,1.394,1.394,1.371,1.371,5340,
27/10/2004,1.377,1.394,1.377,1.394,2670,
28/10/2004,1.377,1.394,1.377,1.377,4080,
29/10/2004,1.377,1.383,1.377,1.377,5380,
01/11/2004,1.394,1.394,1.377,1.377,2100,
02/11/2004,1.421,1.421,1.416,1.416,7350,
03/11/2004,1.421,1.438,1.421,1.421,4240,
04/11/2004,1.41,1.41,1.41,1.41,860,
05/11/2004,1.399,1.41,1.399,1.41,7980,
08/11/2004,1.383,1.41,1.383,1.399,1930,
09/11/2004,1.377,1.377,1.377,1.377,4400,
10/11/2004,1.394,1.394,1.394,1.394,10,
11/11/2004,1.394,1.394,1.394,1.394,100,
12/11/2004,1.377,1.394,1.377,1.377,500,
15/11/2004,1.371,1.377,1.371,1.377,3210,
16/11/2004,1.361,1.371,1.361,1.361,6010,
17/11/2004,7.392,7.392,7.392,7.392,2500,
18/11/2004,1.371,1.371,1.371,1.371,5760,
19/11/2004,1.377,1.377,1.377,1.377,12510,
22/11/2004,1.377,1.377,1.361,1.377,140,
23/11/2004,1.383,1.383,1.377,1.377,590,
24/11/2004,1.383,1.383,1.383,1.383,300,
25/11/2004,1.394,1.394,1.394,1.394,3100,
26/11/2004,1.383,1.394,1.383,1.394,880,
29/11/2004,1.394,1.394,1.383,1.383,1230,
30/11/2004,1.416,1.416,1.394,1.394,2730,
01/12/2004,1.442,1.442,1.442,1.442,14800,
02/12/2004,1.442,1.442,1.442,1.442,200,
03/12/2004,1.416,1.416,1.416,1.416,1570,
06/12/2004,1.432,1.432,1.432,1.432,600,
07/12/2004,1.41,1.432,1.41,1.432,4100,
08/12/2004,1.41,1.41,1.41,1.41,400,
09/12/2004,1.421,1.421,1.41,1.41,1020,
10/12/2004,1.432,1.432,1.421,1.421,750,
13/12/2004,1.421,1.432,1.421,1.432,150,
14/12/2004,1.432,1.432,1.421,1.421,10,
15/12/2004,1.421,1.432,1.421,1.421,2100,
16/12/2004,1.421,1.421,1.421,1.421,3820,
17/12/2004,1.421,1.449,1.421,1.421,240,
20/12/2004,1.421,1.421,1.421,1.421,1700,
21/12/2004,1.421,1.449,1.421,1.421,2340,
22/12/2004,1.46,1.46,1.421,1.421,2430,
23/12/2004,1.531,1.531,1.531,1.531,9940,
24/12/2004,1.608,1.608,1.608,1.608,3790,
27/12/2004,1.641,1.681,1.641,1.641,6120,
28/12/2004,1.631,1.641,1.631,1.641,7390,
29/12/2004,1.614,1.631,1.614,1.631,3280,DIVIDEND
30/12/2004,1.581,1.614,1.581,1.581,3400,
31/12/2004,1.564,1.564,1.564,1.564,6900,
04/01/2005,1.505,1.505,1.505,1.505,13750,
05/01/2005,1.52,1.537,1.52,1.52,2170,
06/01/2005,1.472,1.505,1.472,1.505,3580,
07/01/2005,1.52,1.52,1.472,1.472,100,
10/01/2005,1.476,1.52,1.476,1.476,30,
11/01/2005,1.52,1.52,1.52,1.52,10,
12/01/2005,7.806,7.928,7.806,7.806,10,
13/01/2005,1.505,1.505,1.493,1.493,100,
14/01/2005,1.493,1.505,1.493,1.493,500,
17/01/2005,1.46,1.46,1.46,1.46,3100,
18/01/2005,1.46,1.46,1.46,1.46,10,
19/01/2005,1.505,1.505,1.465,1.465,10,
20/01/2005,1.488,1.505,1.488,1.488,1510,
21/01/2005,1.505,1.505,1.476,1.488,420,
24/01/2005,1.476,1.505,1.476,1.476,530,
25/01/2005,1.476,1.493,1.476,1.476,350,
26/01/2005,1.476,1.476,1.476,1.476,2800,
27/01/2005,1.476,1.476,1.476,1.476,500,
28/01/2005,1.493,1.493,1.493,1.493,3300,
31/01/2005,1.493,1.493,1.493,1.493,50,
01/02/2005,1.493,1.493,1.493,1.493,200,
02/02/2005,7.806,7.806,7.806,7.806,0,
03/02/2005,1.505,1.505,1.505,1.505,2820,
04/02/2005,1.505,1.505,1.505,1.505,6300,
14/02/2005,1.505,1.505,1.505,1.505,350,
15/02/2005,7.845,7.845,7.845,7.845,0,
16/02/2005,1.505,1.505,1.505,1.505,8610,
17/02/2005,1.505,1.505,1.476,1.505,9010,
18/02/2005,1.476,1.505,1.476,1.505,600,
21/02/2005,7.723,7.723,7.723,7.723,0,
22/02/2005,1.476,1.476,1.476,1.476,200,
23/02/2005,1.488,1.488,1.476,1.476,110,
24/02/2005,1.476,1.488,1.476,1.476,10,
25/02/2005,1.476,1.476,1.476,1.476,210,
28/02/2005,1.476,1.476,1.476,1.476,100,
01/03/2005,1.505,1.505,1.505,1.505,200,
02/03/2005,1.488,1.488,1.488,1.488,800,
03/03/2005,1.488,1.488,1.488,1.488,2900,
04/03/2005,1.493,1.505,1.493,1.493,1430,
07/03/2005,1.505,1.505,1.493,1.493,2400,
08/03/2005,1.505,1.505,1.505,1.505,100,
09/03/2005,1.505,1.505,1.505,1.505,1100,
10/03/2005,1.505,1.505,1.505,1.505,3000,
11/03/2005,1.505,1.505,1.505,1.505,1470,
14/03/2005,1.52,1.52,1.505,1.505,1000,
15/03/2005,1.509,1.52,1.509,1.52,390,
16/03/2005,1.52,1.52,1.52,1.52,8310,
17/03/2005,1.52,1.52,1.52,1.52,2700,
18/03/2005,1.52,1.52,1.52,1.52,1400,
21/03/2005,1.505,1.52,1.505,1.505,1000,
22/03/2005,1.505,1.505,1.505,1.505,1000,
23/03/2005,1.52,1.52,1.52,1.52,7170,
24/03/2005,1.581,1.581,1.543,1.543,10040,
25/03/2005,1.581,1.581,1.581,1.581,3960,
28/03/2005,1.505,1.581,1.505,1.505,200,
29/03/2005,1.52,1.52,1.505,1.505,410,
30/03/2005,1.543,1.548,1.543,1.543,810,
31/03/2005,1.548,1.548,1.543,1.543,2550,
01/04/2005,1.564,1.564,1.531,1.548,2930,
04/04/2005,1.548,1.564,1.548,1.548,610,
