transDate,close,high,low,open,volume,event
28/12/2006,37.51,37.51,37.51,37.51,10,
29/12/2006,28.43,28.43,28.43,28.43,0,
02/01/2007,41.588,41.588,41.588,41.588,0,
03/01/2007,35.654,35.654,35.654,35.654,10,
04/01/2007,27.023,27.023,27.023,27.023,10,
05/01/2007,27.023,27.023,27.023,27.023,10,
08/01/2007,34.168,34.168,34.168,34.168,10,
09/01/2007,32.5,32.5,32.5,32.5,10,
10/01/2007,24.631,24.631,24.631,24.631,10,
11/01/2007,32.5,32.5,32.5,32.5,100,
12/01/2007,24.631,24.631,24.631,24.631,100,
15/01/2007,31.012,31.012,31.012,31.012,10,
16/01/2007,34.381,34.381,34.381,34.381,0,
17/01/2007,23.505,23.505,23.505,23.505,0,
18/01/2007,29.523,29.523,29.523,29.523,10,
19/01/2007,28.226,28.226,28.226,28.226,620,
22/01/2007,31.293,31.293,31.293,31.293,0,
23/01/2007,26.928,26.928,26.928,26.928,410,
24/01/2007,25.624,25.624,25.624,25.624,10,
25/01/2007,24.514,24.514,24.514,24.514,400,
26/01/2007,23.401,24.514,23.401,24.514,60,
29/01/2007,22.284,23.394,22.284,23.394,2310,
30/01/2007,16.891,17.734,16.891,16.891,2310,
31/01/2007,20.24,20.24,20.24,20.24,1500,
01/02/2007,19.314,19.314,19.314,19.314,2220,
02/02/2007,18.348,18.348,18.348,18.348,1440,
05/02/2007,17.454,17.454,17.454,17.454,2750,
06/02/2007,18.09,18.09,16.602,17.454,37030,
07/02/2007,18.009,18.084,18.009,18.084,43700,
08/02/2007,17.269,17.454,17.269,17.454,5130,
09/02/2007,16.411,16.411,16.411,16.411,17570,
12/02/2007,15.598,15.781,15.598,15.781,16870,
13/02/2007,15.598,15.598,15.598,15.598,18000,
14/02/2007,16.382,16.382,15.781,15.781,16460,
15/02/2007,17.196,17.196,17.196,17.196,23090,
26/02/2007,18.047,18.047,18.047,18.047,12030,
27/02/2007,18.942,18.942,18.942,18.942,3560,
28/02/2007,18.009,19.872,18.009,18.942,24980,
01/03/2007,18.009,18.009,17.123,18.009,17760,
02/03/2007,18.009,18.009,17.454,18.009,13870,
05/03/2007,18.568,18.568,18.201,18.201,14520,
06/03/2007,19.499,19.499,19.308,19.308,20320,
07/03/2007,20.43,20.43,20.43,20.43,32750,
08/03/2007,21.355,21.355,21.171,21.171,21800,
09/03/2007,22.284,22.284,22.284,22.284,34950,
12/03/2007,22.284,23.394,22.284,22.284,24530,
13/03/2007,21.537,22.284,21.537,22.284,14780,
14/03/2007,20.798,20.798,20.798,20.798,8400,
15/03/2007,19.872,20.798,19.872,20.798,9430,
16/03/2007,18.942,18.942,18.942,18.942,4730,
19/03/2007,19.872,19.872,18.942,18.942,15070,
20/03/2007,20.43,20.798,20.056,20.056,22260,
21/03/2007,20.43,20.798,20.43,20.43,12800,
22/03/2007,19.499,20.423,19.499,20.423,1340,
23/03/2007,18.53,18.942,18.53,18.942,2300,
26/03/2007,17.638,18.009,17.638,18.009,2810,
27/03/2007,16.787,17.643,16.787,17.643,2460,
