transDate,close,high,low,open,volume,event
05/09/2006,15.395,15.395,15.395,15.395,1650,
06/09/2006,16.094,16.094,16.094,16.094,32350,
07/09/2006,16.094,16.511,16.094,16.094,47960,
08/09/2006,15.812,15.954,15.812,15.954,20760,
11/09/2006,15.115,15.115,15.115,15.115,52310,
12/09/2006,14.411,14.411,14.411,14.411,21260,
13/09/2006,14.0,14.0,13.719,14.0,120660,
14/09/2006,14.695,14.695,14.695,14.695,61950,
15/09/2006,15.115,15.395,15.115,15.115,45530,
18/09/2006,14.695,15.115,14.695,15.115,14450,
19/09/2006,14.695,14.836,14.558,14.695,15450,
20/09/2006,14.558,14.695,14.558,14.695,46830,
21/09/2006,14.558,14.558,14.419,14.558,12450,
22/09/2006,14.271,14.419,14.271,14.419,12300,
25/09/2006,14.411,14.411,14.271,14.271,39370,
26/09/2006,14.411,14.411,14.271,14.411,25010,
27/09/2006,14.411,14.411,14.271,14.411,35810,
28/09/2006,14.411,14.411,14.411,14.411,9380,
29/09/2006,14.411,14.411,14.411,14.411,27510,
02/10/2006,14.411,14.411,14.133,14.411,34570,
03/10/2006,14.411,14.411,14.411,14.411,19680,
04/10/2006,14.558,14.695,14.419,14.419,16520,
05/10/2006,14.558,14.836,14.558,14.558,17210,
06/10/2006,14.558,14.695,14.558,14.558,13830,
09/10/2006,14.558,14.695,14.558,14.558,13560,
10/10/2006,14.558,14.558,14.137,14.558,9360,
11/10/2006,14.271,14.558,14.271,14.558,5900,
12/10/2006,14.411,14.551,14.411,14.411,8520,
13/10/2006,14.411,14.411,14.271,14.411,35080,
16/10/2006,14.271,14.419,14.271,14.419,10100,
17/10/2006,13.852,14.133,13.852,14.133,9400,
18/10/2006,13.713,13.713,13.713,13.713,7600,
19/10/2006,14.0,14.0,13.858,13.858,19340,
20/10/2006,14.0,14.0,14.0,14.0,25310,
23/10/2006,14.271,14.271,14.133,14.133,18600,
24/10/2006,14.0,14.137,13.743,14.137,5160,
25/10/2006,14.0,14.0,14.0,14.0,15400,
26/10/2006,13.913,13.913,13.852,13.913,12200,
27/10/2006,13.852,13.908,13.852,13.852,7290,
30/10/2006,13.434,13.858,13.354,13.858,8460,
31/10/2006,13.713,13.713,13.434,13.434,9390,
01/11/2006,13.852,13.852,13.713,13.713,8300,
02/11/2006,13.713,13.852,13.713,13.852,7890,
03/11/2006,13.489,13.713,13.489,13.713,1000,
06/11/2006,13.822,13.822,13.489,13.489,700,
07/11/2006,13.852,13.992,13.852,13.852,15460,
08/11/2006,13.822,13.852,13.822,13.852,830,
09/11/2006,13.822,13.822,13.822,13.822,100,
10/11/2006,13.822,13.822,13.822,13.822,1250,
13/11/2006,13.518,13.518,13.518,13.518,5010,
14/11/2006,13.573,13.713,13.573,13.573,8660,
15/11/2006,13.434,13.58,13.434,13.58,10900,
16/11/2006,13.156,13.434,13.046,13.434,740,
17/11/2006,13.014,13.156,13.014,13.156,18870,
20/11/2006,13.014,13.129,13.014,13.014,12720,
21/11/2006,12.706,12.875,12.706,12.875,7420,
22/11/2006,12.426,12.596,12.426,12.596,13030,
23/11/2006,13.046,13.046,12.426,12.426,21420,
24/11/2006,13.689,13.689,13.689,13.689,10560,
27/11/2006,13.743,14.279,13.743,13.743,42400,
28/11/2006,13.434,13.434,13.075,13.434,6070,
29/11/2006,12.875,12.875,12.875,12.875,3250,
30/11/2006,12.875,12.875,12.875,12.875,8890,
01/12/2006,12.737,12.875,12.737,12.875,2940,
04/12/2006,12.426,12.596,12.426,12.596,9650,
05/12/2006,12.457,12.457,12.426,12.426,6600,
06/12/2006,12.426,12.457,12.426,12.426,7720,
07/12/2006,11.897,11.897,11.838,11.897,12200,
08/12/2006,11.897,11.897,11.897,11.897,2000,
11/12/2006,11.758,11.897,11.758,11.897,11850,
12/12/2006,11.474,11.474,11.195,11.474,13700,
13/12/2006,11.334,11.758,11.334,11.481,8180,
14/12/2006,11.897,11.897,11.897,11.897,10370,
15/12/2006,12.487,12.487,12.487,12.487,5480,
18/12/2006,13.101,13.101,13.101,13.101,5370,
19/12/2006,13.713,14.264,13.713,13.713,42000,
20/12/2006,12.737,12.737,12.596,12.737,14970,
21/12/2006,12.125,12.177,12.125,12.177,12500,
22/12/2006,12.172,12.172,11.528,12.116,2340,
25/12/2006,12.172,12.172,12.032,12.172,7300,
26/12/2006,12.125,12.177,12.125,12.177,7400,
27/12/2006,12.596,12.706,12.596,12.596,33500,
28/12/2006,12.172,12.257,12.172,12.257,8050,
29/12/2006,12.037,12.037,12.037,12.037,9600,
02/01/2007,11.897,12.037,11.897,12.037,10660,
03/01/2007,11.897,11.897,11.758,11.897,9870,
04/01/2007,11.976,11.976,11.893,11.893,14720,
05/01/2007,12.567,12.567,11.976,11.976,19610,
08/01/2007,12.875,13.156,12.875,12.875,21610,
09/01/2007,12.234,12.875,12.234,12.875,5450,
10/01/2007,12.037,12.234,12.037,12.234,7580,
11/01/2007,12.172,12.316,12.092,12.092,4040,
12/01/2007,12.201,12.201,12.177,12.177,11000,
15/01/2007,12.062,12.062,11.897,12.062,10430,
16/01/2007,12.286,12.286,12.062,12.062,3930,
17/01/2007,12.201,12.201,12.201,12.201,2680,
18/01/2007,12.316,12.316,12.316,12.316,2900,
19/01/2007,12.062,12.177,12.062,12.177,14610,
22/01/2007,11.474,12.062,11.474,12.062,7150,
23/01/2007,11.533,11.533,11.481,11.481,9000,
24/01/2007,12.037,12.037,12.037,12.037,9270,
25/01/2007,12.286,12.286,12.177,12.177,14950,
26/01/2007,12.875,12.875,12.596,12.596,22340,
29/01/2007,12.457,12.875,12.316,12.875,8190,
30/01/2007,13.075,13.075,12.791,12.791,16420,
31/01/2007,13.101,13.101,13.101,13.101,12950,
01/02/2007,12.875,13.101,12.875,13.101,5320,
02/02/2007,12.487,12.487,12.487,12.487,3480,
05/02/2007,12.875,12.875,12.487,12.487,17700,
06/02/2007,13.434,13.434,13.156,13.156,15200,
07/02/2007,14.0,14.0,14.0,14.0,31190,
08/02/2007,14.695,14.695,14.695,14.695,71910,
09/02/2007,14.0,14.695,14.0,14.695,34400,
12/02/2007,14.0,14.0,14.0,14.0,11600,
13/02/2007,14.338,14.338,14.338,14.338,4470,DIVIDEND
14/02/2007,14.338,14.338,14.338,14.338,6430,
15/02/2007,14.769,14.769,14.624,14.624,5490,
26/02/2007,15.34,15.34,14.338,14.769,28610,
27/02/2007,16.063,16.063,15.915,15.915,28440,
28/02/2007,16.632,16.778,16.632,16.632,41320,
