transDate,close,high,low,open,volume,event
15/08/2006,19.482,19.482,19.482,19.482,6790,
16/08/2006,20.457,20.457,19.157,19.157,48010,
17/08/2006,21.106,21.431,21.106,21.431,39600,
18/08/2006,20.457,20.457,20.457,20.457,17940,
21/08/2006,19.807,20.132,19.807,20.132,9600,
22/08/2006,18.962,18.962,18.962,18.962,11640,
23/08/2006,18.833,18.833,18.248,18.248,17820,
24/08/2006,19.482,19.482,19.288,19.482,11800,
25/08/2006,19.222,19.807,19.222,19.807,7650,
28/08/2006,20.132,20.132,19.807,19.807,10000,
29/08/2006,21.106,21.106,20.911,21.106,34230,
30/08/2006,22.144,22.144,21.949,21.949,36650,
31/08/2006,22.209,22.729,22.144,22.729,28430,
01/09/2006,23.054,23.054,22.599,22.599,40910,
05/09/2006,24.158,24.158,23.378,23.378,26190,
06/09/2006,23.508,25.002,23.508,25.002,19600,
07/09/2006,22.859,23.508,22.859,23.508,22520,
08/09/2006,23.119,23.119,22.534,22.534,21960,
11/09/2006,22.989,24.222,22.989,24.222,16300,
12/09/2006,23.704,24.093,23.704,24.093,74600,
13/09/2006,24.093,24.093,23.963,24.028,18510,
14/09/2006,24.028,24.353,24.028,24.353,32930,
15/09/2006,24.288,24.288,24.028,24.028,19490,
18/09/2006,23.768,24.028,23.768,24.028,16400,
19/09/2006,24.028,24.028,23.768,23.768,31190,
20/09/2006,24.158,24.353,24.158,24.158,24700,
21/09/2006,24.028,24.028,23.704,24.028,18790,
22/09/2006,24.353,24.353,24.093,24.093,26800,
25/09/2006,24.548,24.678,24.353,24.353,20020,
26/09/2006,25.002,25.002,24.807,24.807,19230,
27/09/2006,25.651,25.651,25.457,25.457,31640,
28/09/2006,25.197,25.328,25.067,25.328,14720,
29/09/2006,25.067,25.197,25.067,25.197,18400,
02/10/2006,24.937,25.067,24.937,25.067,8060,
03/10/2006,24.937,24.937,24.678,24.678,13600,
04/10/2006,24.678,24.873,24.678,24.678,8300,
05/10/2006,24.353,24.613,24.353,24.613,15660,
06/10/2006,24.353,24.353,24.028,24.028,10040,
09/10/2006,24.158,24.288,24.158,24.288,9200,
10/10/2006,23.704,24.028,23.119,23.119,950,
11/10/2006,23.704,23.704,23.704,23.704,1600,
12/10/2006,24.028,24.028,23.704,23.704,5380,
13/10/2006,23.899,24.028,23.899,24.028,12850,
16/10/2006,23.899,23.963,23.899,23.899,8590,
17/10/2006,23.054,23.704,23.054,23.704,3620,
18/10/2006,22.729,22.729,22.47,22.729,19580,
19/10/2006,23.704,23.704,22.729,22.729,1070,
20/10/2006,24.222,24.222,24.222,24.222,9030,
23/10/2006,23.508,24.222,23.378,24.222,13430,
