transDate,close,high,low,open,volume,event
30/12/2009,9.819,9.819,9.819,9.819,29960,
31/12/2009,10.284,10.284,10.284,10.284,95100,
04/01/2010,10.78,10.78,10.78,10.78,103200,
05/01/2010,10.815,11.316,10.707,11.316,121900,
06/01/2010,10.815,11.244,10.32,10.495,129990,
07/01/2010,10.422,10.67,10.422,10.495,79450,
08/01/2010,10.532,10.639,10.387,10.422,79340,
11/01/2010,11.027,11.027,10.997,11.027,102090,
12/01/2010,11.027,11.563,11.027,11.456,77560,
13/01/2010,10.495,11.063,10.495,11.027,46630,
14/01/2010,10.495,10.851,10.031,10.495,57240,
15/01/2010,9.995,10.495,9.995,9.995,50400,
18/01/2010,9.608,10.031,9.536,9.963,30320,
19/01/2010,9.891,10.068,9.251,9.251,39010,
20/01/2010,9.464,10.284,9.464,10.284,15530,
21/01/2010,9.428,9.784,9.0,9.464,36250,
22/01/2010,9.144,9.675,9.0,9.675,25580,
25/01/2010,9.179,9.251,8.714,9.251,35510,
26/01/2010,9.608,9.608,9.428,9.608,27590,
27/01/2010,9.144,9.784,9.144,9.784,33170,
28/01/2010,9.179,9.428,8.787,9.428,35200,
29/01/2010,9.391,9.571,9.251,9.571,30260,
01/02/2010,9.536,9.571,9.391,9.391,30870,
02/02/2010,9.571,9.928,9.288,9.928,33460,
03/02/2010,9.608,9.711,9.571,9.608,30700,
04/02/2010,9.608,9.608,9.251,9.608,38050,
05/02/2010,9.216,9.355,9.144,9.144,20800,
08/02/2010,9.072,9.536,9.034,9.536,19670,
09/02/2010,9.107,9.428,9.034,9.428,20840,
10/02/2010,9.216,9.428,9.179,9.428,14690,
11/02/2010,9.034,9.034,9.034,9.034,15320,
12/02/2010,9.179,9.428,9.072,9.179,17620,
22/02/2010,9.251,9.428,9.179,9.251,19180,
23/02/2010,9.216,9.251,9.179,9.251,21150,
24/02/2010,9.216,9.216,9.107,9.216,25380,
25/02/2010,9.216,9.5,9.179,9.216,32730,
26/02/2010,9.251,9.5,9.216,9.216,41380,
01/03/2010,9.428,9.428,9.251,9.251,41560,
02/03/2010,9.5,9.891,9.428,9.608,46790,
03/03/2010,9.608,9.608,9.5,9.536,52680,
04/03/2010,10.031,10.068,9.891,10.068,53180,
05/03/2010,10.532,10.532,10.532,10.532,27640,
08/03/2010,10.639,10.997,10.532,10.997,60130,
09/03/2010,10.67,10.67,10.639,10.639,93830,
10/03/2010,11.207,11.207,10.247,10.67,87300,
11/03/2010,11.739,11.739,11.316,11.563,79760,
12/03/2010,12.311,12.311,11.739,11.739,90740,
15/03/2010,12.311,12.916,12.167,12.916,65600,
16/03/2010,11.775,12.275,11.703,12.095,78220,
17/03/2010,11.703,12.095,11.703,11.739,72210,
18/03/2010,11.775,11.811,11.739,11.811,93520,
19/03/2010,12.349,12.349,11.775,11.847,97030,
22/03/2010,12.952,12.952,12.844,12.952,93860,
23/03/2010,13.59,13.59,13.446,13.484,143680,
24/03/2010,13.838,14.267,13.59,14.267,115160,
25/03/2010,13.198,13.344,13.163,13.344,88040,
26/03/2010,12.631,13.838,12.631,12.697,82230,
29/03/2010,12.095,12.77,12.022,12.631,111050,
30/03/2010,12.022,12.131,11.883,12.022,105500,
31/03/2010,11.072,11.072,10.91,11.072,107480,
01/04/2010,12.56,12.56,12.022,12.022,141270,
02/04/2010,12.697,13.163,12.349,12.451,154260,
05/04/2010,12.311,12.77,12.311,12.734,123510,
06/04/2010,12.203,12.56,12.167,12.522,85750,
07/04/2010,12.311,12.311,12.022,12.131,110450,
08/04/2010,12.275,12.275,12.131,12.131,77070,
09/04/2010,12.349,12.631,12.275,12.522,88570,
12/04/2010,12.275,12.275,12.275,12.275,87530,
13/04/2010,12.167,12.239,12.095,12.203,88470,
14/04/2010,11.954,12.167,11.672,11.703,77040,
15/04/2010,12.275,12.378,12.022,12.022,84430,
16/04/2010,12.451,12.451,12.349,12.416,87190,
19/04/2010,12.487,12.596,12.416,12.522,81590,
20/04/2010,12.487,12.522,12.167,12.167,61640,
21/04/2010,13.09,13.09,12.487,12.487,137050,
22/04/2010,13.73,13.73,13.73,13.73,111360,
26/04/2010,13.875,14.231,13.373,14.231,90480,
27/04/2010,13.663,13.7,13.411,13.663,66030,
28/04/2010,14.34,14.34,13.802,13.838,83860,
29/04/2010,14.726,15.015,14.586,14.943,59260,
04/05/2010,14.158,14.513,14.051,14.513,76160,
05/05/2010,13.663,14.304,13.663,14.051,90950,
