transDate,close,high,low,open,volume,event
05/07/2017,11.583,11.583,11.583,11.583,250340.0,
06/07/2017,12.375,12.375,12.333,12.375,267030.0,
07/07/2017,13.166,13.208,13.166,13.208,260810.0,
10/07/2017,12.25,13.166,12.25,13.166,172350.0,
11/07/2017,11.416,11.5,11.416,11.416,135340.0,
12/07/2017,11.5,11.5,10.625,10.625,177080.0,
13/07/2017,11.625,11.625,10.916,10.916,149000.0,
14/07/2017,11.416,11.625,11.208,11.625,163200.0,
17/07/2017,11.291,11.291,11.0,11.25,107930.0,
18/07/2017,11.291,11.291,10.666,10.833,85190.0,
19/07/2017,11.458,11.458,11.083,11.291,129460.0,
20/07/2017,11.291,11.5,11.25,11.416,96570.0,
21/07/2017,11.375,11.375,11.083,11.291,78820.0,
24/07/2017,11.083,11.125,10.875,10.875,78140.0,
25/07/2017,11.416,11.458,11.0,11.083,135820.0,
26/07/2017,11.541,11.541,11.083,11.333,101500.0,
27/07/2017,11.416,11.541,11.416,11.541,131150.0,
28/07/2017,11.625,11.625,11.416,11.416,108150.0,
31/07/2017,11.791,12.25,11.541,11.625,153380.0,
01/08/2017,11.666,11.708,11.625,11.625,105930.0,
02/08/2017,11.458,11.625,11.458,11.625,109650.0,
03/08/2017,11.458,11.5,11.25,11.25,110880.0,
04/08/2017,11.458,11.458,11.291,11.333,102350.0,
07/08/2017,11.583,11.583,11.375,11.416,107750.0,
08/08/2017,11.583,11.583,11.458,11.5,86990.0,
09/08/2017,11.5,11.5,11.25,11.416,105940.0,
10/08/2017,11.541,11.625,11.416,11.416,103440.0,
11/08/2017,11.583,11.666,11.458,11.541,118330.0,
14/08/2017,11.541,11.625,11.375,11.416,113600.0,
15/08/2017,11.458,11.541,11.375,11.541,106190.0,
16/08/2017,11.5,11.541,11.333,11.416,110850.0,
17/08/2017,11.458,11.5,11.416,11.416,99920.0,
18/08/2017,11.541,11.541,11.333,11.375,112280.0,
21/08/2017,11.541,11.583,11.458,11.458,118130.0,
22/08/2017,11.416,11.583,11.416,11.458,103560.0,
23/08/2017,11.583,11.583,11.291,11.375,105940.0,
24/08/2017,11.583,11.583,11.458,11.5,103320.0,
25/08/2017,11.583,11.666,11.5,11.583,101550.0,
28/08/2017,11.583,11.666,11.5,11.541,114860.0,
29/08/2017,11.5,11.583,11.458,11.458,114720.0,
30/08/2017,11.541,11.583,11.416,11.5,101110.0,
31/08/2017,11.541,11.625,11.5,11.541,112520.0,
01/09/2017,11.666,11.666,11.458,11.583,100060.0,
05/09/2017,11.5,11.541,11.458,11.5,116640.0,
06/09/2017,11.541,11.583,11.416,11.5,106020.0,
07/09/2017,11.541,11.625,11.5,11.541,91200.0,
08/09/2017,11.25,11.583,10.75,11.458,146540.0,
11/09/2017,11.375,11.416,11.25,11.25,104330.0,
12/09/2017,11.416,11.541,11.333,11.333,88190.0,
13/09/2017,11.458,11.458,11.25,11.333,89120.0,
14/09/2017,11.458,11.5,11.291,11.375,90090.0,
15/09/2017,11.416,11.5,11.25,11.333,102210.0,
18/09/2017,11.416,11.5,11.291,11.291,103170.0,
19/09/2017,11.458,11.5,11.333,11.375,107900.0,
20/09/2017,11.458,11.5,11.333,11.416,106700.0,
21/09/2017,11.5,11.583,11.375,11.458,110450.0,
22/09/2017,11.5,11.583,11.375,11.375,96430.0,
25/09/2017,11.416,11.5,11.291,11.333,102250.0,
26/09/2017,11.458,11.458,11.291,11.375,110390.0,
27/09/2017,11.416,11.458,11.25,11.291,93560.0,
28/09/2017,11.333,11.5,11.333,11.375,99110.0,
29/09/2017,11.5,11.5,11.333,11.333,94000.0,
02/10/2017,11.333,11.416,11.291,11.333,107220.0,
03/10/2017,11.333,11.416,11.291,11.375,100010.0,
04/10/2017,11.333,11.375,11.25,11.25,96730.0,
05/10/2017,11.416,11.416,11.291,11.333,102730.0,
06/10/2017,11.333,11.416,11.25,11.416,95680.0,
09/10/2017,11.375,11.416,11.333,11.333,126620.0,
10/10/2017,11.416,11.458,11.333,11.375,123780.0,
11/10/2017,11.458,11.5,11.375,11.416,119460.0,
12/10/2017,11.5,11.5,11.416,11.416,134540.0,
13/10/2017,11.583,11.583,11.416,11.5,119370.0,
16/10/2017,11.541,11.666,11.5,11.583,132530.0,
17/10/2017,11.541,11.625,11.458,11.5,146410.0,
18/10/2017,11.5,11.541,11.333,11.458,127810.0,
19/10/2017,11.583,11.625,11.416,11.5,115680.0,
20/10/2017,11.583,11.666,11.5,11.583,98620.0,
23/10/2017,11.625,11.666,11.5,11.583,91060.0,
24/10/2017,11.75,11.75,11.541,11.583,118650.0,
25/10/2017,12.083,12.291,11.833,11.833,173330.0,
26/10/2017,12.125,12.291,12.0,12.083,130260.0,
27/10/2017,12.166,12.25,11.833,12.0,171730.0,
30/10/2017,12.166,12.208,11.958,12.083,121890.0,
31/10/2017,12.0,12.166,11.875,12.0,122310.0,
01/11/2017,12.083,12.166,11.916,11.916,136640.0,
02/11/2017,12.0,12.25,12.0,12.083,170900.0,
03/11/2017,12.166,12.166,11.833,11.916,139430.0,
06/11/2017,12.5,12.625,12.25,12.333,136880.0,
07/11/2017,12.333,12.541,12.333,12.5,128000.0,
08/11/2017,12.333,12.416,12.166,12.25,127920.0,
09/11/2017,12.416,12.583,12.333,12.333,136520.0,
10/11/2017,12.458,12.5,12.375,12.416,121150.0,
13/11/2017,12.291,12.458,12.25,12.375,105630.0,
14/11/2017,12.291,12.333,12.166,12.25,121480.0,
15/11/2017,12.291,12.333,12.166,12.25,130600.0,
16/11/2017,12.333,12.416,12.291,12.291,110710.0,
17/11/2017,12.333,12.458,12.333,12.333,128960.0,
20/11/2017,12.416,12.458,12.25,12.291,136160.0,
21/11/2017,12.416,12.458,12.291,12.333,143480.0,
22/11/2017,12.75,12.75,12.416,12.416,210530.0,
23/11/2017,13.041,13.041,12.833,12.833,190290.0,
24/11/2017,13.166,13.333,13.083,13.291,223590.0,
27/11/2017,13.208,13.375,13.041,13.125,207590.0,
28/11/2017,13.125,13.25,13.083,13.166,183460.0,
29/11/2017,13.041,13.166,13.0,13.125,205660.0,
30/11/2017,13.416,13.416,12.958,13.0,238490.0,
01/12/2017,13.666,13.75,13.458,13.5,225900.0,
04/12/2017,13.875,13.958,13.708,13.75,212550.0,
05/12/2017,14.0,14.166,13.833,14.0,207460.0,
06/12/2017,13.75,14.0,13.75,14.0,214810.0,
07/12/2017,13.583,13.75,13.5,13.625,207410.0,
08/12/2017,13.5,13.625,13.416,13.458,212110.0,
11/12/2017,13.416,13.5,13.291,13.416,168110.0,
12/12/2017,13.5,13.5,13.166,13.333,214610.0,
13/12/2017,13.5,13.583,13.333,13.583,175980.0,
14/12/2017,13.5,13.5,13.208,13.416,144300.0,
15/12/2017,13.625,13.625,13.375,13.5,166010.0,
18/12/2017,13.75,13.791,13.583,13.583,170160.0,
19/12/2017,13.708,13.875,13.666,13.75,159830.0,
20/12/2017,13.833,13.875,13.625,13.666,175840.0,
21/12/2017,13.875,13.958,13.75,13.833,164800.0,
22/12/2017,14.0,14.041,13.833,13.833,173810.0,
25/12/2017,13.916,14.0,13.708,13.833,147290.0,
26/12/2017,13.833,14.0,13.833,13.916,128360.0,
27/12/2017,13.666,13.875,13.625,13.833,120350.0,
28/12/2017,13.625,13.666,13.5,13.625,107040.0,
29/12/2017,13.625,13.666,13.583,13.666,112510.0,
02/01/2018,13.75,13.75,13.625,13.625,150560.0,
03/01/2018,13.833,13.916,13.75,13.791,143960.0,
04/01/2018,13.75,13.833,13.708,13.791,132250.0,
05/01/2018,13.833,13.875,13.708,13.708,115790.0,
08/01/2018,13.875,13.875,13.666,13.75,223870.0,
09/01/2018,14.0,14.083,13.833,13.875,205740.0,
10/01/2018,14.125,14.208,14.041,14.041,225690.0,
11/01/2018,14.083,14.208,13.958,14.166,206920.0,
12/01/2018,13.958,14.083,13.875,14.0,190580.0,
15/01/2018,13.958,14.0,13.75,13.916,170500.0,
16/01/2018,13.916,14.0,13.75,13.833,170620.0,
17/01/2018,13.833,13.958,13.833,13.916,161960.0,
18/01/2018,13.708,13.75,13.583,13.75,142530.0,
19/01/2018,13.708,13.75,13.625,13.666,156010.0,
22/01/2018,13.958,14.0,13.708,13.708,178400.0,
25/01/2018,14.041,14.125,14.0,14.0,166930.0,
26/01/2018,14.041,14.125,13.916,14.083,161450.0,
29/01/2018,13.916,14.125,13.916,13.958,174650.0,
30/01/2018,13.833,13.916,13.75,13.791,177240.0,
