transDate,close,high,low,open,volume,event
08/09/2010,6.521,6.521,6.521,6.521,2500,
09/09/2010,6.521,6.521,6.521,6.521,9900,
10/09/2010,6.521,6.521,6.521,6.521,100,
13/09/2010,6.087,6.087,6.087,6.087,1000,
14/09/2010,6.305,6.521,5.869,6.521,6200,
15/09/2010,6.305,6.521,6.305,6.521,8000,
16/09/2010,6.521,6.521,6.441,6.441,33700,
17/09/2010,6.521,6.607,6.521,6.521,26900,
20/09/2010,7.288,7.288,7.288,7.288,34400,
21/09/2010,6.566,6.566,6.527,6.527,41400,
22/09/2010,6.607,6.607,6.566,6.566,6300,
23/09/2010,6.607,6.607,6.607,6.607,5400,
24/09/2010,7.268,7.268,6.607,6.607,5300,
27/09/2010,7.179,7.352,7.179,7.352,7100,
28/09/2010,6.958,6.958,6.958,6.958,6300,
29/09/2010,6.737,6.914,6.737,6.914,2800,
30/09/2010,6.958,6.958,6.696,6.696,20200,
01/10/2010,6.87,6.87,6.87,6.87,300,
04/10/2010,6.782,6.782,6.782,6.782,4000,
05/10/2010,7.288,7.288,7.288,7.288,26673,
06/10/2010,7.288,7.384,7.288,7.384,10300,
07/10/2010,6.521,6.521,6.483,6.483,11300,
08/10/2010,6.607,6.737,6.607,6.737,2100,
11/10/2010,6.652,6.737,6.652,6.737,1500,
12/10/2010,6.696,6.696,6.696,6.696,5100,
13/10/2010,6.521,6.566,6.521,6.566,9700,
14/10/2010,6.521,6.521,6.521,6.521,0,
15/10/2010,6.521,6.521,6.521,6.521,18679,
18/10/2010,6.521,6.521,6.521,6.521,0,
19/10/2010,6.521,6.521,6.521,6.521,0,
20/10/2010,6.607,6.607,6.607,6.607,25000,
21/10/2010,6.305,6.435,6.305,6.435,8700,
22/10/2010,6.521,6.614,6.521,6.614,11700,
25/10/2010,7.288,7.288,7.288,7.288,6800,
26/10/2010,7.288,7.288,7.288,7.288,0,
27/10/2010,6.805,6.805,6.805,6.805,2000,
28/10/2010,6.805,6.805,6.805,6.805,0,
29/10/2010,7.288,7.288,7.288,7.288,2200,
01/11/2010,6.521,6.521,6.521,6.521,0,
02/11/2010,6.521,6.521,6.521,6.521,0,
03/11/2010,6.521,6.521,6.521,6.521,0,
04/11/2010,6.521,6.521,6.521,6.521,0,
05/11/2010,6.521,6.521,6.521,6.521,0,
08/11/2010,6.044,6.044,6.044,6.044,6100,
09/11/2010,6.521,6.521,6.521,6.521,200,
10/11/2010,6.521,6.521,6.521,6.521,0,
11/11/2010,6.521,6.521,6.521,6.521,0,
12/11/2010,6.521,6.521,6.521,6.521,0,
15/11/2010,6.521,6.521,6.521,6.521,0,
16/11/2010,6.521,6.521,6.521,6.521,14640,
17/11/2010,6.521,6.521,6.521,6.521,0,
