transDate,close,high,low,open,volume,event
30/10/2006,4.445,4.445,4.445,4.445,37970,
31/10/2006,4.667,4.667,4.448,4.448,82710,
01/11/2006,4.89,4.89,4.89,4.89,8400,
02/11/2006,5.126,5.126,5.126,5.126,123960,
03/11/2006,5.005,5.126,4.989,5.126,189180,
06/11/2006,4.989,5.005,4.989,5.005,113810,
07/11/2006,5.005,5.005,4.989,4.989,70370,
08/11/2006,5.018,5.031,5.018,5.018,43900,
09/11/2006,5.126,5.126,5.071,5.071,52220,
10/11/2006,5.005,5.141,5.005,5.126,42620,
13/11/2006,5.005,5.027,5.005,5.005,16810,
14/11/2006,5.005,5.027,5.005,5.005,78050,
15/11/2006,4.933,5.005,4.933,5.005,24120,
16/11/2006,4.877,4.933,4.866,4.933,21360,
17/11/2006,4.824,4.877,4.824,4.877,37880,
20/11/2006,4.809,4.866,4.809,4.824,19470,
21/11/2006,4.652,4.723,4.652,4.723,33080,
22/11/2006,4.516,4.586,4.516,4.586,24060,
23/11/2006,4.738,4.738,4.658,4.658,31240,
24/11/2006,4.975,4.975,4.975,4.975,29870,
27/11/2006,5.211,5.211,5.211,5.211,235520,
28/11/2006,5.42,5.42,5.225,5.225,144710,
29/11/2006,5.32,5.42,5.277,5.42,80610,
30/11/2006,5.349,5.349,5.32,5.32,41150,
01/12/2006,5.211,5.349,5.211,5.349,35470,
04/12/2006,5.277,5.349,5.277,5.277,20550,
05/12/2006,5.277,5.277,5.071,5.277,32610,
06/12/2006,5.225,5.283,5.225,5.283,22970,
07/12/2006,5.071,5.071,5.042,5.071,39240,
08/12/2006,5.071,5.071,5.071,5.071,2390,
11/12/2006,5.32,5.32,5.071,5.071,96010,
12/12/2006,5.32,5.559,5.32,5.32,66080,
13/12/2006,5.277,5.32,5.277,5.32,44200,
14/12/2006,5.113,5.211,5.113,5.211,54590,
15/12/2006,5.141,5.199,5.141,5.141,61500,
18/12/2006,5.141,5.141,5.141,5.141,62960,
19/12/2006,5.349,5.349,5.349,5.349,86240,
20/12/2006,5.349,5.349,5.349,5.349,24790,
21/12/2006,5.277,5.349,5.277,5.349,138000,
22/12/2006,5.141,5.277,5.141,5.277,27940,
25/12/2006,5.225,5.225,5.018,5.141,7270,
26/12/2006,5.277,5.292,5.277,5.277,39950,
27/12/2006,5.277,5.277,5.265,5.277,32910,
28/12/2006,5.169,5.277,5.169,5.277,28450,
29/12/2006,5.141,5.141,5.071,5.141,27700,
02/01/2007,5.211,5.211,5.141,5.141,11650,
03/01/2007,5.199,5.199,5.141,5.199,7600,
04/01/2007,5.211,5.277,5.141,5.199,30330,
05/01/2007,5.211,5.211,5.211,5.211,58600,
08/01/2007,5.459,5.459,5.277,5.277,145240,
09/01/2007,5.723,5.723,5.723,5.723,70060,
10/01/2007,6.003,6.003,6.003,6.003,57890,
11/01/2007,6.292,6.292,6.292,6.292,79250,
12/01/2007,6.529,6.601,6.392,6.392,155930,
15/01/2007,6.212,6.529,6.212,6.529,48410,
16/01/2007,6.044,6.044,5.975,6.044,52070,
17/01/2007,6.044,6.256,6.044,6.044,62440,
18/01/2007,6.335,6.335,6.04,6.04,43060,
19/01/2007,6.256,6.256,6.256,6.256,59020,
22/01/2007,6.461,6.558,6.392,6.392,142320,
23/01/2007,6.78,6.78,6.78,6.78,112130,
24/01/2007,7.088,7.088,7.088,7.088,29700,
25/01/2007,6.808,7.434,6.808,7.088,195670,
26/01/2007,6.947,6.947,6.808,6.808,62770,
29/01/2007,7.298,7.298,7.298,7.298,63670,
30/01/2007,7.644,7.644,7.644,7.644,94410,
31/01/2007,7.78,7.921,7.644,7.644,67100,
01/02/2007,7.644,7.78,7.644,7.78,34310,
02/02/2007,7.363,7.363,7.363,7.363,11710,
05/02/2007,7.088,7.505,7.088,7.363,35430,
06/02/2007,7.363,7.363,7.363,7.363,39490,
07/02/2007,7.505,7.571,7.505,7.505,77140,
08/02/2007,7.571,7.644,7.571,7.571,25900,
09/02/2007,7.225,7.225,7.225,7.225,15150,
12/02/2007,7.434,7.434,7.225,7.225,41980,
13/02/2007,7.78,7.78,7.78,7.78,65040,
14/02/2007,8.13,8.13,8.13,8.13,65150,
15/02/2007,8.477,8.477,8.477,8.477,28020,
26/02/2007,8.893,8.893,8.822,8.822,2950,
27/02/2007,9.31,9.31,9.31,9.31,17610,
28/02/2007,9.31,9.726,9.31,9.31,75140,
01/03/2007,9.31,9.31,9.31,9.31,54490,
02/03/2007,9.31,9.31,9.31,9.31,53370,
05/03/2007,9.585,9.726,9.585,9.585,85830,
06/03/2007,10.002,10.002,10.002,10.002,68510,
07/03/2007,10.491,10.491,10.491,10.491,49320,
08/03/2007,10.978,10.978,10.978,10.978,83480,
09/03/2007,11.461,11.461,11.461,11.461,31100,
12/03/2007,11.949,12.02,11.949,11.949,79520,
13/03/2007,11.395,11.395,11.395,11.395,50680,
14/03/2007,10.835,10.978,10.835,10.978,23360,
15/03/2007,10.353,10.353,10.353,10.353,5420,
16/03/2007,10.353,10.353,9.865,10.353,56880,
19/03/2007,10.835,10.835,10.769,10.769,76270,
20/03/2007,10.353,11.116,10.353,10.835,86870,
21/03/2007,10.073,10.353,10.073,10.353,52950,
22/03/2007,9.585,9.865,9.585,9.865,57410,
