transDate,close,high,low,open,volume,event
30/07/2010,7.433,7.433,5.872,5.872,31100,
02/08/2010,7.276,7.276,7.238,7.276,11000,
03/08/2010,7.433,7.789,7.433,7.789,9800,
04/08/2010,7.12,7.433,7.12,7.433,900,
05/08/2010,6.769,6.848,6.769,6.769,6700,
06/08/2010,6.301,6.301,6.301,6.301,6600,
09/08/2010,5.872,5.872,5.872,5.872,12000,
10/08/2010,5.673,5.673,5.478,5.478,17400,
11/08/2010,5.478,5.75,5.125,5.164,22600,
12/08/2010,5.321,5.834,5.282,5.282,4600,
13/08/2010,5.478,5.989,5.478,5.989,500,
16/08/2010,5.834,6.066,5.321,6.066,5100,
17/08/2010,5.36,5.399,5.36,5.399,6600,
18/08/2010,5.164,5.164,5.007,5.047,14200,
19/08/2010,4.736,5.086,4.698,5.086,4000,
20/08/2010,5.047,5.047,5.007,5.007,3300,
23/08/2010,5.125,5.125,5.086,5.086,6100,
24/08/2010,4.775,4.813,4.775,4.813,3200,
25/08/2010,4.462,4.462,4.462,4.462,9600,
26/08/2010,4.618,4.658,4.618,4.658,3700,
27/08/2010,4.618,4.618,4.618,4.618,300,
30/08/2010,4.892,4.892,4.736,4.736,7000,
31/08/2010,4.775,4.931,4.736,4.736,1900,
01/09/2010,4.813,4.931,4.813,4.892,7500,
06/09/2010,5.007,5.164,4.892,4.892,31900,
07/09/2010,5.321,5.321,5.242,5.242,14000,
08/09/2010,5.673,5.673,5.673,5.673,60100,
09/09/2010,6.066,6.066,6.066,6.066,24100,
10/09/2010,6.457,6.457,6.418,6.457,104100,
13/09/2010,6.887,6.887,6.457,6.887,102600,
14/09/2010,7.316,7.316,7.238,7.276,98600,
15/09/2010,7.354,7.827,6.848,7.316,68400,
16/09/2010,7.043,7.043,7.043,7.043,1000,
17/09/2010,7.316,7.354,6.574,6.574,148200,
20/09/2010,7.276,7.276,7.276,7.276,64900,
21/09/2010,6.887,7.789,6.887,7.749,47400,
22/09/2010,7.043,7.316,6.73,7.316,26600,
23/09/2010,6.691,7.043,6.574,7.043,58800,
24/09/2010,6.497,6.848,6.497,6.848,16600,
27/09/2010,6.261,6.457,6.184,6.222,53000,
28/09/2010,6.497,6.612,6.066,6.457,17100,
29/09/2010,5.872,6.105,5.872,5.95,39400,
30/09/2010,5.673,6.184,5.516,6.184,50100,
01/10/2010,5.516,5.95,5.516,5.594,7500,
04/10/2010,5.36,5.399,5.36,5.36,27600,
05/10/2010,5.125,5.554,5.125,5.282,6200,
06/10/2010,5.633,5.633,5.399,5.478,35200,
07/10/2010,5.989,5.989,5.872,5.872,93200,
08/10/2010,5.872,6.184,5.711,6.184,5900,
11/10/2010,5.872,5.872,5.872,5.872,2600,
12/10/2010,5.478,5.872,5.478,5.872,26200,
13/10/2010,5.399,5.439,5.125,5.202,22100,
14/10/2010,5.086,5.399,4.931,5.399,26300,
15/10/2010,5.282,5.282,5.086,5.282,2800,
18/10/2010,5.007,5.282,4.931,5.282,10600,
19/10/2010,4.813,4.931,4.775,4.931,31300,
20/10/2010,4.502,4.698,4.502,4.698,26100,
21/10/2010,4.579,4.698,4.502,4.618,18200,
22/10/2010,4.462,4.462,4.422,4.462,13600,
25/10/2010,4.618,4.698,4.189,4.307,16800,
26/10/2010,4.618,4.618,4.618,4.618,13700,
27/10/2010,4.698,4.931,4.618,4.931,2900,
28/10/2010,4.462,4.54,4.462,4.54,2700,
29/10/2010,4.618,4.736,4.462,4.698,11200,
01/11/2010,4.502,4.502,4.422,4.462,1500,
02/11/2010,4.228,4.384,4.189,4.384,16600,
03/11/2010,3.989,4.268,3.989,4.268,17700,
04/11/2010,4.106,4.189,4.028,4.15,14700,
05/11/2010,4.422,4.422,4.346,4.346,19500,
08/11/2010,4.189,4.189,4.189,4.189,3100,
09/11/2010,3.95,3.989,3.911,3.989,12800,
10/11/2010,3.989,4.067,3.95,4.067,10200,
11/11/2010,4.028,4.028,3.95,4.028,10700,
12/11/2010,3.873,4.028,3.795,4.028,14200,
15/11/2010,3.873,3.873,3.873,3.873,1500,
16/11/2010,3.639,3.755,3.639,3.755,14600,
17/11/2010,3.639,3.677,3.639,3.677,5600,
18/11/2010,3.873,3.911,3.795,3.833,11100,
19/11/2010,3.639,3.795,3.639,3.795,22200,
22/11/2010,3.639,3.716,3.599,3.677,4800,
23/11/2010,3.795,3.795,3.755,3.755,5900,
24/11/2010,3.833,3.989,3.716,3.989,13800,
25/11/2010,3.999,4.083,3.916,3.916,14100,DIVIDEND
26/11/2010,3.795,3.999,3.795,3.96,11500,
29/11/2010,4.083,4.083,3.877,3.877,5300,
30/11/2010,4.248,4.248,4.125,4.248,30000,
01/12/2010,4.286,4.535,4.248,4.248,23500,
02/12/2010,4.414,4.496,4.286,4.496,16200,
03/12/2010,4.658,4.658,4.535,4.535,53100,
06/12/2010,4.783,4.907,4.741,4.741,25700,
07/12/2010,4.496,4.95,4.496,4.95,29100,
08/12/2010,4.369,4.414,4.369,4.414,14100,
09/12/2010,4.369,4.369,4.083,4.125,18900,
10/12/2010,4.453,4.453,4.414,4.453,10300,
13/12/2010,4.741,4.741,4.741,4.741,14400,
14/12/2010,4.414,5.033,4.414,5.033,14600,
15/12/2010,4.414,4.618,4.248,4.618,11800,
16/12/2010,4.125,4.496,4.125,4.125,2400,
17/12/2010,4.331,4.331,3.999,4.043,11600,
20/12/2010,3.96,4.043,3.96,4.043,10300,
21/12/2010,4.125,4.125,3.999,3.999,2600,
22/12/2010,4.043,4.125,3.999,4.125,4100,
23/12/2010,3.877,3.999,3.833,3.999,11200,
24/12/2010,3.877,3.999,3.833,3.96,7500,
27/12/2010,3.916,3.916,3.877,3.916,3600,
28/12/2010,4.125,4.125,4.125,4.125,1300,
29/12/2010,3.916,4.286,3.916,4.286,400,
30/12/2010,4.123,4.123,3.917,4.123,3000,
31/12/2010,4.165,4.165,4.041,4.123,7500,
04/01/2011,4.123,4.123,3.958,3.958,1800,
05/01/2011,3.917,4.165,3.917,4.165,1800,
06/01/2011,3.958,4.041,3.795,3.795,1400,
07/01/2011,3.917,4.041,3.795,3.877,6700,
10/01/2011,3.917,3.917,3.629,3.67,5000,
11/01/2011,3.712,3.835,3.629,3.752,5200,
12/01/2011,3.795,3.835,3.752,3.835,700,
13/01/2011,3.588,3.795,3.588,3.795,13600,
14/01/2011,3.835,3.835,3.795,3.795,6700,
17/01/2011,3.835,3.917,3.835,3.917,1400,
18/01/2011,3.958,4.083,3.752,4.0,2100,
19/01/2011,3.795,4.123,3.795,4.123,3900,
20/01/2011,3.877,4.0,3.877,4.0,9200,
21/01/2011,3.917,4.0,3.877,4.0,3800,
24/01/2011,3.958,3.958,3.877,3.877,3600,
25/01/2011,4.123,4.123,3.958,3.958,1000,
26/01/2011,4.123,4.123,4.123,4.123,500,
