transDate,close,high,low,open,volume,event
25/12/2006,12.949,13.818,12.088,12.088,3000,
26/12/2006,23.596,23.596,23.596,23.596,0,
27/12/2006,25.17,25.17,25.17,25.17,0,
28/12/2006,23.596,23.596,23.596,23.596,0,
29/12/2006,23.596,23.596,23.596,23.596,0,
02/01/2007,11.328,11.328,11.328,11.328,3000,
03/01/2007,11.868,12.205,11.234,11.649,5000,
04/01/2007,11.868,11.868,11.868,11.868,1100,
05/01/2007,23.071,23.071,23.071,23.071,0,
08/01/2007,12.142,12.142,12.142,12.142,3000,
09/01/2007,23.596,23.596,23.596,23.596,0,
10/01/2007,23.596,23.596,23.596,23.596,0,
11/01/2007,23.596,23.596,23.596,23.596,0,
12/01/2007,23.596,23.596,23.596,23.596,0,
15/01/2007,23.596,23.596,23.596,23.596,0,
16/01/2007,23.596,23.596,23.596,23.596,0,
17/01/2007,11.328,11.328,11.328,11.328,2000,
18/01/2007,11.328,11.328,10.788,11.226,5000,
19/01/2007,11.328,11.328,11.328,11.328,1900,
22/01/2007,22.022,22.022,22.022,22.022,0,
23/01/2007,22.022,22.022,22.022,22.022,0,
24/01/2007,22.022,22.022,22.022,22.022,0,
25/01/2007,22.022,22.022,22.022,22.022,0,
26/01/2007,22.022,22.022,22.022,22.022,0,
29/01/2007,12.142,12.142,12.142,12.142,1000,
30/01/2007,13.355,13.355,13.355,13.355,2000,
31/01/2007,14.679,14.679,14.679,14.679,2000,
01/02/2007,28.52,28.52,28.52,28.52,0,
02/02/2007,16.135,16.135,16.135,16.135,4700,
05/02/2007,17.724,17.724,17.724,17.724,3400,
06/02/2007,19.478,19.478,19.478,19.478,3500,
07/02/2007,21.419,21.419,21.419,21.419,1100,
08/02/2007,23.549,23.549,23.549,23.549,5400,
09/02/2007,25.898,25.898,25.764,25.764,9100,
12/02/2007,28.465,28.489,28.465,28.465,8200,
13/02/2007,28.324,28.356,28.324,28.324,3600,
14/02/2007,55.051,55.051,55.051,55.051,0,
15/02/2007,28.324,31.158,26.978,27.949,3500,
26/02/2007,30.727,30.727,30.727,30.727,2600,
27/02/2007,33.773,33.773,33.726,33.726,5000,
28/02/2007,37.1,37.147,37.1,37.1,9600,
01/03/2007,37.766,39.12,37.688,37.688,3600,
02/03/2007,38.072,38.072,37.609,37.875,4100,
05/03/2007,37.367,38.04,37.367,37.609,11000,
06/03/2007,37.367,38.314,37.233,37.5,9900,
07/03/2007,37.233,40.466,37.233,37.5,6400,
08/03/2007,37.5,39.12,34.587,37.367,13500,
09/03/2007,37.766,37.766,37.226,37.367,14100,
12/03/2007,36.959,37.233,33.695,36.451,2400,
13/03/2007,33.726,36.56,33.726,34.751,3600,
14/03/2007,33.452,34.533,32.645,33.937,2500,
15/03/2007,32.645,32.645,31.026,31.887,2500,
16/03/2007,34.258,34.258,28.708,31.887,8200,
19/03/2007,34.533,35.48,32.645,32.645,5400,
20/03/2007,32.372,34.533,31.026,31.996,5000,
21/03/2007,31.831,31.996,31.291,31.73,3300,
22/03/2007,31.566,32.372,31.026,31.73,3800,
23/03/2007,31.432,31.566,31.026,31.268,4600,
26/03/2007,60.767,60.767,60.767,60.767,0,
27/03/2007,28.324,28.324,28.324,28.324,100,
28/03/2007,29.679,29.679,25.498,26.978,3700,
29/03/2007,28.324,28.324,28.324,28.324,3400,
30/03/2007,29.647,31.026,28.324,28.324,3400,
02/04/2007,29.679,29.679,29.679,29.679,1200,
03/04/2007,57.674,57.674,57.674,57.674,0,
04/04/2007,29.138,29.138,28.333,28.841,1400,
05/04/2007,26.978,28.324,26.978,27.276,900,
06/04/2007,26.438,26.978,26.438,26.712,400,
09/04/2007,24.825,25.091,24.825,24.958,2000,
10/04/2007,23.47,25.631,23.47,24.277,3000,
11/04/2007,23.337,24.066,22.93,23.205,4500,
12/04/2007,23.393,23.878,23.393,23.393,1500,
13/04/2007,22.93,23.737,22.93,23.337,2800,
16/04/2007,21.584,22.93,21.584,21.717,1100,
17/04/2007,19.963,19.963,19.557,19.775,6100,
18/04/2007,21.748,21.748,20.237,20.237,7300,
19/04/2007,22.39,22.985,22.39,22.39,1800,
20/04/2007,21.317,21.85,21.317,21.505,900,
23/04/2007,19.987,21.31,19.963,20.339,2500,
24/04/2007,20.237,21.044,20.237,20.339,2900,
25/04/2007,21.317,21.317,20.371,20.394,1900,
02/05/2007,22.257,22.257,22.257,22.257,700,
03/05/2007,21.584,22.257,21.584,21.905,900,
04/05/2007,21.584,21.584,21.584,21.584,1000,
07/05/2007,21.317,21.317,21.317,21.317,1800,
08/05/2007,21.584,22.124,21.317,21.317,2400,
09/05/2007,21.584,21.858,21.044,21.396,2400,
10/05/2007,20.503,20.503,20.503,20.503,100,
11/05/2007,20.777,20.777,20.292,20.503,4500,
14/05/2007,21.717,21.717,21.717,21.717,200,
15/05/2007,21.317,21.717,20.237,21.122,3100,
16/05/2007,20.503,20.911,20.371,20.668,2800,
