transDate,close,high,low,open,volume,event
20/05/2014,6.505,6.505,4.879,5.421,15000,
21/05/2014,5.637,5.637,5.637,5.637,0,
22/05/2014,5.15,5.204,5.15,5.204,200,
23/05/2014,4.716,4.716,4.716,4.716,300,
26/05/2014,4.39,4.39,4.39,4.39,100,
27/05/2014,3.958,3.958,3.958,3.958,100,
28/05/2014,3.958,3.958,3.958,3.958,0,
29/05/2014,3.958,3.958,3.958,3.958,0,
30/05/2014,3.958,3.958,3.958,3.958,0,
02/06/2014,3.958,3.958,3.958,3.958,0,
03/06/2014,3.958,3.958,3.958,3.958,0,
04/06/2014,3.958,3.958,3.958,3.958,0,
05/06/2014,3.958,3.958,3.958,3.958,0,
06/06/2014,3.958,3.958,3.958,3.958,0,
09/06/2014,3.958,3.958,3.958,3.958,0,
10/06/2014,3.958,3.958,3.958,3.958,0,
11/06/2014,3.958,3.958,3.958,3.958,10000,
12/06/2014,3.958,3.958,3.958,3.958,0,
13/06/2014,3.958,3.958,3.958,3.958,0,
16/06/2014,3.958,3.958,3.958,3.958,0,
17/06/2014,3.958,3.958,3.958,3.958,0,
18/06/2014,3.958,4.011,3.958,4.011,1100,
19/06/2014,4.011,4.011,4.011,4.011,0,
20/06/2014,4.011,4.39,4.011,4.39,600,
23/06/2014,4.066,4.066,4.066,4.066,0,
24/06/2014,4.066,4.066,4.066,4.066,0,
25/06/2014,4.066,4.066,4.066,4.066,0,
26/06/2014,4.066,4.066,4.066,4.066,0,
27/06/2014,4.066,4.066,4.066,4.066,0,
30/06/2014,4.066,4.066,4.066,4.066,0,
01/07/2014,4.066,4.066,4.066,4.066,0,
02/07/2014,4.066,4.066,4.066,4.066,0,
03/07/2014,4.066,4.066,4.066,4.066,0,
04/07/2014,4.066,4.066,4.066,4.066,0,
07/07/2014,4.066,4.066,4.066,4.066,0,
08/07/2014,4.066,4.066,4.066,4.066,0,
09/07/2014,4.066,4.066,4.066,4.066,0,
10/07/2014,4.066,4.066,4.066,4.066,0,
11/07/2014,4.066,4.066,4.066,4.066,0,
14/07/2014,4.066,4.066,4.066,4.066,0,
15/07/2014,4.066,4.066,4.066,4.066,0,
16/07/2014,4.066,4.066,4.066,4.066,0,
17/07/2014,4.066,4.066,4.066,4.066,0,
18/07/2014,4.066,4.066,4.066,4.066,0,
21/07/2014,4.066,4.066,4.066,4.066,0,
22/07/2014,4.066,4.066,4.066,4.066,0,
23/07/2014,4.066,4.066,4.066,4.066,0,
24/07/2014,4.066,4.066,4.066,4.066,0,
25/07/2014,4.066,4.066,4.066,4.066,0,
28/07/2014,4.066,4.066,4.066,4.066,0,
29/07/2014,4.066,4.066,4.066,4.066,0,
30/07/2014,4.066,4.066,4.066,4.066,0,
31/07/2014,4.066,4.066,4.066,4.066,0,
01/08/2014,4.066,4.066,4.066,4.066,0,
04/08/2014,4.066,4.066,4.066,4.066,0,
05/08/2014,4.066,4.066,4.066,4.066,0,
06/08/2014,4.066,4.066,4.066,4.066,0,
07/08/2014,4.066,4.066,4.066,4.066,0,
08/08/2014,4.066,4.066,4.066,4.066,0,
11/08/2014,4.066,4.066,4.066,4.066,0,
12/08/2014,2.44,2.44,2.44,2.44,2300,
13/08/2014,2.44,2.44,2.44,2.44,0,
14/08/2014,2.44,2.44,2.44,2.44,0,
15/08/2014,2.44,2.44,2.44,2.44,0,
18/08/2014,2.494,2.494,2.222,2.331,9500,
19/08/2014,2.331,2.331,2.331,2.331,0,
20/08/2014,2.331,2.331,2.331,2.331,0,
21/08/2014,2.547,2.547,2.547,2.547,30000,
22/08/2014,2.765,2.765,2.765,2.765,12000,
25/08/2014,2.765,2.765,2.765,2.765,0,
26/08/2014,3.036,3.036,3.036,3.036,100,
27/08/2014,3.036,3.036,3.036,3.036,0,
28/08/2014,3.036,3.036,3.036,3.036,0,
29/08/2014,3.307,3.307,3.307,3.307,100,
03/09/2014,3.632,3.632,3.632,3.632,100,
04/09/2014,3.632,3.632,3.632,3.632,0,
05/09/2014,3.958,3.958,3.958,3.958,100,
08/09/2014,3.958,3.958,3.958,3.958,0,
09/09/2014,4.336,4.336,4.336,4.336,100,
10/09/2014,4.336,4.336,4.336,4.336,0,
11/09/2014,4.39,4.771,4.39,4.771,1800,
