transDate,close,high,low,open,volume,event
26/09/2012,11.7,11.7,10.5,11.7,31600,
27/09/2012,12.1,12.3,11.6,12.2,27500,
28/09/2012,12.3,12.3,12.0,12.3,29000,
01/10/2012,12.2,12.2,12.2,12.2,10400,
02/10/2012,11.7,11.8,11.7,11.8,14500,
03/10/2012,11.3,11.7,11.3,11.5,16200,
04/10/2012,10.6,11.2,10.6,11.0,25400,
05/10/2012,9.9,10.3,9.9,9.9,32400,
08/10/2012,9.4,9.6,9.3,9.5,83100,
09/10/2012,9.4,9.5,8.8,9.4,62900,
10/10/2012,9.0,9.3,9.0,9.2,34500,
11/10/2012,9.6,9.6,9.0,9.0,82000,
12/10/2012,9.0,9.8,9.0,9.6,49300,
15/10/2012,8.5,9.0,8.5,9.0,62800,
16/10/2012,9.2,9.2,8.3,8.8,64200,
17/10/2012,8.7,9.2,8.7,9.2,14200,
18/10/2012,8.6,8.9,8.3,8.5,77500,
19/10/2012,8.2,8.3,8.1,8.1,45700,
22/10/2012,8.2,8.3,8.0,8.3,32000,
23/10/2012,8.3,8.3,8.1,8.2,26500,
24/10/2012,8.3,8.3,8.3,8.3,11000,
25/10/2012,8.2,8.3,8.2,8.3,23200,
26/10/2012,8.3,8.3,8.1,8.2,30700,
29/10/2012,8.3,8.3,8.3,8.3,6000,
30/10/2012,8.3,8.4,8.3,8.3,29400,
31/10/2012,8.4,8.4,8.3,8.3,28600,
01/11/2012,8.4,8.5,8.4,8.5,21000,
02/11/2012,8.1,8.3,8.1,8.3,17000,
05/11/2012,8.2,8.2,8.1,8.2,39300,
06/11/2012,8.1,8.2,8.0,8.1,33600,
07/11/2012,8.6,8.6,8.6,8.6,100,
08/11/2012,8.6,8.6,8.6,8.6,0,
09/11/2012,8.6,8.6,8.6,8.6,0,
12/11/2012,8.6,8.6,8.6,8.6,0,
13/11/2012,8.9,8.9,8.9,8.9,100,
14/11/2012,9.5,9.5,9.5,9.5,100,
15/11/2012,9.5,9.5,9.5,9.5,0,
16/11/2012,9.5,9.5,9.5,9.5,0,
19/11/2012,9.5,9.5,9.5,9.5,0,
20/11/2012,10.1,10.1,10.1,10.1,2000,
21/11/2012,10.8,10.8,10.1,10.1,39000,
22/11/2012,11.5,11.5,11.5,11.5,2000,
23/11/2012,12.3,12.3,12.2,12.2,8500,
26/11/2012,13.1,13.1,12.9,12.9,93200,
27/11/2012,14.0,14.0,14.0,14.0,196900,
28/11/2012,14.0,14.1,14.0,14.1,104000,
29/11/2012,14.0,14.3,14.0,14.2,135900,
30/11/2012,14.0,14.0,14.0,14.0,47300,
03/12/2012,14.0,14.1,14.0,14.1,60800,
04/12/2012,14.0,14.3,14.0,14.1,69500,
05/12/2012,14.0,14.1,14.0,14.1,70700,
06/12/2012,13.8,14.1,13.8,14.1,75700,
07/12/2012,13.9,13.9,13.5,13.6,57000,
10/12/2012,13.8,14.0,13.5,13.7,54700,
