transDate,close,high,low,open,volume,event
21/05/2010,60.1,64.975,55.632,64.975,251960,
24/05/2010,60.93,60.93,57.273,57.273,113860,
25/05/2010,60.93,61.742,60.117,60.93,163740,
26/05/2010,60.93,62.96,60.117,62.96,30820,
27/05/2010,63.831,63.831,60.581,61.8,112420,
28/05/2010,64.245,66.682,63.839,66.682,70950,
31/05/2010,62.173,64.204,61.767,64.204,42210,
01/06/2010,60.93,61.335,60.93,60.93,44500,
02/06/2010,60.93,61.742,60.117,60.117,64410,
03/06/2010,63.417,63.417,62.197,63.01,102000,
04/06/2010,66.318,66.318,62.654,62.654,109390,
07/06/2010,67.561,67.968,64.303,66.343,119120,
08/06/2010,65.903,67.121,65.497,65.903,44090,
09/06/2010,66.318,66.318,65.099,65.099,69620,
10/06/2010,66.732,66.732,65.107,65.107,27310,
11/06/2010,66.732,67.951,66.732,66.732,89980,
14/06/2010,65.903,67.528,65.903,65.903,60030,
15/06/2010,65.903,67.121,65.091,65.091,53070,
16/06/2010,64.245,65.87,63.432,65.87,54960,
17/06/2010,63.417,63.822,62.604,62.604,27210,
18/06/2010,63.002,63.002,63.002,63.002,31420,
21/06/2010,62.173,62.579,61.767,61.767,12420,
22/06/2010,62.587,62.994,62.181,62.994,29660,
23/06/2010,63.417,64.229,61.792,61.792,71530,
24/06/2010,65.074,66.293,63.044,63.044,62810,
25/06/2010,65.903,67.121,65.497,65.497,159480,
28/06/2010,65.074,66.699,63.856,63.856,153110,
29/06/2010,64.245,64.245,64.245,64.245,45280,
30/06/2010,63.417,64.229,63.417,64.229,38930,
01/07/2010,63.002,63.814,62.595,62.595,34630,
02/07/2010,63.002,63.814,63.002,63.408,40910,
05/07/2010,62.587,62.994,62.181,62.181,33050,
06/07/2010,61.758,64.195,60.133,64.195,94810,
07/07/2010,60.1,61.725,60.1,60.506,36410,
08/07/2010,60.93,62.148,59.711,62.148,23130,
09/07/2010,60.93,61.742,60.93,61.742,17680,
12/07/2010,60.1,61.725,60.1,60.506,154240,
13/07/2010,61.344,61.344,60.125,60.125,27520,
14/07/2010,60.1,61.725,60.1,61.725,124280,
15/07/2010,60.1,60.913,59.288,60.1,147440,
16/07/2010,60.1,60.506,59.288,60.506,157500,
19/07/2010,60.1,60.1,58.881,59.288,68110,
20/07/2010,60.1,60.1,58.476,59.694,37230,
21/07/2010,58.443,60.068,58.443,60.068,57140,
22/07/2010,58.856,59.263,58.451,59.263,82990,
23/07/2010,58.443,59.255,58.443,59.255,78910,
26/07/2010,56.784,58.816,56.784,58.816,51710,
27/07/2010,58.443,58.848,56.818,58.848,25040,
28/07/2010,58.443,58.443,56.818,58.443,21550,
