transDate,close,high,low,open,volume,event
18/01/2008,11.81,11.857,11.356,11.356,32500,
21/01/2008,10.46,11.545,10.415,11.545,13200,
22/01/2008,10.833,10.876,10.628,10.876,3900,
23/01/2008,10.296,11.54,10.182,11.314,6600,
24/01/2008,9.947,11.191,9.721,11.191,3200,
25/01/2008,9.947,10.375,9.947,10.173,8800,
28/01/2008,9.155,9.921,9.132,9.921,9700,
29/01/2008,9.481,9.593,9.029,9.255,6100,
30/01/2008,10.227,10.227,9.977,9.977,11100,
31/01/2008,10.879,10.993,10.198,10.653,10300,
01/02/2008,10.53,10.755,10.415,10.644,11000,
12/02/2008,9.947,9.991,9.947,9.947,1500,
13/02/2008,10.18,10.362,10.18,10.362,300,
14/02/2008,10.39,10.39,10.299,10.299,1300,
15/02/2008,10.693,10.693,10.693,10.693,0,
18/02/2008,9.318,9.362,9.318,9.362,1800,
19/02/2008,9.015,9.083,9.015,9.015,6400,
20/02/2008,8.316,9.215,8.316,8.766,3200,
21/02/2008,7.664,7.664,7.664,7.664,700,
22/02/2008,6.872,6.872,6.872,6.872,9700,
25/02/2008,7.385,7.497,7.341,7.497,7500,
26/02/2008,6.616,6.616,6.616,6.616,300,
27/02/2008,6.616,7.261,6.616,6.683,3600,
28/02/2008,6.452,6.677,6.452,6.677,1000,
29/02/2008,6.406,6.451,6.338,6.451,400,
03/03/2008,5.754,6.418,5.754,6.418,2800,
04/03/2008,5.218,5.218,5.218,5.218,700,
05/03/2008,4.682,4.922,4.682,4.703,3200,
06/03/2008,5.172,5.172,5.172,5.172,200,
07/03/2008,5.707,5.707,5.707,5.707,2500,
10/03/2008,6.29,6.29,6.29,6.29,21200,
11/03/2008,5.707,6.637,5.707,6.637,3400,
12/03/2008,6.01,6.497,5.877,5.877,1900,
13/03/2008,6.243,6.332,6.111,6.22,1800,
14/03/2008,6.197,6.285,6.197,6.22,3800,
17/03/2008,5.661,5.858,5.64,5.858,2000,
18/03/2008,5.148,5.281,5.148,5.148,4300,
19/03/2008,5.497,5.518,5.497,5.518,200,
20/03/2008,5.521,5.521,5.521,5.521,100,
21/03/2008,5.009,5.053,4.943,4.943,3000,
24/03/2008,4.542,4.587,4.498,4.587,4800,
25/03/2008,4.053,4.074,4.053,4.074,1500,
26/03/2008,4.496,4.496,4.475,4.496,1100,
27/03/2008,4.589,4.589,4.414,4.414,10200,
28/03/2008,4.682,4.682,4.682,4.682,8000,
31/03/2008,4.775,4.775,4.775,4.775,200,
01/04/2008,4.869,4.869,4.869,4.869,200,
02/04/2008,4.962,4.962,4.962,4.962,100,
03/04/2008,5.265,5.265,5.265,5.265,0,
04/04/2008,5.055,5.055,5.055,5.055,100,
07/04/2008,5.195,5.195,5.195,5.195,4600,
08/04/2008,5.288,5.353,5.046,5.353,4700,
09/04/2008,5.055,5.076,5.055,5.076,500,
10/04/2008,4.915,4.915,4.915,4.915,100,
11/04/2008,4.775,4.775,4.775,4.775,100,
16/04/2008,4.636,4.636,4.636,4.636,100,
17/04/2008,4.775,4.775,4.512,4.512,16900,
18/04/2008,4.403,4.664,4.403,4.578,4300,
21/04/2008,4.333,4.333,4.333,4.333,2000,
22/04/2008,4.217,4.412,4.217,4.412,1000,
23/04/2008,4.147,4.147,4.147,4.147,100,
24/04/2008,4.077,4.207,4.033,4.056,3200,
25/04/2008,4.193,4.193,4.172,4.193,2000,
28/04/2008,4.077,4.186,4.077,4.077,1900,
29/04/2008,3.984,4.156,3.984,4.156,1100,
05/05/2008,3.89,3.89,3.89,3.89,100,
06/05/2008,3.774,3.991,3.774,3.774,900,
07/05/2008,3.704,3.704,3.704,3.704,100,
08/05/2008,3.587,3.587,3.587,3.587,100,
09/05/2008,3.89,3.89,3.89,3.89,0,
12/05/2008,3.471,3.471,3.471,3.471,9900,
13/05/2008,3.378,3.378,3.378,3.378,100,
