transDate,close,high,low,open,volume,event
07/10/2009,10.444,10.444,10.444,10.444,20,
08/10/2009,10.965,10.965,10.965,10.965,20,
09/10/2009,11.491,11.491,11.491,11.491,10,
12/10/2009,12.012,12.012,12.012,12.012,20,
13/10/2009,12.532,12.532,12.532,12.532,20,
14/10/2009,13.156,13.156,13.156,13.156,120,
15/10/2009,13.787,13.787,13.787,13.787,10,
16/10/2009,14.411,14.411,14.411,14.411,210,
19/10/2009,15.037,15.037,15.037,15.037,180,
20/10/2009,15.771,15.771,15.771,15.771,10810,
21/10/2009,16.5,16.5,16.5,16.5,9810,
22/10/2009,17.23,17.23,17.23,17.23,28590,
23/10/2009,18.066,18.066,18.066,18.066,199950,
26/10/2009,17.335,18.797,17.335,18.797,488170,
27/10/2009,16.5,16.709,16.5,16.5,124500,
28/10/2009,16.084,17.23,15.771,15.771,285800,
29/10/2009,15.349,15.875,15.349,15.457,217230,
30/10/2009,16.084,16.084,15.771,16.084,264810,
02/11/2009,15.349,15.457,15.349,15.457,76050,
03/11/2009,14.621,15.457,14.621,15.037,98470,
04/11/2009,13.891,14.725,13.891,14.099,226440,
05/11/2009,14.516,14.516,13.787,14.204,144590,
06/11/2009,15.037,15.141,15.037,15.141,166150,
09/11/2009,14.309,15.037,14.309,14.411,54830,
10/11/2009,13.787,14.411,13.682,14.411,121220,
11/11/2009,14.099,14.309,13.787,13.787,66150,
12/11/2009,14.516,14.725,14.309,14.411,83510,
13/11/2009,14.516,14.621,14.204,14.309,64940,
16/11/2009,14.099,14.621,14.099,14.411,32730,
17/11/2009,14.099,14.204,14.099,14.204,41690,
18/11/2009,14.725,14.725,13.891,13.996,111430,
19/11/2009,15.037,15.141,14.725,15.037,125600,
20/11/2009,14.411,15.037,14.411,15.037,75250,
23/11/2009,13.787,14.204,13.787,14.204,132320,
24/11/2009,13.156,13.787,13.156,13.682,113240,
25/11/2009,12.532,13.156,12.532,13.156,93310,
26/11/2009,11.905,11.905,11.905,11.905,38190,
27/11/2009,11.698,12.428,11.384,11.384,115550,
30/11/2009,12.22,12.22,11.491,11.491,126430,
01/12/2009,12.741,12.741,12.741,12.741,28510,
02/12/2009,12.22,13.156,12.22,12.428,108610,
03/12/2009,12.741,12.741,12.22,12.22,92970,
04/12/2009,13.37,13.37,12.948,12.948,211630,
07/12/2009,13.787,13.891,13.37,13.787,89430,
08/12/2009,13.156,13.577,13.156,13.577,38350,
09/12/2009,12.532,12.532,12.532,12.532,68890,
10/12/2009,11.905,12.532,11.905,12.532,117060,
11/12/2009,11.384,11.698,11.384,11.593,78110,
14/12/2009,11.804,11.905,11.491,11.491,37620,
15/12/2009,11.804,11.905,11.491,11.804,18600,
16/12/2009,11.281,11.698,11.281,11.281,8750,
17/12/2009,10.756,10.756,10.756,10.756,24620,
18/12/2009,11.281,11.281,10.756,10.756,59090,
21/12/2009,11.804,11.804,11.491,11.804,31030,
22/12/2009,11.384,12.116,11.281,12.116,25450,
23/12/2009,11.491,11.698,11.384,11.384,28400,
24/12/2009,11.698,11.698,11.281,11.698,33020,
25/12/2009,12.22,12.22,11.698,11.905,71280,
28/12/2009,11.905,12.322,11.905,11.905,34590,
29/12/2009,12.116,12.322,11.698,11.698,63450,
30/12/2009,12.635,12.635,12.532,12.532,54550,
31/12/2009,13.262,13.262,13.156,13.262,197830,
04/01/2010,13.891,13.891,13.891,13.891,45480,
05/01/2010,14.516,14.516,14.516,14.516,11370,
06/01/2010,15.141,15.141,15.141,15.141,255470,
07/01/2010,14.621,15.771,14.621,15.771,243610,
08/01/2010,13.996,15.037,13.996,14.621,115110,
11/01/2010,14.204,14.411,13.577,14.309,114310,
12/01/2010,13.577,14.411,13.577,14.204,101050,
13/01/2010,13.996,14.099,13.054,13.262,96510,
14/01/2010,14.621,14.621,14.099,14.516,146430,
15/01/2010,14.411,14.829,14.411,14.411,66950,
18/01/2010,13.787,14.204,13.787,14.099,137200,
19/01/2010,13.996,14.204,13.682,13.787,63520,
20/01/2010,13.37,13.996,13.37,13.891,53310,
21/01/2010,12.741,13.37,12.741,12.844,74380,
22/01/2010,12.428,12.948,12.22,12.22,75380,
25/01/2010,12.532,12.532,12.116,12.116,26510,
26/01/2010,13.156,13.156,12.741,12.741,86870,
27/01/2010,12.635,13.262,12.635,13.156,34450,
28/01/2010,12.428,12.844,12.428,12.844,28360,
29/01/2010,12.532,12.532,12.116,12.22,36660,
01/02/2010,12.532,12.741,12.532,12.635,10220,
02/02/2010,12.741,12.844,12.532,12.532,36660,
03/02/2010,13.054,13.054,12.635,12.844,31640,
04/02/2010,13.156,13.37,12.741,12.741,42390,
05/02/2010,13.054,13.262,12.741,12.948,57770,
08/02/2010,12.741,13.156,12.428,13.156,5480,DIVIDEND
09/02/2010,12.116,12.532,12.116,12.532,20150,
10/02/2010,12.635,12.635,12.116,12.116,5910,
11/02/2010,12.635,12.635,12.635,12.635,10820,
12/02/2010,12.844,12.948,12.741,12.948,16290,
22/02/2010,12.844,13.156,12.844,12.844,3930,
23/02/2010,12.22,12.844,12.22,12.844,16240,
24/02/2010,12.428,12.532,12.116,12.22,6030,
25/02/2010,12.22,12.741,12.22,12.741,11800,
26/02/2010,12.322,12.322,11.905,12.322,13880,
01/03/2010,12.322,12.322,12.22,12.322,10770,
02/03/2010,12.322,12.635,12.322,12.532,22560,
03/03/2010,12.428,12.532,12.322,12.532,11440,
04/03/2010,12.844,12.948,12.532,12.635,77810,
05/03/2010,12.741,12.844,12.635,12.844,28220,
08/03/2010,13.37,13.37,12.741,12.844,117240,
09/03/2010,13.577,13.891,13.577,13.787,153940,
10/03/2010,13.262,13.577,13.262,13.37,87840,
11/03/2010,13.156,13.474,13.156,13.262,32520,
12/03/2010,13.054,13.262,13.054,13.262,34880,
15/03/2010,13.262,13.474,13.156,13.37,64590,
16/03/2010,12.844,13.262,12.844,13.262,70140,
17/03/2010,12.741,13.054,12.741,12.844,26710,
18/03/2010,13.156,13.156,12.741,13.156,16640,
19/03/2010,12.844,12.948,12.844,12.948,24160,
22/03/2010,12.741,12.948,12.741,12.844,23500,
23/03/2010,12.322,12.741,12.322,12.741,68400,
24/03/2010,12.844,12.844,12.635,12.635,198800,
25/03/2010,12.741,12.844,12.322,12.844,15280,
26/03/2010,12.532,12.741,12.322,12.741,18440,
29/03/2010,12.532,12.532,12.322,12.532,21230,
30/03/2010,12.116,12.428,12.116,12.322,42210,
31/03/2010,12.116,12.322,12.116,12.116,38540,
01/04/2010,12.22,12.322,12.116,12.116,35700,
02/04/2010,12.532,12.635,12.322,12.428,76080,
05/04/2010,12.322,12.532,12.322,12.532,15340,
06/04/2010,12.428,12.532,12.322,12.322,38980,
07/04/2010,12.635,12.635,12.22,12.22,86880,
08/04/2010,12.741,12.948,12.635,12.948,65880,
09/04/2010,12.844,12.844,12.635,12.635,75320,
12/04/2010,13.474,13.474,13.474,13.474,320860,
13/04/2010,12.948,13.474,12.948,13.474,66400,
14/04/2010,12.844,12.948,12.635,12.635,45320,
15/04/2010,13.474,13.474,12.844,12.844,289880,
16/04/2010,14.099,14.099,13.474,13.787,432940,
19/04/2010,14.725,14.725,13.996,14.099,330100,
20/04/2010,14.099,14.829,14.099,14.829,157080,
21/04/2010,14.099,14.099,13.787,13.996,160310,
22/04/2010,14.204,14.725,13.996,14.099,243230,
26/04/2010,13.682,14.204,13.682,14.099,90960,
27/04/2010,13.577,13.682,13.37,13.682,85480,
28/04/2010,13.37,13.682,13.37,13.37,87630,
29/04/2010,13.37,13.577,13.262,13.577,108620,
04/05/2010,13.996,13.996,13.474,13.787,166060,
05/05/2010,13.682,14.309,13.577,13.996,125300,
06/05/2010,13.996,13.996,13.682,13.996,218700,
07/05/2010,14.695,14.695,14.411,14.695,204110,DIVIDEND
10/05/2010,14.003,14.725,14.003,14.725,116500,
11/05/2010,14.003,14.252,13.787,14.252,55030,
12/05/2010,13.314,13.849,13.314,13.474,132240,
13/05/2010,13.628,13.878,13.156,13.878,65310,
14/05/2010,13.474,13.628,13.314,13.503,13060,
17/05/2010,12.817,13.474,12.817,13.474,63300,
18/05/2010,12.504,12.689,12.377,12.532,33590,
19/05/2010,11.905,12.282,11.905,12.282,154070,
20/05/2010,11.905,11.905,11.311,11.311,36180,
21/05/2010,11.311,11.311,11.311,11.311,94360,
24/05/2010,11.281,11.374,10.965,11.374,15560,
25/05/2010,11.247,11.247,10.872,10.872,35530,
26/05/2010,11.781,11.781,11.152,11.247,64130,
27/05/2010,11.781,11.781,11.562,11.781,21100,
28/05/2010,11.997,12.061,11.781,11.905,111170,
31/05/2010,11.498,12.031,11.498,11.905,12460,
01/06/2010,12.061,12.061,11.281,11.374,93470,
02/06/2010,11.748,12.658,11.657,11.657,47570,
03/06/2010,11.811,12.185,11.811,12.185,35980,
04/06/2010,11.657,12.22,11.657,12.22,28170,
07/06/2010,11.123,11.532,11.089,11.281,72840,
08/06/2010,11.593,11.593,10.965,10.998,24670,
09/06/2010,11.532,11.748,11.532,11.748,8100,
10/06/2010,11.532,11.687,11.281,11.281,13800,
11/06/2010,11.498,11.657,11.498,11.593,28680,
14/06/2010,11.593,11.811,11.469,11.469,82400,
15/06/2010,11.469,11.811,11.469,11.811,20010,
16/06/2010,11.593,11.687,11.469,11.469,30500,
17/06/2010,11.532,11.687,11.532,11.593,13900,
18/06/2010,11.532,11.532,11.532,11.532,66220,
21/06/2010,11.562,11.748,11.562,11.748,33100,
22/06/2010,11.562,11.657,11.532,11.593,55950,
23/06/2010,12.122,12.122,11.562,11.562,128290,
24/06/2010,12.719,12.719,12.719,12.719,55530,
25/06/2010,13.35,13.35,13.35,13.35,345370,
28/06/2010,12.781,13.35,12.781,13.35,144610,
29/06/2010,12.408,12.844,12.408,12.844,70170,
30/06/2010,12.282,12.282,11.872,11.872,68850,
01/07/2010,12.877,12.877,11.997,11.997,103110,
02/07/2010,12.877,13.474,12.877,13.002,142330,
05/07/2010,12.877,13.378,12.877,13.314,65190,
06/07/2010,12.469,13.156,12.469,13.156,31750,
07/07/2010,12.094,12.504,12.094,12.504,36930,
08/07/2010,12.094,12.532,12.094,12.094,53190,
09/07/2010,12.094,12.185,11.936,12.094,22000,
12/07/2010,12.061,12.061,11.844,12.061,46380,
13/07/2010,12.627,12.627,12.282,12.504,28760,
14/07/2010,12.156,12.844,12.156,12.844,29970,
15/07/2010,12.156,12.469,12.061,12.156,13210,
16/07/2010,12.315,12.315,12.061,12.061,23680,
19/07/2010,12.094,12.248,12.061,12.22,11810,
20/07/2010,12.094,12.22,12.061,12.185,35720,
21/07/2010,11.997,12.469,11.997,12.061,27290,
22/07/2010,11.97,12.031,11.905,11.905,24000,
23/07/2010,11.97,12.031,11.97,11.997,18740,
26/07/2010,11.844,11.997,11.844,11.997,10280,
27/07/2010,11.748,12.156,11.593,12.156,12600,
