transDate,close,high,low,open,volume,event
01/03/2005,7.921,7.921,7.921,7.921,27280,
02/03/2005,8.224,8.224,8.023,8.023,15580,
03/03/2005,8.358,8.461,8.358,8.358,7260,
04/03/2005,8.329,8.358,8.329,8.358,14880,
07/03/2005,8.358,8.358,8.329,8.329,4230,
08/03/2005,8.173,8.349,8.173,8.349,8690,
09/03/2005,8.173,8.173,8.173,8.173,2100,
10/03/2005,8.173,8.173,8.173,8.173,1000,
11/03/2005,8.224,8.224,8.173,8.173,1500,
14/03/2005,8.224,8.224,8.224,8.224,4500,
15/03/2005,8.358,8.358,8.224,8.224,15450,
16/03/2005,8.433,8.433,8.358,8.358,7410,
17/03/2005,8.433,8.485,8.433,8.433,6900,
18/03/2005,8.479,8.479,8.479,8.479,23530,
21/03/2005,8.479,8.479,8.479,8.479,9200,
22/03/2005,8.812,8.812,8.485,8.485,15470,
23/03/2005,8.812,8.812,8.812,8.812,21590,
24/03/2005,8.999,8.999,8.999,8.999,13910,
25/03/2005,8.999,9.124,8.999,8.999,4140,
28/03/2005,8.946,8.999,8.946,8.999,7260,
29/03/2005,8.894,8.894,8.789,8.894,4430,
30/03/2005,8.969,8.999,8.969,8.969,13910,
31/03/2005,8.999,8.999,8.999,8.999,11630,
01/04/2005,8.969,8.999,8.969,8.999,10180,
04/04/2005,8.916,8.969,8.916,8.916,1500,
05/04/2005,8.969,8.969,8.946,8.946,5600,
06/04/2005,8.946,8.969,8.946,8.946,6500,
07/04/2005,8.916,8.946,8.916,8.946,16060,
08/04/2005,8.916,8.916,8.916,8.916,5470,
11/04/2005,8.916,8.916,8.916,8.916,1010,
12/04/2005,8.946,8.946,8.916,8.916,6260,
13/04/2005,8.916,8.916,8.916,8.916,7920,
14/04/2005,8.916,8.916,8.894,8.916,6000,
15/04/2005,8.916,8.916,8.916,8.916,2050,
18/04/2005,8.894,8.924,8.894,8.924,4120,
19/04/2005,8.894,8.894,8.894,8.894,4270,
20/04/2005,8.873,8.894,8.873,8.894,7020,
21/04/2005,8.894,8.894,8.873,8.873,16250,
22/04/2005,8.894,8.894,8.894,8.894,1560,
25/04/2005,8.894,8.894,8.894,8.894,7350,
26/04/2005,8.946,8.946,8.894,8.894,1580,
27/04/2005,8.999,9.334,8.999,8.999,3030,
28/04/2005,8.999,8.999,8.946,8.999,2180,
29/04/2005,8.946,8.946,8.946,8.946,7500,
04/05/2005,8.969,8.969,8.946,8.946,10,
05/05/2005,8.916,8.969,8.916,8.916,3000,
06/05/2005,8.946,8.946,8.946,8.946,4650,
09/05/2005,8.894,8.946,8.894,8.894,8000,
10/05/2005,8.916,8.946,8.916,8.916,3510,
11/05/2005,8.894,8.894,8.894,8.894,9000,
12/05/2005,8.873,8.873,8.873,8.873,4230,
13/05/2005,8.894,8.894,8.894,8.894,7510,
16/05/2005,8.873,8.894,8.873,8.894,1400,
17/05/2005,8.768,8.841,8.768,8.841,4000,
18/05/2005,8.768,8.768,8.768,8.768,920,
19/05/2005,8.841,8.841,8.768,8.768,1530,
20/05/2005,8.894,8.894,8.894,8.894,9690,
23/05/2005,8.894,8.894,8.873,8.894,3700,
24/05/2005,8.916,8.916,8.894,8.894,10,
25/05/2005,8.916,8.916,8.916,8.916,3000,
26/05/2005,8.894,8.924,8.894,8.924,1150,
27/05/2005,8.946,8.946,8.894,8.894,10,
30/05/2005,8.894,8.894,8.894,8.894,4840,
31/05/2005,8.916,8.916,8.916,8.916,2800,
01/06/2005,8.946,8.946,8.865,8.916,10330,
02/06/2005,8.999,8.999,8.946,8.946,1010,
03/06/2005,8.999,9.103,8.999,8.999,3560,
06/06/2005,8.999,8.999,8.999,8.999,2610,
07/06/2005,9.071,9.071,9.05,9.05,900,
08/06/2005,9.124,9.124,9.103,9.103,6770,
09/06/2005,9.146,9.146,9.146,9.146,11280,
10/06/2005,9.146,9.146,9.146,9.146,1500,
13/06/2005,9.124,9.155,9.124,9.124,100,
14/06/2005,22.955,22.955,22.955,22.955,0,
15/06/2005,9.124,9.124,9.124,9.124,20700,
16/06/2005,9.124,9.124,9.124,9.124,5380,
17/06/2005,9.124,9.124,9.124,9.124,100,
20/06/2005,9.146,9.146,9.124,9.124,22800,
21/06/2005,9.205,9.205,9.175,9.175,5530,
22/06/2005,9.205,9.585,9.205,9.205,600,
23/06/2005,9.227,9.227,9.205,9.205,520,
24/06/2005,9.205,9.205,9.205,9.205,7280,
27/06/2005,9.205,9.205,9.205,9.205,12700,
28/06/2005,9.227,9.258,9.227,9.258,4700,DIVIDEND
29/06/2005,9.227,9.227,9.227,9.227,5030,
30/06/2005,9.436,9.436,9.436,9.436,150,
01/07/2005,9.364,9.364,9.364,9.364,10530,
04/07/2005,9.364,9.364,9.364,9.364,2670,
05/07/2005,9.364,9.364,9.334,9.364,350,
06/07/2005,9.385,9.385,9.385,9.385,100,
07/07/2005,9.337,9.364,9.337,9.364,13120,
08/07/2005,9.364,9.364,9.334,9.334,9980,
11/07/2005,9.364,9.364,9.364,9.364,6850,
12/07/2005,9.364,9.364,9.364,9.364,20360,
13/07/2005,9.385,9.385,9.364,9.364,7000,
14/07/2005,9.436,9.436,9.436,9.436,11280,
15/07/2005,9.466,9.466,9.466,9.466,7980,
18/07/2005,9.466,9.466,9.466,9.466,1930,
19/07/2005,9.498,9.498,9.466,9.466,3450,
20/07/2005,9.518,9.518,9.518,9.518,21800,
21/07/2005,9.6,9.6,9.518,9.518,7640,
22/07/2005,9.6,9.6,9.6,9.6,3650,
25/07/2005,9.653,9.653,9.653,9.653,860,
26/07/2005,9.6,9.653,9.6,9.653,5580,
27/07/2005,9.6,9.6,9.6,9.6,7650,
28/07/2005,9.6,9.6,9.6,9.6,9080,
29/07/2005,9.727,9.727,9.6,9.6,39030,
