transDate,close,high,low,open,volume,event
28/08/2007,48.2,51.61,38.95,38.95,10200,
29/08/2007,44.8,49.78,44.8,49.78,3900,
30/08/2007,41.8,42.27,41.33,42.27,1700,
31/08/2007,41.4,43.23,41.4,42.26,800,
04/09/2007,41.5,44.4,41.5,44.4,300,
05/09/2007,42.6,42.79,42.6,42.6,3700,
06/09/2007,41.8,42.75,41.8,42.75,1600,
07/09/2007,41.6,41.98,41.03,41.69,8000,
10/09/2007,40.8,40.99,40.71,40.99,1400,
11/09/2007,41.5,41.5,41.5,41.5,8000,
12/09/2007,42.4,42.49,42.02,42.02,5300,
13/09/2007,44.6,44.6,41.16,41.16,10400,
14/09/2007,49.0,49.0,46.45,49.0,37400,
17/09/2007,52.9,52.9,46.73,52.9,29000,
18/09/2007,52.9,52.9,43.43,43.43,5000,
19/09/2007,62.7,63.67,62.31,63.67,39100,
20/09/2007,60.7,64.15,60.21,64.15,18200,
21/09/2007,56.1,58.95,54.1,58.95,9600,
24/09/2007,54.1,57.45,53.62,56.49,29500,
25/09/2007,56.4,56.87,54.5,55.93,10900,
26/09/2007,54.7,57.53,54.6,57.53,15300,
27/09/2007,54.7,55.79,53.71,55.69,19600,
28/09/2007,57.6,57.6,55.5,55.97,36900,
01/10/2007,63.5,63.5,62.44,63.5,35200,
02/10/2007,67.6,72.17,67.1,72.17,12900,
03/10/2007,66.4,67.36,65.44,65.44,10000,
04/10/2007,62.8,63.75,60.9,63.75,26300,
05/10/2007,64.1,65.06,62.19,63.14,74100,
08/10/2007,67.2,70.08,64.32,65.28,51900,
09/10/2007,70.0,70.96,67.12,67.12,63200,
10/10/2007,69.3,72.19,67.38,67.38,23300,
11/10/2007,69.6,69.79,67.88,68.84,48400,
12/10/2007,70.6,70.79,68.88,69.83,50600,
15/10/2007,77.5,77.5,72.29,77.5,66500,
16/10/2007,85.5,85.5,85.5,85.5,32900,
17/10/2007,93.7,100.78,83.39,100.78,130900,
18/10/2007,89.6,104.17,85.66,85.66,86000,
19/10/2007,94.9,94.9,84.31,84.78,87000,
22/10/2007,104.6,104.6,104.6,104.6,40800,
23/10/2007,114.6,114.6,109.44,114.6,196600,
24/10/2007,126.2,126.2,124.44,126.2,61500,
25/10/2007,139.0,139.0,138.51,139.0,83800,
26/10/2007,138.8,159.98,131.6,159.88,63100,
29/10/2007,125.8,139.45,125.8,138.46,54500,
30/10/2007,118.5,130.06,117.08,117.08,97000,
31/10/2007,109.0,111.92,105.98,111.92,81800,
01/11/2007,118.8,118.8,110.47,110.47,39100,
02/11/2007,118.3,132.62,109.35,132.22,30500,
05/11/2007,109.5,113.31,104.74,113.31,25000,
06/11/2007,106.9,106.9,100.7,104.04,42900,
07/11/2007,112.4,119.39,111.39,114.43,32800,
08/11/2007,107.6,112.49,103.69,112.49,24300,
09/11/2007,101.2,106.94,96.53,106.94,36700,
12/11/2007,94.9,102.98,94.9,97.42,37300,
13/11/2007,85.4,86.67,85.4,85.69,19500,
14/11/2007,93.2,93.2,84.9,84.9,16400,
15/11/2007,92.7,103.75,90.23,102.56,6800,
16/11/2007,92.4,92.4,83.83,83.83,11500,
19/11/2007,94.3,95.74,91.41,93.34,14400,
20/11/2007,93.6,98.84,86.19,98.74,14300,
21/11/2007,90.1,91.35,86.54,86.64,7900,
22/11/2007,90.8,93.73,87.87,87.87,24500,
23/11/2007,88.4,90.34,87.43,88.5,4800,
26/11/2007,89.2,91.04,88.13,88.62,13400,
27/11/2007,90.9,94.5,90.9,91.9,14700,
28/11/2007,89.6,91.95,89.6,90.09,7100,
29/11/2007,89.0,89.57,86.22,88.14,30200,
30/11/2007,90.9,92.65,89.35,92.16,23900,
03/12/2007,94.3,94.39,88.73,88.73,24100,
04/12/2007,103.6,103.6,98.34,98.34,37500,
05/12/2007,102.9,113.09,95.13,112.41,74500,
06/12/2007,102.0,103.94,99.09,103.94,24600,
07/12/2007,104.9,109.71,99.13,101.05,40900,
10/12/2007,101.2,104.51,98.28,104.51,47700,
11/12/2007,97.8,102.59,97.31,102.59,31400,
12/12/2007,100.3,106.2,96.37,98.33,44900,
13/12/2007,97.6,99.55,97.11,97.6,15500,
14/12/2007,97.0,97.98,97.0,97.0,14400,
17/12/2007,91.7,94.6,89.77,94.6,11000,
18/12/2007,90.4,92.69,81.23,88.87,25900,
19/12/2007,99.0,99.59,97.54,97.54,43900,
20/12/2007,95.5,100.32,94.42,100.32,12100,
21/12/2007,95.5,99.09,93.61,93.61,27700,
24/12/2007,97.6,99.55,96.62,99.55,22900,
25/12/2007,97.3,97.3,96.81,96.81,5100,
26/12/2007,97.6,99.45,94.09,97.31,16600,
27/12/2007,97.4,98.87,95.93,97.99,9400,
28/12/2007,97.0,97.0,96.03,96.03,19700,
02/01/2008,94.7,98.77,86.76,98.77,9000,
03/01/2008,93.3,94.76,92.33,94.27,8300,
04/01/2008,92.0,93.57,91.12,92.1,9700,
07/01/2008,83.8,83.8,81.04,82.37,13400,
08/01/2008,88.4,94.79,87.9,94.79,10500,
09/01/2008,85.1,91.57,85.1,91.07,11100,
10/01/2008,80.6,80.6,74.58,79.21,28900,
11/01/2008,84.4,90.28,84.4,88.25,15200,
14/01/2008,77.2,84.91,77.1,84.91,13600,
15/01/2008,69.7,69.89,68.27,69.51,26600,
16/01/2008,76.8,76.8,76.22,76.22,16900,
17/01/2008,80.7,84.78,73.89,83.62,41100,
18/01/2008,82.3,87.72,79.05,82.3,39500,
21/01/2008,81.1,82.07,79.17,81.1,16500,
22/01/2008,78.2,79.17,76.27,78.2,32100,
23/01/2008,73.9,75.49,69.22,75.49,42800,
24/01/2008,76.1,81.04,74.22,79.06,30900,
25/01/2008,75.9,79.17,75.8,75.8,21600,
28/01/2008,75.3,76.27,73.66,75.4,13700,
29/01/2008,79.2,80.71,73.63,73.63,35800,
30/01/2008,87.1,87.1,85.16,85.35,66800,
31/01/2008,86.8,94.52,77.83,93.55,33500,
01/02/2008,87.6,92.47,85.65,91.49,41900,
12/02/2008,83.8,92.91,81.38,90.1,20000,
13/02/2008,81.7,83.65,80.24,83.65,15100,
14/02/2008,82.5,86.27,82.5,84.78,9400,
15/02/2008,78.9,79.86,77.94,79.86,23800,
18/02/2008,73.5,75.9,71.1,75.9,30400,
19/02/2008,74.5,76.93,71.09,71.09,14900,
20/02/2008,69.0,76.1,68.31,76.1,40200,
21/02/2008,62.0,64.02,62.0,64.02,20900,
22/02/2008,56.8,60.46,53.23,55.06,62100,
25/02/2008,62.6,62.6,61.45,61.45,14500,
26/02/2008,58.3,70.53,58.2,69.55,25800,
27/02/2008,58.6,65.67,58.6,65.67,31700,
28/02/2008,56.5,57.44,54.15,56.5,23500,
29/02/2008,54.9,55.38,53.95,54.9,10900,
03/03/2008,50.1,54.27,50.1,53.3,18900,
04/03/2008,45.0,46.99,45.0,46.99,6000,
05/03/2008,40.3,40.49,40.11,40.11,41600,
06/03/2008,42.5,42.5,34.9,34.9,6400,
07/03/2008,47.0,47.0,47.0,47.0,10200,
10/03/2008,50.2,54.62,48.69,54.62,79600,
11/03/2008,45.3,46.73,45.3,46.73,27900,
12/03/2008,48.3,50.52,43.47,43.47,31700,
13/03/2008,48.3,50.29,46.69,50.29,18400,
14/03/2008,47.4,48.55,46.83,46.83,10800,
17/03/2008,42.8,44.7,42.8,44.7,35000,
18/03/2008,38.3,38.49,38.3,38.3,38200,
19/03/2008,38.0,42.37,36.1,41.8,21800,
20/03/2008,37.5,40.38,37.02,38.46,10900,
21/03/2008,34.1,37.89,34.1,37.89,24000,
24/03/2008,30.8,32.67,30.8,32.67,14600,
25/03/2008,27.5,27.59,27.5,27.5,10400,
26/03/2008,26.9,29.49,24.13,24.13,48700,
27/03/2008,27.4,27.4,27.4,27.4,100,
28/03/2008,27.9,27.9,27.9,27.9,100,
31/03/2008,28.5,28.5,28.5,28.5,200,
01/04/2008,29.1,29.1,29.1,29.1,100,
02/04/2008,29.7,29.7,29.7,29.7,100,
03/04/2008,30.3,30.3,30.3,30.3,300,
04/04/2008,30.9,30.9,30.9,30.9,100,
07/04/2008,31.9,31.9,31.9,31.9,10100,
08/04/2008,32.2,32.66,30.82,32.66,55000,
09/04/2008,31.4,33.17,31.4,33.17,8900,
10/04/2008,30.4,30.4,30.4,30.4,1300,
11/04/2008,29.5,29.5,29.5,29.5,3300,
16/04/2008,28.6,28.6,28.6,28.6,400,
17/04/2008,28.5,28.5,26.9,26.9,50400,
