transDate,close,high,low,open,volume,event
30/09/2015,15.634,15.634,14.925,15.179,397320,
01/10/2015,16.698,16.698,15.737,15.937,236460,
02/10/2015,16.949,17.355,16.698,16.698,57350,
05/10/2015,17.71,17.71,16.949,16.949,275190,
06/10/2015,18.419,18.873,18.215,18.873,228850,
07/10/2015,18.215,18.419,17.963,18.419,204010,
08/10/2015,18.215,18.215,17.507,17.963,163690,
09/10/2015,17.81,18.215,17.608,18.215,97100,
12/10/2015,17.71,17.861,17.203,17.304,83520,
13/10/2015,18.012,18.062,17.71,17.71,96370,
14/10/2015,18.062,18.114,18.012,18.012,184950,
15/10/2015,18.419,18.419,17.963,17.963,165540,
16/10/2015,18.772,18.772,18.366,18.366,374950,
19/10/2015,19.024,19.075,18.772,18.772,204350,
20/10/2015,19.075,19.176,19.024,19.024,201770,
21/10/2015,18.772,19.075,18.57,19.075,429360,
22/10/2015,18.873,18.873,18.57,18.721,132100,
23/10/2015,18.721,18.973,18.721,18.873,127720,
26/10/2015,18.467,18.821,18.467,18.821,143630,
27/10/2015,18.467,18.467,17.71,17.71,43090,
28/10/2015,18.366,18.518,18.366,18.366,36220,
29/10/2015,18.467,18.467,18.114,18.266,40170,
30/10/2015,18.366,18.467,18.215,18.316,14530,
02/11/2015,18.419,18.419,18.114,18.114,105520,
03/11/2015,18.639,18.639,18.362,18.474,42640,
04/11/2015,19.03,19.03,18.639,18.639,100490,
05/11/2015,19.308,19.308,19.03,19.03,103970,
06/11/2015,19.308,19.308,19.197,19.253,12610,
09/11/2015,19.308,19.308,19.141,19.197,41540,
10/11/2015,19.308,19.308,19.086,19.086,9650,
11/11/2015,19.03,19.253,18.752,19.141,23000,
12/11/2015,19.197,19.197,18.918,18.918,8990,
13/11/2015,19.03,19.197,18.918,19.141,4490,
16/11/2015,18.973,19.197,18.474,18.918,6310,
17/11/2015,18.807,18.973,17.861,18.195,12270,
18/11/2015,18.362,18.639,17.918,18.362,3540,
19/11/2015,18.084,18.084,18.084,18.084,520,
20/11/2015,18.362,19.308,17.805,18.084,38280,
23/11/2015,18.362,18.918,17.36,17.36,21140,
24/11/2015,18.251,18.362,17.527,18.362,37450,
25/11/2015,18.251,18.251,17.638,18.251,34370,
26/11/2015,17.805,18.251,17.805,18.251,32040,
27/11/2015,17.805,18.362,17.694,18.362,36590,
30/11/2015,17.805,18.307,17.694,18.307,32880,
01/12/2015,18.195,18.251,17.918,18.251,86400,
02/12/2015,18.807,19.197,18.14,18.195,54980,
03/12/2015,18.918,18.918,18.639,18.807,64980,
04/12/2015,18.639,18.918,18.529,18.918,37020,
07/12/2015,18.362,19.697,18.362,19.697,42170,
08/12/2015,18.14,18.529,18.028,18.362,73630,
09/12/2015,18.362,18.585,18.084,18.14,116020,
10/12/2015,18.585,18.639,18.362,18.362,129000,
11/12/2015,18.474,18.639,18.084,18.585,107210,
14/12/2015,18.362,18.585,17.805,17.805,152420,
15/12/2015,18.251,18.362,17.139,17.139,12160,
16/12/2015,17.805,17.972,17.805,17.861,37090,
17/12/2015,17.918,17.918,17.638,17.694,19920,
18/12/2015,17.75,17.805,17.082,17.082,21160,
21/12/2015,17.694,17.805,17.36,17.527,12170,
22/12/2015,17.805,17.805,16.748,16.748,5140,
23/12/2015,17.805,17.805,17.305,17.805,20000,
24/12/2015,17.805,17.805,17.139,17.805,22700,
25/12/2015,17.694,17.694,16.915,17.139,55990,
28/12/2015,17.694,17.694,17.694,17.694,10,
29/12/2015,17.694,17.694,17.694,17.694,100,
30/12/2015,17.694,17.694,17.193,17.249,18000,
31/12/2015,17.75,17.75,17.638,17.638,15000,
04/01/2016,17.583,17.805,17.249,17.75,31030,
05/01/2016,17.471,17.583,17.36,17.527,36540,
06/01/2016,17.471,17.694,17.471,17.471,53510,
07/01/2016,17.415,17.527,17.139,17.471,31620,
08/01/2016,17.415,17.471,16.692,17.471,29090,
11/01/2016,17.415,17.415,17.415,17.415,0,
12/01/2016,17.193,17.415,16.859,17.36,26380,
13/01/2016,17.193,17.471,16.692,17.471,6770,
14/01/2016,17.36,17.471,16.748,17.471,3020,
15/01/2016,17.305,17.415,16.692,16.692,10650,
18/01/2016,16.469,17.193,16.469,17.193,44000,
19/01/2016,17.193,17.36,16.469,17.36,850,
20/01/2016,17.139,17.527,17.082,17.527,36240,
21/01/2016,16.637,17.139,16.359,17.139,14080,
22/01/2016,16.469,16.692,16.135,16.359,27570,
25/01/2016,16.637,16.637,16.414,16.525,8590,
26/01/2016,16.525,16.637,15.802,16.637,7140,
27/01/2016,16.414,17.249,15.859,16.637,1820,
28/01/2016,16.192,16.359,15.859,15.859,42730,
29/01/2016,16.135,16.192,16.08,16.192,3820,
01/02/2016,15.859,16.135,15.859,16.135,54400,
02/02/2016,15.859,15.859,15.746,15.802,22340,
03/02/2016,16.024,16.024,15.746,15.746,7690,
04/02/2016,15.859,16.637,15.859,15.859,12900,
05/02/2016,16.135,16.135,16.135,16.135,300,
15/02/2016,16.024,16.246,15.859,16.246,5010,
16/02/2016,16.024,16.024,15.301,15.802,18390,
17/02/2016,16.915,17.139,15.301,15.859,134540,
18/02/2016,17.305,17.305,16.692,16.692,303950,
19/02/2016,17.305,17.305,16.692,17.305,34970,
22/02/2016,17.193,17.305,17.193,17.305,10490,
23/02/2016,16.692,17.026,16.135,16.692,5790,
24/02/2016,16.692,16.692,16.692,16.692,10140,
25/02/2016,16.135,16.692,16.135,16.135,17360,
26/02/2016,16.302,16.302,16.024,16.135,26320,
29/02/2016,16.414,16.414,16.135,16.135,2280,
01/03/2016,16.414,16.414,16.414,16.414,0,
02/03/2016,16.024,16.414,15.859,16.08,10360,
03/03/2016,16.024,16.024,15.913,15.969,20090,
04/03/2016,16.246,16.246,15.913,16.024,19180,
07/03/2016,15.58,16.135,15.19,15.58,116740,
08/03/2016,15.802,15.802,15.023,15.58,49600,
09/03/2016,16.024,16.135,15.746,15.746,30510,
10/03/2016,15.58,16.08,15.58,16.08,66500,
11/03/2016,16.135,16.135,15.58,15.913,3890,
14/03/2016,16.135,16.414,15.58,16.414,13010,
15/03/2016,16.192,16.192,15.859,15.859,2880,
16/03/2016,15.58,15.746,15.301,15.746,10000,
17/03/2016,15.691,15.969,15.58,15.691,125010,
18/03/2016,15.969,15.969,15.691,15.691,79780,
21/03/2016,15.58,15.969,15.58,15.913,20160,
22/03/2016,15.58,16.135,15.58,16.024,53390,
23/03/2016,15.802,16.024,15.58,16.024,12150,
24/03/2016,15.802,15.969,15.802,15.969,74590,
25/03/2016,16.135,16.135,15.859,15.859,20810,
28/03/2016,16.246,16.692,16.246,16.246,23820,
29/03/2016,16.024,16.581,15.746,16.414,118420,
30/03/2016,16.024,16.135,15.859,16.135,10000,
31/03/2016,16.302,16.414,16.024,16.135,26700,
01/04/2016,16.302,16.414,16.135,16.414,3440,
04/04/2016,16.302,16.302,16.302,16.302,630,
05/04/2016,16.135,16.135,16.135,16.135,3000,
06/04/2016,16.302,16.302,15.913,16.135,12810,
07/04/2016,16.469,16.469,16.135,16.414,14260,
08/04/2016,16.469,16.692,16.414,16.414,36670,
11/04/2016,16.525,16.581,15.859,16.469,40300,
12/04/2016,16.135,16.525,15.859,16.525,47200,
13/04/2016,16.135,16.135,15.859,15.859,6060,
14/04/2016,15.58,16.135,15.58,16.135,12000,
15/04/2016,15.691,15.969,15.524,15.635,246260,
19/04/2016,15.691,15.691,15.407,15.407,14510,DIVIDEND
20/04/2016,15.804,15.917,15.691,15.691,7200,
21/04/2016,15.86,15.86,15.747,15.747,27700,
22/04/2016,15.464,15.974,15.295,15.295,22630,
25/04/2016,15.295,15.747,15.295,15.747,66180,
26/04/2016,15.295,15.295,15.011,15.295,30170,
27/04/2016,14.728,15.464,14.671,15.464,45090,
28/04/2016,14.614,14.728,14.162,14.728,64710,
29/04/2016,15.181,15.181,14.445,14.445,1060,
04/05/2016,15.238,15.238,14.671,14.671,14750,
05/05/2016,15.407,15.691,15.295,15.295,76330,
06/05/2016,15.407,15.407,15.407,15.407,11800,
09/05/2016,15.407,15.407,15.407,15.407,310,
10/05/2016,15.407,15.407,15.407,15.407,0,
11/05/2016,15.295,15.407,15.295,15.407,17350,
12/05/2016,15.011,15.577,15.011,15.577,24020,
13/05/2016,15.295,15.407,15.295,15.407,2410,
16/05/2016,15.011,15.011,15.011,15.011,15000,
17/05/2016,15.295,15.295,14.841,15.011,31490,
18/05/2016,15.407,15.407,15.011,15.011,16000,
19/05/2016,15.747,15.917,15.407,15.577,37090,
20/05/2016,15.407,15.804,15.351,15.407,194270,
23/05/2016,15.86,15.86,15.407,15.407,17000,
24/05/2016,15.351,15.86,15.011,15.86,89690,
25/05/2016,15.011,15.295,14.728,15.295,15640,
26/05/2016,15.464,15.464,15.295,15.295,2010,
27/05/2016,15.124,15.464,15.124,15.238,800,
30/05/2016,15.464,15.464,14.728,14.785,8370,
31/05/2016,16.088,16.427,15.974,16.088,28610,
01/06/2016,16.936,17.197,16.286,17.197,21850,DIVIDEND
02/06/2016,16.936,16.936,16.936,16.936,1000,
03/06/2016,16.872,16.872,16.872,16.872,1100,
