transDate,close,high,low,open,volume,event
23/09/2008,16.182,19.836,15.712,19.21,166700,
24/09/2008,15.921,16.704,15.921,16.129,60300,
25/09/2008,17.173,17.173,15.868,16.443,78400,
26/09/2008,17.8,17.8,17.225,17.8,169600,
29/09/2008,19.001,19.001,18.009,18.948,180900,
30/09/2008,17.539,17.539,17.539,17.539,37500,
01/10/2008,18.74,18.74,17.8,18.009,217700,
02/10/2008,19.888,19.888,18.792,19.888,197800,
03/10/2008,20.984,21.193,19.836,21.193,161500,
06/10/2008,19.314,19.836,19.314,19.836,64300,
07/10/2008,18.113,18.113,18.113,18.113,13800,
08/10/2008,16.86,16.86,16.86,16.86,14400,
09/10/2008,15.712,16.86,15.712,15.712,273300,
10/10/2008,14.824,14.824,14.824,14.824,22200,
13/10/2008,13.832,14.668,13.832,13.832,126700,
14/10/2008,14.93,14.93,14.93,14.93,3900,
15/10/2008,13.989,14.93,13.885,14.93,163500,
16/10/2008,13.207,13.572,13.207,13.207,102300,
17/10/2008,12.997,14.094,12.371,13.832,150200,
20/10/2008,13.05,13.467,12.11,13.207,72600,
21/10/2008,13.728,13.728,13.102,13.102,89500,
22/10/2008,14.564,14.564,13.311,14.146,125500,
23/10/2008,13.467,14.564,13.467,14.459,119500,
24/10/2008,12.894,13.467,12.685,13.467,67800,
27/10/2008,11.902,11.902,11.902,11.902,46500,
28/10/2008,11.275,11.275,11.119,11.119,140700,
29/10/2008,11.849,11.849,11.484,11.64,93300,
30/10/2008,12.006,12.163,11.014,11.744,51500,
31/10/2008,12.685,12.685,12.267,12.267,63600,
03/11/2008,11.693,12.058,11.693,11.744,45200,
04/11/2008,12.528,12.528,11.849,11.849,65400,
05/11/2008,13.154,13.154,13.154,13.154,20200,
06/11/2008,12.997,13.728,12.267,13.05,133400,
07/11/2008,12.11,12.371,12.058,12.058,80900,
10/11/2008,12.006,12.894,12.006,12.789,49600,
11/11/2008,11.484,11.902,11.379,11.744,52400,
12/11/2008,11.588,11.744,10.701,10.701,43100,
13/11/2008,11.902,11.902,10.492,11.066,73700,
14/11/2008,12.006,12.319,11.797,12.319,64600,
17/11/2008,11.693,12.006,11.484,12.006,17400,
18/11/2008,11.484,11.693,11.171,11.171,17800,
19/11/2008,11.275,11.379,11.223,11.275,25800,
20/11/2008,10.701,10.91,10.545,10.545,63800,
21/11/2008,10.022,10.44,9.918,10.44,29700,
24/11/2008,9.396,10.179,9.343,9.396,102200,
25/11/2008,9.396,9.657,9.083,9.553,60900,
26/11/2008,8.822,9.239,8.822,9.135,63500,
27/11/2008,8.351,8.77,8.351,8.77,55300,
28/11/2008,8.978,8.978,8.874,8.874,28800,
01/12/2008,9.291,9.604,8.717,9.604,81300,
02/12/2008,9.03,9.239,8.874,8.874,15800,
03/12/2008,9.03,9.135,8.874,9.03,15800,
04/12/2008,9.187,9.501,9.083,9.343,13700,
05/12/2008,8.874,8.926,8.717,8.77,34000,
08/12/2008,8.351,8.77,8.248,8.77,29600,
09/12/2008,8.351,8.874,7.934,8.351,24400,
10/12/2008,7.934,8.299,7.882,8.299,15100,
11/12/2008,7.986,8.195,7.882,8.091,19300,
12/12/2008,8.509,8.509,7.934,7.934,77000,
15/12/2008,8.978,9.03,8.613,9.03,92600,
16/12/2008,8.351,9.03,8.351,9.03,24000,
17/12/2008,8.77,8.874,8.299,8.77,13100,
18/12/2008,8.665,8.665,8.299,8.351,29700,
19/12/2008,8.509,8.561,8.351,8.351,32300,
22/12/2008,8.926,9.083,8.717,8.77,71600,
23/12/2008,8.665,8.874,8.561,8.822,28600,
24/12/2008,8.717,8.874,8.351,8.351,14300,
25/12/2008,8.561,8.874,8.456,8.874,22800,
26/12/2008,8.665,8.665,8.456,8.561,13800,
29/12/2008,8.509,8.665,8.456,8.613,16700,
30/12/2008,8.561,8.717,8.405,8.405,15500,
31/12/2008,8.509,8.665,8.509,8.665,41200,
02/01/2009,8.561,8.613,8.561,8.613,9500,
05/01/2009,8.405,8.561,8.405,8.561,5900,
06/01/2009,9.03,9.03,8.509,8.561,74800,
07/01/2009,8.978,9.239,8.874,9.239,19300,
08/01/2009,8.77,8.77,8.509,8.561,8500,
09/01/2009,8.822,8.822,8.613,8.613,26400,
12/01/2009,9.03,9.03,8.874,8.874,22900,
13/01/2009,9.135,9.396,8.613,8.613,39100,
14/01/2009,9.083,9.135,8.926,9.03,28400,
15/01/2009,8.77,8.926,8.665,8.665,27300,
16/01/2009,8.874,8.874,8.77,8.822,8800,
