transDate,close,high,low,open,volume,event
12/01/2010,16.49,18.413,16.316,18.413,1800,
13/01/2010,17.622,17.622,17.622,17.622,1200,
14/01/2010,17.989,18.842,17.622,18.842,9200,
15/01/2010,16.788,18.028,16.788,18.028,3700,
18/01/2010,15.824,17.0,15.824,17.0,2800,
19/01/2010,15.5,17.131,15.5,15.5,4000,
20/01/2010,14.991,16.103,14.991,14.991,8000,
21/01/2010,14.219,14.219,14.219,14.219,300,
22/01/2010,13.235,13.235,13.235,13.235,3200,
25/01/2010,13.49,13.49,12.314,12.314,400,
26/01/2010,13.49,13.49,13.062,13.062,4200,
27/01/2010,12.438,13.49,12.438,13.49,2800,
28/01/2010,11.779,11.885,11.779,11.885,1200,
29/01/2010,11.885,11.885,11.779,11.779,400,
01/02/2010,12.203,12.203,11.779,11.779,1000,
02/02/2010,12.763,12.763,12.763,12.763,400,
03/02/2010,11.991,12.849,11.991,12.763,1100,
04/02/2010,12.42,12.42,12.42,12.42,100,
05/02/2010,12.203,12.955,12.203,12.849,4200,
08/02/2010,11.885,12.72,11.779,12.72,800,
09/02/2010,5.077,5.077,5.077,5.077,0,
10/02/2010,12.203,12.396,11.991,11.991,1000,
11/02/2010,12.849,12.849,12.633,12.849,1200,
12/02/2010,12.849,12.849,12.849,12.849,200,
22/02/2010,12.203,13.62,11.947,13.62,1900,
23/02/2010,11.455,12.633,11.35,11.35,2500,DIVIDEND
24/02/2010,12.054,12.164,12.054,12.164,600,
25/02/2010,11.455,12.078,11.244,12.078,7800,
26/02/2010,11.35,11.35,11.133,11.35,1000,
01/03/2010,5.052,5.052,5.052,5.052,0,
02/03/2010,4.966,4.966,4.966,4.966,0,
03/03/2010,11.244,11.244,10.92,11.026,5100,
04/03/2010,10.964,11.026,10.834,11.026,800,
05/03/2010,10.92,11.133,10.92,11.133,900,
08/03/2010,11.026,11.133,10.964,11.133,1300,
09/03/2010,11.797,11.797,10.814,11.026,39900,
10/03/2010,12.334,12.334,12.203,12.203,23000,
11/03/2010,13.168,13.168,13.168,13.168,27100,
12/03/2010,14.088,14.088,12.849,14.088,31000,
15/03/2010,13.553,13.919,13.49,13.49,19800,
16/03/2010,12.931,13.384,12.739,12.849,29700,
17/03/2010,12.438,12.739,12.42,12.633,13200,
18/03/2010,12.849,13.361,12.849,12.849,17700,
19/03/2010,12.849,13.597,12.849,13.597,10100,
22/03/2010,13.018,13.168,13.018,13.168,10200,
23/03/2010,12.396,13.062,12.14,13.041,20000,
24/03/2010,12.633,12.739,12.377,12.377,7700,
25/03/2010,12.633,12.955,11.991,12.955,12100,
26/03/2010,13.062,13.278,12.613,12.613,22300,
29/03/2010,12.203,12.849,12.164,12.849,24200,
30/03/2010,11.779,12.314,11.779,12.01,19800,
31/03/2010,11.586,12.314,11.586,12.203,5800,
01/04/2010,11.885,11.885,11.736,11.885,5300,
02/04/2010,11.779,11.779,11.561,11.586,8900,
05/04/2010,11.561,11.861,11.542,11.561,27000,
06/04/2010,11.133,11.394,11.133,11.394,13800,
07/04/2010,11.561,11.929,11.35,11.35,3300,
08/04/2010,11.885,11.991,11.755,11.755,8600,
09/04/2010,11.843,12.185,11.797,12.185,4000,
12/04/2010,11.561,11.779,11.561,11.779,4100,
13/04/2010,11.991,11.991,11.35,11.35,4600,
14/04/2010,12.203,12.314,11.885,11.929,7500,
15/04/2010,12.42,12.892,12.054,12.892,53400,
16/04/2010,12.203,12.42,12.097,12.314,3700,
19/04/2010,12.314,12.314,12.29,12.29,57400,
20/04/2010,11.991,11.991,11.586,11.586,57500,
21/04/2010,12.203,12.203,11.736,11.779,5200,
22/04/2010,12.29,12.29,12.29,12.29,100,
26/04/2010,12.203,12.396,11.779,12.396,50900,
27/04/2010,12.203,12.272,11.885,12.14,51900,
28/04/2010,12.203,12.29,11.991,12.29,53800,
29/04/2010,12.203,12.227,11.779,11.779,52400,
04/05/2010,12.42,12.739,12.203,12.314,52200,
05/05/2010,12.526,12.633,12.42,12.633,52600,
06/05/2010,12.42,12.849,12.203,12.42,53600,
07/05/2010,12.613,12.613,11.797,12.507,50300,
10/05/2010,12.613,12.613,12.57,12.57,50500,
11/05/2010,12.526,12.955,12.42,12.955,42500,
12/05/2010,12.588,12.588,11.929,11.991,42400,
13/05/2010,12.633,12.633,12.526,12.526,30000,
14/05/2010,11.797,12.613,11.797,12.57,32000,
17/05/2010,12.55,12.55,12.526,12.526,50000,
18/05/2010,12.314,12.334,12.314,12.334,51000,
19/05/2010,11.455,12.203,11.455,12.203,64600,
20/05/2010,12.526,12.526,11.22,11.244,55800,
21/05/2010,11.947,11.971,11.282,11.971,51300,
24/05/2010,11.904,11.904,11.904,11.904,50000,
25/05/2010,11.711,11.711,11.244,11.244,51000,
26/05/2010,12.203,12.29,11.736,11.736,42700,
27/05/2010,12.14,12.203,12.14,12.185,51000,
28/05/2010,11.991,12.42,11.991,12.396,54800,
31/05/2010,6.147,6.147,6.147,6.147,0,
01/06/2010,11.669,11.669,11.669,11.669,100,
02/06/2010,11.561,12.164,11.561,12.164,95400,
03/06/2010,11.561,11.561,11.561,11.561,200,
04/06/2010,6.124,6.124,6.124,6.124,0,
