transDate,close,high,low,open,volume,event
18/11/2008,16.36,17.21,13.54,14.11,70100,
19/11/2008,15.91,15.91,15.91,15.91,30000,
20/11/2008,16.98,16.98,16.98,16.98,40000,
21/11/2008,18.06,18.17,15.85,18.17,4600,
24/11/2008,16.36,16.36,16.36,16.36,1100,
25/11/2008,15.23,15.23,15.23,15.23,100,
26/11/2008,14.22,14.22,14.22,14.22,100,
27/11/2008,13.26,13.26,13.26,13.26,600,
28/11/2008,12.36,12.41,12.36,12.36,48600,
01/12/2008,11.51,12.41,11.51,12.41,13600,
02/12/2008,11.0,11.28,10.95,11.0,10500,
03/12/2008,10.72,11.57,10.72,10.78,8200,
04/12/2008,10.89,11.51,10.78,11.28,6100,
05/12/2008,10.72,11.0,10.49,11.0,18900,
08/12/2008,10.72,11.17,10.21,11.17,7500,
09/12/2008,11.28,11.28,10.44,11.06,8700,
10/12/2008,10.78,11.51,10.72,11.51,5700,
11/12/2008,10.66,10.72,10.55,10.72,4100,
12/12/2008,11.4,11.4,11.23,11.23,4200,
15/12/2008,11.4,11.91,11.4,11.74,1500,
16/12/2008,12.24,12.3,11.51,11.74,8600,
17/12/2008,12.86,12.86,12.86,12.86,4400,
18/12/2008,13.54,13.71,13.54,13.71,26800,
19/12/2008,12.92,13.71,12.92,13.26,11300,
22/12/2008,12.92,13.54,12.64,13.54,3800,
23/12/2008,10.83,11.85,10.83,11.85,12700,DIVIDEND
24/12/2008,11.17,11.17,11.17,11.17,500,
25/12/2008,11.17,11.28,11.17,11.28,4800,
26/12/2008,15.7,15.7,15.7,15.7,0,
29/12/2008,11.0,11.0,11.0,11.0,300,
30/12/2008,11.06,11.06,11.0,11.06,300,
31/12/2008,10.83,10.89,10.83,10.89,800,
02/01/2009,15.22,15.22,15.22,15.22,0,
05/01/2009,10.16,10.16,10.16,10.16,1000,
06/01/2009,10.38,10.44,10.33,10.44,1900,
07/01/2009,10.16,10.49,10.16,10.49,1600,
08/01/2009,10.33,10.33,10.33,10.33,500,
09/01/2009,14.43,14.43,14.43,14.43,0,
12/01/2009,10.27,10.27,10.27,10.27,500,
13/01/2009,10.33,10.95,10.33,10.95,600,
14/01/2009,11.12,11.12,11.12,11.12,100,
15/01/2009,10.38,11.51,10.38,11.51,2100,
16/01/2009,10.95,10.95,10.95,10.95,100,
19/01/2009,11.57,11.57,11.57,11.57,100,
20/01/2009,16.17,16.17,16.17,16.17,0,
21/01/2009,10.78,12.36,10.78,12.36,200,
22/01/2009,10.78,12.36,10.78,12.36,1100,
23/01/2009,10.21,11.68,10.21,11.68,4500,
02/02/2009,14.36,14.36,14.36,14.36,0,
03/02/2009,9.59,9.7,9.59,9.7,500,
04/02/2009,9.59,9.59,9.59,9.59,1200,
05/02/2009,9.14,9.31,8.97,9.31,1300,
06/02/2009,9.25,9.25,8.75,8.75,2900,
09/02/2009,9.03,9.03,9.03,9.03,1500,
10/02/2009,9.65,9.65,9.65,9.65,100,
11/02/2009,9.03,9.08,9.03,9.03,2800,
12/02/2009,12.62,12.62,12.62,12.62,0,
13/02/2009,12.62,12.62,12.62,12.62,0,
16/02/2009,9.03,9.03,8.91,9.03,2200,
17/02/2009,8.8,9.03,8.8,9.03,4900,
18/02/2009,9.03,9.03,8.46,8.58,4800,
19/02/2009,9.2,9.2,8.18,8.18,4200,
20/02/2009,12.15,12.15,12.15,12.15,0,
23/02/2009,8.12,8.46,8.12,8.46,1100,
24/02/2009,11.44,11.44,11.44,11.44,0,
25/02/2009,8.75,8.75,8.75,8.75,100,
26/02/2009,8.18,8.18,8.18,8.18,2000,
27/02/2009,8.18,8.18,7.96,8.18,400,
02/03/2009,11.36,11.36,11.36,11.36,0,
03/03/2009,8.46,8.69,8.46,8.69,1100,
04/03/2009,8.58,8.58,8.58,8.58,100,
05/03/2009,8.41,8.46,8.41,8.46,1000,
06/03/2009,8.86,8.86,8.86,8.86,100,
09/03/2009,8.75,8.75,8.75,8.75,100,
10/03/2009,8.58,9.03,8.58,9.03,1100,
11/03/2009,8.58,8.58,8.58,8.58,200,DIVIDEND
12/03/2009,9.14,9.14,9.14,9.14,100,
13/03/2009,12.78,12.78,12.78,12.78,0,
16/03/2009,12.78,12.78,12.78,12.78,0,
17/03/2009,12.78,12.78,12.78,12.78,0,
18/03/2009,8.75,8.75,8.75,8.75,100,
19/03/2009,8.46,8.46,8.46,8.46,500,
20/03/2009,7.9,7.9,7.9,7.9,1500,
23/03/2009,11.04,11.04,11.04,11.04,0,
