transDate,close,high,low,open,volume,event
05/10/2016,13.924,13.924,13.924,13.924,205890.0,
06/10/2016,14.891,14.891,14.891,14.891,14250.0,
07/10/2016,15.896,15.896,15.896,15.896,30910.0,
10/10/2016,16.98,16.98,16.98,16.98,450360.0,
11/10/2016,18.141,18.141,18.141,18.141,799790.0,
12/10/2016,19.377,19.377,19.377,19.377,1130610.0,
13/10/2016,20.732,20.732,20.693,20.732,3145880.0,
14/10/2016,22.164,22.164,21.66,22.047,2242380.0,
17/10/2016,23.709,23.709,23.517,23.671,1428260.0,
18/10/2016,25.334,25.334,25.295,25.334,1439460.0,
19/10/2016,23.594,27.037,23.594,27.037,1389260.0,
20/10/2016,21.969,21.969,21.969,21.969,805310.0,
21/10/2016,22.433,22.859,20.461,20.461,3892820.0,
24/10/2016,22.936,23.091,22.472,22.51,1239320.0,
25/10/2016,22.008,23.671,21.582,23.013,1387380.0,
26/10/2016,22.047,22.047,20.538,20.886,2192960.0,
27/10/2016,23.052,23.091,22.164,22.164,1137290.0,
28/10/2016,23.363,23.517,21.736,21.736,1771130.0,
31/10/2016,21.892,23.091,21.736,23.091,557560.0,
01/11/2016,21.892,22.28,20.383,20.653,941280.0,
02/11/2016,20.383,21.93,20.383,21.93,733570.0,
03/11/2016,18.991,19.65,18.991,18.991,280160.0,
04/11/2016,18.334,18.526,17.676,17.676,1020320.0,
07/11/2016,17.058,18.566,17.058,17.792,179850.0,
08/11/2016,18.217,18.217,15.896,15.896,1175430.0,
09/11/2016,18.45,18.991,17.405,18.296,1376620.0,
10/11/2016,18.489,19.725,18.489,18.526,617110.0,
11/11/2016,17.212,18.489,17.212,17.405,610960.0,
14/11/2016,16.902,17.096,16.244,17.019,910960.0,
15/11/2016,17.25,17.289,16.943,16.943,717210.0,
16/11/2016,17.483,17.754,17.328,17.328,1183670.0,
17/11/2016,17.25,17.483,17.019,17.019,775880.0,
18/11/2016,18.024,18.141,17.328,17.328,1545900.0,
21/11/2016,18.062,19.185,18.062,18.178,265960.0,
22/11/2016,18.141,18.45,18.062,18.062,1039110.0,
23/11/2016,17.173,18.412,16.902,18.141,352320.0,
24/11/2016,16.399,17.367,16.244,17.173,282950.0,
25/11/2016,15.859,16.554,15.316,16.399,260410.0,
28/11/2016,14.93,15.935,14.775,15.896,164100.0,
29/11/2016,15.974,15.974,13.964,14.002,377890.0,
30/11/2016,16.051,17.019,15.78,16.09,410010.0,
01/12/2016,15.24,16.051,15.085,16.051,152600.0,
02/12/2016,14.852,15.24,14.465,14.465,338550.0,
05/12/2016,15.868,15.868,15.316,15.316,403940.0,DIVIDEND
06/12/2016,15.913,16.508,15.868,15.997,447500.0,
07/12/2016,16.252,16.295,15.402,15.402,457640.0,
08/12/2016,16.847,16.847,16.252,16.593,541740.0,
09/12/2016,16.847,16.847,16.422,16.422,395990.0,
12/12/2016,15.868,16.593,15.868,16.422,154710.0,
13/12/2016,14.891,15.699,14.891,15.614,115150.0,
14/12/2016,14.933,15.485,14.38,14.551,188730.0,
15/12/2016,14.976,15.019,14.72,14.848,254330.0,
16/12/2016,15.061,15.147,14.976,15.019,316980.0,
19/12/2016,15.23,15.273,14.933,14.976,461400.0,
20/12/2016,15.188,15.402,15.147,15.188,330030.0,
21/12/2016,15.188,15.23,14.891,15.188,602550.0,
22/12/2016,14.891,15.147,14.677,15.061,137410.0,
23/12/2016,14.763,14.891,14.465,14.763,67440.0,
26/12/2016,14.551,14.848,14.295,14.807,104860.0,
27/12/2016,14.04,14.677,13.87,14.636,354160.0,
28/12/2016,13.786,13.997,13.614,13.911,237510.0,
29/12/2016,13.614,13.828,12.891,13.614,312690.0,
30/12/2016,14.38,14.38,13.233,13.274,763300.0,
03/01/2017,14.38,14.38,14.083,14.083,524250.0,
04/01/2017,14.295,14.465,14.209,14.423,532300.0,
05/01/2017,14.508,14.636,14.04,14.04,954840.0,
06/01/2017,14.423,14.423,14.124,14.38,736580.0,
09/01/2017,14.636,14.72,14.551,14.551,710260.0,
10/01/2017,14.295,14.636,14.083,14.295,665850.0,
11/01/2017,14.423,14.423,14.04,14.295,764900.0,
12/01/2017,14.295,14.636,13.87,14.423,1352390.0,
