transDate,close,high,low,open,volume,event
06/12/2006,3.345,3.345,3.345,3.345,20110,
07/12/2006,3.483,3.483,3.483,3.483,38000,
08/12/2006,3.65,3.65,3.65,3.65,1400,
11/12/2006,3.824,3.824,3.824,3.824,11020,
12/12/2006,3.994,3.994,3.994,3.994,15000,
13/12/2006,4.164,4.164,4.132,4.132,1510,
14/12/2006,4.368,4.368,4.368,4.368,2000,
15/12/2006,4.574,4.574,4.574,4.574,2090,
18/12/2006,4.368,4.574,4.368,4.574,9620,
19/12/2006,4.164,4.164,4.164,4.164,5720,
20/12/2006,3.96,3.96,3.96,3.96,10480,
21/12/2006,3.789,3.926,3.789,3.926,13780,
22/12/2006,3.618,3.618,3.618,3.618,5700,
25/12/2006,3.789,3.789,3.618,3.618,7800,
26/12/2006,3.96,3.96,3.892,3.892,25390,
27/12/2006,4.132,4.132,4.028,4.028,13080,
28/12/2006,4.063,4.234,3.958,4.132,3000,
29/12/2006,4.063,4.063,3.892,4.063,7100,
02/01/2007,4.063,4.063,4.063,4.063,1060,
03/01/2007,3.892,3.892,3.892,3.892,860,
04/01/2007,3.892,3.958,3.892,3.892,1600,
05/01/2007,3.892,3.892,3.755,3.892,8860,
08/01/2007,3.892,3.892,3.719,3.892,9000,
09/01/2007,3.892,3.892,3.892,3.892,9000,
10/01/2007,3.892,3.892,3.892,3.892,2640,
11/01/2007,3.824,3.892,3.824,3.892,150,
12/01/2007,3.789,3.789,3.653,3.789,1010,
15/01/2007,3.789,3.789,3.618,3.789,11730,
16/01/2007,3.892,3.958,3.892,3.892,18200,
17/01/2007,4.063,4.063,4.063,4.063,17620,
18/01/2007,4.234,4.234,4.132,4.132,26340,
19/01/2007,4.438,4.438,4.438,4.438,17130,
22/01/2007,4.574,4.643,4.574,4.574,42130,
23/01/2007,4.368,4.438,4.368,4.438,5510,
24/01/2007,4.164,4.371,4.164,4.371,17670,
25/01/2007,3.96,3.96,3.96,3.96,24100,
26/01/2007,4.096,4.096,4.096,4.096,2010,
29/01/2007,4.196,4.301,4.196,4.196,9300,
30/01/2007,4.301,4.301,4.301,4.301,500,
31/01/2007,4.505,4.505,4.505,4.505,19940,
01/02/2007,4.438,4.505,4.438,4.505,3520,
02/02/2007,4.61,4.61,4.61,4.61,14850,
05/02/2007,4.813,4.813,4.813,4.813,19780,
06/02/2007,4.574,4.813,4.574,4.813,14500,
07/02/2007,4.438,4.574,4.438,4.574,5200,
08/02/2007,4.301,4.301,4.301,4.301,8600,
09/02/2007,4.505,4.505,4.438,4.438,3540,
12/02/2007,4.711,4.711,4.505,4.505,10200,
13/02/2007,4.711,4.781,4.711,4.711,8120,
14/02/2007,4.849,4.849,4.849,4.849,9080,
15/02/2007,5.052,5.052,4.882,4.882,6430,
26/02/2007,5.29,5.29,5.29,5.29,8600,
27/02/2007,5.529,5.529,5.529,5.529,21000,
28/02/2007,5.802,5.802,5.802,5.802,33350,
01/03/2007,5.733,5.802,5.564,5.802,17150,
02/03/2007,6.008,6.008,5.735,5.735,13920,
05/03/2007,6.281,6.281,6.281,6.281,20680,
06/03/2007,6.587,6.587,6.587,6.587,14790,
07/03/2007,6.384,6.761,6.384,6.587,20400,
08/03/2007,6.486,6.692,6.486,6.486,14410,
09/03/2007,6.486,6.486,6.486,6.486,8420,
12/03/2007,6.692,6.692,6.486,6.486,10330,
13/03/2007,6.793,6.827,6.793,6.793,8500,
14/03/2007,6.692,6.692,6.623,6.692,10180,
15/03/2007,6.384,6.384,6.384,6.384,250,
16/03/2007,6.076,6.076,6.076,6.076,18330,
19/03/2007,6.281,6.349,6.281,6.281,11380,
20/03/2007,6.076,6.486,6.076,6.279,11020,
21/03/2007,6.109,6.177,6.076,6.076,12650,
22/03/2007,6.145,6.145,6.145,6.145,14410,
23/03/2007,6.349,6.451,6.349,6.349,8500,
26/03/2007,6.349,6.349,6.349,6.349,11120,
27/03/2007,6.042,6.281,6.042,6.281,4030,
28/03/2007,5.872,5.872,5.802,5.872,5630,
29/03/2007,6.145,6.145,6.008,6.008,2690,
30/03/2007,6.145,6.145,5.906,6.145,11580,
02/04/2007,5.939,5.939,5.939,5.939,2720,
03/04/2007,5.939,5.939,5.77,5.939,5440,
04/04/2007,5.939,5.939,5.939,5.939,3450,
05/04/2007,6.214,6.214,6.145,6.145,12270,
06/04/2007,6.145,6.214,6.145,6.145,5890,
09/04/2007,6.042,6.145,6.042,6.042,2770,
10/04/2007,6.042,6.145,6.042,6.042,1880,
11/04/2007,6.145,6.145,6.145,6.145,1660,
12/04/2007,6.008,6.145,6.008,6.008,4550,
13/04/2007,6.076,6.076,6.008,6.008,3130,
16/04/2007,5.939,6.076,5.939,5.939,8130,
17/04/2007,5.733,5.733,5.666,5.733,6110,
18/04/2007,6.008,6.008,5.461,5.735,9940,
19/04/2007,6.008,6.008,6.008,6.008,2140,
20/04/2007,6.145,6.145,5.939,6.008,6710,
23/04/2007,6.451,6.451,6.451,6.451,4410,
24/04/2007,6.761,6.761,6.761,6.761,27550,
25/04/2007,7.032,7.032,7.032,7.032,11070,
02/05/2007,7.372,7.372,7.305,7.305,1530,
03/05/2007,7.714,7.714,7.714,7.714,1900,
04/05/2007,8.057,8.057,8.057,8.057,2600,
07/05/2007,8.398,8.398,8.398,8.398,690,
08/05/2007,8.807,8.807,8.807,8.807,2560,
09/05/2007,9.217,9.217,9.217,9.217,2370,
10/05/2007,9.625,9.625,9.625,9.625,5410,
11/05/2007,10.103,10.103,9.625,9.625,4300,
14/05/2007,10.582,10.582,10.582,10.582,550,
15/05/2007,11.06,11.06,11.06,11.06,630,
16/05/2007,11.606,11.606,11.606,11.606,230,
17/05/2007,12.153,12.153,12.153,12.153,1080,
18/05/2007,12.7,12.7,12.7,12.7,2030,
21/05/2007,13.313,13.313,13.313,13.313,520,
22/05/2007,13.927,13.927,13.927,13.927,1310,
23/05/2007,14.611,14.611,14.611,14.611,100,
24/05/2007,15.02,15.292,15.02,15.02,41890,
25/05/2007,15.77,15.77,15.77,15.77,35000,
28/05/2007,16.52,16.52,16.52,16.52,800,
29/05/2007,17.862,17.862,17.862,17.862,70,DIVIDEND
30/05/2007,18.711,18.711,18.711,18.711,390,
31/05/2007,19.627,19.627,19.627,19.627,1270,
01/06/2007,20.547,20.547,20.547,20.547,2150,
04/06/2007,21.536,21.536,21.536,21.536,1200,
05/06/2007,22.593,22.593,22.593,22.593,48470,
06/06/2007,23.724,23.724,23.724,23.724,4650,
07/06/2007,24.855,24.855,24.855,24.855,300,
08/06/2007,26.05,26.05,26.05,26.05,2820,
11/06/2007,27.325,27.325,27.325,27.325,88870,
12/06/2007,28.666,28.666,28.666,28.666,10040,
13/06/2007,27.252,28.243,27.252,28.243,27670,
14/06/2007,25.911,25.911,25.911,25.911,3070,
15/06/2007,24.64,24.64,24.64,24.64,60,
18/06/2007,25.841,25.841,23.44,24.64,68780,
19/06/2007,27.111,27.111,27.111,27.111,9110,
20/06/2007,28.452,28.452,28.243,28.243,50740,
21/06/2007,29.867,29.867,29.867,29.867,19820,
22/06/2007,30.36,30.36,29.936,29.936,38170,
25/06/2007,28.946,29.583,28.946,29.583,21720,
26/06/2007,28.946,28.946,27.535,28.946,37310,
27/06/2007,29.301,30.007,29.301,29.301,23060,
28/06/2007,28.382,28.946,28.382,28.946,12600,
29/06/2007,28.313,28.313,27.89,28.313,16060,
02/07/2007,26.9,27.959,26.9,27.959,25220,
03/07/2007,26.617,26.617,25.56,26.617,37080,
04/07/2007,27.535,27.535,26.617,26.617,10560,
05/07/2007,26.266,27.252,26.266,27.252,18040,
06/07/2007,26.617,26.617,26.475,26.475,16340,
09/07/2007,26.76,26.76,26.125,26.617,10860,
10/07/2007,26.9,27.182,26.9,26.9,9240,
11/07/2007,26.689,26.9,26.689,26.9,7900,
12/07/2007,26.05,26.335,26.05,26.335,5400,
13/07/2007,26.125,26.125,25.841,26.053,2800,
16/07/2007,25.064,25.841,25.064,25.841,11330,
17/07/2007,24.289,24.64,24.289,24.64,12160,
18/07/2007,23.159,24.571,23.159,24.289,13370,
19/07/2007,22.027,22.241,22.027,22.241,10390,
20/07/2007,20.971,20.971,20.971,20.971,8200,
23/07/2007,19.98,19.98,19.98,19.98,37710,
24/07/2007,20.547,20.547,19.98,19.98,11480,
25/07/2007,19.627,20.547,19.627,20.547,10110,
26/07/2007,18.711,19.417,18.711,19.417,7560,
27/07/2007,17.792,17.792,17.792,17.792,7570,
30/07/2007,16.945,16.945,16.945,16.945,3750,
31/07/2007,16.099,16.099,16.099,16.099,4410,
