transDate,close,high,low,open,volume,event
21/11/2008,3.063,3.295,2.657,2.657,13400,
24/11/2008,2.901,3.221,2.901,3.221,7000,
25/11/2008,2.893,3.188,2.893,3.188,3200,
26/11/2008,2.764,2.764,2.764,2.764,200,
27/11/2008,2.573,2.573,2.573,2.573,23000,
28/11/2008,2.742,2.742,2.402,2.402,3300,
01/12/2008,2.786,2.786,2.786,2.786,100,
02/12/2008,2.595,2.595,2.595,2.595,1500,
03/12/2008,2.414,2.444,2.414,2.444,3900,
04/12/2008,2.54,2.55,2.318,2.318,1800,
05/12/2008,2.531,2.531,2.531,2.531,500,
08/12/2008,2.635,2.635,2.635,2.635,100,
09/12/2008,2.55,2.55,2.55,2.55,500,
10/12/2008,2.72,2.72,2.72,2.72,100,
11/12/2008,2.54,2.54,2.54,2.54,500,
12/12/2008,2.54,2.54,2.54,2.54,0,
15/12/2008,2.657,2.657,2.657,2.657,100,
16/12/2008,2.477,2.477,2.477,2.477,1300,
17/12/2008,2.34,2.34,2.34,2.34,500,
18/12/2008,2.34,2.34,2.34,2.34,0,
19/12/2008,2.499,2.499,2.255,2.255,1300,
22/12/2008,2.425,2.466,2.307,2.466,2100,
23/12/2008,2.392,2.392,2.233,2.318,3600,
24/12/2008,2.359,2.359,2.359,2.359,0,
25/12/2008,2.255,2.392,2.255,2.392,3200,
26/12/2008,2.179,2.179,2.179,2.179,3000,
29/12/2008,2.318,2.318,2.318,2.318,100,
30/12/2008,2.359,2.359,2.359,2.359,100,
31/12/2008,2.233,2.233,2.211,2.233,600,
02/01/2009,2.233,2.233,2.233,2.233,2000,
05/01/2009,2.233,2.233,2.233,2.233,1500,
06/01/2009,2.371,2.371,2.233,2.233,2500,
07/01/2009,2.34,2.34,2.245,2.245,400,
08/01/2009,2.307,2.455,2.307,2.425,1100,
09/01/2009,2.444,2.499,2.392,2.499,1600,
12/01/2009,2.583,2.583,2.499,2.499,13700,
13/01/2009,2.55,2.731,2.55,2.731,4700,
14/01/2009,2.444,2.444,2.444,2.444,500,
15/01/2009,2.297,2.297,2.285,2.285,500,
16/01/2009,2.297,2.297,2.285,2.285,400,
19/01/2009,2.392,2.392,2.34,2.34,5700,
20/01/2009,2.233,2.233,2.233,2.233,100,
21/01/2009,2.233,2.233,2.233,2.233,0,
22/01/2009,2.381,2.381,2.348,2.348,700,
23/01/2009,2.444,2.444,2.402,2.402,2500,
02/02/2009,2.444,2.531,2.444,2.531,400,
03/02/2009,2.318,2.318,2.318,2.318,4000,
04/02/2009,2.328,2.328,2.328,2.328,500,
05/02/2009,2.179,2.318,2.179,2.318,4600,
06/02/2009,2.179,2.179,2.127,2.127,5900,
09/02/2009,2.274,2.274,2.274,2.274,200,
10/02/2009,2.274,2.274,2.274,2.274,0,
11/02/2009,2.274,2.274,2.274,2.274,0,
12/02/2009,2.34,2.34,2.34,2.34,3300,
13/02/2009,2.34,2.34,2.34,2.34,0,
16/02/2009,2.444,2.499,2.444,2.499,7600,
17/02/2009,2.455,2.455,2.455,2.455,0,
18/02/2009,2.318,2.318,2.285,2.297,1200,
19/02/2009,2.148,2.255,2.148,2.245,1900,
20/02/2009,2.371,2.371,2.371,2.371,100,
23/02/2009,2.211,2.425,2.211,2.233,5000,
24/02/2009,2.082,2.082,2.082,2.082,1300,
25/02/2009,2.223,2.223,2.223,2.223,800,
26/02/2009,2.072,2.072,2.072,2.072,1300,
27/02/2009,2.211,2.211,2.211,2.211,600,
02/03/2009,2.211,2.211,2.211,2.211,0,
03/03/2009,2.179,2.179,2.179,2.179,1100,
