transDate,close,high,low,open,volume,event
11/11/2010,4.799,4.846,4.799,4.799,25110,
12/11/2010,4.799,4.799,4.602,4.799,5620,
15/11/2010,4.602,4.602,4.602,4.602,30,
16/11/2010,4.412,4.602,4.412,4.461,1620,
17/11/2010,4.602,4.602,4.216,4.216,5440,
18/11/2010,4.748,4.748,4.412,4.748,3340,
19/11/2010,4.556,4.602,4.556,4.602,1320,
22/11/2010,4.655,4.655,4.412,4.412,110,
23/11/2010,5.743,5.743,5.508,5.743,1810,
24/11/2010,5.508,5.508,5.508,5.508,310,
25/11/2010,4.263,4.655,4.263,4.556,3560,
26/11/2010,4.361,4.361,4.071,4.17,11790,
29/11/2010,4.556,4.556,4.46,4.46,50,
30/11/2010,4.556,4.655,4.504,4.655,1020,
01/12/2010,4.361,4.361,4.361,4.361,5440,
02/12/2010,4.556,4.556,4.17,4.361,11310,
03/12/2010,4.655,4.748,4.412,4.748,7630,
06/12/2010,4.701,4.701,4.46,4.46,5810,
07/12/2010,4.504,4.701,4.504,4.701,2590,
08/12/2010,4.316,4.46,4.316,4.361,7500,
09/12/2010,4.316,4.316,4.316,4.316,20,
10/12/2010,4.412,4.412,4.216,4.216,1110,
13/12/2010,4.412,4.46,4.412,4.412,680,
14/12/2010,4.46,4.46,4.216,4.412,2650,
15/12/2010,4.263,4.316,4.263,4.316,1010,
16/12/2010,4.216,4.216,4.119,4.119,560,
17/12/2010,4.316,4.316,4.17,4.17,670,
20/12/2010,4.316,4.316,4.316,4.316,100,
21/12/2010,4.316,4.316,4.263,4.263,20,
22/12/2010,5.324,5.324,5.324,5.324,0,
23/12/2010,4.119,4.263,4.119,4.263,360,
24/12/2010,4.02,4.02,4.02,4.02,110,
27/12/2010,4.119,4.119,4.02,4.02,210,
28/12/2010,4.216,4.216,4.216,4.216,20,
29/12/2010,4.216,4.316,4.216,4.316,100,
30/12/2010,4.314,4.314,4.167,4.167,1010,
31/12/2010,4.314,4.314,4.314,4.314,4190,
04/01/2011,4.363,4.409,4.363,4.409,3190,
05/01/2011,4.216,4.266,4.216,4.266,200,
06/01/2011,4.363,4.363,4.363,4.363,2900,
07/01/2011,4.216,4.363,4.216,4.363,320,
10/01/2011,4.023,4.071,4.023,4.071,400,
11/01/2011,4.216,4.216,3.974,3.974,1310,
12/01/2011,4.363,4.363,4.266,4.266,880,
13/01/2011,4.46,4.46,4.46,4.46,10,
14/01/2011,4.314,4.314,4.314,4.314,20,
17/01/2011,4.46,4.46,4.46,4.46,10,
18/01/2011,4.46,4.46,4.46,4.46,0,
19/01/2011,4.314,4.314,4.314,4.314,100,
20/01/2011,4.314,4.314,4.314,4.314,0,
21/01/2011,4.167,4.167,4.167,4.167,30,
24/01/2011,4.121,4.121,4.121,4.121,10,
25/01/2011,4.314,4.314,4.314,4.314,10,
26/01/2011,4.314,4.314,4.314,4.314,0,
27/01/2011,4.121,4.167,4.121,4.121,390,
28/01/2011,4.266,4.266,4.216,4.216,20,
08/02/2011,4.46,4.46,4.46,4.46,10,
09/02/2011,4.46,4.46,4.46,4.46,0,
10/02/2011,4.46,4.46,4.46,4.46,0,
11/02/2011,4.314,4.314,4.314,4.314,10,
14/02/2011,4.314,4.314,4.314,4.314,0,
15/02/2011,4.314,4.314,4.314,4.314,0,
16/02/2011,4.314,4.314,4.314,4.314,0,
17/02/2011,4.314,4.314,4.314,4.314,0,
18/02/2011,4.121,4.314,4.121,4.121,120,
21/02/2011,4.266,4.266,3.974,3.974,820,
22/02/2011,4.266,4.266,4.266,4.266,0,
23/02/2011,4.266,4.266,4.266,4.266,0,
24/02/2011,4.266,4.266,4.266,4.266,0,
25/02/2011,4.266,4.266,4.266,4.266,0,
28/02/2011,4.071,4.071,4.071,4.071,400,
01/03/2011,4.071,4.071,4.071,4.071,0,
02/03/2011,4.167,4.167,3.877,3.877,4710,
03/03/2011,4.167,4.167,4.167,4.167,0,
04/03/2011,4.167,4.167,4.167,4.167,100,
07/03/2011,4.167,4.167,4.167,4.167,0,
08/03/2011,4.167,4.167,4.167,4.167,60,
09/03/2011,4.167,4.167,4.167,4.167,3200,
10/03/2011,4.314,4.314,4.314,4.314,10,
11/03/2011,4.363,4.363,4.314,4.314,60,
14/03/2011,4.314,4.314,4.314,4.314,30,
15/03/2011,4.314,4.314,4.314,4.314,0,
16/03/2011,4.314,4.314,4.314,4.314,0,
17/03/2011,4.216,4.216,4.216,4.216,10,
18/03/2011,4.216,4.216,4.216,4.216,0,
21/03/2011,4.216,4.216,4.216,4.216,0,
22/03/2011,4.216,4.216,4.216,4.216,0,
23/03/2011,4.216,4.216,4.216,4.216,0,
24/03/2011,4.216,4.216,4.216,4.216,0,
25/03/2011,4.314,4.314,4.314,4.314,10,
28/03/2011,4.314,4.314,4.314,4.314,20,
29/03/2011,4.121,4.121,4.121,4.121,490,
30/03/2011,4.121,4.121,4.121,4.121,0,
31/03/2011,4.121,4.121,4.121,4.121,0,
01/04/2011,4.023,4.121,4.023,4.121,890,
04/04/2011,4.023,4.023,4.023,4.023,0,
05/04/2011,4.023,4.023,4.023,4.023,0,
06/04/2011,3.926,3.926,3.926,3.926,1900,
07/04/2011,4.121,4.121,3.827,3.827,5020,
08/04/2011,4.266,4.266,4.266,4.266,10,
13/04/2011,4.46,4.46,4.46,4.46,10,
14/04/2011,4.603,4.603,4.363,4.363,1010,
15/04/2011,4.409,4.603,4.409,4.603,140,
18/04/2011,4.266,4.603,4.266,4.266,255,
19/04/2011,4.167,4.266,4.167,4.266,30,
20/04/2011,4.167,4.167,4.167,4.167,0,
21/04/2011,4.216,4.216,4.216,4.216,30,
22/04/2011,4.023,4.216,4.023,4.216,410,
25/04/2011,3.877,3.877,3.877,3.877,10,
26/04/2011,3.974,3.974,3.974,3.974,260,
27/04/2011,4.023,4.023,4.023,4.023,20,
28/04/2011,4.023,4.023,3.974,4.023,2800,
29/04/2011,4.216,4.216,4.121,4.121,580,
04/05/2011,4.409,4.409,4.409,4.409,2850,
05/05/2011,4.409,4.555,4.409,4.555,1670,
06/05/2011,4.46,4.46,4.46,4.46,300,
09/05/2011,4.603,4.653,4.555,4.555,3640,
10/05/2011,4.603,4.603,4.603,4.603,10,
11/05/2011,4.603,4.603,4.603,4.603,10,
12/05/2011,4.603,4.603,4.603,4.603,0,
13/05/2011,4.409,4.46,4.409,4.409,670,
16/05/2011,4.603,4.603,4.555,4.603,2230,
17/05/2011,4.603,4.603,4.603,4.603,1120,
18/05/2011,4.66,4.66,4.437,4.437,1610,DIVIDEND
19/05/2011,4.437,4.494,4.437,4.494,1040,
20/05/2011,4.216,4.216,4.216,4.216,970,
23/05/2011,4.049,4.106,4.049,4.106,2200,
24/05/2011,3.994,3.994,3.994,3.994,400,
25/05/2011,4.049,4.049,3.826,3.884,3030,
26/05/2011,4.106,4.106,4.106,4.106,70,
27/05/2011,4.271,4.271,4.271,4.271,400,
30/05/2011,4.437,4.437,4.437,4.437,1000,
31/05/2011,4.437,4.437,4.437,4.437,0,
01/06/2011,4.55,4.55,4.437,4.437,1010,
02/06/2011,4.327,4.327,4.327,4.327,10050,
03/06/2011,4.437,4.437,4.383,4.437,3650,
06/06/2011,4.437,4.437,4.437,4.437,4000,
07/06/2011,4.437,4.437,4.437,4.437,12050,
08/06/2011,4.437,4.437,4.437,4.437,0,
09/06/2011,4.437,4.437,4.437,4.437,0,
10/06/2011,4.327,4.383,4.327,4.383,20,
13/06/2011,4.327,4.327,4.327,4.327,0,
14/06/2011,4.327,4.327,4.327,4.327,0,
15/06/2011,4.437,4.437,4.162,4.162,710,
16/06/2011,4.437,4.437,4.437,4.437,0,
17/06/2011,4.437,4.437,4.437,4.437,0,
20/06/2011,4.494,4.494,4.271,4.327,1060,
21/06/2011,4.437,4.437,4.437,4.437,100,
22/06/2011,4.437,4.437,4.437,4.437,0,
23/06/2011,4.216,4.216,4.216,4.216,200,
24/06/2011,4.271,4.271,4.049,4.049,8020,
27/06/2011,4.327,4.327,4.106,4.216,4760,
28/06/2011,4.494,4.494,4.327,4.383,310,
29/06/2011,4.603,4.603,4.603,4.603,20,
30/06/2011,4.603,4.603,4.603,4.603,0,
01/07/2011,4.383,4.66,4.383,4.66,110,
04/07/2011,4.383,4.383,4.383,4.383,0,
05/07/2011,4.437,4.55,4.437,4.55,1130,
06/07/2011,4.327,4.327,4.327,4.327,500,
07/07/2011,4.327,4.327,4.327,4.327,0,
08/07/2011,4.327,4.327,4.327,4.327,0,
11/07/2011,4.327,4.327,4.327,4.327,0,
12/07/2011,4.327,4.327,4.327,4.327,0,
13/07/2011,4.327,4.327,4.162,4.162,10210,
14/07/2011,4.327,4.327,4.327,4.327,0,
15/07/2011,4.327,4.327,4.327,4.327,0,
18/07/2011,4.327,4.327,4.327,4.327,0,
19/07/2011,4.327,4.327,4.327,4.327,0,
20/07/2011,4.327,4.327,4.327,4.327,0,
21/07/2011,4.327,4.327,4.327,4.327,0,
22/07/2011,4.327,4.327,4.327,4.327,0,
25/07/2011,4.162,4.216,4.162,4.162,9250,
26/07/2011,3.994,4.049,3.994,4.049,3680,
27/07/2011,3.884,3.884,3.884,3.884,210,
28/07/2011,3.994,3.994,3.826,3.826,1020,
29/07/2011,3.826,3.826,3.826,3.826,280,
