transDate,close,high,low,open,volume,event
03/12/2015,20.643,22.301,20.013,21.157,231200,
04/12/2015,19.613,20.585,19.441,20.585,60700,
07/12/2015,19.441,19.613,18.927,19.613,117000,
08/12/2015,19.441,19.498,18.87,19.441,123500,
09/12/2015,19.213,19.498,19.042,19.498,102700,
10/12/2015,19.441,19.498,19.213,19.213,107700,
11/12/2015,19.556,19.67,19.441,19.441,94100,
14/12/2015,19.613,19.613,19.213,19.556,105600,
15/12/2015,19.556,19.67,19.327,19.613,111800,
16/12/2015,19.556,19.67,19.441,19.556,104800,
17/12/2015,19.556,19.728,19.556,19.613,8600,
18/12/2015,19.556,19.556,19.327,19.441,25400,
21/12/2015,19.385,19.498,19.213,19.498,14800,
22/12/2015,18.984,19.213,18.984,19.155,16400,
23/12/2015,18.87,19.213,18.87,19.155,33600,
24/12/2015,18.87,19.042,17.44,18.87,40500,
25/12/2015,17.44,18.87,17.44,18.87,26600,
28/12/2015,17.726,18.812,17.726,18.298,22100,
29/12/2015,18.126,18.812,18.126,18.699,22600,
30/12/2015,18.356,18.641,18.126,18.584,20600,
31/12/2015,18.356,18.584,18.298,18.584,114100,
04/01/2016,17.955,18.412,17.84,18.356,132900,
05/01/2016,17.783,18.184,17.555,18.126,129200,
06/01/2016,17.783,17.955,17.726,17.84,108800,
07/01/2016,17.383,17.726,17.383,17.555,93400,
08/01/2016,17.154,17.497,16.869,17.383,48400,
11/01/2016,16.582,17.097,15.782,16.869,29100,
12/01/2016,16.582,16.582,16.011,16.011,7500,
13/01/2016,16.582,16.754,16.468,16.754,13000,
14/01/2016,16.526,16.582,16.526,16.582,300,
15/01/2016,16.468,16.468,16.011,16.011,13300,
18/01/2016,16.297,16.297,16.011,16.067,7300,
19/01/2016,16.011,16.011,16.011,16.011,100,
20/01/2016,16.239,16.526,16.011,16.526,2000,
21/01/2016,16.011,16.011,15.038,15.153,2100,
22/01/2016,15.153,16.011,15.153,16.011,19900,
25/01/2016,15.381,15.439,14.867,15.153,19500,
26/01/2016,15.153,15.381,14.524,15.153,12800,
27/01/2016,16.011,16.011,15.153,15.381,7900,
28/01/2016,15.21,15.21,15.153,15.153,600,
29/01/2016,15.324,15.324,15.153,15.153,2100,
01/02/2016,15.153,15.153,15.153,15.153,700,
02/02/2016,15.21,16.011,15.21,16.011,2800,
03/02/2016,15.84,15.84,15.84,15.84,100,
04/02/2016,15.84,15.84,15.84,15.84,0,
05/02/2016,15.954,15.954,15.954,15.954,100,
15/02/2016,15.153,15.896,14.467,14.467,300,
16/02/2016,15.668,15.668,15.668,15.668,100,
17/02/2016,15.439,15.439,15.381,15.381,5500,
18/02/2016,15.153,15.153,15.153,15.153,3500,
19/02/2016,15.153,15.153,15.153,15.153,0,
22/02/2016,15.153,15.153,15.153,15.153,300,
23/02/2016,15.21,15.553,15.21,15.381,8200,
24/02/2016,15.324,15.324,14.753,14.753,700,
25/02/2016,15.496,15.496,15.268,15.268,2300,
26/02/2016,15.496,15.496,13.952,14.009,32100,
29/02/2016,15.21,15.381,14.181,14.181,5100,
01/03/2016,15.324,15.324,15.21,15.268,13900,
02/03/2016,15.268,15.268,14.009,14.295,17100,
03/03/2016,15.153,15.153,14.582,14.867,10100,
04/03/2016,15.096,15.096,14.867,14.867,10500,
07/03/2016,15.096,15.096,15.096,15.096,100,
08/03/2016,15.096,15.096,15.096,15.096,0,
09/03/2016,15.096,15.096,15.096,15.096,0,
10/03/2016,15.381,15.381,14.981,14.981,7300,
11/03/2016,16.125,16.582,14.295,15.381,22851,
14/03/2016,16.011,17.669,16.011,17.383,9549,
15/03/2016,16.926,16.983,16.011,16.011,9800,
