transDate,close,high,low,open,volume,event
19/11/2008,5.74,8.542,5.261,8.202,354300,
20/11/2008,5.329,5.467,5.329,5.4,130400,
21/11/2008,5.364,5.467,4.989,4.989,76900,
24/11/2008,5.261,5.329,5.226,5.329,20400,
25/11/2008,4.954,5.297,4.954,5.195,111200,
26/11/2008,4.68,5.056,4.68,5.025,38600,
27/11/2008,4.407,4.51,4.407,4.51,38200,
28/11/2008,4.716,4.716,4.407,4.407,74000,
01/12/2008,4.407,4.68,4.34,4.51,34000,
02/12/2008,4.372,4.372,4.238,4.238,12700,
03/12/2008,4.134,4.34,4.098,4.304,49000,
04/12/2008,4.372,4.407,4.274,4.407,27700,
05/12/2008,4.134,4.238,4.067,4.238,45000,
08/12/2008,3.929,4.098,3.929,4.098,20400,
09/12/2008,4.098,4.17,4.067,4.098,25100,
10/12/2008,4.372,4.372,4.098,4.098,66100,
11/12/2008,4.34,4.372,4.274,4.304,14200,
12/12/2008,4.578,4.613,4.474,4.474,29400,
15/12/2008,4.51,4.783,4.443,4.783,9900,
16/12/2008,4.17,4.201,4.17,4.201,20500,
17/12/2008,4.407,4.443,4.201,4.34,19000,
18/12/2008,4.407,4.443,4.201,4.407,8300,
19/12/2008,4.372,4.474,4.34,4.34,9600,
22/12/2008,4.372,4.443,4.372,4.443,5600,
23/12/2008,4.304,4.372,4.304,4.372,7300,
24/12/2008,4.34,4.34,4.238,4.238,19000,
25/12/2008,4.274,4.304,4.274,4.274,12000,
26/12/2008,4.443,4.474,4.274,4.274,28000,
29/12/2008,4.407,4.443,4.407,4.443,20800,
30/12/2008,4.443,4.443,4.34,4.34,12300,
31/12/2008,4.372,4.407,4.372,4.372,7500,
02/01/2009,4.34,4.443,4.34,4.372,14500,
05/01/2009,4.372,4.372,4.34,4.34,5200,
06/01/2009,4.443,4.443,4.372,4.372,9900,
07/01/2009,4.443,4.443,4.34,4.372,22300,
08/01/2009,4.304,4.407,4.098,4.098,12000,
09/01/2009,4.34,4.34,3.995,3.995,20600,
12/01/2009,4.474,4.474,4.17,4.17,48000,
13/01/2009,4.407,4.443,4.34,4.443,5100,
14/01/2009,4.372,4.372,4.372,4.372,4300,
15/01/2009,4.372,4.372,4.304,4.304,4000,
16/01/2009,4.407,4.407,4.372,4.372,3000,
19/01/2009,4.34,4.407,4.34,4.407,4500,
20/01/2009,4.34,4.372,4.304,4.372,21500,
21/01/2009,4.443,4.51,4.407,4.407,25600,
22/01/2009,4.578,4.578,4.474,4.474,10800,
23/01/2009,4.546,4.546,4.51,4.51,1600,
02/02/2009,4.34,4.372,4.34,4.372,5000,
03/02/2009,4.098,4.134,4.067,4.067,10600,DIVIDEND
04/02/2009,4.098,4.238,4.067,4.134,13800,
05/02/2009,3.965,4.031,3.897,4.031,8100,
06/02/2009,3.861,3.995,3.759,3.995,13400,
09/02/2009,4.031,4.031,3.929,3.929,4600,
10/02/2009,3.995,4.031,3.759,3.759,500,
11/02/2009,3.929,3.965,3.929,3.929,5500,
12/02/2009,3.794,3.861,3.794,3.861,2000,
13/02/2009,3.825,3.825,3.794,3.825,9100,
16/02/2009,3.897,3.897,3.655,3.655,3200,
17/02/2009,3.619,3.929,3.553,3.929,7200,
18/02/2009,3.588,3.588,3.45,3.485,14400,
19/02/2009,3.418,3.588,3.418,3.588,2200,
20/02/2009,3.418,3.418,3.418,3.418,7800,
23/02/2009,3.213,3.279,3.177,3.245,15100,
24/02/2009,3.177,3.245,3.073,3.073,7000,
25/02/2009,3.418,3.418,3.145,3.145,10700,
26/02/2009,3.347,3.418,3.347,3.382,10200,
27/02/2009,3.418,3.418,3.418,3.418,6000,
02/03/2009,3.45,3.45,3.45,3.45,4300,
03/03/2009,3.485,3.485,3.485,3.485,6400,
04/03/2009,3.619,3.619,3.588,3.588,2500,
05/03/2009,3.655,3.655,3.619,3.619,3400,
06/03/2009,3.553,3.655,3.553,3.655,1900,
09/03/2009,3.691,3.691,3.619,3.619,2000,
10/03/2009,3.723,3.723,3.522,3.522,5100,
11/03/2009,3.759,3.825,3.723,3.825,30800,
12/03/2009,3.759,3.861,3.588,3.825,18200,
13/03/2009,3.691,3.691,3.588,3.691,13700,
16/03/2009,3.619,3.723,3.619,3.723,6400,
17/03/2009,3.691,3.759,3.655,3.655,2400,
18/03/2009,3.759,3.759,3.655,3.723,18300,
19/03/2009,3.619,3.723,3.619,3.723,2800,
20/03/2009,3.553,3.619,3.553,3.619,16000,
23/03/2009,3.485,3.759,3.485,3.759,9100,
24/03/2009,3.655,3.759,3.588,3.759,25600,
25/03/2009,3.619,3.655,3.619,3.655,19500,
26/03/2009,3.723,3.723,3.691,3.723,9900,
27/03/2009,3.691,3.691,3.619,3.655,13200,
30/03/2009,3.619,3.619,3.619,3.619,6700,
31/03/2009,3.619,3.619,3.553,3.553,10800,
01/04/2009,3.655,3.691,3.655,3.691,13600,
02/04/2009,3.897,3.897,3.655,3.655,60600,
03/04/2009,4.031,4.031,3.929,3.929,76700,
07/04/2009,4.304,4.304,4.17,4.274,60400,
08/04/2009,3.995,4.407,3.995,4.274,49000,
09/04/2009,3.861,4.098,3.825,4.098,26300,
10/04/2009,4.238,4.238,3.965,4.201,59500,
13/04/2009,4.474,4.474,4.372,4.372,118500,
14/04/2009,4.274,4.716,4.274,4.716,12200,
15/04/2009,4.098,4.274,4.098,4.17,13400,
16/04/2009,4.067,4.274,3.995,4.274,12600,
17/04/2009,3.897,4.031,3.897,4.031,63900,
20/04/2009,3.691,3.759,3.655,3.655,35300,
21/04/2009,3.759,3.759,3.418,3.418,6400,
22/04/2009,3.861,3.861,3.759,3.861,7500,
23/04/2009,3.861,3.929,3.759,3.861,21600,
