transDate,close,high,low,open,volume,event
03/12/2010,16.055,17.1,13.3,17.1,302100,
06/12/2010,15.865,15.865,15.865,15.865,186600,
07/12/2010,16.91,16.91,14.82,16.91,29700,
08/12/2010,14.63,16.72,14.63,16.72,5900,
09/12/2010,13.87,13.965,13.87,13.87,79800,
10/12/2010,13.87,14.725,12.92,13.49,236700,
13/12/2010,13.965,14.25,13.68,14.25,76500,
14/12/2010,13.015,13.965,13.015,13.965,72600,
15/12/2010,12.255,12.54,12.255,12.54,85600,
16/12/2010,11.59,12.16,11.4,11.4,68700,
17/12/2010,12.255,12.255,11.685,11.685,357800,
20/12/2010,11.4,13.11,11.4,13.11,318200,
21/12/2010,11.4,11.97,11.02,11.97,43800,
22/12/2010,11.305,11.78,11.115,11.78,46300,
23/12/2010,10.735,11.495,10.735,11.495,75600,
24/12/2010,10.45,11.4,10.45,11.305,47400,
27/12/2010,10.26,10.45,10.07,10.45,73300,
28/12/2010,10.83,10.83,10.545,10.64,702500,
29/12/2010,11.21,11.4,10.83,11.305,888600,
30/12/2010,11.4,11.78,11.21,11.495,157900,
31/12/2010,11.4,11.685,11.115,11.685,57100,
04/01/2011,10.735,11.875,10.735,11.875,173100,
05/01/2011,10.26,10.735,10.165,10.735,123700,
06/01/2011,10.83,10.83,10.07,10.355,72400,
07/01/2011,10.45,11.02,10.45,11.02,116200,
10/01/2011,9.975,10.45,9.88,10.45,193200,
11/01/2011,9.88,10.45,9.405,9.975,152300,
12/01/2011,10.07,10.45,9.785,10.26,69300,
13/01/2011,10.07,10.26,9.88,9.975,78400,
14/01/2011,9.88,10.07,9.785,9.975,140000,
17/01/2011,10.545,10.545,10.07,10.07,105900,
18/01/2011,11.21,11.21,11.02,11.21,928700,
19/01/2011,10.83,11.495,10.545,11.495,193800,
20/01/2011,10.545,11.21,10.355,11.21,157800,
21/01/2011,10.355,10.64,10.26,10.545,86900,
24/01/2011,10.355,11.02,10.07,10.07,516600,
25/01/2011,10.26,10.64,10.165,10.355,329100,
26/01/2011,10.165,10.45,10.165,10.355,182700,
27/01/2011,10.26,10.64,10.26,10.64,348200,
28/01/2011,10.165,10.45,10.07,10.355,164800,
08/02/2011,10.26,10.355,10.165,10.165,227800,
09/02/2011,10.26,10.545,10.26,10.26,278200,
10/02/2011,9.975,10.355,9.975,10.355,150400,
11/02/2011,10.165,10.26,9.88,10.26,148900,
14/02/2011,10.165,10.45,10.07,10.26,330300,
15/02/2011,10.925,10.925,10.355,10.355,1227400,
16/02/2011,10.45,11.115,10.45,11.115,226800,
17/02/2011,10.26,10.64,10.26,10.545,120500,
18/02/2011,10.355,10.735,10.165,10.26,154800,
21/02/2011,9.785,10.165,9.785,10.165,251100,
22/02/2011,9.405,9.69,9.215,9.31,387100,
23/02/2011,9.5,9.69,9.215,9.5,259700,
24/02/2011,9.025,9.405,8.835,9.405,281700,
25/02/2011,9.31,9.5,8.93,9.31,181900,
28/02/2011,8.835,9.405,8.835,9.405,95200,
01/03/2011,9.025,9.12,8.74,9.12,199500,
02/03/2011,8.455,9.025,8.455,9.025,371100,
03/03/2011,8.265,8.455,8.075,8.455,195700,
04/03/2011,8.74,8.835,8.17,8.36,385400,
07/03/2011,8.74,8.93,8.55,8.93,181400,
08/03/2011,8.55,8.835,8.455,8.74,200200,
09/03/2011,8.265,8.55,8.17,8.55,247900,
10/03/2011,8.835,8.835,8.36,8.455,288500,
11/03/2011,9.31,9.31,8.835,8.835,153700,
14/03/2011,8.835,9.88,8.74,9.69,194600,
15/03/2011,8.55,8.93,8.55,8.55,127600,
16/03/2011,8.74,8.835,8.455,8.645,180800,
17/03/2011,8.645,9.025,8.55,8.74,164000,
18/03/2011,8.93,9.12,8.645,8.835,228000,
21/03/2011,8.74,9.215,8.645,8.835,227000,
22/03/2011,8.36,8.835,8.36,8.835,225700,
23/03/2011,8.74,9.025,8.455,8.455,467000,
24/03/2011,9.31,9.31,8.835,9.025,1446800,
25/03/2011,9.595,9.595,9.12,9.12,2776200,
28/03/2011,10.165,10.165,9.88,9.975,1820900,
29/03/2011,10.07,10.735,9.69,10.545,1620100,
30/03/2011,9.69,10.07,9.69,10.07,515800,
31/03/2011,9.595,10.165,9.025,9.31,1808700,
01/04/2011,9.785,10.165,9.595,9.975,1851400,
04/04/2011,9.785,9.88,9.405,9.88,1776100,
05/04/2011,10.165,10.26,9.88,9.88,3070900,
06/04/2011,10.735,10.735,10.355,10.545,2590600,
07/04/2011,10.45,11.21,10.165,10.355,1912900,
08/04/2011,10.355,10.545,10.165,10.45,1563500,
13/04/2011,10.165,10.45,9.975,10.07,1464100,
14/04/2011,10.545,10.64,10.165,10.26,1363900,
15/04/2011,10.355,10.735,10.355,10.45,1360700,
18/04/2011,9.975,10.64,9.88,10.45,1280900,
19/04/2011,9.975,10.26,9.785,10.165,1318000,
20/04/2011,9.88,9.975,9.595,9.975,1187300,
21/04/2011,9.975,10.45,9.69,9.975,1786800,
22/04/2011,10.07,10.26,9.5,10.07,2011600,
25/04/2011,10.355,10.45,10.07,10.165,1933400,
26/04/2011,10.26,10.83,10.07,10.735,1270500,
27/04/2011,10.165,10.45,9.88,10.45,1781400,
28/04/2011,10.355,10.735,10.165,10.26,2548600,
29/04/2011,10.545,10.735,10.26,10.45,1679100,
04/05/2011,10.26,10.735,10.165,10.735,1286600,
05/05/2011,10.165,10.45,10.07,10.26,1700300,
06/05/2011,10.355,10.545,10.07,10.26,2073000,
09/05/2011,10.64,10.735,9.975,9.975,2213200,
