transDate,close,high,low,open,volume,event
08/10/2010,16.207,17.396,15.131,15.131,561200,
11/10/2010,16.59,17.235,15.669,15.669,253700,
12/10/2010,15.562,16.423,15.562,16.315,362200,
13/10/2010,15.4,15.669,14.641,14.802,130200,
14/10/2010,14.856,15.616,14.588,15.616,147800,
15/10/2010,14.318,15.293,14.21,15.293,105100,
18/10/2010,13.613,14.588,13.613,14.318,217300,
19/10/2010,12.915,14.265,12.915,14.05,297700,
20/10/2010,13.452,13.56,12.317,12.317,65700,
21/10/2010,13.345,13.888,12.915,12.915,48500,
22/10/2010,13.237,13.291,12.699,13.291,33300,
25/10/2010,13.613,13.613,13.291,13.345,72100,
26/10/2010,14.372,14.372,13.834,14.05,86300,
27/10/2010,13.506,14.48,13.506,13.775,71900,
28/10/2010,13.129,13.996,13.129,13.942,35000,
29/10/2010,13.129,13.506,13.022,13.237,49500,
01/11/2010,12.592,13.775,12.592,13.775,49600,
02/11/2010,12.424,13.182,12.424,13.075,67500,
03/11/2010,12.047,12.915,12.047,12.915,74300,
04/11/2010,12.592,12.645,12.047,12.592,151700,
05/11/2010,12.477,12.968,12.424,12.968,162100,
08/11/2010,12.424,12.968,12.156,12.752,87600,
09/11/2010,11.779,12.645,11.779,12.592,112500,
10/11/2010,11.349,12.209,11.349,12.209,73000,
11/11/2010,10.912,11.832,10.912,11.725,94600,
12/11/2010,10.805,11.186,10.589,10.966,100600,
15/11/2010,10.051,11.186,10.051,10.752,52200,
16/11/2010,10.051,10.643,10.051,10.589,49900,
17/11/2010,9.454,10.321,9.454,9.997,82100,
18/11/2010,9.777,10.481,9.777,10.051,85500,
19/11/2010,9.4,10.268,9.4,10.16,43900,
22/11/2010,9.347,9.83,9.347,9.83,27100,
23/11/2010,9.185,9.341,8.713,9.341,151400,
24/11/2010,8.809,9.669,8.809,9.185,160100,
25/11/2010,9.777,9.777,9.454,9.507,142700,
26/11/2010,10.321,10.321,10.321,10.321,97900,
29/11/2010,11.019,11.019,11.019,11.019,95900,
30/11/2010,11.779,11.779,11.779,11.779,11000,
01/12/2010,12.592,12.592,12.209,12.592,610100,
02/12/2010,13.452,13.452,12.86,13.291,911700,
03/12/2010,14.372,14.372,13.506,13.506,421800,
06/12/2010,14.372,15.239,14.05,15.131,143400,
07/12/2010,13.72,13.942,13.72,13.72,607000,
08/12/2010,12.807,13.398,12.807,12.807,278900,
09/12/2010,11.994,12.968,11.994,11.994,942100,
10/12/2010,12.86,12.86,12.86,12.86,547500,
13/12/2010,13.72,13.942,13.117,13.942,469900,
14/12/2010,12.699,13.022,12.699,13.022,202300,
15/12/2010,11.887,12.699,11.887,12.156,447900,
16/12/2010,11.295,11.402,11.295,11.349,563300,
17/12/2010,12.047,12.047,10.589,10.589,234900,
20/12/2010,11.241,12.477,11.127,12.317,189500,
21/12/2010,10.858,11.349,10.698,10.805,273500,
22/12/2010,10.536,11.186,10.321,11.127,109900,
23/12/2010,10.374,10.805,10.051,10.643,126500,
24/12/2010,10.321,10.698,9.669,9.723,127300,
27/12/2010,10.321,10.481,10.051,10.374,88000,
28/12/2010,11.019,11.019,10.752,10.752,56000,
29/12/2010,11.349,11.672,11.349,11.672,457800,
30/12/2010,11.023,11.617,10.86,11.184,141600,
31/12/2010,11.238,11.4,10.806,10.86,102800,
04/01/2011,11.4,11.672,11.238,11.345,102400,
05/01/2011,11.345,11.779,11.076,11.724,148000,
06/01/2011,12.156,12.156,11.4,11.4,395600,
07/01/2011,11.779,12.535,11.724,12.049,378300,
10/01/2011,11.238,11.887,11.238,11.887,305100,
11/01/2011,10.752,11.454,10.59,11.345,173600,
12/01/2011,11.023,11.345,10.698,11.238,235700,
13/01/2011,11.184,11.345,10.914,11.238,121000,
14/01/2011,11.238,11.4,10.806,11.131,152900,
17/01/2011,11.076,11.617,10.967,11.238,123200,
18/01/2011,10.752,11.291,10.698,11.291,135900,
19/01/2011,10.806,11.076,10.536,10.967,76000,
20/01/2011,10.481,10.967,10.32,10.427,71400,
21/01/2011,10.59,10.914,10.427,10.914,124900,
24/01/2011,10.266,10.536,10.049,10.536,70300,
25/01/2011,10.266,10.373,10.049,10.266,83900,
26/01/2011,10.266,10.481,10.213,10.266,22900,
27/01/2011,10.752,11.023,10.59,10.752,64000,
28/01/2011,10.536,10.806,10.481,10.698,66100,
08/02/2011,10.806,11.291,10.806,11.291,19900,
09/02/2011,10.536,11.184,10.536,11.023,63600,
10/02/2011,10.427,10.643,10.427,10.536,43900,
11/02/2011,10.481,10.698,10.373,10.536,48500,
14/02/2011,10.32,10.59,10.266,10.536,51600,
15/02/2011,10.32,10.698,10.049,10.698,22500,
16/02/2011,9.996,10.481,9.996,10.266,104400,
17/02/2011,9.617,9.941,9.617,9.78,129300,
18/02/2011,9.834,9.996,9.672,9.941,97900,
21/02/2011,9.185,9.348,9.185,9.348,38700,
22/02/2011,8.645,8.916,8.59,8.807,139900,
23/02/2011,8.645,8.645,8.158,8.645,151500,
24/02/2011,7.943,8.212,7.943,8.212,138500,
25/02/2011,8.483,8.483,7.889,8.212,115300,
28/02/2011,8.05,8.59,8.05,8.59,69500,
01/03/2011,7.943,8.105,7.943,7.943,25100,
02/03/2011,7.457,7.671,7.457,7.671,145900,
03/03/2011,7.293,7.834,7.024,7.024,110800,
04/03/2011,7.51,7.671,7.293,7.671,72400,
07/03/2011,7.457,7.617,7.24,7.51,30500,
08/03/2011,7.079,7.51,7.079,7.51,13900,
09/03/2011,6.807,7.457,6.807,7.293,62300,
10/03/2011,7.457,7.457,7.079,7.079,169800,
11/03/2011,7.943,7.943,7.834,7.834,107200,
14/03/2011,7.402,8.05,7.402,8.05,34200,
15/03/2011,7.186,7.564,7.132,7.132,23900,
16/03/2011,7.348,7.457,7.024,7.402,65400,
17/03/2011,7.293,7.457,7.079,7.348,49600,
18/03/2011,7.781,7.781,7.293,7.293,206000,
21/03/2011,8.158,8.158,8.05,8.158,125400,
22/03/2011,8.05,8.645,7.889,8.645,137800,
23/03/2011,8.05,8.212,7.726,8.212,46800,
24/03/2011,7.671,8.212,7.564,8.158,63100,
25/03/2011,7.457,7.781,7.457,7.781,68100,
28/03/2011,7.457,7.671,7.348,7.671,42300,
29/03/2011,7.24,7.671,7.132,7.617,88100,
30/03/2011,7.293,7.402,7.024,7.024,49700,
31/03/2011,7.564,7.781,7.348,7.617,143000,
01/04/2011,7.402,7.726,7.402,7.671,91000,
04/04/2011,7.293,7.617,7.293,7.564,39600,
05/04/2011,7.402,7.51,7.348,7.457,77700,
06/04/2011,7.51,7.726,7.402,7.51,104100,
07/04/2011,7.348,7.617,7.293,7.617,19900,
08/04/2011,7.186,7.402,7.186,7.402,43800,
13/04/2011,7.079,7.348,7.079,7.348,72100,
14/04/2011,7.024,7.293,6.97,7.293,20100,
15/04/2011,6.97,7.293,6.915,7.293,23300,
18/04/2011,6.753,7.186,6.646,7.186,50900,
19/04/2011,6.322,7.024,6.322,7.024,63600,
20/04/2011,5.943,6.483,5.943,6.483,70200,
