transDate,close,high,low,open,volume,event
04/02/2015,5.902,5.902,5.902,5.902,5500,
05/02/2015,5.902,5.902,5.902,5.902,0,
06/02/2015,5.902,5.902,5.902,5.902,0,
09/02/2015,5.902,5.902,5.902,5.902,0,
10/02/2015,5.902,5.902,5.902,5.902,0,
11/02/2015,5.902,5.902,5.902,5.902,0,
12/02/2015,5.902,5.902,5.902,5.902,0,
13/02/2015,5.902,5.902,5.902,5.902,0,
24/02/2015,5.902,5.902,5.902,5.902,0,
25/02/2015,5.902,5.902,5.902,5.902,0,
26/02/2015,5.902,5.902,5.902,5.902,0,
27/02/2015,5.902,5.902,5.902,5.902,0,
02/03/2015,5.312,5.312,5.312,5.312,5000,
03/03/2015,5.016,5.016,4.781,4.781,10500,
04/03/2015,4.781,4.781,4.781,4.781,0,
05/03/2015,4.424,4.424,4.424,4.424,8300,
06/03/2015,4.25,4.25,4.25,4.25,100,
09/03/2015,4.308,4.424,4.308,4.424,5100,
10/03/2015,4.25,4.25,4.25,4.25,100,
11/03/2015,4.25,4.25,4.25,4.25,0,
12/03/2015,4.25,4.25,4.25,4.25,0,
13/03/2015,4.663,4.663,4.663,4.663,100,
16/03/2015,4.663,4.663,4.663,4.663,0,
17/03/2015,4.663,4.663,4.663,4.663,0,
18/03/2015,4.663,4.663,4.663,4.663,0,
19/03/2015,4.25,4.367,4.25,4.367,4400,
20/03/2015,4.308,4.308,4.308,4.308,0,
23/03/2015,4.663,4.663,4.308,4.308,12800,
24/03/2015,4.839,4.839,4.722,4.722,4800,
25/03/2015,5.252,5.252,5.193,5.193,18000,
26/03/2015,5.547,5.547,5.133,5.252,7510,
27/03/2015,5.133,5.489,5.133,5.489,1100,
30/03/2015,5.193,5.193,5.193,5.193,300,
31/03/2015,5.193,5.193,5.193,5.193,0,
01/04/2015,4.722,4.722,4.722,4.722,700,
02/04/2015,4.957,4.957,4.25,4.308,19000,
03/04/2015,4.663,4.663,4.663,4.663,100,
06/04/2015,4.424,4.957,4.424,4.957,2500,
07/04/2015,4.663,4.663,4.544,4.544,2900,
08/04/2015,4.663,4.663,4.544,4.663,5000,
09/04/2015,5.016,5.016,4.839,4.839,8500,
10/04/2015,5.133,5.133,5.016,5.016,5500,
13/04/2015,5.312,5.489,5.312,5.489,6000,
14/04/2015,5.489,5.489,5.489,5.489,0,
15/04/2015,5.312,5.312,5.312,5.312,350,
16/04/2015,4.781,4.781,4.781,4.781,8300,
17/04/2015,4.781,4.781,4.722,4.781,4500,
20/04/2015,4.603,4.603,4.603,4.603,1146,
21/04/2015,4.603,4.603,4.603,4.603,2089,
22/04/2015,4.485,4.544,4.485,4.544,3800,
23/04/2015,4.544,4.544,4.544,4.544,3900,
24/04/2015,4.722,4.722,4.722,4.722,100,
27/04/2015,4.722,4.722,4.722,4.722,1000,
04/05/2015,4.722,4.722,4.722,4.722,0,
05/05/2015,5.133,5.133,5.133,5.133,100,
06/05/2015,4.663,4.722,4.663,4.722,3700,
07/05/2015,4.722,4.722,4.722,4.722,0,
08/05/2015,4.424,4.485,4.424,4.485,3400,
11/05/2015,4.424,4.424,4.424,4.424,0,
12/05/2015,4.131,4.131,4.131,4.131,1300,
13/05/2015,4.131,4.131,4.131,4.131,0,
14/05/2015,4.424,4.424,4.131,4.131,6700,
15/05/2015,4.308,4.308,4.308,4.308,0,
18/05/2015,4.308,4.308,4.308,4.308,700,
19/05/2015,4.308,4.308,4.308,4.308,1500,
20/05/2015,4.722,4.722,4.722,4.722,100,
21/05/2015,4.722,4.722,4.722,4.722,0,
22/05/2015,4.722,4.722,4.722,4.722,0,
25/05/2015,4.722,4.722,4.722,4.722,500,
26/05/2015,4.722,4.722,4.722,4.722,0,
27/05/2015,4.308,4.308,4.308,4.308,2100,
28/05/2015,4.131,4.131,4.131,4.131,6067,
29/05/2015,4.131,4.131,4.131,4.131,5515,
01/06/2015,4.308,4.308,4.308,4.308,1400,
02/06/2015,4.663,4.663,4.663,4.663,100,
03/06/2015,4.663,4.663,4.663,4.663,0,
04/06/2015,4.663,4.663,4.663,4.663,0,
05/06/2015,4.308,4.308,4.25,4.25,5483,
08/06/2015,4.308,4.308,4.308,4.308,4746,
09/06/2015,4.308,4.308,4.308,4.308,0,
10/06/2015,4.308,4.308,4.308,4.308,0,
11/06/2015,4.663,4.663,4.25,4.25,4473,
12/06/2015,4.663,4.663,4.663,4.663,100,
15/06/2015,4.722,4.722,4.722,4.722,100,
16/06/2015,4.781,4.781,4.781,4.781,100,
17/06/2015,4.308,4.308,4.308,4.308,2000,
18/06/2015,4.131,4.25,4.131,4.19,3442,
19/06/2015,4.131,4.131,4.131,4.131,100,
22/06/2015,4.131,4.131,4.131,4.131,0,
23/06/2015,4.131,4.131,4.131,4.131,0,
24/06/2015,4.131,4.131,4.131,4.131,4800,
25/06/2015,4.131,4.131,4.131,4.131,0,
26/06/2015,4.131,4.131,4.131,4.131,0,
29/06/2015,4.131,4.131,4.131,4.131,0,
30/06/2015,4.131,4.131,4.131,4.131,2500,
01/07/2015,4.131,4.131,4.131,4.131,0,
02/07/2015,4.131,4.131,4.131,4.131,0,
03/07/2015,4.014,4.014,4.014,4.014,2400,
06/07/2015,4.014,4.014,4.014,4.014,0,
07/07/2015,4.014,4.014,4.014,4.014,3000,
08/07/2015,3.836,3.836,3.836,3.836,3600,
09/07/2015,4.25,4.25,4.25,4.25,2280,
10/07/2015,4.25,4.25,4.25,4.25,0,
13/07/2015,4.25,4.25,4.25,4.25,3819,
14/07/2015,4.25,4.25,4.25,4.25,67,
15/07/2015,4.25,4.25,4.25,4.25,1000,
16/07/2015,4.25,4.25,4.25,4.25,0,
17/07/2015,3.954,4.131,3.954,3.954,10940,
20/07/2015,4.072,4.072,4.072,4.072,0,
21/07/2015,4.131,4.131,4.131,4.131,2322,
22/07/2015,3.954,4.014,3.895,3.895,18500,
23/07/2015,3.954,3.954,3.954,3.954,10000,
24/07/2015,4.19,4.19,4.19,4.19,300,
27/07/2015,3.954,3.954,3.954,3.954,21900,
28/07/2015,3.954,3.954,3.954,3.954,2800,
29/07/2015,4.308,4.308,4.131,4.131,42356,
30/07/2015,4.25,4.25,4.25,4.25,5850,
31/07/2015,4.25,4.25,4.131,4.131,6500,
03/08/2015,4.131,4.25,4.131,4.25,4233,
04/08/2015,4.19,4.19,4.19,4.19,0,
05/08/2015,4.25,4.25,4.19,4.19,5300,
06/08/2015,4.367,4.544,4.25,4.25,23283,
07/08/2015,4.367,4.367,4.367,4.367,0,
10/08/2015,4.603,4.603,4.603,4.603,100,
11/08/2015,4.25,4.25,4.25,4.25,1482,
12/08/2015,4.25,4.25,4.25,4.25,6000,
13/08/2015,4.308,4.308,4.308,4.308,2000,
14/08/2015,4.308,4.308,4.308,4.308,0,
17/08/2015,4.308,4.308,4.308,4.308,0,
18/08/2015,4.308,4.308,4.131,4.131,600,
19/08/2015,4.25,4.25,4.25,4.25,3500,
20/08/2015,4.25,4.25,4.25,4.25,0,
21/08/2015,3.954,4.014,3.954,4.014,2400,
24/08/2015,3.954,4.014,3.954,4.014,24700,
25/08/2015,3.954,3.954,3.954,3.954,0,
26/08/2015,3.954,3.954,3.954,3.954,0,
27/08/2015,3.718,3.718,3.718,3.718,5050,
28/08/2015,3.836,3.954,3.836,3.954,6000,
31/08/2015,4.131,4.131,4.131,4.131,1300,
01/09/2015,4.014,4.072,4.014,4.072,10101,
03/09/2015,4.131,4.131,4.072,4.072,11002,
04/09/2015,3.895,3.895,3.895,3.895,200,
07/09/2015,4.014,4.014,3.423,3.423,4100,
08/09/2015,3.836,3.836,3.423,3.423,1700,
09/09/2015,3.836,3.836,3.836,3.836,3770,
10/09/2015,4.131,4.131,3.542,3.542,30900,
11/09/2015,4.014,4.131,4.014,4.131,1100,
14/09/2015,3.954,3.954,3.954,3.954,400,
15/09/2015,3.895,3.895,3.895,3.895,1000,
16/09/2015,3.836,3.836,3.836,3.836,500,
17/09/2015,3.718,3.718,3.718,3.718,1200,
18/09/2015,4.014,4.014,4.014,4.014,10000,
21/09/2015,3.954,4.014,3.836,3.836,17406,
22/09/2015,3.954,3.954,3.954,3.954,4500,
23/09/2015,4.014,4.014,4.014,4.014,4500,
24/09/2015,4.072,4.072,4.014,4.014,8600,
25/09/2015,3.895,4.072,3.895,3.895,2600,
28/09/2015,3.895,3.895,3.895,3.895,1200,
29/09/2015,3.895,3.954,3.836,3.954,900,
30/09/2015,3.895,3.895,3.895,3.895,700,
01/10/2015,3.895,3.895,3.895,3.895,0,
02/10/2015,3.954,3.954,3.836,3.836,2664,
05/10/2015,4.014,4.014,3.895,3.895,9200,
06/10/2015,3.954,3.954,3.954,3.954,0,
07/10/2015,3.954,3.954,3.954,3.954,0,
08/10/2015,4.19,4.19,4.131,4.131,48800,
09/10/2015,4.131,4.131,4.131,4.131,10,
12/10/2015,3.776,3.776,3.776,3.776,800,
13/10/2015,4.19,4.25,4.131,4.131,29000,
14/10/2015,4.19,4.19,4.19,4.19,7000,
15/10/2015,4.19,4.19,4.19,4.19,2208,
16/10/2015,4.19,4.19,4.19,4.19,4042,
19/10/2015,4.072,4.19,4.072,4.072,6043,
20/10/2015,4.072,4.131,3.836,4.131,35600,
21/10/2015,3.895,4.072,3.895,3.895,3333,
22/10/2015,3.895,3.895,3.895,3.895,4554,
23/10/2015,3.776,3.895,3.776,3.895,19600,
26/10/2015,3.836,3.836,3.836,3.836,5200,
27/10/2015,3.659,3.836,3.6,3.836,8800,
28/10/2015,3.718,3.718,3.6,3.6,3400,
29/10/2015,3.836,3.836,3.836,3.836,1900,
30/10/2015,3.836,3.836,3.836,3.836,0,
02/11/2015,3.836,3.954,3.718,3.718,8900,
03/11/2015,3.836,4.131,3.836,4.131,1300,
04/11/2015,4.014,4.014,3.895,3.895,2202,
05/11/2015,3.895,4.014,3.895,3.895,12100,
06/11/2015,4.131,4.131,4.014,4.014,1600,
09/11/2015,3.954,3.954,3.954,3.954,608,
10/11/2015,4.131,4.131,3.895,4.014,8300,
11/11/2015,4.131,4.131,4.131,4.131,675,
12/11/2015,4.072,4.072,3.542,3.542,2400,
13/11/2015,3.659,4.072,3.6,4.072,3400,
16/11/2015,3.659,3.659,3.659,3.659,0,
17/11/2015,3.718,3.718,3.6,3.6,6900,
18/11/2015,4.25,4.25,3.776,3.776,8752,
19/11/2015,4.839,4.839,3.659,3.659,135246,
20/11/2015,5.133,5.312,4.663,5.312,208820,
23/11/2015,5.666,5.666,4.308,4.308,80512,
24/11/2015,5.016,5.431,4.781,5.431,44621,
25/11/2015,4.899,5.016,4.722,4.839,19050,
26/11/2015,5.075,5.133,5.016,5.016,35700,
27/11/2015,5.016,5.075,4.603,4.603,19500,
30/11/2015,4.839,5.075,4.839,5.075,35660,
01/12/2015,5.133,5.252,4.899,4.899,16300,
02/12/2015,5.252,5.489,4.957,5.431,15600,
03/12/2015,5.252,5.252,5.125,5.125,15400,DIVIDEND
04/12/2015,4.493,5.125,4.493,5.125,5020,
07/12/2015,5.063,5.063,4.619,4.619,4800,
08/12/2015,4.746,4.936,4.746,4.746,21700,
09/12/2015,4.493,4.683,4.241,4.683,15117,
10/12/2015,4.873,4.999,4.556,4.999,8800,
11/12/2015,5.442,5.569,4.367,4.43,54003,
14/12/2015,5.189,5.252,5.189,5.189,4000,
15/12/2015,5.063,5.063,4.936,5.063,13112,
16/12/2015,4.999,4.999,4.746,4.746,9124,
17/12/2015,4.936,4.936,4.556,4.746,12089,
18/12/2015,4.999,5.063,4.999,5.063,14050,
21/12/2015,4.999,4.999,4.999,4.999,0,
22/12/2015,4.873,4.873,4.493,4.683,21800,
23/12/2015,4.746,4.746,4.43,4.493,14049,
24/12/2015,4.683,4.683,4.43,4.43,1495,
25/12/2015,4.619,4.683,4.556,4.619,4000,
28/12/2015,4.43,4.683,4.43,4.683,40600,
29/12/2015,4.556,4.619,4.367,4.43,46113,
30/12/2015,5.189,5.189,4.556,4.556,186970,
31/12/2015,5.696,5.696,5.189,5.189,1880970,
04/01/2016,6.518,6.518,6.518,6.518,54206,
05/01/2016,7.467,7.467,7.278,7.467,251321,
06/01/2016,6.391,7.151,6.391,7.151,821900,
07/01/2016,6.644,6.961,5.949,5.949,383278,
08/01/2016,6.138,6.708,6.011,6.455,141400,
11/01/2016,5.696,6.265,5.696,6.138,203323,
12/01/2016,5.885,5.949,5.506,5.822,156380,
13/01/2016,6.202,6.581,5.949,5.949,127439,
14/01/2016,5.885,6.329,5.76,6.329,186220,
15/01/2016,5.632,6.075,5.632,6.075,82700,
18/01/2016,5.063,5.506,4.936,5.506,173659,
19/01/2016,5.442,5.442,5.063,5.063,91641,
20/01/2016,5.063,5.315,4.999,5.189,45300,
21/01/2016,4.999,5.885,4.999,5.885,40661,
22/01/2016,4.999,5.569,4.999,5.569,61064,
25/01/2016,5.189,5.569,5.063,5.569,36700,
26/01/2016,5.38,5.38,5.063,5.063,81000,
27/01/2016,5.949,5.949,5.38,5.38,223368,
28/01/2016,5.822,6.329,5.76,5.949,119450,
29/01/2016,5.632,5.822,5.632,5.822,87200,
01/02/2016,5.442,5.822,5.38,5.38,32810,
02/02/2016,5.38,5.632,5.38,5.569,38560,
03/02/2016,5.252,5.442,5.189,5.38,87800,
04/02/2016,5.315,5.696,5.189,5.696,18700,
05/02/2016,5.569,5.569,5.252,5.506,12000,
15/02/2016,5.949,6.011,5.38,5.38,216840,
16/02/2016,6.011,6.138,5.949,5.949,64400,
17/02/2016,5.822,6.265,5.76,6.011,60300,
18/02/2016,6.391,6.644,5.885,5.885,158750,
19/02/2016,7.025,7.278,6.644,6.644,456696,
22/02/2016,6.961,7.151,6.708,7.088,91510,
23/02/2016,6.329,7.215,6.329,6.961,378560,
24/02/2016,6.329,6.644,6.075,6.075,114000,
25/02/2016,6.138,6.518,6.075,6.518,75700,
26/02/2016,6.644,6.835,6.202,6.202,65910,
29/02/2016,6.581,6.771,6.455,6.771,26254,
01/03/2016,6.644,6.708,6.391,6.518,64534,
02/03/2016,6.581,6.771,6.581,6.581,50410,
03/03/2016,6.644,6.708,6.391,6.708,47020,
04/03/2016,6.771,6.835,6.518,6.581,92300,
07/03/2016,6.581,6.835,6.581,6.835,85300,
08/03/2016,6.581,6.644,6.581,6.581,34300,
09/03/2016,6.581,6.581,6.455,6.455,52800,
10/03/2016,6.644,6.644,6.455,6.455,16400,
11/03/2016,6.644,6.771,6.581,6.581,57125,
14/03/2016,6.771,6.835,6.644,6.644,63060,
15/03/2016,6.961,7.151,6.644,6.771,144740,
16/03/2016,7.151,7.467,6.961,6.961,160050,
17/03/2016,7.088,7.278,6.961,6.961,61990,
18/03/2016,6.898,7.025,6.011,7.025,82272,
21/03/2016,6.644,7.088,6.644,6.771,84780,
22/03/2016,6.581,6.708,6.455,6.708,141000,
23/03/2016,7.151,7.215,6.518,6.518,159517,
24/03/2016,7.974,8.1,7.151,7.151,534488,
25/03/2016,7.656,8.544,7.467,7.974,137294,
28/03/2016,7.656,7.784,7.467,7.594,117600,
29/03/2016,7.784,8.226,7.53,7.53,283850,
30/03/2016,7.467,7.91,7.467,7.91,186600,
31/03/2016,6.961,7.594,6.961,7.594,147610,
01/04/2016,6.581,7.151,6.581,7.151,179300,
04/04/2016,6.835,6.961,6.581,6.708,71300,
05/04/2016,7.025,7.215,6.708,6.708,56630,
06/04/2016,7.088,7.278,6.961,7.215,43400,
07/04/2016,6.961,7.025,6.835,6.835,36730,
08/04/2016,6.898,7.088,6.708,6.835,102359,
11/04/2016,7.025,7.025,6.835,6.898,98470,
12/04/2016,7.025,7.341,6.961,7.088,80900,
13/04/2016,6.898,7.025,6.835,7.025,101500,
14/04/2016,6.835,6.961,6.581,6.961,48300,
15/04/2016,6.771,6.835,6.708,6.835,63500,
19/04/2016,6.455,6.708,6.329,6.708,79610,
20/04/2016,6.202,6.455,6.138,6.391,112530,
21/04/2016,6.329,6.518,6.138,6.202,103100,
22/04/2016,6.202,6.455,5.506,6.329,100900,
25/04/2016,6.138,6.138,5.949,6.075,35400,
26/04/2016,5.822,6.075,5.822,6.011,44500,
27/04/2016,5.632,5.949,5.632,5.822,48200,
28/04/2016,5.696,5.76,5.632,5.76,35000,
29/04/2016,5.822,6.138,5.632,5.632,67450,
