transDate,close,high,low,open,volume,event
28/12/2006,78.63,78.63,78.63,78.63,93400,
29/12/2006,70.767,70.767,70.767,70.767,800,
02/01/2007,63.736,65.68,63.736,65.68,3300,
03/01/2007,58.094,58.094,58.094,58.094,700,
04/01/2007,57.354,57.354,52.358,52.358,28800,
05/01/2007,58.927,59.296,58.742,58.742,8700,
08/01/2007,64.754,64.754,64.754,64.754,44000,
09/01/2007,70.767,71.229,65.217,70.767,76400,
10/01/2007,69.842,74.005,67.067,74.005,19200,
11/01/2007,64.847,72.155,64.754,70.305,33900,
12/01/2007,69.38,69.38,67.53,68.454,45200,
15/01/2007,72.618,74.005,69.38,74.005,60300,
16/01/2007,72.155,78.167,71.229,74.005,64200,
17/01/2007,70.305,73.079,65.68,72.155,47900,
18/01/2007,69.842,70.305,69.38,70.305,35800,
19/01/2007,70.49,71.229,69.38,71.229,21800,
22/01/2007,67.53,71.229,66.604,71.229,44100,
23/01/2007,65.68,68.454,64.754,67.53,31400,
24/01/2007,67.53,70.305,66.141,66.604,33400,
25/01/2007,67.53,67.53,65.68,67.53,24700,
26/01/2007,64.754,66.141,61.054,65.68,17200,
29/01/2007,67.53,67.53,64.754,64.754,8000,
30/01/2007,71.229,71.229,66.604,68.454,34500,
31/01/2007,74.005,76.41,71.229,76.41,118500,
01/02/2007,74.468,81.591,74.005,81.591,75200,
02/02/2007,71.692,79.463,71.229,74.005,35700,
05/02/2007,71.229,78.63,69.38,78.63,55400,
06/02/2007,73.38,73.848,71.043,71.978,35400,DIVIDEND
07/02/2007,74.315,75.25,70.109,75.25,50600,
08/02/2007,71.978,76.652,71.978,76.652,42200,
09/02/2007,70.202,72.446,70.109,71.978,17500,
12/02/2007,71.511,76.652,69.174,75.717,29800,
13/02/2007,73.38,76.652,72.072,76.559,37700,
14/02/2007,74.97,75.25,73.38,75.25,48600,
15/02/2007,77.587,79.457,76.091,76.652,28700,
26/02/2007,84.317,84.598,77.587,77.587,67200,
27/02/2007,88.804,91.141,87.87,87.87,86800,
28/02/2007,86.935,97.965,80.204,97.965,29700,
01/03/2007,84.13,89.739,80.391,88.804,35700,
02/03/2007,82.261,83.663,80.391,83.663,13500,
05/03/2007,80.391,81.326,79.457,81.326,33100,
06/03/2007,82.728,85.813,82.261,83.196,56600,
07/03/2007,80.859,86.935,80.391,86.935,48000,
08/03/2007,83.663,84.13,80.859,84.13,27800,
09/03/2007,82.728,84.13,82.261,84.13,60300,
12/03/2007,83.196,91.983,82.728,91.983,78200,
13/03/2007,86.935,88.804,85.533,88.804,85200,
14/03/2007,87.87,88.804,86.935,88.804,81400,
15/03/2007,84.317,87.87,82.728,87.683,67300,
16/03/2007,90.674,91.609,84.224,86.0,70500,
19/03/2007,91.609,92.076,82.261,90.674,129200,
20/03/2007,87.402,93.478,86.935,93.478,42200,
21/03/2007,86.467,88.804,84.13,86.0,44100,
22/03/2007,83.009,85.065,79.457,85.065,27700,
23/03/2007,78.615,81.326,77.587,81.326,37600,
26/03/2007,71.511,79.457,71.511,78.989,17800,
27/03/2007,66.557,71.978,66.557,71.043,15900,
28/03/2007,74.502,74.502,61.696,65.435,14600,
29/03/2007,73.38,73.38,73.38,73.38,12300,
30/03/2007,73.848,80.391,72.913,80.391,51600,
02/04/2007,69.735,72.913,69.735,72.913,13500,
03/04/2007,67.772,70.015,63.004,65.435,14700,
04/04/2007,69.641,72.726,67.024,67.024,14300,
05/04/2007,68.052,71.043,66.37,71.043,10000,
06/04/2007,67.304,68.052,66.837,68.052,17000,
09/04/2007,67.304,69.174,62.163,69.174,11600,
10/04/2007,66.37,67.772,65.435,67.772,15800,
11/04/2007,66.37,67.304,66.37,67.304,19300,
12/04/2007,64.033,66.37,63.659,66.37,10600,
13/04/2007,62.63,63.472,62.163,62.63,10100,
