transDate,close,high,low,open,volume,event
08/12/2006,10.228,10.228,10.228,10.228,2800,
11/12/2006,10.139,10.255,9.82,10.255,800,
12/12/2006,9.961,9.961,9.961,9.961,600,
13/12/2006,9.873,9.873,9.873,9.873,1000,
14/12/2006,9.873,9.873,9.873,9.873,600,
15/12/2006,26.237,26.237,26.237,26.237,0,
18/12/2006,9.873,9.873,9.873,9.873,100,
19/12/2006,9.961,9.961,9.961,9.961,400,
20/12/2006,9.961,9.961,9.961,9.961,100,
21/12/2006,28.017,28.017,28.017,28.017,0,
22/12/2006,28.017,28.017,28.017,28.017,0,
25/12/2006,9.784,9.784,9.784,9.784,7500,
26/12/2006,9.606,9.606,9.606,9.606,100,
27/12/2006,9.784,9.784,9.784,9.784,200,
28/12/2006,9.606,9.606,9.606,9.606,100,
29/12/2006,9.784,9.855,9.784,9.855,600,
02/01/2007,9.961,9.961,9.961,9.961,6900,
03/01/2007,10.228,10.291,10.024,10.024,4000,
04/01/2007,10.407,10.407,10.264,10.264,4300,
05/01/2007,10.495,10.576,10.441,10.441,3600,
08/01/2007,10.673,10.859,9.775,10.371,2900,
09/01/2007,10.851,10.851,10.344,10.344,1900,
10/01/2007,10.673,11.473,10.673,11.127,5200,
11/01/2007,10.762,11.153,10.344,10.584,2800,
12/01/2007,10.673,10.673,10.673,10.673,1400,
15/01/2007,10.851,10.851,10.095,10.095,8300,
16/01/2007,11.028,11.028,10.272,10.272,15500,
17/01/2007,11.296,11.34,10.833,10.833,8700,
18/01/2007,11.385,11.838,11.269,11.269,5800,
19/01/2007,11.296,11.367,11.296,11.34,3600,
22/01/2007,11.118,11.163,11.047,11.118,1100,
23/01/2007,11.118,11.429,11.047,11.144,1700,
24/01/2007,11.207,11.207,11.038,11.038,6100,
25/01/2007,11.118,11.233,11.118,11.144,2500,
26/01/2007,11.296,11.296,11.064,11.064,1200,
29/01/2007,11.473,11.473,11.251,11.251,3700,
30/01/2007,11.74,12.088,11.305,11.305,18700,
31/01/2007,12.096,12.176,11.376,11.376,18600,
01/02/2007,12.096,12.924,12.096,12.096,1900,
02/02/2007,12.185,12.487,11.883,12.283,17700,
05/02/2007,12.007,13.769,12.007,12.381,10800,
06/02/2007,11.829,12.576,11.767,12.257,10300,
07/02/2007,11.919,12.443,11.598,11.936,10000,
08/02/2007,11.919,12.132,11.919,11.919,5500,
09/02/2007,12.007,12.007,11.429,11.527,3800,
12/02/2007,12.007,12.301,12.007,12.007,3200,
13/02/2007,12.096,12.141,12.033,12.033,11000,
14/02/2007,12.007,12.426,12.007,12.238,3500,
15/02/2007,12.274,12.479,12.016,12.016,9600,
