transDate,close,high,low,open,volume,event
18/06/2009,10.256,10.256,10.256,10.256,3000,
19/06/2009,10.806,10.806,10.806,10.806,1010,
22/06/2009,11.556,11.556,11.381,11.556,213500,
23/06/2009,11.556,12.081,11.556,12.081,197450,
24/06/2009,10.988,11.6,10.988,11.556,81740,
25/06/2009,10.463,11.03,10.463,10.943,37430,
26/06/2009,9.984,9.984,9.984,9.984,11920,
29/06/2009,9.502,9.502,9.502,9.502,10870,
30/06/2009,9.065,9.065,9.065,9.065,8630,
01/07/2009,8.623,8.623,8.623,8.623,2250,
02/07/2009,8.229,8.229,8.229,8.229,75870,
03/07/2009,8.36,8.623,7.835,7.835,58710,
06/07/2009,8.404,8.535,8.098,8.36,54660,
07/07/2009,8.055,8.229,8.011,8.011,46060,
08/07/2009,8.098,8.098,7.66,7.879,23860,
09/07/2009,8.14,8.317,8.055,8.098,14990,
10/07/2009,8.098,8.317,8.098,8.098,9160,
13/07/2009,8.011,8.14,7.791,8.14,25080,
14/07/2009,7.66,8.011,7.616,8.011,16380,
15/07/2009,7.835,8.011,7.747,8.011,5360,
16/07/2009,8.14,8.185,8.055,8.185,35230,
17/07/2009,7.879,7.923,7.879,7.879,8720,
20/07/2009,7.791,7.879,7.529,7.66,18190,
21/07/2009,7.835,7.967,7.791,7.791,4760,
22/07/2009,7.835,7.835,7.703,7.835,12730,
23/07/2009,7.879,8.055,7.835,7.835,6700,
24/07/2009,8.273,8.273,8.098,8.273,82030,
27/07/2009,8.491,8.665,8.36,8.665,51220,
28/07/2009,8.14,8.535,8.098,8.098,22570,
29/07/2009,8.098,8.185,8.011,8.011,38390,
30/07/2009,7.879,7.967,7.879,7.967,19950,
31/07/2009,7.967,8.098,7.879,8.098,20790,
03/08/2009,7.835,7.879,7.791,7.791,25320,
04/08/2009,7.835,8.011,7.835,8.011,30660,
05/08/2009,8.011,8.011,7.791,7.791,31270,
06/08/2009,8.098,8.14,7.967,7.967,21300,
07/08/2009,7.879,8.055,7.879,8.055,34420,
10/08/2009,8.14,8.185,7.879,8.185,48120,
11/08/2009,8.098,8.098,8.055,8.098,14880,
12/08/2009,7.923,8.098,7.923,7.923,38040,
13/08/2009,7.967,8.055,7.923,7.923,38360,
14/08/2009,8.055,8.055,7.923,8.055,66180,
17/08/2009,8.449,8.449,8.404,8.404,109270,
18/08/2009,8.759,8.802,8.665,8.802,146440,
19/08/2009,8.665,8.845,8.577,8.802,57990,
20/08/2009,8.404,8.535,8.404,8.404,45040,
21/08/2009,8.317,8.535,8.317,8.317,46000,
24/08/2009,8.491,8.491,8.229,8.36,59730,
25/08/2009,8.36,8.404,8.229,8.229,22950,
26/08/2009,8.449,8.491,8.273,8.273,15760,
27/08/2009,8.535,8.535,8.36,8.535,26030,
28/08/2009,8.716,8.759,8.535,8.535,165310,
31/08/2009,8.934,8.934,8.802,8.845,90340,
01/09/2009,9.372,9.372,8.845,8.978,166010,
03/09/2009,9.589,9.634,9.372,9.414,68670,
04/09/2009,9.546,9.634,9.372,9.502,117930,
07/09/2009,9.414,9.546,9.108,9.196,93550,
08/09/2009,9.459,9.589,9.283,9.283,97720,
09/09/2009,9.414,9.459,9.152,9.152,48670,
10/09/2009,9.372,9.502,9.065,9.196,156140,
11/09/2009,9.589,9.808,9.502,9.502,92850,
14/09/2009,9.72,9.72,9.589,9.634,37920,
15/09/2009,10.201,10.201,9.72,9.72,242070,
16/09/2009,10.375,10.595,10.375,10.595,117580,
17/09/2009,10.026,10.639,10.026,10.375,155800,
18/09/2009,10.245,10.288,9.634,9.984,138060,
21/09/2009,9.852,10.463,9.852,10.332,87970,
22/09/2009,9.895,10.026,9.634,9.852,65070,
23/09/2009,9.895,10.288,9.72,9.895,133490,
24/09/2009,9.634,9.895,9.634,9.634,92530,
25/09/2009,9.72,9.72,9.326,9.634,121700,
28/09/2009,9.414,9.72,9.326,9.72,93580,
29/09/2009,9.414,9.72,9.326,9.326,117180,
30/09/2009,9.326,9.414,8.978,9.414,80060,
01/10/2009,9.283,9.634,9.021,9.634,32530,
02/10/2009,8.889,8.978,8.845,8.889,82320,
05/10/2009,8.978,9.326,8.845,8.845,36460,
06/10/2009,9.414,9.414,8.978,9.372,244890,
