transDate,close,high,low,open,volume,event
02/11/2009,10.092,13.468,9.196,13.468,69800,
03/11/2009,9.406,10.691,9.406,10.691,6500,
04/11/2009,9.278,9.278,9.278,9.278,1400,
05/11/2009,8.635,8.635,8.635,8.635,33800,
06/11/2009,8.036,9.233,8.036,9.233,23200,
09/11/2009,7.61,7.654,7.61,7.654,17000,
10/11/2009,7.266,7.266,7.1,7.266,19800,
11/11/2009,7.056,7.61,6.712,7.61,16000,
12/11/2009,7.654,7.654,7.266,7.266,31000,
13/11/2009,7.699,8.125,7.699,7.699,4500,
16/11/2009,7.31,7.699,7.31,7.699,6700,
17/11/2009,6.928,7.01,6.883,7.01,16900,
18/11/2009,7.01,7.01,6.629,7.01,9700,
19/11/2009,6.839,6.883,6.839,6.839,7500,
20/11/2009,6.629,6.967,6.412,6.883,12800,
23/11/2009,6.329,6.457,6.329,6.457,4700,
24/11/2009,6.284,6.801,6.284,6.801,3700,
25/11/2009,5.903,6.068,5.903,6.068,13300,
26/11/2009,5.642,6.368,5.604,6.368,60300,
27/11/2009,5.559,5.731,5.387,5.387,14900,
30/11/2009,5.77,5.77,5.514,5.514,8100,
01/12/2009,5.77,5.77,5.604,5.77,6700,
02/12/2009,5.342,5.47,5.342,5.47,7100,
03/12/2009,5.514,5.604,5.47,5.514,1200,
04/12/2009,5.432,5.559,5.432,5.559,1100,
07/12/2009,5.514,5.559,5.514,5.559,700,
08/12/2009,5.77,5.77,5.47,5.559,10000,
09/12/2009,5.642,5.642,5.342,5.342,12800,
10/12/2009,5.731,5.903,5.559,5.77,21900,
11/12/2009,5.432,5.559,5.432,5.47,11600,
14/12/2009,5.813,5.813,5.731,5.77,4200,
15/12/2009,5.941,5.941,5.77,5.941,17300,
16/12/2009,5.47,5.642,5.47,5.642,9500,
17/12/2009,5.559,5.559,5.559,5.559,0,
18/12/2009,5.559,5.77,5.559,5.604,5300,
21/12/2009,5.903,5.986,5.303,5.559,7000,
22/12/2009,5.559,5.642,5.514,5.514,4400,
23/12/2009,5.342,5.604,5.342,5.604,6500,
24/12/2009,5.731,5.731,5.387,5.387,2500,
25/12/2009,5.813,5.813,5.813,5.813,4000,
28/12/2009,5.559,5.559,5.559,5.559,2300,
29/12/2009,5.432,5.642,5.387,5.387,700,
30/12/2009,5.77,5.77,5.559,5.559,1400,
31/12/2009,5.859,5.859,5.642,5.642,51500,
04/01/2010,6.068,6.068,5.859,5.859,20500,
05/01/2010,5.986,6.329,5.986,6.284,14500,
06/01/2010,6.583,6.629,5.903,5.903,7400,
07/01/2010,6.068,6.202,6.068,6.202,400,
08/01/2010,6.202,6.284,6.202,6.284,5200,
11/01/2010,5.77,5.859,5.77,5.859,3000,
12/01/2010,5.604,5.642,5.514,5.642,9000,
13/01/2010,5.559,5.986,5.387,5.986,3900,
14/01/2010,5.47,5.642,5.387,5.387,3700,
15/01/2010,5.387,5.77,5.387,5.77,7300,
18/01/2010,5.559,5.813,5.559,5.813,5500,
19/01/2010,5.903,5.903,5.903,5.903,7000,
20/01/2010,5.514,5.642,5.514,5.642,24400,
21/01/2010,5.342,5.432,5.342,5.432,11100,
22/01/2010,5.687,5.731,5.342,5.731,16000,
25/01/2010,5.731,5.731,5.731,5.731,100,
26/01/2010,5.387,5.731,5.342,5.342,16400,
27/01/2010,5.342,5.342,5.342,5.342,1300,
28/01/2010,5.303,5.387,5.303,5.387,700,
29/01/2010,5.687,5.687,5.559,5.559,5000,
01/02/2010,5.77,5.859,5.687,5.859,6000,
02/02/2010,5.77,5.77,5.77,5.77,0,
03/02/2010,5.903,6.068,5.903,5.986,20400,
04/02/2010,5.941,6.329,5.941,5.986,12400,
05/02/2010,6.329,6.329,6.329,6.329,100,
08/02/2010,6.412,6.412,6.412,6.412,100,
09/02/2010,5.986,6.5,5.986,6.5,1700,
10/02/2010,5.986,6.157,5.986,6.157,6500,
11/02/2010,5.813,6.329,5.77,6.329,4300,
12/02/2010,5.986,5.986,5.986,5.986,200,
22/02/2010,6.329,6.329,6.329,6.329,1100,
23/02/2010,5.986,6.329,5.986,6.329,5100,
24/02/2010,5.77,6.202,5.77,6.202,1400,
25/02/2010,6.24,6.24,6.24,6.24,100,
26/02/2010,6.24,6.412,6.24,6.412,200,
01/03/2010,6.068,6.5,6.068,6.5,1100,
02/03/2010,6.157,6.412,6.068,6.412,33500,
03/03/2010,6.539,6.539,6.412,6.5,20500,
04/03/2010,6.5,6.756,6.157,6.157,64400,
05/03/2010,6.883,6.883,6.457,6.801,40200,
08/03/2010,7.056,7.056,7.056,7.056,8700,
09/03/2010,7.527,7.527,7.527,7.527,6000,
10/03/2010,8.036,8.036,8.036,8.036,4400,
11/03/2010,8.597,8.597,8.597,8.597,9900,
12/03/2010,9.196,9.196,9.196,9.196,5300,
15/03/2010,9.832,9.832,9.832,9.832,3000,
16/03/2010,10.52,10.52,10.52,10.52,232700,
17/03/2010,11.246,11.246,10.691,11.246,98600,
18/03/2010,12.016,12.016,11.972,12.016,115800,
19/03/2010,11.755,12.825,11.589,12.825,72100,
22/03/2010,13.041,13.086,11.544,11.544,213400,
23/03/2010,12.353,13.468,11.972,13.468,47800,
24/03/2010,12.016,13.258,11.843,12.825,85800,
25/03/2010,11.372,12.188,11.372,12.188,85600,
26/03/2010,10.691,11.544,10.647,10.691,101800,
29/03/2010,11.672,11.672,11.372,11.372,46500,
30/03/2010,12.487,12.487,12.099,12.487,141700,
31/03/2010,11.972,13.296,11.889,13.296,82500,
01/04/2010,12.959,12.959,11.972,11.972,130300,
02/04/2010,13.512,13.512,13.258,13.385,147400,
05/04/2010,14.455,14.455,14.455,14.455,35100,
06/04/2010,15.435,15.435,15.309,15.435,120500,
07/04/2010,16.506,16.506,16.079,16.506,215900,
08/04/2010,15.819,16.251,15.352,15.819,124200,
09/04/2010,16.251,16.849,15.78,15.78,215100,
12/04/2010,15.735,16.677,15.563,16.251,57400,
13/04/2010,16.251,16.251,15.391,15.819,100100,
14/04/2010,16.887,16.887,15.819,16.034,260900,
15/04/2010,17.015,17.958,16.887,17.53,66100,
16/04/2010,16.588,17.103,16.461,17.103,76200,
19/04/2010,17.785,17.785,16.506,16.506,160300,
20/04/2010,17.703,18.727,17.703,18.6,214100,
21/04/2010,17.359,18.174,17.359,18.174,202800,
22/04/2010,16.251,17.448,16.251,16.506,91000,
26/04/2010,15.352,16.251,15.352,15.391,65400,
