transDate,close,high,low,open,volume,event
20/07/2005,1.847,1.847,1.847,1.847,40,
21/07/2005,1.755,1.755,1.755,1.755,30,
22/07/2005,1.669,1.756,1.669,1.669,100,
25/07/2005,1.589,1.669,1.589,1.589,10,
26/07/2005,1.515,1.515,1.515,1.515,120,
27/07/2005,1.441,1.441,1.441,1.441,20,
28/07/2005,1.373,1.373,1.373,1.373,430,
29/07/2005,1.305,1.305,1.305,1.305,60,
01/08/2005,1.282,1.305,1.282,1.305,2300,
02/08/2005,1.294,1.294,1.282,1.282,1240,
03/08/2005,1.349,1.355,1.349,1.349,3250,
04/08/2005,1.392,1.392,1.385,1.385,1850,
05/08/2005,1.367,1.403,1.367,1.392,2690,
08/08/2005,1.318,1.355,1.318,1.355,1140,
09/08/2005,1.324,1.324,1.324,1.324,240,
10/08/2005,1.294,1.324,1.294,1.324,2090,
11/08/2005,1.294,1.294,1.294,1.294,2090,
12/08/2005,1.3,1.3,1.3,1.3,500,
15/08/2005,1.3,1.3,1.3,1.3,600,
16/08/2005,1.282,1.3,1.282,1.282,1000,
17/08/2005,1.282,1.282,1.282,1.282,2130,
18/08/2005,1.27,1.282,1.27,1.282,5850,
19/08/2005,1.276,1.282,1.276,1.276,1840,
22/08/2005,1.276,1.276,1.276,1.276,2700,
23/08/2005,1.305,1.305,1.276,1.276,30,
24/08/2005,1.294,1.294,1.294,1.294,2000,
25/08/2005,1.294,1.294,1.294,1.294,500,
26/08/2005,1.294,1.294,1.294,1.294,500,
29/08/2005,1.276,1.294,1.276,1.294,600,
30/08/2005,1.282,1.294,1.282,1.282,2150,
31/08/2005,1.276,1.276,1.276,1.276,3000,
01/09/2005,1.276,1.276,1.276,1.276,50,
05/09/2005,2.437,2.437,2.437,2.437,0,
06/09/2005,2.437,2.437,2.437,2.437,0,
07/09/2005,1.294,1.294,1.276,1.276,980,
08/09/2005,1.294,1.294,1.294,1.294,1230,
09/09/2005,1.294,1.3,1.294,1.294,400,
12/09/2005,1.282,1.282,1.282,1.282,400,
13/09/2005,1.294,1.294,1.276,1.282,30,
14/09/2005,1.3,1.3,1.294,1.294,10,
15/09/2005,1.294,1.294,1.294,1.294,180,
16/09/2005,1.282,1.294,1.282,1.282,1960,
19/09/2005,1.294,1.294,1.282,1.282,430,
20/09/2005,1.312,1.312,1.294,1.294,1620,
21/09/2005,1.294,1.373,1.294,1.312,2690,
22/09/2005,1.294,1.294,1.294,1.294,50,
23/09/2005,1.294,1.294,1.294,1.294,580,
26/09/2005,1.282,1.282,1.263,1.282,560,
27/09/2005,1.294,1.294,1.294,1.294,9140,
28/09/2005,1.294,1.294,1.294,1.294,2770,
29/09/2005,1.305,1.305,1.294,1.294,600,
30/09/2005,1.367,1.367,1.31,1.31,5420,
03/10/2005,1.373,1.373,1.373,1.373,4260,
04/10/2005,1.385,1.392,1.385,1.385,6050,
05/10/2005,1.396,1.396,1.385,1.385,420,
06/10/2005,1.392,1.392,1.392,1.392,540,
07/10/2005,1.392,1.392,1.392,1.392,1010,
10/10/2005,1.392,1.392,1.392,1.392,1000,
11/10/2005,1.403,1.403,1.392,1.392,1030,
12/10/2005,1.41,1.41,1.403,1.403,1010,DIVIDEND
13/10/2005,1.446,1.446,1.41,1.41,120,
14/10/2005,1.453,1.453,1.446,1.446,760,
17/10/2005,1.51,1.51,1.51,1.51,750,
18/10/2005,1.538,1.538,1.503,1.509,5200,
19/10/2005,1.538,1.538,1.538,1.538,3470,
20/10/2005,1.614,1.614,1.601,1.601,150,
21/10/2005,1.632,1.632,1.601,1.614,2230,
24/10/2005,1.711,1.711,1.681,1.681,240,
25/10/2005,1.767,1.767,1.711,1.711,2150,
26/10/2005,1.767,1.767,1.681,1.767,3900,
27/10/2005,1.755,1.767,1.755,1.755,1030,
28/10/2005,1.755,1.755,1.755,1.755,1630,
31/10/2005,3.354,3.354,3.354,3.354,0,
01/11/2005,1.73,1.755,1.73,1.73,300,
02/11/2005,1.817,1.817,1.817,1.817,1600,
03/11/2005,1.779,1.817,1.779,1.779,300,
04/11/2005,1.767,1.785,1.767,1.779,800,
07/11/2005,1.767,1.767,1.767,1.767,720,
08/11/2005,1.755,1.767,1.755,1.767,450,
09/11/2005,1.817,1.817,1.755,1.755,2650,
10/11/2005,1.779,1.817,1.779,1.779,560,
11/11/2005,1.779,1.779,1.779,1.779,310,
14/11/2005,1.779,1.779,1.779,1.779,170,
15/11/2005,1.858,1.858,1.858,1.858,10,
16/11/2005,1.767,1.86,1.767,1.767,1800,
17/11/2005,1.767,1.767,1.755,1.767,150,
18/11/2005,1.767,1.767,1.767,1.767,320,
21/11/2005,1.755,1.767,1.755,1.755,30,
22/11/2005,1.755,1.755,1.755,1.755,250,
23/11/2005,1.799,1.799,1.755,1.755,70,
24/11/2005,1.755,1.755,1.755,1.755,630,
25/11/2005,1.805,1.805,1.755,1.755,10,
28/11/2005,1.785,1.805,1.785,1.805,110,
29/11/2005,1.723,1.785,1.723,1.785,6100,
30/11/2005,1.792,1.792,1.723,1.723,10,
01/12/2005,1.785,1.792,1.785,1.785,210,
02/12/2005,1.799,1.799,1.799,1.799,40,
05/12/2005,1.76,1.796,1.76,1.796,310,
06/12/2005,1.76,1.76,1.76,1.76,400,
07/12/2005,1.76,1.76,1.76,1.76,1050,
08/12/2005,1.755,1.755,1.755,1.755,1170,
09/12/2005,1.76,1.76,1.755,1.755,240,
