transDate,close,high,low,open,volume,event
28/11/2007,9.38,9.38,8.838,9.313,270120,
29/11/2007,9.177,9.246,9.041,9.041,162750,
30/11/2007,8.838,9.246,8.838,9.177,27510,
03/12/2007,8.565,9.108,8.565,9.108,17540,
04/12/2007,8.294,8.429,8.158,8.429,100090,
05/12/2007,7.954,8.158,7.954,8.158,49750,
06/12/2007,8.158,8.158,7.886,7.886,20270,
07/12/2007,8.158,8.158,8.089,8.158,14980,
10/12/2007,7.954,7.954,7.954,7.954,11010,
11/12/2007,7.751,7.954,7.614,7.954,19050,
12/12/2007,7.478,8.022,7.478,7.547,62960,
13/12/2007,7.411,7.478,7.411,7.478,24250,
14/12/2007,7.478,7.547,7.478,7.478,16180,
17/12/2007,7.139,7.343,7.139,7.207,34500,
18/12/2007,6.934,7.071,6.868,6.868,8300,
19/12/2007,7.207,7.274,7.139,7.207,48490,
20/12/2007,7.139,7.343,7.139,7.343,17520,
21/12/2007,7.139,7.274,7.139,7.207,10410,
24/12/2007,7.071,7.071,7.071,7.071,10560,
25/12/2007,7.071,7.071,7.071,7.071,15300,
26/12/2007,6.868,6.934,6.799,6.868,30030,
27/12/2007,6.934,6.934,6.868,6.868,31810,
28/12/2007,7.207,7.207,7.003,7.071,17450,
02/01/2008,6.934,7.274,6.934,7.274,9070,
03/01/2008,6.934,6.934,6.934,6.934,12640,
04/01/2008,6.934,7.003,6.73,7.003,9650,
07/01/2008,6.596,6.799,6.596,6.799,12670,
08/01/2008,6.663,6.73,6.596,6.596,17050,
09/01/2008,6.527,6.73,6.527,6.663,10100,
10/01/2008,6.198,6.255,6.198,6.214,14930,
11/01/2008,5.984,6.392,5.952,5.969,9750,
14/01/2008,5.686,5.984,5.686,5.984,6990,
15/01/2008,5.408,5.451,5.408,5.408,21450,
16/01/2008,5.67,5.67,5.414,5.414,21100,
17/01/2008,5.398,5.78,5.398,5.441,38080,
18/01/2008,5.331,5.331,5.304,5.304,8950,
21/01/2008,5.304,5.424,5.304,5.424,7300,
22/01/2008,5.441,5.507,5.304,5.441,33860,
23/01/2008,5.169,5.373,5.169,5.373,36160,
24/01/2008,5.169,5.414,5.169,5.169,43250,
25/01/2008,5.304,5.304,5.043,5.043,21080,
28/01/2008,5.235,5.304,5.169,5.304,19370,
29/01/2008,5.493,5.493,5.304,5.304,25820,
30/01/2008,5.764,5.764,5.764,5.764,11740,
31/01/2008,6.052,6.052,5.78,6.052,121720,
01/02/2008,6.349,6.349,6.349,6.349,7020,
12/02/2008,6.663,6.663,6.663,6.663,8450,
13/02/2008,6.934,6.934,6.799,6.934,83300,
14/02/2008,6.73,7.274,6.73,6.934,81140,
15/02/2008,6.416,6.673,6.416,6.673,50320,
18/02/2008,6.104,6.104,6.104,6.104,13360,
19/02/2008,5.807,6.093,5.807,5.807,63570,
20/02/2008,5.519,5.916,5.519,5.519,43850,
21/02/2008,5.247,5.247,5.247,5.247,17270,
