transDate,close,high,low,open,volume,event
08/08/2002,4.009,4.009,4.009,4.009,10000,
09/08/2002,3.903,3.903,3.903,3.903,1400,
12/08/2002,3.788,3.788,3.788,3.788,100,
13/08/2002,3.673,3.673,3.673,3.673,100,
14/08/2002,3.567,3.567,3.567,3.567,100,
15/08/2002,3.483,3.483,3.483,3.483,500,
16/08/2002,3.406,3.406,3.406,3.406,6000,
19/08/2002,3.497,3.497,3.497,3.497,8600,
20/08/2002,3.567,3.567,3.567,3.567,600,
21/08/2002,3.567,3.567,3.567,3.567,300,
22/08/2002,3.643,3.643,3.643,3.643,500,
23/08/2002,3.528,3.528,3.528,3.528,400,
26/08/2002,3.459,3.459,3.459,3.459,5200,
27/08/2002,3.421,3.421,3.421,3.421,1400,
28/08/2002,3.421,3.421,3.421,3.421,1400,
29/08/2002,3.459,3.459,3.459,3.459,600,
30/08/2002,11.31,11.31,11.31,11.31,0,
03/09/2002,3.513,3.513,3.513,3.513,100,
04/09/2002,3.497,3.497,3.497,3.497,400,
05/09/2002,3.497,3.497,3.497,3.497,1000,
06/09/2002,3.551,3.551,3.551,3.551,6500,
09/09/2002,3.551,3.551,3.551,3.551,2800,
10/09/2002,3.513,3.513,3.513,3.513,600,
11/09/2002,3.513,3.513,3.513,3.513,600,
12/09/2002,3.513,3.513,3.513,3.513,5200,
13/09/2002,3.483,3.483,3.483,3.483,2000,
16/09/2002,3.483,3.483,3.483,3.483,2600,
17/09/2002,3.483,3.483,3.483,3.483,1900,
18/09/2002,3.459,3.459,3.459,3.459,100,
19/09/2002,11.31,11.31,11.31,11.31,0,
20/09/2002,11.31,11.31,11.31,11.31,0,
23/09/2002,3.459,3.459,3.459,3.459,1000,
24/09/2002,11.31,11.31,11.31,11.31,0,
25/09/2002,3.459,3.459,3.459,3.459,1100,
26/09/2002,3.497,3.497,3.497,3.497,1000,
27/09/2002,3.497,3.497,3.497,3.497,200,
30/09/2002,11.425,11.425,11.425,11.425,0,
01/10/2002,3.406,3.406,3.406,3.406,100,
02/10/2002,3.497,3.497,3.497,3.497,100,
03/10/2002,3.497,3.497,3.497,3.497,100,
04/10/2002,11.425,11.425,11.425,11.425,0,
07/10/2002,3.406,3.406,3.406,3.406,500,
08/10/2002,3.459,3.459,3.459,3.459,100,
09/10/2002,3.551,3.551,3.551,3.551,100,
10/10/2002,11.609,11.609,11.609,11.609,0,
11/10/2002,11.609,11.609,11.609,11.609,0,
14/10/2002,3.551,3.551,3.551,3.551,100,
15/10/2002,3.551,3.551,3.551,3.551,100,
16/10/2002,11.609,11.609,11.609,11.609,0,
17/10/2002,11.609,11.609,11.609,11.609,0,
18/10/2002,11.609,11.609,11.609,11.609,0,
21/10/2002,11.609,11.609,11.609,11.609,0,
22/10/2002,3.483,3.483,3.483,3.483,100,
23/10/2002,11.372,11.372,11.372,11.372,0,
24/10/2002,11.372,11.372,11.372,11.372,0,
25/10/2002,11.372,11.372,11.372,11.372,0,
28/10/2002,3.513,3.513,3.513,3.513,100,
29/10/2002,11.486,11.486,11.486,11.486,0,
30/10/2002,3.421,3.421,3.421,3.421,100,
31/10/2002,11.189,11.189,11.189,11.189,0,
01/11/2002,11.189,11.189,11.189,11.189,0,
04/11/2002,11.189,11.189,11.189,11.189,0,
05/11/2002,3.483,3.483,3.483,3.483,200,
06/11/2002,3.528,3.528,3.528,3.528,100,
07/11/2002,11.549,11.549,11.549,11.549,0,
08/11/2002,11.549,11.549,11.549,11.549,0,
11/11/2002,3.459,3.459,3.459,3.459,1500,
12/11/2002,3.368,3.368,3.368,3.368,700,
13/11/2002,3.352,3.352,3.352,3.352,700,
14/11/2002,3.276,3.276,3.276,3.276,500,
15/11/2002,3.262,3.262,3.262,3.262,100,
18/11/2002,3.223,3.223,3.223,3.223,1100,
19/11/2002,10.532,10.532,10.532,10.532,0,
20/11/2002,10.532,10.532,10.532,10.532,0,
21/11/2002,3.314,3.314,3.314,3.314,100,
22/11/2002,10.829,10.829,10.829,10.829,0,
25/11/2002,3.314,3.314,3.314,3.314,100,
26/11/2002,10.829,10.829,10.829,10.829,0,
27/11/2002,10.829,10.829,10.829,10.829,0,
28/11/2002,10.829,10.829,10.829,10.829,0,
29/11/2002,3.276,3.276,3.276,3.276,100,
02/12/2002,10.715,10.715,10.715,10.715,0,
03/12/2002,3.352,3.352,3.352,3.352,200,
04/12/2002,3.444,3.444,3.444,3.444,300,
05/12/2002,3.459,3.459,3.459,3.459,100,
06/12/2002,3.368,3.368,3.368,3.368,600,
09/12/2002,3.276,3.276,3.276,3.276,100,
10/12/2002,10.715,10.715,10.715,10.715,0,
11/12/2002,10.715,10.715,10.715,10.715,0,
12/12/2002,3.276,3.276,3.276,3.276,400,
13/12/2002,10.715,10.715,10.715,10.715,0,
16/12/2002,10.715,10.715,10.715,10.715,0,
17/12/2002,10.715,10.715,10.715,10.715,0,
18/12/2002,3.368,3.368,3.368,3.368,200,
19/12/2002,3.368,3.368,3.368,3.368,1700,
20/12/2002,3.368,3.368,3.368,3.368,200,
23/12/2002,11.013,11.013,11.013,11.013,0,
24/12/2002,11.013,11.013,11.013,11.013,0,
25/12/2002,11.013,11.013,11.013,11.013,0,
26/12/2002,11.013,11.013,11.013,11.013,0,
27/12/2002,11.013,11.013,11.013,11.013,0,
30/12/2002,11.013,11.013,11.013,11.013,0,
31/12/2002,11.013,11.013,11.013,11.013,0,
02/01/2003,3.368,3.368,3.368,3.368,100,
03/01/2003,11.013,11.013,11.013,11.013,0,
06/01/2003,11.013,11.013,11.013,11.013,0,
07/01/2003,11.013,11.013,11.013,11.013,0,
08/01/2003,3.299,3.299,3.299,3.299,200,
09/01/2003,10.776,10.776,10.776,10.776,0,
10/01/2003,10.776,10.776,10.776,10.776,0,
13/01/2003,10.776,10.776,10.776,10.776,0,
14/01/2003,10.776,10.776,10.776,10.776,0,
15/01/2003,3.276,3.276,3.276,3.276,700,
16/01/2003,10.715,10.715,10.715,10.715,0,
17/01/2003,3.276,3.276,3.276,3.276,200,
20/01/2003,3.276,3.276,3.276,3.276,300,
21/01/2003,10.715,10.715,10.715,10.715,0,
22/01/2003,3.276,3.276,3.276,3.276,500,DIVIDEND
23/01/2003,10.119,10.119,10.119,10.119,0,
24/01/2003,3.376,3.376,3.376,3.376,600,
27/01/2003,10.417,10.417,10.417,10.417,0,
28/01/2003,10.417,10.417,10.417,10.417,0,
10/02/2003,10.417,10.417,10.417,10.417,0,
11/02/2003,10.417,10.417,10.417,10.417,0,
12/02/2003,10.417,10.417,10.417,10.417,0,
13/02/2003,10.417,10.417,10.417,10.417,0,
14/02/2003,3.276,3.276,3.276,3.276,700,
17/02/2003,3.429,3.429,3.429,3.429,500,
18/02/2003,3.49,3.49,3.49,3.49,500,
19/02/2003,10.776,10.776,10.776,10.776,0,
