transDate,close,high,low,open,volume,event
19/01/2011,17.415,19.481,16.529,18.892,41700,
20/01/2011,16.233,17.121,16.233,17.121,27000,
21/01/2011,15.409,15.409,15.409,15.409,21000,
24/01/2011,15.467,15.467,14.345,14.345,34900,
25/01/2011,15.055,15.349,14.582,15.349,36000,
26/01/2011,15.938,15.938,15.349,15.349,35900,
27/01/2011,15.938,15.938,15.586,15.703,23000,
28/01/2011,16.233,16.529,16.233,16.412,5500,
08/02/2011,16.765,17.474,16.353,17.474,33500,
09/02/2011,17.061,17.886,16.826,17.886,34500,
10/02/2011,15.881,16.826,15.881,16.826,31700,
11/02/2011,16.233,16.707,16.116,16.529,37900,
14/02/2011,15.527,17.239,15.467,17.239,31000,
15/02/2011,15.762,16.233,15.762,15.938,22500,
16/02/2011,15.938,15.938,15.821,15.881,8000,
17/02/2011,15.527,15.881,15.527,15.881,9000,
18/02/2011,15.821,15.821,15.821,15.821,5000,
21/02/2011,15.289,15.349,15.289,15.289,10000,
22/02/2011,15.349,15.349,15.112,15.289,5400,
23/02/2011,15.467,15.703,15.23,15.644,13000,
24/02/2011,15.527,15.527,15.172,15.527,30000,
25/02/2011,15.644,15.644,15.586,15.586,5000,
28/02/2011,15.586,15.762,15.586,15.644,11000,
01/03/2011,15.055,15.527,15.055,15.527,22000,
02/03/2011,15.23,15.349,14.76,15.289,12000,
03/03/2011,15.172,15.23,15.172,15.23,8000,
04/03/2011,15.467,15.467,15.172,15.172,12800,
07/03/2011,15.467,15.467,14.876,15.23,9300,
08/03/2011,15.055,15.289,15.055,15.289,7000,
09/03/2011,14.404,15.112,14.404,15.112,3600,
10/03/2011,15.055,15.055,14.642,14.642,9500,
11/03/2011,14.994,14.994,14.699,14.699,18600,
14/03/2011,14.817,15.055,14.817,15.055,4000,
15/03/2011,14.699,14.699,14.699,14.699,3000,
16/03/2011,14.876,14.876,14.876,14.876,2000,
17/03/2011,15.527,15.527,15.467,15.527,2500,
18/03/2011,15.644,15.644,15.644,15.644,3000,
