transDate,close,high,low,open,volume,event
26/10/2016,7.123,7.123,6.53,6.53,1213400,
27/10/2016,7.835,7.835,7.321,7.835,1800300,
28/10/2016,8.587,8.587,8.073,8.587,2455000,
31/10/2016,7.756,8.587,7.756,8.587,964480,
01/11/2016,7.004,7.004,7.004,7.004,176800,
02/11/2016,6.332,6.332,6.332,6.332,2200,
03/11/2016,5.698,5.698,5.698,5.698,11040,
04/11/2016,5.144,5.144,5.144,5.144,321200,
07/11/2016,4.63,4.63,4.63,4.63,338400,
08/11/2016,4.194,4.194,4.194,4.194,55585,
09/11/2016,4.55,4.55,3.798,3.798,2943135,
10/11/2016,4.59,4.986,4.116,4.709,408020,
11/11/2016,4.155,4.63,4.155,4.63,158410,
14/11/2016,3.759,3.798,3.759,3.759,257200,
15/11/2016,3.403,3.562,3.403,3.403,196225,
16/11/2016,3.086,3.086,3.086,3.086,127100,
17/11/2016,3.205,3.364,2.81,2.81,805270,
18/11/2016,3.165,3.244,2.967,3.165,218100,
21/11/2016,3.482,3.482,2.967,2.967,280600,
22/11/2016,3.798,3.798,3.719,3.798,460300,
23/11/2016,3.957,4.155,3.719,4.116,946520,
24/11/2016,3.878,4.076,3.759,3.957,309180,
25/11/2016,3.878,3.957,3.798,3.878,215505,
28/11/2016,3.798,3.957,3.759,3.878,203100,
29/11/2016,3.482,3.798,3.442,3.759,390245,
30/11/2016,3.601,3.601,3.442,3.522,96100,
01/12/2016,3.562,3.719,3.482,3.719,123415,
02/12/2016,3.522,3.562,3.482,3.482,69600,
05/12/2016,3.64,3.68,3.482,3.522,118752,
06/12/2016,3.64,3.68,3.562,3.601,110338,
07/12/2016,3.522,3.64,3.482,3.522,49900,
08/12/2016,3.482,3.562,3.403,3.562,137210,
09/12/2016,3.522,3.562,3.403,3.403,77300,
12/12/2016,3.798,3.838,3.562,3.562,194900,
13/12/2016,3.719,3.838,3.719,3.798,108408,
14/12/2016,3.562,3.719,3.482,3.719,105910,
15/12/2016,3.562,3.719,3.522,3.562,95600,
16/12/2016,3.64,3.798,3.522,3.562,160300,
19/12/2016,3.522,3.719,3.522,3.719,146500,
20/12/2016,3.522,3.64,3.482,3.522,79300,
21/12/2016,3.601,3.838,3.522,3.759,66400,
22/12/2016,3.562,3.562,3.522,3.562,68700,
23/12/2016,3.601,3.719,3.482,3.482,314700,
