transDate,close,high,low,open,volume,event
04/12/2009,7.371,7.371,7.371,7.371,700,
07/12/2009,7.807,7.807,7.807,7.807,0,
08/12/2009,7.807,7.807,7.807,7.807,0,
09/12/2009,7.807,7.807,7.807,7.807,0,
10/12/2009,7.807,7.807,7.807,7.807,0,
11/12/2009,7.807,7.807,7.807,7.807,0,
14/12/2009,7.807,7.807,7.807,7.807,0,
15/12/2009,7.807,7.807,7.807,7.807,0,
16/12/2009,7.807,7.807,7.807,7.807,0,
17/12/2009,7.807,7.807,7.807,7.807,0,
18/12/2009,7.807,7.807,7.807,7.807,0,
21/12/2009,7.371,7.371,7.371,7.371,500,
22/12/2009,7.371,7.371,7.371,7.371,60000,
23/12/2009,7.807,7.807,7.807,7.807,0,
24/12/2009,7.807,7.807,7.807,7.807,0,
25/12/2009,7.807,7.807,7.807,7.807,0,
28/12/2009,7.807,7.807,7.807,7.807,0,
29/12/2009,7.807,7.807,7.807,7.807,0,
30/12/2009,7.807,7.807,7.807,7.807,0,
31/12/2009,7.807,7.807,7.807,7.807,0,
04/01/2010,7.807,7.807,7.807,7.807,0,
05/01/2010,7.807,7.807,7.807,7.807,0,
06/01/2010,7.807,7.807,7.807,7.807,0,
07/01/2010,7.807,7.807,7.807,7.807,0,
08/01/2010,7.807,7.807,7.807,7.807,0,
11/01/2010,7.807,7.807,7.807,7.807,0,
12/01/2010,7.807,7.807,7.807,7.807,0,
13/01/2010,7.807,7.807,7.807,7.807,0,
14/01/2010,6.791,6.791,6.791,6.791,600,
15/01/2010,7.176,7.176,7.176,7.176,1258,
18/01/2010,7.226,7.226,7.226,7.226,0,
19/01/2010,7.226,7.226,7.226,7.226,0,
20/01/2010,7.226,7.226,7.226,7.226,0,
21/01/2010,7.226,7.226,7.226,7.226,0,
22/01/2010,7.226,7.226,7.226,7.226,0,
25/01/2010,7.226,7.226,7.226,7.226,0,
26/01/2010,7.226,7.226,7.226,7.226,0,
27/01/2010,7.226,7.226,7.226,7.226,0,
28/01/2010,7.226,7.226,7.226,7.226,0,
29/01/2010,7.226,7.226,7.226,7.226,0,
01/02/2010,7.226,7.226,7.226,7.226,0,
02/02/2010,7.226,7.226,7.226,7.226,0,
03/02/2010,7.226,7.226,7.226,7.226,0,
04/02/2010,7.226,7.226,7.226,7.226,0,
05/02/2010,7.226,7.226,7.226,7.226,0,
08/02/2010,7.226,7.226,7.226,7.226,0,
09/02/2010,7.226,7.226,7.226,7.226,0,
10/02/2010,7.226,7.226,7.226,7.226,0,
11/02/2010,7.226,7.226,7.226,7.226,0,
12/02/2010,7.226,7.226,7.226,7.226,0,
22/02/2010,7.226,7.226,7.226,7.226,0,
23/02/2010,7.226,7.226,7.226,7.226,0,
24/02/2010,7.226,7.226,7.226,7.226,0,
25/02/2010,7.226,7.226,7.226,7.226,0,
26/02/2010,7.226,7.226,7.226,7.226,0,
01/03/2010,7.226,7.226,7.226,7.226,0,
02/03/2010,7.226,7.226,7.226,7.226,0,
03/03/2010,7.226,7.226,7.226,7.226,0,
04/03/2010,7.226,7.226,7.226,7.226,0,
05/03/2010,7.226,7.226,7.226,7.226,0,
08/03/2010,7.226,7.226,7.226,7.226,0,
09/03/2010,7.226,7.226,7.226,7.226,0,
10/03/2010,7.226,7.226,7.226,7.226,0,
11/03/2010,7.226,7.226,7.226,7.226,0,
12/03/2010,7.226,7.226,7.226,7.226,0,
