transDate,close,high,low,open,volume,event
23/09/2010,7.361,8.084,6.465,6.465,32540,
24/09/2010,7.361,7.361,7.289,7.361,31810,
27/09/2010,7.326,7.723,7.326,7.361,25220,
28/09/2010,7.433,7.47,7.326,7.361,54910,
29/09/2010,7.78,7.78,7.731,7.78,25370,DIVIDEND
30/09/2010,7.433,7.78,7.433,7.78,14310,
01/10/2010,7.34,7.433,7.138,7.433,1140,
04/10/2010,6.993,7.34,6.993,7.34,8950,
05/10/2010,6.688,6.688,6.645,6.645,5830,
06/10/2010,6.79,6.942,6.739,6.942,2260,
07/10/2010,6.688,6.993,6.688,6.993,4740,
08/10/2010,6.544,6.942,6.544,6.942,3340,
11/10/2010,6.298,6.739,6.248,6.493,6140,
12/10/2010,6.298,6.442,6.248,6.341,11910,
13/10/2010,6.493,6.595,6.393,6.493,8270,
14/10/2010,6.645,6.688,6.645,6.688,1030,
15/10/2010,6.393,6.544,6.341,6.341,12130,
18/10/2010,6.147,6.442,6.095,6.393,12510,
19/10/2010,5.85,6.147,5.85,5.995,18670,
20/10/2010,5.604,5.9,5.604,5.9,18330,
21/10/2010,5.655,5.698,5.453,5.698,760,
22/10/2010,5.402,5.698,5.402,5.554,4900,
25/10/2010,5.453,5.604,5.453,5.604,660,
26/10/2010,5.698,5.698,5.453,5.453,11320,
27/10/2010,5.698,5.698,5.604,5.604,2500,
28/10/2010,5.655,5.698,5.554,5.698,8790,
29/10/2010,5.698,5.698,5.502,5.604,8940,
01/11/2010,5.604,5.698,5.502,5.698,6950,
02/11/2010,5.453,5.604,5.453,5.604,18530,
03/11/2010,5.207,5.502,5.207,5.453,14730,
04/11/2010,5.308,5.351,5.257,5.257,2850,
05/11/2010,5.402,5.453,5.257,5.402,12260,
08/11/2010,5.207,5.351,5.156,5.351,3780,
09/11/2010,5.055,5.351,5.055,5.351,4500,
10/11/2010,5.156,5.156,5.156,5.156,3230,
11/11/2010,4.96,5.207,4.96,5.105,4260,
12/11/2010,4.96,4.96,4.96,4.96,1640,
15/11/2010,4.91,4.96,4.91,4.96,1340,
16/11/2010,4.859,4.91,4.859,4.91,3020,
17/11/2010,4.859,4.96,4.859,4.96,3490,
18/11/2010,4.91,4.96,4.91,4.96,2550,
19/11/2010,4.91,4.91,4.91,4.91,550,
22/11/2010,4.91,4.91,4.707,4.859,3010,
23/11/2010,4.96,4.96,4.809,4.859,5320,
24/11/2010,6.508,6.508,6.508,6.508,0,
25/11/2010,5.055,5.055,4.859,4.859,3440,
26/11/2010,4.859,4.96,4.859,4.859,3370,
29/11/2010,4.859,4.859,4.859,4.859,4000,
30/11/2010,5.055,5.055,4.859,4.859,11180,
01/12/2010,5.055,5.207,5.055,5.055,680,
02/12/2010,4.91,5.105,4.91,4.96,4490,
03/12/2010,5.105,5.105,5.055,5.105,32600,
06/12/2010,5.308,5.351,5.105,5.308,11890,
07/12/2010,5.308,5.308,5.156,5.156,2400,
08/12/2010,5.156,5.156,5.055,5.156,4280,
09/12/2010,5.156,5.156,5.156,5.156,30,
10/12/2010,5.055,5.156,5.004,5.004,1600,
13/12/2010,5.207,5.308,5.207,5.207,17900,
14/12/2010,5.055,5.358,5.004,5.358,8690,
15/12/2010,4.96,5.105,4.96,5.004,5790,
16/12/2010,4.91,5.055,4.91,5.004,6410,
17/12/2010,5.105,5.105,4.859,4.859,10290,
20/12/2010,5.351,5.351,5.351,5.351,6510,
21/12/2010,5.604,5.604,5.554,5.604,25090,
22/12/2010,5.453,5.604,5.453,5.554,17900,
23/12/2010,5.257,5.308,5.207,5.257,10840,
24/12/2010,5.257,5.257,5.105,5.105,1220,
27/12/2010,5.453,5.453,5.453,5.453,10,
28/12/2010,5.207,5.257,5.207,5.257,3790,
29/12/2010,5.257,5.402,5.207,5.402,4580,
30/12/2010,5.167,5.412,4.97,4.97,2510,
31/12/2010,5.119,5.167,5.019,5.019,2700,
04/01/2011,5.167,5.167,5.119,5.119,3120,
05/01/2011,5.167,5.167,5.167,5.167,1300,
06/01/2011,5.167,5.315,5.167,5.315,290,
07/01/2011,5.019,5.019,4.97,4.97,6700,
10/01/2011,4.921,4.924,4.921,4.924,2800,
11/01/2011,4.724,4.872,4.724,4.872,11630,
12/01/2011,4.822,4.822,4.724,4.724,3970,
13/01/2011,4.724,4.921,4.724,4.724,6690,
14/01/2011,4.822,4.822,4.724,4.822,2480,
17/01/2011,4.724,4.872,4.724,4.872,8340,
18/01/2011,4.674,4.822,4.674,4.822,200,
19/01/2011,4.872,4.872,4.674,4.724,10740,
20/01/2011,4.822,4.823,4.822,4.823,1000,
21/01/2011,4.921,4.921,4.822,4.822,3000,
24/01/2011,4.921,4.921,4.921,4.921,20,
