transDate,close,high,low,open,volume,event
15/01/2015,5.901,6.662,5.065,5.065,382320,
16/01/2015,5.559,5.711,5.521,5.711,80000,
19/01/2015,5.254,5.559,5.254,5.559,78050,
20/01/2015,5.33,5.33,4.948,5.026,155360,
21/01/2015,5.14,5.33,5.14,5.179,34000,
22/01/2015,5.14,5.292,5.065,5.103,47030,
23/01/2015,5.103,5.217,5.103,5.14,66350,
26/01/2015,4.948,5.103,4.948,5.103,44480,
27/01/2015,4.607,4.948,4.607,4.948,94470,
28/01/2015,4.836,4.836,4.531,4.531,45950,
29/01/2015,4.646,4.836,4.646,4.646,13010,
30/01/2015,4.646,4.683,4.607,4.646,15630,
02/02/2015,4.531,4.607,4.416,4.568,21730,
03/02/2015,4.226,4.492,4.226,4.492,55710,
04/02/2015,4.036,4.379,4.036,4.188,42470,
05/02/2015,4.074,4.112,4.074,4.112,13680,
06/02/2015,4.341,4.341,4.036,4.112,35660,
09/02/2015,4.492,4.607,4.379,4.455,44030,
10/02/2015,4.568,4.683,4.568,4.568,57140,
11/02/2015,4.646,4.646,4.531,4.531,46180,
12/02/2015,4.646,4.759,4.607,4.723,33480,
13/02/2015,4.683,4.683,4.568,4.607,6980,
24/02/2015,4.723,4.759,4.607,4.683,17590,
25/02/2015,4.607,4.683,4.568,4.646,63180,
26/02/2015,4.607,4.607,4.531,4.568,29220,
27/02/2015,4.607,4.646,4.568,4.607,18310,
02/03/2015,4.568,4.607,4.531,4.568,20150,
03/03/2015,4.568,4.607,4.492,4.492,60350,
04/03/2015,4.568,4.607,4.492,4.492,65960,
05/03/2015,4.607,4.646,4.568,4.607,77150,
06/03/2015,4.607,4.607,4.568,4.607,38610,
09/03/2015,4.568,4.607,4.568,4.568,51210,
10/03/2015,4.568,4.568,4.531,4.531,14850,
11/03/2015,4.568,4.568,4.531,4.531,15110,
12/03/2015,4.531,4.568,4.531,4.568,15250,
13/03/2015,4.531,4.568,4.531,4.568,1070,
16/03/2015,4.531,4.568,4.531,4.531,16150,
17/03/2015,4.492,4.568,4.492,4.568,62100,
18/03/2015,4.568,4.568,4.492,4.568,1090,
19/03/2015,4.568,4.568,4.531,4.531,55340,
20/03/2015,4.531,4.531,4.492,4.492,7670,
23/03/2015,4.531,4.568,4.531,4.568,3940,
24/03/2015,4.492,4.492,4.492,4.492,4500,
25/03/2015,4.492,4.531,4.416,4.492,28180,
26/03/2015,4.492,4.492,4.455,4.455,4910,
27/03/2015,4.492,4.492,4.416,4.492,10210,
30/03/2015,4.492,4.492,4.416,4.492,7310,
31/03/2015,4.683,4.683,4.416,4.416,157920,
01/04/2015,4.798,4.912,4.646,4.646,218060,
02/04/2015,4.798,4.798,4.723,4.723,61170,
03/04/2015,4.759,4.798,4.723,4.798,285200,
06/04/2015,4.568,4.759,4.568,4.759,37470,
07/04/2015,4.683,4.683,4.568,4.568,18000,
08/04/2015,4.646,4.683,4.568,4.683,34270,
09/04/2015,4.683,4.683,4.607,4.607,50050,
10/04/2015,4.836,4.836,4.683,4.683,85000,
13/04/2015,4.759,4.836,4.759,4.759,21000,
14/04/2015,4.836,4.836,4.646,4.759,39000,
15/04/2015,4.798,4.836,4.798,4.836,31460,
16/04/2015,4.759,4.759,4.683,4.759,24490,
17/04/2015,4.759,4.759,4.723,4.759,16200,
20/04/2015,4.723,4.798,4.683,4.683,45610,
21/04/2015,4.683,4.759,4.683,4.723,16570,
22/04/2015,4.683,4.683,4.646,4.683,27800,
23/04/2015,4.646,4.759,4.646,4.723,9400,
24/04/2015,4.759,4.798,4.607,4.798,14320,
27/04/2015,4.759,4.759,4.759,4.759,2060,
04/05/2015,4.683,4.759,4.646,4.759,41100,
05/05/2015,4.683,4.723,4.683,4.683,64340,
06/05/2015,4.646,4.723,4.646,4.723,24060,
07/05/2015,4.798,4.798,4.646,4.683,57150,
08/05/2015,4.558,4.798,4.558,4.798,31000,DIVIDEND
11/05/2015,4.758,4.758,4.758,4.758,10,
12/05/2015,4.798,4.798,4.597,4.597,160,
13/05/2015,4.597,4.597,4.597,4.597,1690,
14/05/2015,4.517,4.597,4.517,4.597,5010,
15/05/2015,4.438,4.438,4.438,4.438,540,
18/05/2015,4.438,4.478,4.438,4.478,2660,
19/05/2015,4.398,4.398,4.398,4.398,3600,
20/05/2015,4.678,4.678,4.398,4.398,510,
21/05/2015,4.718,4.798,4.678,4.678,2100,
22/05/2015,4.718,4.758,4.398,4.718,12500,
25/05/2015,4.758,4.758,4.678,4.678,12220,
