transDate,close,high,low,open,volume,event
15/02/2006,7.92,7.92,7.92,7.92,68200,
16/02/2006,7.92,7.92,7.92,7.92,179660,
17/02/2006,7.778,7.778,7.778,7.778,120180,
20/02/2006,9.371,9.371,9.217,9.371,153030,DIVIDEND
21/02/2006,9.839,9.839,9.839,9.839,43890,
22/02/2006,10.308,10.308,10.308,10.308,202850,
23/02/2006,10.589,10.589,10.435,10.435,90230,
24/02/2006,10.636,10.731,10.636,10.636,119020,
27/02/2006,10.449,10.604,10.449,10.604,82570,
28/02/2006,10.121,10.304,10.121,10.304,123900,
01/03/2006,10.262,10.355,10.262,10.262,94690,
02/03/2006,10.777,10.777,10.468,10.468,136060,
03/03/2006,10.308,10.585,10.308,10.585,153030,
06/03/2006,10.308,10.308,10.308,10.308,49880,
07/03/2006,10.402,10.402,10.402,10.402,68020,
08/03/2006,10.402,10.464,10.402,10.402,41240,
09/03/2006,10.589,10.712,10.589,10.589,100170,
10/03/2006,10.777,10.899,10.777,10.777,82600,
13/03/2006,10.777,10.777,10.716,10.716,73310,
14/03/2006,10.777,10.899,10.777,10.838,56070,
15/03/2006,10.402,10.402,10.341,10.402,100140,
16/03/2006,10.683,10.683,10.589,10.589,72660,
17/03/2006,10.777,10.777,10.777,10.777,71730,
20/03/2006,10.871,10.903,10.871,10.871,89640,
21/03/2006,11.34,11.34,11.124,11.124,193190,
22/03/2006,11.34,11.521,11.34,11.34,154120,
23/03/2006,11.012,11.288,11.012,11.288,79530,
24/03/2006,10.777,10.932,10.777,10.932,41890,
27/03/2006,10.777,10.777,10.716,10.716,38960,
28/03/2006,10.871,10.903,10.871,10.871,45380,
29/03/2006,10.871,10.871,10.871,10.871,106770,
30/03/2006,11.012,11.012,11.012,11.012,90230,
31/03/2006,11.058,11.18,11.058,11.058,119600,
03/04/2006,11.058,11.119,11.058,11.058,58700,
04/04/2006,10.777,10.777,10.777,10.777,112740,
05/04/2006,10.777,10.777,10.777,10.777,86090,
06/04/2006,10.777,10.777,10.777,10.777,105480,
07/04/2006,11.105,11.199,11.105,11.105,137240,
10/04/2006,11.527,11.527,11.372,11.372,216090,
11/04/2006,12.042,12.042,12.042,12.042,238150,
12/04/2006,12.652,12.652,12.652,12.652,132770,
13/04/2006,13.261,13.261,13.261,13.261,37770,
14/04/2006,13.916,13.916,13.916,13.916,26420,
17/04/2006,14.526,14.526,14.526,14.526,90360,
18/04/2006,15.322,15.322,15.322,15.322,64850,
19/04/2006,15.322,15.996,15.322,15.322,223630,
20/04/2006,15.181,15.303,15.181,15.303,278460,
21/04/2006,15.791,15.791,15.791,15.791,154160,
24/04/2006,16.541,16.541,16.541,16.541,67130,
25/04/2006,17.337,17.337,17.337,17.337,49190,
26/04/2006,18.087,18.087,18.087,18.087,121200,
27/04/2006,17.337,18.105,17.337,18.105,225000,
28/04/2006,18.087,18.087,16.554,17.318,227510,
03/05/2006,18.884,18.884,18.884,18.884,130920,
04/05/2006,18.274,18.429,18.274,18.429,127520,
